Sample name,Irradiation,ET_1AU,group
PO_TXH_007,10,338237781.160156,8
PO_TXH_008,10,676475562.320311,8
PO_TXH_081_CP1,10,338237781.160156,8
PO_TXH_081_CP2,10,676475562.320311,8
RB_LE4OLV,10,761035007.61035,8
RB_LE12OLV,10,1465697051.69401,9
SM_OLV,4,2219685.43886352,6
KC_OL_arm_1,4,31709791.9837646,7
KC_OL_arvn_1,4,317097.919837646,5
KC_OL_arvn_2,4,951293.759512938,5
KC_OL_arvn_3,4,1902587.51902588,6
KC_OL_arvn_4,4,3170979.19837646,6
KC_OL_arvn_5,4,6341958.39675292,6
KC_OL_arvn_6,4,19025875.1902588,7
KC_OL_arvn_7,4,31709791.9837646,7
KC_OL_hem_1,7,667.574568079255,2
KC_OL_hevn_1,7,66.7574568079254,1
KC_OL_hevn_2,7,200.272370423776,2
KC_OL_hevn_3,7,400.544740847553,2
KC_OL_hevn_4,7,667.574568079255,2
KC_OL_hm_1,7,0.0437376441155374,0
KC_OL_hm_2,1,0.437376441155374,0
KC_OL_hm_3,1,4.37376441155374,0
KC_OL_hm_4,1,43.7376441155374,1
KC_OL_hm_5,1,218.688220577687,2
KC_OL_hm_6,1,437.376441155374,2
KC_OL_hvn_1,1,0.0437376441155374,0
KC_OL_hvn_2,1,0.437376441155374,1
KC_OL_hvn_3,1,4.37376441155374,0
KC_OL_hvn_4,1,43.7376441155374,1
KC_OL_hvn_5,1,87.4752882310747,1
KC_OL_hvn_6,1,218.688220577687,2
KC_OL_hvn_7,1,437.376441155374,2
KC_OL_lm_1,10,47917018.9976887,7
KC_OL_lm_2,10,67647556.2320311,7
KC_OL_lm_3,10,107108630.700716,8
KC_OL_lm_4,10,129657816.111393,8
KC_OL_lm_5,10,188849427.81442,8
KC_OL_lm_6,10,293139410.338801,8
KC_OL_lm_7,10,422797226.450194,8
KC_OL_lm_8,10,659563673.262303,8
KC_OL_lm_9,10,862506341.958397,8
KC_OL_lm_10,10,1691188905.80078,9
KC_OL_lm_11,10,2643891989.40188,9
KC_OL_lm_12,10,10569930661.2549,10
KC_OL_lvn_1,10,47917018.9976887,7
KC_OL_lvn_2,10,67647556.2320311,7
KC_OL_lvn_3,10,107108630.700716,8
KC_OL_lvn_4,10,129657816.111393,8
KC_OL_lvn_5,10,188849427.81442,8
KC_OL_lvn_6,10,293139410.338801,8
KC_OL_lvn_7,10,422797226.450194,8
KC_OL_lvn_8,10,659563673.262303,8
KC_OL_lvn_9,10,862506341.958397,8
KC_OL_lvn_10,10,1691188905.80078,9
KC_OL_lvn_11,10,2643891989.40188,9
KC_OL_lvn_12,10,10569930661.2549,10
OWN_OLV_1,10,845594452.900389,8
EK_OL_1,10,676475562.320311,8
EK_OL_5,10,3382377811.60156,9
EK_OL_10,10,6764755623.20311,9
SS_OL_1,10,338237781.160156,8
SS_OL_2,10,676475562.320311,8
SS_OL_3,10,3382377811.60156,9
TJ_OL_1,10,1409324088.16731,9
TJ_OL_2,10,2818648176.33463,9
TJ_OL_3,10,4227972264.50194,9
MY_OL_15,10,338237781.160156,8
MY_OL_30,10,676475562.320311,8
HMK_OL_1,10,54118044.9856249,7
HMK_OL_2,10,108236089.97125,8
HMK_OL_3,10,216472179.9425,8
HMK_OL_4,10,324708269.913749,8
HMK_OL_5,10,432944359.884999,8
HMK_OL_6,10,649416539.827499,8
HMK_OL_7,10,865888719.769998,8
HMK_OL_8,10,1082360899.7125,9
AF_OL_001_1,10,597271548.565308,8
AF_OL_010_1,10,597271548.565308,8
AF_OL_100_1,10,597271548.565308,8
YY_OL_1,10,287502113.986132,8
YY_OL_2,10,575004227.972264,8
YY_OL_3,10,862506341.958397,8
YY_OL_4,10,1150008455.94453,9
YY_OL_5,10,1437510569.93066,9
YY_OL_6,10,1437510569.93066,9
YY_OL_7,10,3593776424.82665,9
