AF_OL_010_0,
W,R
0.253532674,0.060506527
0.256541698,0.060590908
0.258539704,0.060715507
0.261043219,0.060819998
0.263043629,0.060924094
0.265300396,0.060987379
0.268297406,0.061174279
0.270549368,0.061278572
0.272547375,0.061403172
0.273793125,0.061506676
0.276023463,0.061795503
0.277755499,0.062042928
0.278500547,0.062125534
0.279981031,0.062372762
0.281207559,0.062640297
0.282443699,0.062825816
0.283176732,0.063010941
0.283914572,0.063155059
0.285143503,0.06340209
0.285874134,0.063607719
0.286861123,0.063772537
0.287340201,0.063977969
0.288573938,0.064183992
0.28931418,0.064307606
0.290291558,0.06455444
0.290770636,0.064759872
0.291249714,0.064965304
0.291491656,0.065047516
0.291721583,0.065232247
0.292203064,0.065417175
0.292682142,0.065622606
0.292924084,0.065704819
0.293144401,0.065971564
0.293618673,0.066218004
0.29433729,0.066526151
0.295067921,0.06673178
0.295297849,0.066916511
0.296033285,0.067081133
0.296514766,0.067266061
0.296495544,0.067430091
0.297482533,0.067594909
0.29846712,0.067780232
0.298941392,0.068026671
0.299161709,0.068293417
0.299137681,0.068498454
0.2993604,0.068744696
0.299592731,0.068908924
0.300562901,0.069217268
0.301794235,0.069443795
0.302268507,0.069690235
0.302747585,0.069895666
0.303724963,0.0701425
0.303959697,0.070286223
0.304192027,0.070450451
0.304656689,0.070778905
0.305133364,0.07100484
0.306618653,0.071211061
0.306072297,0.071579734
0.306053075,0.071743764
0.307025648,0.072031605
0.307253173,0.07223684
0.30772264,0.072524286
0.307942956,0.072791032
0.308668782,0.073037669
0.309387399,0.073345816
0.310113224,0.073592453
0.310582691,0.0738799
0.310803008,0.074146646
0.311282086,0.074352077
0.311507208,0.074577816
0.311502402,0.074618823
0.311727525,0.074844562
0.312441336,0.075193717
0.312412503,0.075439762
0.312386072,0.075665303
0.313097481,0.076034962
0.313066244,0.076301511
0.313042217,0.076506548
0.313022994,0.076670578
0.313741611,0.076978726
0.313971539,0.077163457
0.314704573,0.077348582
0.314934501,0.077533313
0.315665132,0.077738942
0.316144209,0.077944374
0.316630496,0.078088294
0.316862826,0.078252521
0.317840205,0.078499355
0.318321685,0.078684283
0.31928705,0.079033635
0.320027292,0.079157249
0.320496759,0.079444696
0.320221178,0.079649536
0.320954211,0.079834661
0.321186542,0.079998889
0.321169723,0.080142415
0.321643995,0.080388854
0.322125476,0.080573782
0.322096642,0.080819827
0.322822468,0.081066464
0.323315962,0.081148873
0.32354589,0.081333604
0.324027371,0.081518532
0.324020163,0.081580043
0.325498244,0.081847775
0.325462202,0.082155331
0.325433369,0.082401376
0.325912447,0.082606808
0.326379511,0.082914758
0.326858589,0.08312019
0.327340069,0.083305118
0.327313639,0.083530659
0.327294417,0.083694689
0.328274198,0.083921019
0.328755678,0.084105947
0.328734053,0.084290481
0.329704223,0.084598826
0.330176093,0.084865769
0.330154468,0.085050302
0.330391604,0.085173522
0.32986447,0.085378165
0.331093401,0.085625196
0.331069374,0.085830233
0.331558063,0.08595365
0.332288693,0.086159279
0.332767771,0.086364711
0.333749955,0.086570537
0.334720125,0.086878882
0.335699906,0.087105212
0.336169373,0.087392659
0.33614054,0.087638704
0.336614812,0.087885143
0.336832726,0.088172392
0.336808698,0.08837743
0.337031418,0.088623672
0.337766854,0.088788294
0.337232512,0.089054448
0.33669817,0.089320602
0.337675548,0.089567436
0.337656326,0.089731466
0.337639506,0.089874992
0.338111376,0.090141935
0.338600065,0.090265352
0.338576037,0.09047039
0.33855201,0.090675427
0.339026282,0.090921866
0.338753104,0.091106203
0.338971018,0.091393452
0.338944587,0.091618994
0.338915754,0.091865039
0.338886921,0.092111084
0.339849882,0.09248094
0.339828257,0.092665474
0.340307335,0.092870905
0.341795027,0.093056622
0.342777211,0.093262448
0.343261095,0.093426872
0.343479009,0.093714122
0.343198622,0.09395997
0.344176,0.094206803
0.344144764,0.094473352
0.344616634,0.094740295
0.344851367,0.094884019
0.34507649,0.095109757
0.346305421,0.095356788
0.346530543,0.095582526
0.347263577,0.095767651
0.347491102,0.095972886
0.34772103,0.096157617
0.347948555,0.096362851
0.348420424,0.096629794
0.348650352,0.096814525
0.349112611,0.097163483
0.34983363,0.097451127
0.350569067,0.097615749
0.350811009,0.097697961
0.351294892,0.097862385
0.35152482,0.098047116
0.352257854,0.098232241
0.353719115,0.098643499
0.353237635,0.098458571
0.35394664,0.098848734
0.353915404,0.099115282
0.354128513,0.09944354
0.354597979,0.099730986
0.354571549,0.099956528
0.354286357,0.100243383
0.355009779,0.100510523
0.35499296,0.100654049
0.355970338,0.100900883
0.356197863,0.101106118
0.356681747,0.101270542
0.357654319,0.101558383
0.358375339,0.101846027
0.359855823,0.102093255
0.360830799,0.102360592
0.361307474,0.102586528
0.362047716,0.102710142
0.363025094,0.102956975
0.363997667,0.103244816
0.363968833,0.103490861
0.364694659,0.103737498
0.364926989,0.103901725
0.365660023,0.10408685
0.366151115,0.104189763
0.366637401,0.104333684
0.367617182,0.104560013
0.36935883,0.104725424
0.369837908,0.104930855
0.370822495,0.105116178
0.37154832,0.105362814
0.372530504,0.10556864
0.373253926,0.10583578
0.37397014,0.106164432
0.375199071,0.106411463
0.376181255,0.106617289
0.378416398,0.106865108
0.379137418,0.107152752
0.380380766,0.10727676
0.381863652,0.107503484
0.383586078,0.107832924
0.385318115,0.108080349
0.386554254,0.108265869
0.387289691,0.10843049
0.388523428,0.108636514
0.38976197,0.108801529
0.390241048,0.109006961
0.391225634,0.109192283
0.391963474,0.109336401
0.39269891,0.109501023
0.393434346,0.109665644
0.39416738,0.109850769
0.394910025,0.109953879
0.395643059,0.110139005
0.396378495,0.110303626
0.397614634,0.110489146
0.398601624,0.110653964
0.399842569,0.110798476
0.401083514,0.110942988
0.402065698,0.111148814
0.403309045,0.111272822
0.40454999,0.111417334
0.406289236,0.111603248
0.407779331,0.111768461
0.408768723,0.111912776
0.410014473,0.11201628
0.411492555,0.112284012
0.413485756,0.112449619
