EK-OL_10,
W,R
0.254865258,0.042326728
0.263372805,0.043859767
0.272155875,0.046160836
0.279706002,0.047967052
0.283789302,0.048652344
0.289446492,0.050233986
0.2960392,0.052757398
0.302164149,0.056176046
0.307785025,0.057753089
0.311351572,0.060962487
0.318497346,0.063698632
0.324027725,0.067559468
0.329726419,0.06985231
0.336872193,0.074637635
0.341318342,0.078947279
0.347080441,0.083522995
0.35320539,0.087624702
0.358945789,0.089850362
0.362392813,0.093777264
0.363413638,0.099242303
0.370183669,0.10138512
0.373621887,0.104712362
0.381788485,0.109498245
0.386056301,0.112750091
0.389955084,0.117016369
0.396080033,0.121118077
0.401180553,0.125083077
0.405267456,0.129319818
0.412052683,0.135218675
0.416496529,0.140254916
0.419559004,0.14435495
0.423894136,0.14711278
0.428746427,0.151873632
0.433850551,0.155291722
0.439508087,0.157113235
0.443037975,0.160761223
0.449162924,0.166229051
0.456342552,0.170020162
0.461412822,0.175115526
0.465496121,0.179899178
0.470631197,0.181812047
0.47366272,0.185368122
0.480808493,0.190836507
0.4868477,0.194109221
0.494079216,0.19767436
0.50136372,0.203097136
0.505308289,0.208609458
0.508370764,0.212709492
0.513740856,0.215894444
0.518579012,0.220911792
0.528855031,0.223669705
0.534912209,0.227751318
0.541037158,0.231169966
0.547596609,0.235087729
0.549203757,0.24005421
0.553287056,0.244154802
0.559546884,0.245379468
0.567578604,0.248944032
0.571661903,0.251678504
0.57709948,0.255727593
0.582890976,0.259198301
0.5879951,0.262616391
0.594390096,0.26505965
0.602286648,0.267405621
0.610333392,0.271570284
0.613515721,0.275608479
0.621682319,0.276979061
0.62897133,0.279516637
0.636994692,0.28381803
0.645925116,0.287441581
0.651286239,0.292705621
0.654348714,0.296122595
0.663552563,0.297607051
0.671702736,0.299547379
0.68084318,0.304835545
0.690077583,0.306388021
0.697460136,0.310007916
0.701306656,0.313907818
0.70845243,0.313911723
0.715424414,0.315372256
0.722743977,0.318700953
0.73271503,0.318632666
0.740097999,0.322125737
0.750005647,0.321606225
0.760514496,0.321453833
0.767296264,0.321615674
0.777868518,0.320780256
0.784586881,0.324732658
0.792160065,0.326252546
0.801877497,0.323929366
0.812576562,0.324897583
0.819168114,0.325325254
0.826868109,0.326271513
0.836458731,0.325430319
0.845242956,0.326281554
0.853075687,0.329062581
0.857492854,0.334484969
0.864638628,0.333122753
0.871039964,0.332716069
0.880971825,0.333131679
0.888330581,0.335354971
0.898325847,0.335873402
0.905621198,0.336416201
0.915679869,0.336565945
0.922911815,0.33642565
0.933033891,0.335892368
