KC_OL_arm_1,
W,R
0.50012,0.45412
0.50031,0.4468
0.5005,0.44301
0.5007,0.43171
0.50089,0.4311
0.50108,0.43966
0.50128,0.43794
0.50147,0.43442
0.50166,0.43149
0.50186,0.43603
0.50205,0.4546
0.50225,0.46581
0.50244,0.47324
0.50264,0.4775
0.50283,0.47757
0.50303,0.47754
0.50322,0.46693
0.50342,0.4597
0.50361,0.46078
0.50381,0.46381
0.50401,0.46096
0.5042,0.45725
0.5044,0.46626
0.50459,0.46867
0.50479,0.46214
0.50499,0.45479
0.50518,0.4532
0.50538,0.46427
0.50558,0.46559
0.50577,0.45927
0.50597,0.45648
0.50617,0.45595
0.50637,0.45487
0.50657,0.44646
0.50676,0.44389
0.50696,0.44585
0.50716,0.44958
0.50736,0.45882
0.50756,0.4594
0.50776,0.455
0.50795,0.45289
0.50815,0.45597
0.50835,0.46774
0.50855,0.47529
0.50875,0.46229
0.50895,0.44485
0.50915,0.44978
0.50935,0.46127
0.50955,0.45686
0.50975,0.44757
0.50995,0.44754
0.51015,0.45532
0.51035,0.46079
0.51056,0.46603
0.51076,0.46181
0.51096,0.44897
0.51116,0.45249
0.51136,0.46283
0.51156,0.46442
0.51177,0.46306
0.51197,0.46094
0.51217,0.46521
0.51237,0.47302
0.51257,0.47506
0.51278,0.4723
0.51298,0.47161
0.51318,0.47492
0.51339,0.47274
0.51359,0.46529
0.51379,0.46599
0.514,0.47245
0.5142,0.4723
0.51441,0.47019
0.51461,0.46838
0.51481,0.46149
0.51502,0.46251
0.51522,0.46765
0.51543,0.46332
0.51563,0.47146
0.51584,0.48524
0.51604,0.48115
0.51625,0.47953
0.51645,0.48236
0.51666,0.48314
0.51687,0.48127
0.51707,0.47532
0.51728,0.48502
0.51749,0.49681
0.51769,0.49144
0.5179,0.48353
0.51811,0.48132
0.51831,0.48346
0.51852,0.48199
0.51873,0.47298
0.51894,0.46328
0.51914,0.46553
0.51935,0.47766
0.51956,0.47881
0.51977,0.46848
0.51998,0.46159
0.52018,0.46278
0.52039,0.47425
0.5206,0.48881
0.52081,0.48879
0.52102,0.48212
0.52123,0.48055
0.52144,0.47362
0.52165,0.46819
0.52186,0.46898
0.52207,0.47121
0.52228,0.48019
0.52249,0.48824
0.5227,0.49016
0.52291,0.49203
0.52312,0.49056
0.52333,0.48657
0.52355,0.48788
0.52376,0.49006
0.52397,0.48783
0.52418,0.48487
0.52439,0.48422
0.52461,0.48449
0.52482,0.47886
0.52503,0.47417
0.52524,0.48032
0.52546,0.48735
0.52567,0.48889
0.52588,0.48597
0.5261,0.48185
0.52631,0.48485
0.52652,0.49145
0.52674,0.49215
0.52695,0.48389
0.52717,0.47506
0.52738,0.4766
0.5276,0.48208
0.52781,0.48447
0.52802,0.48236
0.52824,0.47875
0.52846,0.48251
0.52867,0.48645
0.52889,0.48491
0.5291,0.48153
0.52932,0.48035
0.52953,0.48696
0.52975,0.49193
0.52997,0.4887
0.53018,0.48749
0.5304,0.49215
0.53062,0.49571
0.53084,0.4935
0.53105,0.48977
0.53127,0.48492
0.53149,0.48017
0.53171,0.48053
0.53192,0.48711
0.53214,0.49474
0.53236,0.49063
0.53258,0.48221
0.5328,0.48282
0.53302,0.48315
0.53324,0.48203
0.53346,0.48704
0.53368,0.49413
0.5339,0.49763
0.53412,0.49417
0.53434,0.48567
0.53456,0.48323
0.53478,0.48796
0.535,0.49148
0.53522,0.49451
0.53544,0.49575
0.53566,0.49214
0.53588,0.48971
0.5361,0.49107
0.53633,0.49152
0.53655,0.4907
0.53677,0.49157
0.53699,0.49395
