KC-Ol-arvn_1,
W,R
0.54088,0.77381
0.54133,0.77374
0.54179,0.77479
0.54224,0.77484
0.54269,0.77529
0.54314,0.77562
0.54359,0.7752
0.54404,0.77569
0.54449,0.77591
0.54494,0.77598
0.54539,0.77732
0.54584,0.77689
0.54629,0.7766
0.54675,0.77708
0.5472,0.77736
0.54765,0.77687
0.5481,0.77766
0.54855,0.77752
0.549,0.77817
0.54945,0.77745
0.5499,0.77716
0.55035,0.77758
0.5508,0.77725
0.55125,0.77698
0.5517,0.77831
0.55215,0.77856
0.5526,0.77828
0.55305,0.77872
0.5535,0.7793
0.55395,0.77954
0.5544,0.77922
0.55485,0.77983
0.5553,0.78037
0.55575,0.77995
0.5562,0.78032
0.55665,0.78004
0.5571,0.78016
0.55755,0.78063
0.558,0.78081
0.55845,0.78112
0.5589,0.78094
0.55935,0.78076
0.5598,0.78092
0.56025,0.78083
0.5607,0.78088
0.56115,0.78114
0.5616,0.78149
0.56205,0.78205
0.5625,0.78167
0.56295,0.78203
0.5634,0.78319
0.56385,0.78313
0.5643,0.78249
0.56475,0.78252
0.5652,0.78239
0.56565,0.78214
0.5661,0.78214
0.56655,0.78203
0.567,0.78256
0.56745,0.78296
0.56789,0.78335
0.56834,0.78305
0.56879,0.78311
0.56924,0.78279
0.56969,0.783
0.57014,0.78262
0.57059,0.78253
0.57104,0.78216
0.57149,0.78227
0.57194,0.78222
0.57239,0.78232
0.57284,0.78165
0.57328,0.78183
0.57373,0.78111
0.57418,0.78125
0.57463,0.78184
0.57508,0.78213
0.57553,0.78238
0.57598,0.7815
0.57643,0.7824
0.57688,0.78205
0.57732,0.78189
0.57777,0.78146
0.57822,0.78178
0.57867,0.78105
0.57912,0.78122
0.57957,0.78105
0.58002,0.7811
0.58046,0.78057
0.58091,0.78081
0.58136,0.78014
0.58181,0.78009
0.58226,0.77987
0.58271,0.78016
0.58316,0.78005
0.5836,0.78005
0.58405,0.78016
0.5845,0.77956
0.58495,0.7793
0.5854,0.77876
0.58584,0.77903
0.58629,0.77817
0.58674,0.77774
0.58719,0.77787
0.58764,0.7774
0.58809,0.77765
0.58853,0.77867
0.58898,0.77774
0.58943,0.77866
0.58988,0.77912
0.59032,0.77903
0.59077,0.77934
0.59122,0.7795
0.59167,0.77882
0.59212,0.77887
0.59256,0.77907
0.59301,0.77851
0.59346,0.77871
0.59391,0.77846
0.59435,0.77841
0.5948,0.77816
0.59525,0.77799
0.5957,0.77748
0.59615,0.77794
0.59659,0.77728
0.59704,0.77786
0.59749,0.77726
0.59793,0.77729
0.59838,0.77687
0.59883,0.77657
0.59928,0.77703
0.59972,0.7768
0.60017,0.77658
0.60062,0.77698
0.60107,0.77688
0.60151,0.77601
0.60196,0.77611
0.60241,0.77597
0.60285,0.77552
0.6033,0.77547
0.60375,0.77541
0.6042,0.77493
0.60464,0.77455
0.60509,0.77375
0.60554,0.7732
0.60598,0.77298
0.60643,0.77278
0.60688,0.77263
0.60732,0.77244
0.60777,0.77253
0.60822,0.77277
0.60866,0.77293
0.60911,0.77265
0.60956,0.77265
0.61,0.7728
0.61045,0.77268
0.6109,0.77192
0.61134,0.77241
0.61179,0.77222
0.61224,0.77246
0.61268,0.77218
0.61313,0.77146
0.61358,0.77123
0.61402,0.77119
0.61447,0.7711
0.61492,0.77072
0.61536,0.76991
0.61581,0.76958
0.61625,0.76884
0.6167,0.76909
0.61715,0.76852
0.61759,0.7678
0.61804,0.76754
0.61848,0.7671
0.61893,0.76706
0.61938,0.76683
0.61982,0.76621
0.62027,0.76699
0.62071,0.76702
0.62116,0.76718
0.62161,0.7667
0.62205,0.7662
0.6225,0.76577
0.62294,0.76531
0.62339,0.76487
0.62384,0.76443
0.62428,0.76405
0.62473,0.76369
0.62517,0.76333
0.62562,0.76308
0.62606,0.76321
0.62651,0.76226
0.62696,0.76206
0.6274,0.76201
0.62785,0.76193
0.62829,0.76141
0.62874,0.76115
0.62918,0.76186
0.62963,0.76159
0.63007,0.76065
0.63052,0.76039
0.63096,0.76055
0.63141,0.76067
0.63185,0.76049
0.6323,0.76098
0.63274,0.76092
0.63319,0.76101
0.63364,0.76108
0.63408,0.76125
0.63453,0.76055
0.63497,0.76027
0.63542,0.76007
0.63586,0.75986
0.63631,0.75968
0.63675,0.76018
0.6372,0.76013
0.63764,0.76042
0.63809,0.76121
0.63853,0.76132
0.63897,0.76149
0.63942,0.76149
0.63986,0.76148
0.64031,0.76171
0.64075,0.76195
0.6412,0.76158
0.64164,0.7619
0.64209,0.76201
0.64253,0.76229
0.64298,0.76228
0.64342,0.76217
0.64387,0.76175
0.64431,0.76196
0.64475,0.76175
0.6452,0.76153
0.64564,0.76204
0.64609,0.76211
0.64653,0.76256
0.64698,0.76252
0.64742,0.7623
0.64786,0.76235
0.64831,0.76245
0.64875,0.76237
0.6492,0.76201
0.64964,0.76172
0.65009,0.76218
0.65053,0.76208
0.65097,0.76247
0.65142,0.76293
0.65186,0.76304
0.65231,0.76373
0.65275,0.76411
0.65319,0.76491
0.65364,0.76516
0.65408,0.76436
0.65452,0.76473
0.65497,0.76452
0.65541,0.76423
0.65586,0.7639
0.6563,0.76316
0.65674,0.7629
0.65719,0.76278
0.65763,0.76295
0.65807,0.76251
0.65852,0.76275
0.65896,0.76341
0.6594,0.76316
0.65985,0.76361
0.66029,0.76318
0.66073,0.7637
0.66118,0.7638
0.66162,0.7641
0.66207,0.76431
0.66251,0.7644
0.66295,0.76427
0.66339,0.76461
0.66384,0.76441
0.66428,0.76492
0.66472,0.7652
0.66517,0.76506
0.66561,0.76475
0.66605,0.76448
0.6665,0.76397
0.66694,0.76346
0.66738,0.76294
0.66783,0.7627
0.66827,0.76235
0.66871,0.76207
0.66915,0.76256
0.6696,0.76314
0.67004,0.76319
0.67048,0.76358
0.67093,0.76368
0.67137,0.76366
0.67181,0.76394
0.67225,0.76414
0.6727,0.76408
0.67314,0.76393
0.67358,0.76356
0.67402,0.76297
0.67447,0.76322
0.67491,0.76271
0.67535,0.76232
0.67579,0.76237
0.67624,0.76223
0.67668,0.76174
0.67712,0.76197
0.67756,0.76207
0.67801,0.76246
0.67845,0.76281
0.67889,0.76308
0.67933,0.76262
0.67978,0.76267
0.68022,0.76237
0.68066,0.76171
0.6811,0.76084
0.68154,0.76044
0.68199,0.75963
0.68243,0.75924
