KC-Ol-hem_1,
W,R
0.50012,0.59373
0.50031,0.57647
0.5005,0.57225
0.5007,0.58483
0.50089,0.58615
0.50108,0.57533
0.50128,0.57291
0.50147,0.57708
0.50166,0.5828
0.50186,0.59351
0.50205,0.60473
0.50225,0.60108
0.50244,0.59111
0.50264,0.5949
0.50283,0.61162
0.50303,0.61677
0.50322,0.59536
0.50342,0.57926
0.50361,0.58314
0.50381,0.58398
0.50401,0.57803
0.5042,0.57804
0.5044,0.58383
0.50459,0.58735
0.50479,0.59363
0.50499,0.59578
0.50518,0.58869
0.50538,0.59516
0.50558,0.60924
0.50577,0.60742
0.50597,0.59502
0.50617,0.59026
0.50637,0.59948
0.50657,0.60624
0.50676,0.59673
0.50696,0.58833
0.50716,0.59468
0.50736,0.59616
0.50756,0.58103
0.50776,0.56906
0.50795,0.5756
0.50815,0.58295
0.50835,0.58655
0.50855,0.59689
0.50875,0.5989
0.50895,0.59077
0.50915,0.59379
0.50935,0.60491
0.50955,0.60026
0.50975,0.59243
0.50995,0.59978
0.51015,0.60698
0.51035,0.60678
0.51056,0.5984
0.51076,0.59135
0.51096,0.59771
0.51116,0.60605
0.51136,0.60202
0.51156,0.59156
0.51177,0.59545
0.51197,0.60033
0.51217,0.59688
0.51237,0.59785
0.51257,0.59396
0.51278,0.58892
0.51298,0.58791
0.51318,0.58915
0.51339,0.59226
0.51359,0.59482
0.51379,0.60394
0.514,0.60954
0.5142,0.60633
0.51441,0.60973
0.51461,0.61712
0.51481,0.61686
0.51502,0.6106
0.51522,0.60096
0.51543,0.59091
0.51563,0.59402
0.51584,0.60706
0.51604,0.61247
0.51625,0.60831
0.51645,0.60474
0.51666,0.60886
0.51687,0.61394
0.51707,0.6153
0.51728,0.61834
0.51749,0.62133
0.51769,0.61922
0.5179,0.62109
0.51811,0.62595
0.51831,0.62209
0.51852,0.61303
0.51873,0.59752
0.51894,0.58827
0.51914,0.59763
0.51935,0.61074
0.51956,0.61779
0.51977,0.61339
0.51998,0.60989
0.52018,0.61954
0.52039,0.63076
0.5206,0.63547
0.52081,0.63271
0.52102,0.62564
0.52123,0.61262
0.52144,0.60322
0.52165,0.60403
0.52186,0.60128
0.52207,0.60133
0.52228,0.60843
0.52249,0.60973
0.5227,0.61207
0.52291,0.62627
0.52312,0.63058
0.52333,0.61981
0.52355,0.62231
0.52376,0.6263
0.52397,0.61594
0.52418,0.6044
0.52439,0.59973
0.52461,0.60724
0.52482,0.61547
0.52503,0.61383
0.52524,0.6107
0.52546,0.61666
0.52567,0.62886
0.52588,0.62939
0.5261,0.6217
0.52631,0.6223
0.52652,0.62868
0.52674,0.6315
0.52695,0.63189
0.52717,0.62871
0.52738,0.62129
0.5276,0.62383
0.52781,0.62615
0.52802,0.61922
0.52824,0.62461
0.52846,0.62972
0.52867,0.62404
0.52889,0.62481
0.5291,0.62689
0.52932,0.62813
0.52953,0.63127
0.52975,0.63416
0.52997,0.63384
0.53018,0.62499
0.5304,0.61963
0.53062,0.62427
0.53084,0.62737
0.53105,0.62412
0.53127,0.62041
0.53149,0.62259
0.53171,0.62721
0.53192,0.62912
0.53214,0.63105
0.53236,0.6327
0.53258,0.63071
0.5328,0.62614
0.53302,0.62319
0.53324,0.62279
0.53346,0.6194
0.53368,0.6192
0.5339,0.62686
0.53412,0.63045
0.53434,0.62913
0.53456,0.62498
0.53478,0.62484
0.535,0.63228
0.53522,0.63652
0.53544,0.63979
0.53566,0.63683
0.53588,0.63111
0.5361,0.63402
0.53633,0.63372
0.53655,0.63183
0.53677,0.63074
0.53699,0.63152
0.53722,0.63983
0.53744,0.6412
0.53766,0.63255
0.53788,0.62749
0.53811,0.62841
0.53833,0.63144
0.53855,0.63678
0.53878,0.63852
0.539,0.63812
0.53923,0.6461
0.53945,0.64999
0.53968,0.64636
0.5399,0.64748
0.54013,0.64818
0.54035,0.64618
0.54058,0.64604
0.5408,0.64374
0.54103,0.63794
0.54125,0.63835
0.54148,0.64331
0.54171,0.64281
0.54193,0.6408
0.54216,0.645
0.54239,0.65098
0.54261,0.64945
0.54284,0.64362
0.54307,0.64109
0.54329,0.64366
0.54352,0.64789
0.54375,0.64793
0.54398,0.64522
0.54421,0.6442
0.54444,0.64716
0.54466,0.65049
0.54489,0.65127
0.54512,0.64748
0.54535,0.64362
0.54558,0.64892
0.54581,0.65294
0.54604,0.652
0.54627,0.65349
0.5465,0.6546
0.54673,0.65114
0.54696,0.64374
0.54719,0.64169
0.54742,0.64298
0.54766,0.64514
0.54789,0.64956
0.54812,0.64815
0.54835,0.64871
0.54858,0.65277
0.54881,0.64968
0.54905,0.64802
0.54928,0.65397
0.54951,0.65937
0.54975,0.66208
0.54998,0.66333
0.55021,0.65889
0.55045,0.65327
0.55068,0.65367
0.55091,0.6592
0.55115,0.66573
0.55138,0.66611
0.55162,0.65853
0.55185,0.65088
0.55209,0.6523
0.55232,0.65819
0.55256,0.65807
0.55279,0.65447
0.55303,0.65213
0.55327,0.65042
0.5535,0.64841
0.55374,0.64989
0.55397,0.65557
0.55421,0.65853
0.55445,0.65716
0.55469,0.65645
0.55492,0.66051
0.55516,0.66398
0.5554,0.66183
0.55564,0.65991
0.55588,0.66223
0.55611,0.66495
0.55635,0.66431
0.55659,0.66329
0.55683,0.66036
0.55707,0.65731
0.55731,0.65919
0.55755,0.65885
0.55779,0.65394
0.55803,0.65185
0.55827,0.65435
0.55851,0.65474
0.55875,0.65574
0.55899,0.65957
0.55923,0.65894
0.55947,0.65838
0.55972,0.65915
0.55996,0.65991
0.5602,0.65983
0.56044,0.65745
0.56068,0.65905
0.56093,0.66369
0.56117,0.66627
0.56141,0.66454
0.56166,0.66343
0.5619,0.66366
0.56214,0.66355
0.56239,0.66628
0.56263,0.66757
0.56287,0.66975
0.56312,0.66906
0.56336,0.66428
0.56361,0.6655
0.56385,0.66567
0.5641,0.66227
0.56435,0.66168
0.56459,0.66083
0.56484,0.65782
0.56508,0.65633
0.56533,0.65627
0.56558,0.65439
0.56582,0.65217
0.56607,0.65444
0.56632,0.65994
0.56657,0.66276
0.56681,0.66378
0.56706,0.66458
0.56731,0.66559
0.56756,0.66656
0.56781,0.66537
0.56805,0.66481
0.5683,0.66825
0.56855,0.67054
0.5688,0.66682
0.56905,0.66626
0.5693,0.67041
0.56955,0.67097
0.5698,0.66633
0.57005,0.66216
0.5703,0.66313
0.57056,0.66398
0.57081,0.66446
0.57106,0.66486
0.57131,0.66715
0.57156,0.67095
0.57181,0.66917
0.57207,0.66636
0.57232,0.66297
0.57257,0.66061
0.57282,0.66344
0.57308,0.6674
0.57333,0.66702
0.57358,0.66696
0.57384,0.67125
0.57409,0.67004
0.57435,0.66869
0.5746,0.67059
0.57486,0.67121
0.57511,0.67208
0.57537,0.67195
0.57562,0.673
0.57588,0.67278
0.57613,0.67055
0.57639,0.66863
0.57665,0.67138
0.5769,0.67573
0.57716,0.67486
0.57742,0.67302
0.57767,0.66792
0.57793,0.66306
0.57819,0.66303
0.57845,0.66533
0.57871,0.66646
0.57896,0.66539
0.57922,0.66756
0.57948,0.66991
0.57974,0.67159
0.58,0.67326
0.58026,0.67229
0.58052,0.66942
0.58078,0.66798
0.58104,0.66983
0.5813,0.67206
0.58156,0.67368
0.58182,0.67154
0.58208,0.66922
0.58235,0.67027
0.58261,0.67092
0.58287,0.67023
0.58313,0.6673
0.58339,0.66773
0.58366,0.67209
0.58392,0.67285
0.58418,0.67013
0.58445,0.67068
0.58471,0.67484
0.58497,0.67774
0.58524,0.67848
0.5855,0.67686
0.58577,0.67483
0.58603,0.67137
0.5863,0.67063
0.58656,0.67383
0.58683,0.67259
0.58709,0.67097
0.58736,0.67059
0.58763,0.66996
0.58789,0.67117
0.58816,0.67225
0.58843,0.67219
0.58869,0.67303
0.58896,0.67779
0.58923,0.68006
0.5895,0.67678
0.58976,0.67315
0.59003,0.67116
0.5903,0.6717
0.59057,0.67205
0.59084,0.67371
0.59111,0.67681
0.59138,0.6766
0.59165,0.67537
0.59192,0.67491
0.59219,0.67509
0.59246,0.67484
0.59273,0.67384
0.593,0.6735
0.59327,0.67252
0.59354,0.67324
0.59382,0.67555
0.59409,0.67739
0.59436,0.67939
0.59463,0.6793
0.59491,0.67831
0.59518,0.67665
0.59545,0.67431
0.59573,0.6738
0.596,0.67372
0.59627,0.67438
0.59655,0.6751
0.59682,0.67569
0.5971,0.67625
0.59737,0.67563
0.59765,0.67653
0.59792,0.67759
0.5982,0.67806
0.59848,0.67705
0.59875,0.67482
0.59903,0.67678
0.59931,0.68011
0.59958,0.68029
0.59986,0.67611
0.60014,0.67321
0.60042,0.67698
0.6007,0.68169
0.60097,0.68263
0.60125,0.67996
0.60153,0.67903
0.60181,0.67836
0.60209,0.67738
0.60237,0.67992
0.60265,0.68134
0.60293,0.68176
0.60321,0.68061
0.60349,0.67896
0.60377,0.67822
0.60405,0.67818
0.60434,0.67966
0.60462,0.67979
0.6049,0.67998
0.60518,0.67954
0.60547,0.68063
0.60575,0.68103
0.60603,0.68005
0.60631,0.67923
0.6066,0.67648
0.60688,0.6775
0.60717,0.67756
0.60745,0.67795
0.60774,0.67816
0.60802,0.67845
0.60831,0.68024
0.60859,0.67745
0.60888,0.67905
0.60916,0.67925
0.60945,0.67906
0.60974,0.68042
0.61002,0.67901
0.61031,0.67889
0.6106,0.67756
0.61089,0.67915
0.61117,0.67782
0.61146,0.67844
0.61175,0.68008
0.61204,0.67891
0.61233,0.67955
0.61262,0.67828
0.61291,0.68079
0.6132,0.6795
0.61349,0.67978
0.61378,0.67982
0.61407,0.67676
0.61436,0.67725
0.61465,0.67618
0.61494,0.67926
0.61524,0.67766
0.61553,0.678
0.61582,0.67889
0.61611,0.67851
0.61641,0.6812
0.6167,0.67814
0.61699,0.67867
0.61729,0.67623
0.61758,0.67737
0.61787,0.67797
0.61817,0.67714
0.61846,0.68043
0.61876,0.67775
0.61905,0.67876
0.61935,0.67697
0.61965,0.68014
0.61994,0.68175
0.62024,0.68012
0.62054,0.68217
0.62083,0.67999
0.62113,0.68338
0.62143,0.68132
0.62173,0.68249
0.62203,0.68139
0.62232,0.67857
0.62262,0.68123
0.62292,0.67895
0.62322,0.68047
0.62352,0.67527
0.62382,0.67514
0.62412,0.6763
0.62442,0.67738
0.62472,0.681
0.62502,0.67787
0.62533,0.68077
0.62563,0.67912
0.62593,0.68092
0.62623,0.67979
0.62654,0.67781
0.62684,0.68126
0.62714,0.67993
0.62744,0.68173
0.62775,0.67789
0.62805,0.67881
0.62836,0.67703
0.62866,0.67659
0.62897,0.68091
0.62927,0.6793
0.62958,0.68216
0.62988,0.67984
0.63019,0.68063
0.6305,0.68083
0.6308,0.68055
0.63111,0.68252
0.63142,0.68089
0.63173,0.68039
0.63203,0.68055
0.63234,0.67738
0.63327,0.70497
0.63358,0.65904
0.63389,0.67562
0.6342,0.67832
0.63451,0.68212
0.63482,0.68154
0.63513,0.68128
0.63544,0.68277
0.63575,0.67903
0.63607,0.68409
0.63638,0.68082
0.63669,0.68134
0.637,0.67876
0.63732,0.6801
0.63763,0.68184
0.63794,0.67817
0.63826,0.68176
0.63857,0.67961
0.63889,0.68161
0.6392,0.6794
0.63952,0.68137
0.63983,0.68491
0.64015,0.68337
0.64046,0.68491
0.64078,0.68128
0.6411,0.68471
0.64142,0.68335
0.64173,0.68413
0.64205,0.68506
0.64237,0.68287
0.64269,0.68576
0.64301,0.68346
0.64333,0.68598
0.64364,0.68364
0.64396,0.68356
0.64428,0.68519
0.64461,0.68448
0.64493,0.68622
0.64525,0.68372
0.64557,0.686
0.64589,0.6841
0.64621,0.68452
0.64653,0.68511
0.64686,0.6857
0.64718,0.68883
0.6475,0.6867
0.64783,0.68986
0.64815,0.68882
0.64847,0.68852
0.6488,0.68698
0.64912,0.68466
0.64945,0.68655
0.64978,0.68549
0.6501,0.68759
0.65043,0.68636
0.65075,0.68775
0.65108,0.68886
0.65141,0.6891
0.65173,0.6903
0.65206,0.6881
0.65239,0.69079
0.65272,0.69035
