KC-OL-hevn_3,
W,R
0.54088,0.68054
0.54133,0.6819
0.54179,0.68195
0.54224,0.68258
0.54269,0.68312
0.54314,0.68309
0.54359,0.68405
0.54404,0.68502
0.54449,0.68603
0.54494,0.68616
0.54539,0.68731
0.54584,0.68738
0.54629,0.68756
0.54675,0.68758
0.5472,0.68813
0.54765,0.68834
0.5481,0.68852
0.54855,0.68899
0.549,0.68916
0.54945,0.68977
0.5499,0.68971
0.55035,0.69
0.5508,0.69002
0.55125,0.69053
0.5517,0.6913
0.55215,0.69179
0.5526,0.69227
0.55305,0.69282
0.5535,0.69315
0.55395,0.69273
0.5544,0.69294
0.55485,0.69346
0.5553,0.69356
0.55575,0.69401
0.5562,0.69409
0.55665,0.69407
0.5571,0.69468
0.55755,0.69442
0.558,0.69481
0.55845,0.69518
0.5589,0.69503
0.55935,0.69568
0.5598,0.69548
0.56025,0.69647
0.5607,0.69636
0.56115,0.69626
0.5616,0.69698
0.56205,0.69686
0.5625,0.69671
0.56295,0.69693
0.5634,0.69629
0.56385,0.69698
0.5643,0.6972
0.56475,0.69711
0.5652,0.69692
0.56565,0.69739
0.5661,0.69816
0.56655,0.69781
0.567,0.69812
0.56745,0.69817
0.56789,0.69837
0.56834,0.69877
0.56879,0.69878
0.56924,0.69838
0.56969,0.69802
0.57014,0.69854
0.57059,0.69876
0.57104,0.69894
0.57149,0.69902
0.57194,0.69935
0.57239,0.69972
0.57284,0.70011
0.57328,0.7001
0.57373,0.69968
0.57418,0.70002
0.57463,0.7007
0.57508,0.70067
0.57553,0.70089
0.57598,0.70067
0.57643,0.70069
0.57688,0.70121
0.57732,0.70142
0.57777,0.70147
0.57822,0.7018
0.57867,0.70176
0.57912,0.70158
0.57957,0.70167
0.58002,0.70236
0.58046,0.70218
0.58091,0.70306
0.58136,0.70301
0.58181,0.70329
0.58226,0.70397
0.58271,0.70372
0.58316,0.70335
0.5836,0.703
0.58405,0.70316
0.5845,0.70243
0.58495,0.70296
0.5854,0.70266
0.58584,0.70287
0.58629,0.70352
0.58674,0.70322
0.58719,0.70387
0.58764,0.70373
0.58809,0.7038
0.58853,0.70358
0.58898,0.70404
0.58943,0.70324
0.58988,0.70357
0.59032,0.70367
0.59077,0.70369
0.59122,0.70412
0.59167,0.70383
0.59212,0.70383
0.59256,0.70307
0.59301,0.70317
0.59346,0.70361
0.59391,0.70356
0.59435,0.70374
0.5948,0.70386
0.59525,0.70345
0.5957,0.70385
0.59615,0.70439
0.59659,0.70424
0.59704,0.70384
0.59749,0.70434
0.59793,0.70455
0.59838,0.70376
0.59883,0.70438
0.59928,0.70349
0.59972,0.70348
0.60017,0.70297
0.60062,0.70284
0.60107,0.70277
0.60151,0.70295
0.60196,0.70362
0.60241,0.70374
0.60285,0.70385
0.6033,0.70428
0.60375,0.70395
0.6042,0.70435
0.60464,0.70384
0.60509,0.7036
0.60554,0.70285
0.60598,0.7029
0.60643,0.70234
0.60688,0.70216
0.60732,0.70228
0.60777,0.70255
0.60822,0.70237
0.60866,0.70245
0.60911,0.70278
0.60956,0.70261
0.61,0.70275
0.61045,0.70202
0.6109,0.70164
0.61134,0.70119
0.61179,0.70059
0.61224,0.70092
0.61268,0.70126
0.61313,0.70118
0.61358,0.70133
0.61402,0.70163
0.61447,0.70176
0.61492,0.70196
0.61536,0.70172
0.61581,0.70224
0.61625,0.7017
0.6167,0.70176
0.61715,0.70222
0.61759,0.70182
0.61804,0.70176
0.61848,0.7023
0.61893,0.70229
0.61938,0.70244
0.61982,0.70257
0.62027,0.70287
0.62071,0.70258
0.62116,0.70256
0.62161,0.70313
0.62205,0.70308
0.6225,0.70323
0.62294,0.70307
0.62339,0.70293
0.62384,0.70266
0.62428,0.70282
0.62473,0.70267
0.62517,0.70255
0.62562,0.70206
0.62606,0.70262
0.62651,0.70275
0.62696,0.70322
0.6274,0.70314
0.62785,0.70301
0.62829,0.70253
0.62874,0.70212
0.62918,0.70234
0.62963,0.70185
0.63007,0.70167
0.63052,0.70176
0.63096,0.70106
0.63141,0.70139
0.63185,0.70125
0.6323,0.70109
0.63274,0.70102
0.63319,0.70111
0.63364,0.70098
0.63408,0.70119
0.63453,0.70054
0.63497,0.70053
0.63542,0.70012
0.63586,0.69968
0.63631,0.69949
0.63675,0.69979
0.6372,0.69984
0.63764,0.69982
0.63809,0.69954
0.63853,0.69976
0.63897,0.69963
0.63942,0.69971
0.63986,0.69938
0.64031,0.69918
0.64075,0.69981
0.6412,0.69963
0.64164,0.69951
0.64209,0.69996
0.64253,0.69982
0.64298,0.69977
0.64342,0.69999
