KC-OL-hm_4,
W,R
0.50012,0.65517
0.50031,0.64574
0.5005,0.64863
0.5007,0.66001
0.50089,0.67686
0.50108,0.66801
0.50128,0.64317
0.50147,0.65114
0.50166,0.65827
0.50186,0.64997
0.50205,0.6614
0.50225,0.66391
0.50244,0.65366
0.50264,0.66209
0.50283,0.67486
0.50303,0.6835
0.50322,0.68481
0.50342,0.67081
0.50361,0.66175
0.50381,0.66198
0.50401,0.65096
0.5042,0.63578
0.5044,0.63935
0.50459,0.65453
0.50479,0.66113
0.50499,0.65485
0.50518,0.65413
0.50538,0.67883
0.50558,0.69607
0.50577,0.67774
0.50597,0.66147
0.50617,0.66397
0.50637,0.67058
0.50657,0.6718
0.50676,0.655
0.50696,0.63353
0.50716,0.63489
0.50736,0.65034
0.50756,0.6529
0.50776,0.64433
0.50795,0.64681
0.50815,0.65662
0.50835,0.66079
0.50855,0.66273
0.50875,0.65782
0.50895,0.65108
0.50915,0.65772
0.50935,0.6584
0.50955,0.64739
0.50975,0.65214
0.50995,0.66596
0.51015,0.6728
0.51035,0.67172
0.51056,0.66516
0.51076,0.65767
0.51096,0.654
0.51116,0.66747
0.51136,0.6788
0.51156,0.66992
0.51177,0.66974
0.51197,0.6741
0.51217,0.67343
0.51237,0.67793
0.51257,0.67621
0.51278,0.67524
0.51298,0.68409
0.51318,0.6875
0.51339,0.68089
0.51359,0.67855
0.51379,0.68842
0.514,0.68709
0.5142,0.67741
0.51441,0.68633
0.51461,0.6896
0.51481,0.68036
0.51502,0.67656
0.51522,0.6712
0.51543,0.66703
0.51563,0.66802
0.51584,0.67447
0.51604,0.68239
0.51625,0.68405
0.51645,0.68224
0.51666,0.68326
0.51687,0.68896
0.51707,0.6906
0.51728,0.69247
0.51749,0.6955
0.51769,0.69306
0.5179,0.69293
0.51811,0.6918
0.51831,0.68765
0.51852,0.68382
0.51873,0.67848
0.51894,0.67479
0.51914,0.67922
0.51935,0.69313
0.51956,0.69828
0.51977,0.68734
0.51998,0.6827
0.52018,0.68814
0.52039,0.69225
0.5206,0.69802
0.52081,0.70698
0.52102,0.7132
0.52123,0.70596
0.52144,0.69006
0.52165,0.68853
0.52186,0.69572
0.52207,0.70169
0.52228,0.70941
0.52249,0.70617
0.5227,0.69964
0.52291,0.70545
0.52312,0.70561
