KC-OL-lm_0,
W,R
0.50012,0.78053
0.50031,0.77529
0.5005,0.76614
0.5007,0.7598
0.50089,0.76201
0.50108,0.75894
0.50128,0.7531
0.50147,0.75355
0.50166,0.75589
0.50186,0.76172
0.50205,0.77248
0.50225,0.77279
0.50244,0.7701
0.50264,0.77248
0.50283,0.77439
0.50303,0.78009
0.50322,0.77913
0.50342,0.7688
0.50361,0.76312
0.50381,0.76429
0.50401,0.76073
0.5042,0.75691
0.5044,0.76338
0.50459,0.76639
0.50479,0.76714
0.50499,0.7711
0.50518,0.77654
0.50538,0.78819
0.50558,0.79068
0.50577,0.77662
0.50597,0.76853
0.50617,0.77536
0.50637,0.77682
0.50657,0.77259
0.50676,0.77155
0.50696,0.76714
0.50716,0.76869
0.50736,0.77446
0.50756,0.77313
0.50776,0.76518
0.50795,0.75947
0.50815,0.76551
0.50835,0.77504
0.50855,0.77866
0.50875,0.77265
0.50895,0.76458
0.50915,0.76797
0.50935,0.77632
0.50955,0.77563
0.50975,0.77079
0.50995,0.77267
0.51015,0.77671
0.51035,0.78155
0.51056,0.78621
0.51076,0.77665
0.51096,0.76364
0.51116,0.76956
0.51136,0.77923
0.51156,0.77888
0.51177,0.7861
0.51197,0.79074
0.51217,0.78338
0.51237,0.7802
0.51257,0.77645
0.51278,0.77197
0.51298,0.77495
0.51318,0.78101
0.51339,0.78097
0.51359,0.77618
0.51379,0.78245
0.514,0.79041
0.5142,0.79052
0.51441,0.79422
0.51461,0.79196
0.51481,0.78394
0.51502,0.78557
0.51522,0.78884
0.51543,0.78151
0.51563,0.77636
0.51584,0.78307
0.51604,0.78556
0.51625,0.78697
0.51645,0.79373
0.51666,0.79396
0.51687,0.7904
0.51707,0.79048
0.51728,0.79889
0.51749,0.803
0.51769,0.7968
0.5179,0.79665
0.51811,0.79561
0.51831,0.79262
0.51852,0.79108
0.51873,0.77869
0.51894,0.76737
0.51914,0.77449
0.51935,0.79214
0.51956,0.79926
0.51977,0.79279
0.51998,0.7884
0.52018,0.79226
0.52039,0.80051
0.5206,0.80459
0.52081,0.80471
0.52102,0.80497
0.52123,0.80031
0.52144,0.79171
0.52165,0.78569
0.52186,0.78714
0.52207,0.79164
0.52228,0.79137
0.52249,0.79292
0.5227,0.80026
0.52291,0.808
0.52312,0.80526
0.52333,0.79726
0.52355,0.80087
0.52376,0.80229
0.52397,0.79517
0.52418,0.79022
0.52439,0.78726
0.52461,0.78897
0.52482,0.79175
0.52503,0.7944
0.52524,0.79879
0.52546,0.80398
0.52567,0.80739
0.52588,0.80159
0.5261,0.7984
0.52631,0.80403
0.52652,0.80847
0.52674,0.80943
0.52695,0.8035
0.52717,0.79659
0.52738,0.7989
0.5276,0.80416
0.52781,0.79993
0.52802,0.79421
0.52824,0.79972
0.52846,0.80219
0.52867,0.79806
0.52889,0.8002
0.5291,0.80285
0.52932,0.79965
0.52953,0.79729
0.52975,0.80023
0.52997,0.80208
0.53018,0.7996
0.5304,0.79827
0.53062,0.79786
0.53084,0.79642
0.53105,0.79431
0.53127,0.79145
0.53149,0.79193
0.53171,0.79855
0.53192,0.80664
0.53214,0.81011
0.53236,0.80572
0.53258,0.79776
0.5328,0.79287
0.53302,0.79237
0.53324,0.79592
0.53346,0.79954
0.53368,0.80211
0.5339,0.805
0.53412,0.80463
0.53434,0.7988
0.53456,0.79087
0.53478,0.78995
0.535,0.79853
0.53522,0.80894
0.53544,0.81303
0.53566,0.80791
0.53588,0.8032
0.5361,0.80656
0.53633,0.80889
0.53655,0.80601
0.53677,0.80462
0.53699,0.80528
0.53722,0.80749
0.53744,0.8075
0.53766,0.80369
0.53788,0.80424
0.53811,0.80618
0.53833,0.80641
0.53855,0.80865
0.53878,0.81016
0.539,0.81244
0.53923,0.81901
0.53945,0.82367
0.53968,0.82146
0.5399,0.81877
0.54013,0.81682
0.54035,0.81252
0.54058,0.81039
0.5408,0.81014
0.54103,0.8058
0.54125,0.79967
0.54148,0.802
0.54171,0.80993
0.54193,0.81255
0.54216,0.81483
0.54239,0.8176
0.54261,0.81639
0.54284,0.81412
0.54307,0.8119
0.54329,0.81452
0.54352,0.81868
0.54375,0.81576
0.54398,0.81272
0.54421,0.81426
0.54444,0.8179
0.54466,0.82226
0.54489,0.8239
0.54512,0.82071
0.54535,0.81614
0.54558,0.81635
0.54581,0.81892
0.54604,0.8199
0.54627,0.82235
0.5465,0.8221
0.54673,0.81584
0.54696,0.81383
0.54719,0.81704
0.54742,0.81463
0.54766,0.8133
0.54789,0.81854
0.54812,0.81975
0.54835,0.82011
0.54858,0.82089
0.54881,0.81476
0.54905,0.81153
0.54928,0.81754
0.54951,0.82283
0.54975,0.82236
0.54998,0.82296
0.55021,0.823
0.55045,0.81806
0.55068,0.81858
0.55091,0.82534
0.55115,0.83042
0.55138,0.8309
0.55162,0.82431
0.55185,0.81838
0.55209,0.82076
0.55232,0.8254
0.55256,0.82429
0.55279,0.8211
0.55303,0.82028
0.55327,0.81829
0.5535,0.81615
0.55374,0.81686
0.55397,0.81987
0.55421,0.82168
0.55445,0.82173
0.55469,0.82331
0.55492,0.82589
0.55516,0.82782
0.5554,0.82634
0.55564,0.82266
0.55588,0.82268
0.55611,0.82602
0.55635,0.82802
0.55659,0.82786
0.55683,0.8236
0.55707,0.81865
0.55731,0.82155
0.55755,0.82265
0.55779,0.8163
0.55803,0.81598
0.55827,0.82096
0.55851,0.82263
0.55875,0.82278
0.55899,0.8223
0.55923,0.82247
0.55947,0.82458
0.55972,0.82439
0.55996,0.82402
0.5602,0.82462
0.56044,0.82527
0.56068,0.82565
0.56093,0.82377
0.56117,0.82529
0.56141,0.82691
0.56166,0.82433
0.5619,0.8222
0.56214,0.82255
0.56239,0.82611
0.56263,0.82654
0.56287,0.82522
0.56312,0.8255
0.56336,0.82339
0.56361,0.82423
0.56385,0.826
0.5641,0.82165
0.56435,0.81988
0.56459,0.82298
0.56484,0.82389
0.56508,0.82295
0.56533,0.81983
0.56558,0.81801
0.56582,0.81643
0.56607,0.81342
0.56632,0.8169
0.56657,0.8223
0.56681,0.82482
0.56706,0.82636
0.56731,0.82652
0.56756,0.82665
0.56781,0.82668
0.56805,0.82651
0.5683,0.82772
0.56855,0.82851
0.5688,0.82655
0.56905,0.82546
0.5693,0.82441
0.56955,0.82393
0.5698,0.82299
0.57005,0.82012
0.5703,0.82037
0.57056,0.82167
0.57081,0.82443
0.57106,0.82501
0.57131,0.82535
0.57156,0.82792
0.57181,0.82464
0.57207,0.82208
0.57232,0.82136
0.57257,0.81982
0.57282,0.81924
0.57308,0.81908
0.57333,0.81901
0.57358,0.82119
0.57384,0.82507
0.57409,0.82396
0.57435,0.82445
0.5746,0.8264
0.57486,0.82658
0.57511,0.82637
0.57537,0.82421
0.57562,0.82478
0.57588,0.82494
0.57613,0.82294
0.57639,0.8204
0.57665,0.82374
0.5769,0.82899
0.57716,0.8253
0.57742,0.82062
0.57767,0.81768
0.57793,0.81757
0.57819,0.81849
0.57845,0.81848
0.57871,0.81922
0.57896,0.82066
0.57922,0.82304
0.57948,0.82249
0.57974,0.82328
0.58,0.82482
0.58026,0.82588
0.58052,0.82407
0.58078,0.81906
0.58104,0.82004
0.5813,0.82319
0.58156,0.82499
0.58182,0.82268
0.58208,0.82057
0.58235,0.8229
0.58261,0.82267
0.58287,0.82021
0.58313,0.81639
0.58339,0.81681
0.58366,0.82043
0.58392,0.8198
0.58418,0.81753
0.58445,0.81817
0.58471,0.82237
0.58497,0.82472
0.58524,0.82492
0.5855,0.82418
0.58577,0.82162
0.58603,0.81876
0.5863,0.81826
0.58656,0.8208
0.58683,0.82316
0.58709,0.82342
0.58736,0.82079
0.58763,0.82013
0.58789,0.82098
0.58816,0.81841
0.58843,0.81668
0.58869,0.8181
0.58896,0.82167
0.58923,0.82223
0.5895,0.81893
0.58976,0.81798
0.59003,0.8191
0.5903,0.82028
0.59057,0.82058
0.59084,0.82018
0.59111,0.81877
0.59138,0.81685
0.59165,0.81811
0.59192,0.82051
0.59219,0.82141
0.59246,0.82128
0.59273,0.81909
0.593,0.81565
0.59327,0.81418
0.59354,0.81645
0.59382,0.81931
0.59409,0.82056
0.59436,0.82028
0.59463,0.81839
0.59491,0.81738
0.59518,0.81658
0.59545,0.81513
0.59573,0.8148
0.596,0.81514
0.59627,0.81589
0.59655,0.81646
0.59682,0.81657
0.5971,0.81557
0.59737,0.81434
0.59765,0.81647
0.59792,0.81849
0.5982,0.81779
0.59848,0.81703
0.59875,0.81666
0.59903,0.81754
0.59931,0.81857
0.59958,0.81857
0.59986,0.81635
0.60014,0.8136
0.60042,0.81415
0.6007,0.8162
0.60097,0.8168
0.60125,0.81499
0.60153,0.81427
0.60181,0.81381
0.60209,0.81298
0.60237,0.81367
0.60265,0.81368
0.60293,0.81405
0.60321,0.81294
0.60349,0.81283
0.60377,0.8133
0.60405,0.81197
0.60434,0.8119
0.60462,0.81142
0.6049,0.81158
0.60518,0.81159
0.60547,0.81351
0.60575,0.81442
0.60603,0.81405
0.60631,0.81334
0.6066,0.80931
0.60688,0.8104
0.60717,0.81147
0.60745,0.81203
0.60774,0.81097
0.60802,0.80859
0.60831,0.80949
0.60859,0.80744
0.60888,0.80953
0.60916,0.81101
0.60945,0.81224
0.60974,0.81279
0.61002,0.81064
0.61031,0.81043
0.6106,0.80813
0.61089,0.80972
0.61117,0.80842
0.61146,0.80862
0.61175,0.80911
0.61204,0.80777
0.61233,0.80881
0.61262,0.80625
0.61291,0.80906
0.6132,0.80823
0.61349,0.80829
0.61378,0.80796
0.61407,0.80534
0.61436,0.80722
0.61465,0.80547
0.61494,0.80758
0.61524,0.80532
0.61553,0.80603
0.61582,0.80595
0.61611,0.80424
0.61641,0.808
0.6167,0.80475
0.61699,0.80543
0.61729,0.803
0.61758,0.80363
0.61787,0.80332
0.61817,0.80135
0.61846,0.80427
0.61876,0.80206
0.61905,0.80502
0.61935,0.80223
0.61965,0.80293
0.61994,0.80314
0.62024,0.80202
0.62054,0.80578
0.62083,0.80338
0.62113,0.80693
0.62143,0.80401
0.62173,0.80419
0.62203,0.80269
0.62232,0.80007
0.62262,0.80313
0.62292,0.79951
0.62322,0.80145
0.62352,0.79749
0.62382,0.79806
0.62412,0.79821
0.62442,0.79808
0.62472,0.801
0.62502,0.79704
0.62533,0.80149
0.62563,0.80017
0.62593,0.80118
0.62623,0.79925
0.62654,0.79674
0.62684,0.79965
0.62714,0.79754
0.62744,0.80064
0.62775,0.79688
0.62805,0.7978
0.62836,0.7969
0.62866,0.79633
0.62897,0.80004
0.62927,0.7976
0.62958,0.80046
0.62988,0.79794
0.63019,0.79785
0.6305,0.79712
0.6308,0.79672
0.63111,0.79879
0.63142,0.79691
0.63173,0.79632
0.63203,0.79591
0.63234,0.7975
0.63265,0.79464
0.63296,0.78196
0.63327,0.77398
0.63358,0.7717
0.63389,0.79049
0.6342,0.79425
0.63451,0.79714
0.63482,0.79508
0.63513,0.79585
0.63544,0.79796
0.63575,0.79364
0.63607,0.79873
0.63638,0.79359
0.63669,0.79659
0.637,0.7947
0.63732,0.79409
0.63763,0.79469
0.63794,0.79074
0.63826,0.79479
0.63857,0.79181
0.63889,0.79561
0.6392,0.79256
0.63952,0.79283
0.63983,0.79595
0.64015,0.79408
0.64046,0.79716
0.64078,0.7934
0.6411,0.79665
0.64142,0.79497
0.64173,0.79717
0.64205,0.79947
0.64237,0.79677
0.64269,0.79919
0.64301,0.79527
0.64333,0.79827
0.64364,0.79666
0.64396,0.79663
0.64428,0.79647
0.64461,0.79369
0.64493,0.79622
0.64525,0.79424
0.64557,0.79724
0.64589,0.79526
0.64621,0.79605
0.64653,0.79679
0.64686,0.79643
0.64718,0.79846
