KC-OL-Im_10,
W,R
0.50012,0.31557
0.50031,0.31793
0.5005,0.32024
0.5007,0.32368
0.50089,0.32035
0.50108,0.31438
0.50128,0.31651
0.50147,0.31778
0.50166,0.31162
0.50186,0.31116
0.50205,0.31269
0.50225,0.30148
0.50244,0.2955
0.50264,0.30683
0.50283,0.31756
0.50303,0.31664
0.50322,0.30625
0.50342,0.29797
0.50361,0.29757
0.50381,0.3039
0.50401,0.31052
0.5042,0.3072
0.5044,0.30374
0.50459,0.30505
0.50479,0.30486
0.50499,0.3006
0.50518,0.29862
0.50538,0.30526
0.50558,0.30982
0.50577,0.30729
0.50597,0.30663
0.50617,0.31117
0.50637,0.31311
0.50657,0.30944
0.50676,0.30272
0.50696,0.29985
0.50716,0.30874
0.50736,0.3133
0.50756,0.30521
0.50776,0.2981
0.50795,0.29613
0.50815,0.30271
0.50835,0.31079
0.50855,0.3118
0.50875,0.31211
0.50895,0.31283
0.50915,0.31306
0.50935,0.31313
0.50955,0.31121
0.50975,0.31405
0.50995,0.3139
0.51015,0.30642
0.51035,0.31072
0.51056,0.31833
0.51076,0.31241
0.51096,0.30429
0.51116,0.30927
0.51136,0.31727
0.51156,0.30986
0.51177,0.31025
0.51197,0.32234
0.51217,0.31969
0.51237,0.31428
0.51257,0.31485
0.51278,0.31561
0.51298,0.31779
0.51318,0.31824
0.51339,0.31819
0.51359,0.31753
0.51379,0.31731
0.514,0.32004
0.5142,0.32312
0.51441,0.32707
0.51461,0.32144
0.51481,0.31419
0.51502,0.32482
0.51522,0.33499
0.51543,0.32917
0.51563,0.31913
0.51584,0.31624
0.51604,0.32228
0.51625,0.33039
0.51645,0.33251
0.51666,0.33226
0.51687,0.33324
0.51707,0.32783
0.51728,0.32126
0.51749,0.32308
0.51769,0.32442
0.5179,0.32318
0.51811,0.32195
0.51831,0.31917
0.51852,0.31921
0.51873,0.31984
0.51894,0.31838
0.51914,0.32169
0.51935,0.33023
0.51956,0.33421
0.51977,0.32636
0.51998,0.32229
0.52018,0.33368
0.52039,0.33905
0.5206,0.33599
0.52081,0.34171
0.52102,0.34393
0.52123,0.3346
0.52144,0.32437
0.52165,0.32283
0.52186,0.32971
0.52207,0.33314
0.52228,0.3311
0.52249,0.32962
0.5227,0.33202
0.52291,0.33553
0.52312,0.33329
0.52333,0.33326
0.52355,0.33556
0.52376,0.331
0.52397,0.32859
0.52418,0.32871
0.52439,0.32732
0.52461,0.33045
0.52482,0.33606
0.52503,0.33945
0.52524,0.33917
0.52546,0.33827
0.52567,0.33838
0.52588,0.33682
0.5261,0.33693
0.52631,0.33824
0.52652,0.34003
0.52674,0.34186
0.52695,0.334
0.52717,0.32213
0.52738,0.32388
0.5276,0.33123
0.52781,0.32912
0.52802,0.33023
0.52824,0.33767
