KC-OL-lvn_12,
W,R
0.50012,0.15542
0.50031,0.15293
0.5005,0.15439
0.5007,0.15991
0.50089,0.16407
0.50108,0.1632
0.50128,0.16029
0.50147,0.1605
0.50166,0.16282
0.50186,0.16342
0.50205,0.16111
0.50225,0.15991
0.50244,0.16186
0.50264,0.16564
0.50283,0.16906
0.50303,0.16841
0.50322,0.16664
0.50342,0.16711
0.50361,0.16664
0.50381,0.16548
0.50401,0.16487
0.5042,0.16478
0.5044,0.16721
0.50459,0.16896
0.50479,0.16878
0.50499,0.16894
0.50518,0.16766
0.50538,0.16605
0.50558,0.16509
0.50577,0.16432
0.50597,0.16501
0.50617,0.16714
0.50637,0.16881
0.50657,0.16771
0.50676,0.1661
0.50696,0.16665
0.50716,0.16795
0.50736,0.16898
0.50756,0.16946
0.50776,0.16779
0.50795,0.1651
0.50815,0.16504
0.50835,0.16766
0.50855,0.16976
0.50875,0.1701
0.50895,0.16972
0.50915,0.16834
0.50935,0.1677
0.50955,0.16834
0.50975,0.16963
0.50995,0.17088
0.51015,0.16723
0.51035,0.16359
0.51056,0.16612
0.51076,0.16837
0.51096,0.16794
0.51116,0.1671
0.51136,0.16706
0.51156,0.16842
0.51177,0.16948
0.51197,0.17018
0.51217,0.17252
0.51237,0.17403
0.51257,0.17181
0.51278,0.16968
0.51298,0.16805
0.51318,0.16602
0.51339,0.16591
0.51359,0.16848
0.51379,0.1711
0.514,0.17091
0.5142,0.17026
0.51441,0.17074
0.51461,0.17168
0.51481,0.17245
0.51502,0.17245
0.51522,0.1717
0.51543,0.17154
0.51563,0.17342
0.51584,0.17418
0.51604,0.17475
0.51625,0.17595
0.51645,0.17431
0.51666,0.17246
0.51687,0.17207
0.51707,0.1723
0.51728,0.17449
0.51749,0.17736
0.51769,0.17648
0.5179,0.17294
0.51811,0.17172
0.51831,0.17306
0.51852,0.17503
0.51873,0.17615
0.51894,0.17767
0.51914,0.17929
0.51935,0.17878
0.51956,0.17774
0.51977,0.17735
0.51998,0.17716
0.52018,0.17632
0.52039,0.17531
0.5206,0.17515
0.52081,0.17568
0.52102,0.17652
0.52123,0.17621
0.52144,0.17607
0.52165,0.1774
0.52186,0.17839
0.52207,0.17907
0.52228,0.17927
0.52249,0.17848
0.5227,0.17851
0.52291,0.17856
0.52312,0.17751
0.52333,0.1773
0.52355,0.17713
0.52376,0.17654
0.52397,0.17733
0.52418,0.17899
0.52439,0.17886
0.52461,0.17807
0.52482,0.1793
0.52503,0.17949
0.52524,0.17819
0.52546,0.17814
0.52567,0.17835
0.52588,0.17882
0.5261,0.17843
0.52631,0.17667
0.52652,0.17753
0.52674,0.179
0.52695,0.1792
0.52717,0.18113
0.52738,0.18164
0.5276,0.18053
0.52781,0.18145
0.52802,0.18163
0.52824,0.18003
0.52846,0.17867
0.52867,0.1778
0.52889,0.17802
0.5291,0.17925
0.52932,0.18035
0.52953,0.18058
0.52975,0.17948
0.52997,0.17987
0.53018,0.18184
0.5304,0.18154
0.53062,0.18064
0.53084,0.18035
0.53105,0.18044
0.53127,0.18102
0.53149,0.18075
0.53171,0.18179
0.53192,0.18322
0.53214,0.18197
0.53236,0.18025
0.53258,0.18093
0.5328,0.18286
0.53302,0.18323
0.53324,0.18258
0.53346,0.18229
0.53368,0.18239
0.5339,0.18321
0.53412,0.18392
0.53434,0.18283
0.53456,0.18177
0.53478,0.18234
0.535,0.18304
0.53522,0.18386
0.53544,0.18373
0.53566,0.18299
0.53588,0.18359
0.5361,0.18318
0.53633,0.18171
0.53655,0.1819
0.53677,0.1829
0.53699,0.18331
0.53722,0.18388
0.53744,0.18444
0.53766,0.18484
0.53788,0.18512
0.53811,0.18415
0.53833,0.18383
0.53855,0.1857
0.53878,0.18678
0.539,0.1859
0.53923,0.18565
0.53945,0.18614
0.53968,0.18515
0.5399,0.1835
0.54013,0.18366
0.54035,0.18513
0.54058,0.18551
0.5408,0.18558
0.54103,0.18618
0.54125,0.18632
0.54148,0.18684
0.54171,0.1879
0.54193,0.18821
0.54216,0.18793
0.54239,0.18749
0.54261,0.18671
0.54284,0.18693
0.54307,0.18781
0.54329,0.18758
0.54352,0.18691
0.54375,0.1858
0.54398,0.18557
0.54421,0.18733
0.54444,0.18919
0.54466,0.18982
0.54489,0.18868
0.54512,0.18723
0.54535,0.18719
0.54558,0.18824
0.54581,0.18917
0.54604,0.18856
0.54627,0.18732
0.5465,0.18783
0.54673,0.18943
0.54696,0.19025
0.54719,0.19033
0.54742,0.19056
0.54766,0.19074
0.54789,0.18954
0.54812,0.18862
0.54835,0.18911
0.54858,0.18996
0.54881,0.1911
0.54905,0.19042
0.54928,0.18888
0.54951,0.18929
0.54975,0.19079
0.54998,0.19164
0.55021,0.19122
0.55045,0.19106
0.55068,0.19091
0.55091,0.19075
0.55115,0.19164
0.55138,0.19213
0.55162,0.19182
0.55185,0.19152
0.55209,0.19186
0.55232,0.19231
0.55256,0.19182
0.55279,0.19104
0.55303,0.19146
0.55327,0.19281
0.5535,0.19296
0.55374,0.1929
0.55397,0.19379
0.55421,0.19408
0.55445,0.19384
0.55469,0.19392
0.55492,0.19441
0.55516,0.19455
0.5554,0.19387
0.55564,0.1938
0.55588,0.19454
0.55611,0.1945
0.55635,0.19421
0.55659,0.19478
0.55683,0.19509
0.55707,0.19441
0.55731,0.19414
0.55755,0.19492
0.55779,0.19523
0.55803,0.19464
0.55827,0.19428
0.55851,0.19461
0.55875,0.19528
0.55899,0.19487
0.55923,0.19421
0.55947,0.1958
0.55972,0.19703
0.55996,0.19609
0.5602,0.19524
0.56044,0.19549
0.56068,0.19618
0.56093,0.19619
0.56117,0.1964
0.56141,0.19663
0.56166,0.19615
0.5619,0.19644
0.56214,0.19738
0.56239,0.19811
0.56263,0.19821
0.56287,0.19806
0.56312,0.19753
0.56336,0.19716
0.56361,0.19805
0.56385,0.19818
0.5641,0.19757
0.56435,0.1977
0.56459,0.19848
0.56484,0.1987
0.56508,0.19764
0.56533,0.19721
0.56558,0.19769
0.56582,0.19808
0.56607,0.1981
0.56632,0.19866
0.56657,0.19941
0.56681,0.19926
0.56706,0.19914
0.56731,0.19877
0.56756,0.1986
0.56781,0.19882
0.56805,0.1992
0.5683,0.19979
0.56855,0.19981
0.5688,0.19985
0.56905,0.20016
0.5693,0.20027
0.56955,0.19986
0.5698,0.20004
0.57005,0.20083
0.5703,0.20079
0.57056,0.20054
0.57081,0.20011
0.57106,0.19986
0.57131,0.20014
0.57156,0.20102
0.57181,0.20156
0.57207,0.20089
0.57232,0.20129
0.57257,0.20209
0.57282,0.20205
0.57308,0.20221
0.57333,0.20259
0.57358,0.20282
0.57384,0.20249
0.57409,0.20174
0.57435,0.20138
0.5746,0.20187
0.57486,0.20261
0.57511,0.2033
0.57537,0.2031
0.57562,0.20252
0.57588,0.20322
0.57613,0.20364
0.57639,0.20341
0.57665,0.20328
0.5769,0.20319
0.57716,0.20329
0.57742,0.2032
0.57767,0.20339
0.57793,0.20384
0.57819,0.20421
0.57845,0.2046
0.57871,0.20514
0.57896,0.20526
0.57922,0.20464
0.57948,0.20446
0.57974,0.20452
0.58,0.20444
0.58026,0.20467
0.58052,0.20506
0.58078,0.20538
0.58104,0.2053
0.5813,0.20522
0.58156,0.20531
0.58182,0.2055
0.58208,0.20618
0.58235,0.20626
0.58261,0.20537
0.58287,0.20498
0.58313,0.20516
0.58339,0.20585
0.58366,0.20693
0.58392,0.20766
0.58418,0.20808
0.58445,0.20779
0.58471,0.20709
0.58497,0.20673
0.58524,0.20643
0.5855,0.20656
0.58577,0.20677
0.58603,0.20673
0.5863,0.20735
0.58656,0.20801
0.58683,0.20779
0.58709,0.20763
0.58736,0.20805
0.58763,0.20828
0.58789,0.20814
0.58816,0.20812
0.58843,0.20814
0.58869,0.20827
0.58896,0.20886
0.58923,0.20902
0.5895,0.20875
0.58976,0.20896
0.59003,0.2093
0.5903,0.20931
0.59057,0.20916
0.59084,0.2092
0.59111,0.20925
0.59138,0.20904
0.59165,0.20908
0.59192,0.20975
0.59219,0.20995
0.59246,0.2094
0.59273,0.20922
0.593,0.20974
0.59327,0.21016
0.59354,0.2097
0.59382,0.20914
0.59409,0.20934
0.59436,0.21001
0.59463,0.21098
0.59491,0.21131
0.59518,0.21067
0.59545,0.2103
0.59573,0.21065
0.596,0.21125
0.59627,0.21142
0.59655,0.21108
0.59682,0.21122
0.5971,0.21155
0.59737,0.21177
0.59765,0.21175
0.59792,0.2112
0.5982,0.21132
0.59848,0.21186
0.59875,0.21225
0.59903,0.21255
0.59931,0.21287
0.59958,0.21331
0.59986,0.21331
0.60014,0.21329
0.60042,0.21324
0.6007,0.21348
0.60097,0.21366
0.60125,0.21353
0.60153,0.21374
0.60181,0.21373
0.60209,0.21387
0.60237,0.21423
0.60265,0.21463
0.60293,0.2143
0.60321,0.21365
0.60349,0.21379
0.60377,0.21383
0.60405,0.214
0.60434,0.21385
0.60462,0.21406
0.6049,0.21483
0.60518,0.21514
0.60547,0.21504
0.60575,0.21499
0.60603,0.21573
0.60631,0.21564
0.6066,0.21528
0.60688,0.21507
0.60717,0.21494
0.60745,0.21538
0.60774,0.21541
0.60802,0.21554
0.60831,0.21537
0.60859,0.21545
0.60888,0.21553
0.60916,0.21584
0.60945,0.21647
0.60974,0.21645
0.61002,0.21652
0.61031,0.21618
0.6106,0.21648
0.61089,0.21669
0.61117,0.21664
0.61146,0.21686
0.61175,0.21685
0.61204,0.21729
0.61233,0.21713
0.61262,0.21735
0.61291,0.21702
0.6132,0.21681
0.61349,0.21717
0.61378,0.21727
0.61407,0.21782
0.61436,0.21743
0.61465,0.21785
0.61494,0.21811
0.61524,0.21847
0.61553,0.2184
0.61582,0.2175
0.61611,0.21791
0.61641,0.21786
0.6167,0.21861
0.61699,0.21837
0.61729,0.21838
0.61758,0.21882
0.61787,0.21859
0.61817,0.21916
0.61846,0.21886
0.61876,0.21971
0.61905,0.21925
0.61935,0.21893
0.61965,0.21857
0.61994,0.21802
0.62024,0.21917
0.62054,0.21916
0.62083,0.22038
0.62113,0.21988
0.62143,0.21992
0.62173,0.2199
0.62203,0.21957
0.62232,0.22083
0.62262,0.21998
0.62292,0.22073
0.62322,0.22005
0.62352,0.22085
0.62382,0.22104
0.62412,0.22044
0.62442,0.22157
0.62472,0.22049
0.62502,0.22173
0.62533,0.22062
0.62563,0.22174
0.62593,0.22186
0.62623,0.22103
0.62654,0.22223
0.62684,0.22081
0.62714,0.2232
0.62744,0.22176
0.62775,0.22291
0.62805,0.22272
0.62836,0.2221
0.62866,0.22372
0.62897,0.22117
0.62927,0.22409
0.62958,0.22142
0.62988,0.22364
0.63019,0.22275
0.6305,0.22226
0.6308,0.22506
0.63111,0.22078
0.63142,0.22602
0.63173,0.22109
0.63203,0.22353
0.63234,0.21364
0.63389,0.22339
0.6342,0.22317
0.63451,0.22441
0.63482,0.22511
0.63513,0.22293
0.63544,0.22707
0.63575,0.22277
0.63607,0.22662
0.63638,0.22418
0.63669,0.22574
0.637,0.22531
0.63732,0.22407
0.63763,0.22661
0.63794,0.22468
0.63826,0.22705
0.63857,0.22501
0.63889,0.22615
0.6392,0.22601
0.63952,0.22518
0.63983,0.22643
0.64015,0.22522
0.64046,0.22701
0.64078,0.22557
0.6411,0.22661
0.64142,0.22657
0.64173,0.22661
0.64205,0.22764
0.64237,0.22628
0.64269,0.22732
0.64301,0.22614
0.64333,0.22703
0.64364,0.22718
0.64396,0.22746
0.64428,0.22821
0.64461,0.22724
0.64493,0.22809
0.64525,0.22735
0.64557,0.22835
0.64589,0.22834
0.64621,0.22846
0.64653,0.229
0.64686,0.22846
0.64718,0.22927
0.6475,0.2286
0.64783,0.2293
0.64815,0.22903
0.64847,0.22902
0.6488,0.22934
0.64912,0.22898
0.64945,0.22987
0.64978,0.22962
0.6501,0.23044
0.65043,0.23021
0.65075,0.23019
0.65108,0.23056
0.65141,0.23038
0.65173,0.23081
0.65206,0.23055
0.65239,0.23129
0.65272,0.23077
0.65305,0.23077
0.65338,0.2311
0.65371,0.23088
0.65404,0.23137
0.65437,0.23119
0.6547,0.23165
0.65503,0.23145
0.65536,0.23207
0.65569,0.23249
0.65602,0.2322
0.65635,0.23245
0.65669,0.23221
0.65702,0.23272
0.65735,0.23263
0.65769,0.23289
0.65802,0.23301
0.65836,0.23305
0.65869,0.23369
0.65902,0.23359
0.65936,0.23379
0.6597,0.23353
0.66003,0.23385
0.66037,0.23417
0.6607,0.2342
0.66104,0.23437
0.66138,0.23399
0.66172,0.23425
0.66205,0.23437
0.66239,0.23469
0.66273,0.23457
0.66307,0.23426
0.66341,0.23444
0.66375,0.23438
0.66409,0.23468
0.66443,0.23497
0.66477,0.23525
0.66511,0.23504
0.66545,0.23505
0.66579,0.23533
0.66614,0.23544
0.66648,0.23579
0.66682,0.23581
0.66716,0.23612
0.66751,0.23616
0.66785,0.2361
0.6682,0.23614
0.66854,0.23612
0.66889,0.23643
0.66923,0.23646
0.66958,0.23653
