KC-OPX-arvn_7,
W,R
0.54088,0.28706
0.54133,0.28655
0.54179,0.28642
0.54224,0.2861
0.54269,0.28623
0.54314,0.28637
0.54359,0.28636
0.54404,0.28651
0.54449,0.28677
0.54494,0.28715
0.54539,0.28725
0.54584,0.28731
0.54629,0.28715
0.54675,0.28711
0.5472,0.28728
0.54765,0.28715
0.5481,0.28708
0.54855,0.28729
0.549,0.28765
0.54945,0.28785
0.5499,0.28764
0.55035,0.28803
0.5508,0.28833
0.55125,0.28858
0.5517,0.28874
0.55215,0.28888
0.5526,0.28925
0.55305,0.28982
0.5535,0.28997
0.55395,0.28979
0.5544,0.28963
0.55485,0.29022
0.5553,0.29036
0.55575,0.29039
0.5562,0.29077
0.55665,0.29082
0.5571,0.29126
0.55755,0.29163
0.558,0.29186
0.55845,0.292
0.5589,0.2923
0.55935,0.29242
0.5598,0.29271
0.56025,0.29274
0.5607,0.2928
0.56115,0.29303
0.5616,0.29316
0.56205,0.29332
0.5625,0.29337
0.56295,0.29362
0.5634,0.294
0.56385,0.29401
0.5643,0.29442
0.56475,0.29431
0.5652,0.29462
0.56565,0.29466
0.5661,0.29494
0.56655,0.29474
0.567,0.29513
0.56745,0.29538
0.56789,0.29528
0.56834,0.29546
0.56879,0.29527
0.56924,0.29557
0.56969,0.29575
0.57014,0.29544
0.57059,0.29569
0.57104,0.29605
0.57149,0.29635
0.57194,0.29589
0.57239,0.29678
0.57284,0.29668
0.57328,0.29674
0.57373,0.29685
0.57418,0.29701
0.57463,0.29747
0.57508,0.29751
0.57553,0.29772
0.57598,0.29805
0.57643,0.29841
0.57688,0.29861
0.57732,0.29885
0.57777,0.29905
0.57822,0.29866
0.57867,0.29856
0.57912,0.29851
0.57957,0.29892
0.58002,0.29873
0.58046,0.29895
0.58091,0.29935
0.58136,0.29978
0.58181,0.30016
0.58226,0.30005
0.58271,0.30006
0.58316,0.30037
0.5836,0.30031
0.58405,0.30019
0.5845,0.30045
0.58495,0.30112
0.5854,0.30112
0.58584,0.30127
0.58629,0.30188
0.58674,0.30197
0.58719,0.30249
0.58764,0.30287
0.58809,0.30288
0.58853,0.30286
0.58898,0.30304
0.58943,0.30286
0.58988,0.303
0.59032,0.30338
0.59077,0.30343
0.59122,0.30341
0.59167,0.30391
0.59212,0.30432
0.59256,0.30426
0.59301,0.30423
0.59346,0.30455
0.59391,0.30503
0.59435,0.3048
0.5948,0.30521
0.59525,0.30553
0.5957,0.30586
0.59615,0.30625
0.59659,0.30611
0.59704,0.30621
0.59749,0.30648
0.59793,0.30679
0.59838,0.3066
0.59883,0.30665
0.59928,0.30649
0.59972,0.30648
0.60017,0.30665
0.60062,0.3067
0.60107,0.30706
0.60151,0.30707
0.60196,0.30697
0.60241,0.30715
0.60285,0.30709
0.6033,0.30725
0.60375,0.30718
0.6042,0.30757
0.60464,0.30737
0.60509,0.3075
0.60554,0.30777
0.60598,0.30788
0.60643,0.30833
0.60688,0.30836
0.60732,0.30873
0.60777,0.30918
0.60822,0.30933
0.60866,0.30967
0.60911,0.30975
0.60956,0.31019
0.61,0.31014
0.61045,0.31045
0.6109,0.31036
0.61134,0.31091
0.61179,0.31128
0.61224,0.31138
0.61268,0.3121
0.61313,0.31221
0.61358,0.31268
0.61402,0.31271
0.61447,0.31317
0.61492,0.31362
0.61536,0.31404
0.61581,0.31386
0.61625,0.31452
0.6167,0.31437
0.61715,0.31459
0.61759,0.31475
0.61804,0.31471
