KC-OPX-hem_1,
W,R
0.50012,0.30885
0.50031,0.3042
0.5005,0.29981
0.5007,0.29306
0.50089,0.2912
0.50108,0.29562
0.50128,0.29737
0.50147,0.29284
0.50166,0.27708
0.50186,0.26384
0.50205,0.27144
0.50225,0.28827
0.50244,0.29058
0.50264,0.28416
0.50283,0.28503
0.50303,0.28747
0.50322,0.2882
0.50342,0.29102
0.50361,0.29535
0.50381,0.29513
0.50401,0.29845
0.5042,0.30392
0.5044,0.29604
0.50459,0.29221
0.50479,0.29162
0.50499,0.28532
0.50518,0.2857
0.50538,0.28267
0.50558,0.27573
0.50577,0.2768
0.50597,0.28135
0.50617,0.28819
0.50637,0.2936
0.50657,0.29283
0.50676,0.29382
0.50696,0.29516
0.50716,0.28544
0.50736,0.27259
0.50756,0.26854
0.50776,0.27224
0.50795,0.28241
0.50815,0.29222
0.50835,0.28944
0.50855,0.28007
0.50875,0.27435
0.50895,0.27247
0.50915,0.2808
0.50935,0.29662
0.50955,0.30146
0.50975,0.29967
0.50995,0.29905
0.51015,0.2889
0.51035,0.28095
0.51056,0.28587
0.51076,0.2849
0.51096,0.28096
0.51116,0.28511
0.51136,0.28964
0.51156,0.29215
0.51177,0.28821
0.51197,0.28285
0.51217,0.28551
0.51237,0.28801
0.51257,0.28843
0.51278,0.29196
0.51298,0.29153
0.51318,0.28688
0.51339,0.28948
0.51359,0.29265
0.51379,0.28716
0.514,0.28459
0.5142,0.29185
0.51441,0.30122
0.51461,0.30105
0.51481,0.29302
0.51502,0.29176
0.51522,0.29828
0.51543,0.3018
0.51563,0.29467
0.51584,0.28605
0.51604,0.29323
0.51625,0.30214
0.51645,0.29881
0.51666,0.29674
0.51687,0.29879
0.51707,0.30342
0.51728,0.30351
0.51749,0.29548
0.51769,0.29183
0.5179,0.29337
0.51811,0.29399
0.51831,0.29102
0.51852,0.28909
0.51873,0.29591
0.51894,0.30624
0.51914,0.30522
0.51935,0.29589
0.51956,0.29467
0.51977,0.29756
0.51998,0.30102
0.52018,0.30485
0.52039,0.30351
0.5206,0.30115
0.52081,0.30028
0.52102,0.2969
0.52123,0.28941
0.52144,0.288
0.52165,0.29134
0.52186,0.2908
0.52207,0.29442
0.52228,0.29555
0.52249,0.29105
0.5227,0.29152
0.52291,0.29273
0.52312,0.29214
0.52333,0.292
0.52355,0.29642
0.52376,0.30263
0.52397,0.30257
0.52418,0.30075
0.52439,0.29878
0.52461,0.29491
0.52482,0.29415
0.52503,0.30115
0.52524,0.30627
0.52546,0.29764
0.52567,0.28887
0.52588,0.29057
0.5261,0.29266
0.52631,0.29229
0.52652,0.29256
0.52674,0.29518
0.52695,0.29969
0.52717,0.30154
0.52738,0.30171
0.5276,0.30235
0.52781,0.30411
0.52802,0.30312
0.52824,0.29715
0.52846,0.29664
0.52867,0.30036
0.52889,0.3005
0.5291,0.29771
0.52932,0.2943
0.52953,0.2942
0.52975,0.29555
0.52997,0.29668
0.53018,0.29762
0.5304,0.29978
0.53062,0.30265
0.53084,0.29868
0.53105,0.29684
0.53127,0.3018
0.53149,0.30224
0.53171,0.2987
0.53192,0.29696
0.53214,0.29961
0.53236,0.30386
0.53258,0.30708
0.5328,0.30715
0.53302,0.3022
0.53324,0.29938
0.53346,0.30213
0.53368,0.30521
0.5339,0.30116
0.53412,0.29541
0.53434,0.29562
0.53456,0.29525
0.53478,0.29805
0.535,0.30269
0.53522,0.30159
0.53544,0.30083
0.53566,0.30184
0.53588,0.30294
0.5361,0.3009
0.53633,0.29718
0.53655,0.29822
0.53677,0.30073
0.53699,0.30613
0.53722,0.31045
0.53744,0.30488
0.53766,0.29826
0.53788,0.29771
0.53811,0.30059
0.53833,0.30373
0.53855,0.30487
0.53878,0.30296
0.539,0.30191
0.53923,0.30111
0.53945,0.29827
0.53968,0.30053
0.5399,0.30309
0.54013,0.30288
0.54035,0.30679
0.54058,0.31013
0.5408,0.30855
0.54103,0.30315
0.54125,0.29881
0.54148,0.29954
0.54171,0.30327
0.54193,0.30387
0.54216,0.30268
0.54239,0.30436
0.54261,0.30368
0.54284,0.3068
0.54307,0.30964
0.54329,0.30119
0.54352,0.29554
0.54375,0.29784
0.54398,0.30094
0.54421,0.30267
0.54444,0.30273
0.54466,0.29992
0.54489,0.29947
0.54512,0.30428
0.54535,0.30602
0.54558,0.30638
0.54581,0.30495
0.54604,0.30201
0.54627,0.30231
0.5465,0.30379
0.54673,0.30617
0.54696,0.30505
0.54719,0.3033
0.54742,0.30388
0.54766,0.3043
0.54789,0.30355
0.54812,0.29957
0.54835,0.29728
0.54858,0.29757
0.54881,0.30114
0.54905,0.30433
0.54928,0.30293
0.54951,0.30447
0.54975,0.30574
0.54998,0.30315
0.55021,0.30103
0.55045,0.30215
0.55068,0.30379
0.55091,0.30147
0.55115,0.30021
0.55138,0.30224
0.55162,0.30641
0.55185,0.30817
0.55209,0.30429
0.55232,0.30264
0.55256,0.30342
0.55279,0.30335
0.55303,0.30473
0.55327,0.30574
0.5535,0.3054
0.55374,0.30591
0.55397,0.30612
0.55421,0.30553
0.55445,0.30796
0.55469,0.30889
0.55492,0.30314
0.55516,0.30041
0.5554,0.3042
0.55564,0.30658
0.55588,0.30613
0.55611,0.30636
0.55635,0.30946
0.55659,0.31198
0.55683,0.31068
0.55707,0.30946
0.55731,0.30871
0.55755,0.30655
0.55779,0.30528
0.55803,0.30371
0.55827,0.30251
0.55851,0.30467
0.55875,0.30653
0.55899,0.30772
0.55923,0.3078
0.55947,0.30661
0.55972,0.30816
0.55996,0.30878
0.5602,0.30883
0.56044,0.31013
0.56068,0.30856
0.56093,0.30635
0.56117,0.3051
0.56141,0.30506
0.56166,0.30846
0.5619,0.31119
0.56214,0.31074
0.56239,0.31031
0.56263,0.3075
0.56287,0.30491
0.56312,0.3078
0.56336,0.31071
0.56361,0.31107
0.56385,0.30945
0.5641,0.30873
0.56435,0.30919
0.56459,0.30903
0.56484,0.31038
0.56508,0.30938
0.56533,0.30638
0.56558,0.30496
0.56582,0.30567
0.56607,0.30775
0.56632,0.30805
0.56657,0.308
0.56681,0.30806
0.56706,0.30805
0.56731,0.30711
0.56756,0.30582
0.56781,0.30828
0.56805,0.31123
0.5683,0.31074
0.56855,0.30942
0.5688,0.30959
0.56905,0.30981
0.5693,0.31007
0.56955,0.31224
0.5698,0.31401
0.57005,0.31152
0.5703,0.30957
0.57056,0.31106
0.57081,0.3091
0.57106,0.30766
0.57131,0.30869
0.57156,0.30899
0.57181,0.31222
0.57207,0.31478
0.57232,0.31546
0.57257,0.31411
0.57282,0.31021
0.57308,0.30998
0.57333,0.31284
0.57358,0.31273
0.57384,0.3095
0.57409,0.30946
0.57435,0.31158
0.5746,0.31271
0.57486,0.31431
0.57511,0.31347
0.57537,0.31084
0.57562,0.30991
0.57588,0.31116
0.57613,0.31321
0.57639,0.31367
0.57665,0.31312
0.5769,0.31271
0.57716,0.31284
0.57742,0.31347
0.57767,0.31395
0.57793,0.31559
0.57819,0.31819
0.57845,0.31923
0.57871,0.31782
0.57896,0.31277
0.57922,0.30876
0.57948,0.31144
0.57974,0.31589
0.58,0.3178
0.58026,0.31724
0.58052,0.3169
0.58078,0.31707
0.58104,0.31509
0.5813,0.31455
0.58156,0.31611
0.58182,0.31705
0.58208,0.31678
0.58235,0.31438
0.58261,0.31261
0.58287,0.31459
0.58313,0.31778
0.58339,0.3181
0.58366,0.31588
0.58392,0.31279
0.58418,0.31077
0.58445,0.31226
0.58471,0.31438
0.58497,0.31502
0.58524,0.31546
0.5855,0.31516
0.58577,0.31477
0.58603,0.31473
0.5863,0.31535
0.58656,0.3166
0.58683,0.3178
0.58709,0.32072
0.58736,0.32318
0.58763,0.32234
0.58789,0.32002
0.58816,0.31879
0.58843,0.32011
0.58869,0.32071
0.58896,0.31917
0.58923,0.31769
0.5895,0.31695
0.58976,0.31647
0.59003,0.31556
0.5903,0.31622
0.59057,0.31765
0.59084,0.31828
0.59111,0.31881
0.59138,0.31849
0.59165,0.31811
0.59192,0.31736
0.59219,0.31694
0.59246,0.3181
0.59273,0.31811
0.593,0.31737
0.59327,0.31779
0.59354,0.31895
0.59382,0.31899
0.59409,0.31728
0.59436,0.31658
0.59463,0.31653
0.59491,0.31767
0.59518,0.31989
0.59545,0.31889
0.59573,0.31751
0.596,0.3178
0.59627,0.319
0.59655,0.32054
0.59682,0.32027
0.5971,0.3204
0.59737,0.31987
0.59765,0.31878
0.59792,0.31947
0.5982,0.32089
0.59848,0.32199
0.59875,0.32139
0.59903,0.32138
0.59931,0.32202
0.59958,0.32196
0.59986,0.31981
0.60014,0.31683
0.60042,0.31746
0.6007,0.31877
0.60097,0.31988
0.60125,0.32138
