KC-OPX-hevn_4,
W,R
0.54088,0.29921
0.54133,0.29957
0.54179,0.29971
0.54224,0.29985
0.54269,0.29989
0.54314,0.29957
0.54359,0.29948
0.54404,0.29965
0.54449,0.29928
0.54494,0.29913
0.54539,0.2991
0.54584,0.2996
0.54629,0.29982
0.54675,0.30023
0.5472,0.30078
0.54765,0.30127
0.5481,0.30191
0.54855,0.30253
0.549,0.30281
0.54945,0.30328
0.5499,0.30352
0.55035,0.30337
0.5508,0.3037
0.55125,0.30366
0.5517,0.30428
0.55215,0.30401
0.5526,0.30442
0.55305,0.30406
0.5535,0.30446
0.55395,0.30416
0.5544,0.30448
0.55485,0.30476
0.5553,0.3047
0.55575,0.30516
0.5562,0.30508
0.55665,0.30511
0.5571,0.3051
0.55755,0.3053
0.558,0.30537
0.55845,0.30505
0.5589,0.30512
0.55935,0.30511
0.5598,0.305
0.56025,0.30578
0.5607,0.30606
0.56115,0.30604
0.5616,0.30646
0.56205,0.30673
0.5625,0.30688
0.56295,0.30706
0.5634,0.30706
0.56385,0.30751
0.5643,0.3073
0.56475,0.30724
0.5652,0.30702
0.56565,0.30684
0.5661,0.30713
0.56655,0.30679
0.567,0.30709
0.56745,0.30703
0.56789,0.30691
0.56834,0.30735
0.56879,0.30747
0.56924,0.30733
0.56969,0.3076
0.57014,0.3082
0.57059,0.30862
0.57104,0.3091
0.57149,0.30905
0.57194,0.30946
0.57239,0.30965
0.57284,0.30933
0.57328,0.30937
0.57373,0.30915
0.57418,0.30902
0.57463,0.30924
0.57508,0.30929
0.57553,0.30928
0.57598,0.30951
0.57643,0.30932
0.57688,0.30978
0.57732,0.30962
0.57777,0.30976
0.57822,0.30993
0.57867,0.31
0.57912,0.30999
0.57957,0.30996
0.58002,0.31005
0.58046,0.31002
0.58091,0.31043
0.58136,0.31035
0.58181,0.31091
0.58226,0.31101
0.58271,0.31149
0.58316,0.3114
0.5836,0.31163
0.58405,0.31184
0.5845,0.31157
0.58495,0.31202
0.5854,0.31208
0.58584,0.312
0.58629,0.31226
0.58674,0.31201
0.58719,0.31261
0.58764,0.31256
0.58809,0.31283
0.58853,0.31327
0.58898,0.31365
0.58943,0.3136
0.58988,0.31404
0.59032,0.31423
0.59077,0.31428
0.59122,0.31444
0.59167,0.31455
0.59212,0.31457
0.59256,0.31436
0.59301,0.31446
0.59346,0.31444
0.59391,0.31444
0.59435,0.3145
0.5948,0.31462
0.59525,0.31453
0.5957,0.31491
0.59615,0.31531
0.59659,0.31563
0.59704,0.31577
0.59749,0.31612
0.59793,0.31638
0.59838,0.31646
0.59883,0.3169
0.59928,0.31671
0.59972,0.31676
0.60017,0.31683
0.60062,0.31699
0.60107,0.31683
0.60151,0.31674
0.60196,0.31665
0.60241,0.31672
0.60285,0.31662
0.6033,0.31664
0.60375,0.31664
0.6042,0.31691
0.60464,0.31697
0.60509,0.31699
0.60554,0.31746
0.60598,0.31752
0.60643,0.31756
0.60688,0.31783
0.60732,0.31785
0.60777,0.31806
0.60822,0.31761
0.60866,0.31794
0.60911,0.31812
0.60956,0.3184
0.61,0.31869
0.61045,0.31869
0.6109,0.31926
0.61134,0.31996
0.61179,0.32014
0.61224,0.32071
0.61268,0.32113
0.61313,0.32165
0.61358,0.32173
0.61402,0.32166
0.61447,0.3218
0.61492,0.32202
0.61536,0.32178
0.61581,0.32222
0.61625,0.32249
0.6167,0.32278
0.61715,0.32306
0.61759,0.32304
0.61804,0.3231
0.61848,0.32361
0.61893,0.32351
0.61938,0.32384
0.61982,0.32419
0.62027,0.32451
0.62071,0.32481
0.62116,0.32499
0.62161,0.32538
0.62205,0.32584
0.6225,0.32593
0.62294,0.32568
0.62339,0.32605
0.62384,0.32572
0.62428,0.32614
0.62473,0.32628
0.62517,0.32667
0.62562,0.32699
0.62606,0.32704
0.62651,0.32726
0.62696,0.32742
0.6274,0.32736
0.62785,0.32704
0.62829,0.32694
0.62874,0.32712
0.62918,0.3276
0.62963,0.32832
0.63007,0.3284
0.63052,0.32877
0.63096,0.32906
0.63141,0.32945
0.63185,0.32943
0.6323,0.32954
0.63274,0.32964
0.63319,0.32974
0.63364,0.33008
0.63408,0.33039
0.63453,0.33069
0.63497,0.33109
0.63542,0.33132
0.63586,0.33192
0.63631,0.33259
0.63675,0.33263
0.6372,0.33303
0.63764,0.33324
0.63809,0.33347
0.63853,0.33354
0.63897,0.33338
0.63942,0.33296
0.63986,0.33259
0.64031,0.33221
0.64075,0.33275
0.6412,0.33247
0.64164,0.33247
0.64209,0.33269
0.64253,0.33247
0.64298,0.33258
0.64342,0.33279
0.64387,0.33307
0.64431,0.33297
0.64475,0.33302
0.6452,0.33307
0.64564,0.33317
0.64609,0.33343
0.64653,0.334
0.64698,0.33451
0.64742,0.3349
0.64786,0.33545
0.64831,0.336
0.64875,0.33617
0.6492,0.33709
0.64964,0.3369
0.65009,0.33735
0.65053,0.33712
0.65097,0.3375
