KC-OPX-hm_5,
W,R
0.50012,0.20718
0.50031,0.21302
0.5005,0.2122
0.5007,0.20675
0.50089,0.19989
0.50108,0.19885
0.50128,0.20554
0.50147,0.21371
0.50166,0.21601
0.50186,0.21524
0.50205,0.21124
0.50225,0.20722
0.50244,0.20521
0.50264,0.19863
0.50283,0.19252
0.50303,0.19272
0.50322,0.19816
0.50342,0.20088
0.50361,0.19916
0.50381,0.19723
0.50401,0.19735
0.5042,0.20381
0.5044,0.20658
0.50459,0.20261
0.50479,0.19865
0.50499,0.19451
0.50518,0.19435
0.50538,0.20031
0.50558,0.20343
0.50577,0.19569
0.50597,0.19266
0.50617,0.19904
0.50637,0.19938
0.50657,0.19987
0.50676,0.20281
0.50696,0.20367
0.50716,0.20648
0.50736,0.20698
0.50756,0.20531
0.50776,0.20196
0.50795,0.20245
0.50815,0.20821
0.50835,0.20397
0.50855,0.19791
0.50875,0.19957
0.50895,0.19732
0.50915,0.19349
0.50935,0.19638
0.50955,0.19618
0.50975,0.19284
0.50995,0.19782
0.51015,0.2062
0.51035,0.21257
0.51056,0.2123
0.51076,0.20228
0.51096,0.19516
0.51116,0.19491
0.51136,0.19663
0.51156,0.19335
0.51177,0.18532
0.51197,0.18812
0.51217,0.19933
0.51237,0.201
0.51257,0.19217
0.51278,0.19103
0.51298,0.19838
0.51318,0.19907
0.51339,0.19553
0.51359,0.19559
0.51379,0.19929
0.514,0.20021
0.5142,0.19699
0.51441,0.19829
0.51461,0.2058
0.51481,0.21034
0.51502,0.20602
0.51522,0.20272
0.51543,0.20562
0.51563,0.20726
0.51584,0.20327
0.51604,0.19931
0.51625,0.20204
0.51645,0.20543
0.51666,0.20376
0.51687,0.20484
0.51707,0.20829
0.51728,0.20534
0.51749,0.20424
0.51769,0.20605
0.5179,0.20152
0.51811,0.20109
0.51831,0.20403
0.51852,0.20344
0.51873,0.20584
0.51894,0.20855
0.51914,0.21046
0.51935,0.21171
0.51956,0.21034
0.51977,0.20793
0.51998,0.20499
0.52018,0.20432
0.52039,0.20688
0.5206,0.20911
0.52081,0.20782
0.52102,0.20448
0.52123,0.19797
0.52144,0.19454
0.52165,0.20274
0.52186,0.21071
0.52207,0.21062
0.52228,0.21034
0.52249,0.21051
0.5227,0.20988
0.52291,0.20994
0.52312,0.2055
0.52333,0.1984
0.52355,0.20165
0.52376,0.20733
0.52397,0.20899
0.52418,0.21147
0.52439,0.20841
0.52461,0.20388
0.52482,0.20597
0.52503,0.21301
0.52524,0.22215
0.52546,0.22321
0.52567,0.21331
0.52588,0.20639
0.5261,0.20724
0.52631,0.2087
0.52652,0.20584
0.52674,0.19985
0.52695,0.1997
0.52717,0.20536
0.52738,0.20963
0.5276,0.21191
0.52781,0.2095
0.52802,0.20918
0.52824,0.21211
0.52846,0.21018
0.52867,0.21017
0.52889,0.21174
0.5291,0.21112
0.52932,0.20949
0.52953,0.20633
0.52975,0.20481
0.52997,0.20675
0.53018,0.21082
0.5304,0.21493
0.53062,0.21425
0.53084,0.20905
0.53105,0.20824
0.53127,0.21025
0.53149,0.2084
0.53171,0.20593
0.53192,0.20446
0.53214,0.20439
0.53236,0.20566
0.53258,0.20783
0.5328,0.20985
0.53302,0.21026
0.53324,0.21037
0.53346,0.20972
0.53368,0.21078
0.5339,0.21237
0.53412,0.21269
0.53434,0.21251
0.53456,0.21401
0.53478,0.21701
0.535,0.21183
0.53522,0.20477
0.53544,0.20502
0.53566,0.20592
0.53588,0.20613
0.5361,0.20587
0.53633,0.20547
0.53655,0.20484
0.53677,0.20472
0.53699,0.2039
0.53722,0.20198
0.53744,0.20262
0.53766,0.20403
0.53788,0.20852
0.53811,0.21287
0.53833,0.21348
0.53855,0.21285
0.53878,0.2088
0.539,0.20754
0.53923,0.21006
0.53945,0.21239
0.53968,0.21258
0.5399,0.20974
0.54013,0.2095
0.54035,0.21037
0.54058,0.21073
0.5408,0.21019
0.54103,0.20971
0.54125,0.2133
0.54148,0.21657
0.54171,0.21781
0.54193,0.2161
0.54216,0.21288
0.54239,0.21351
0.54261,0.21337
0.54284,0.21119
0.54307,0.20972
0.54329,0.20723
0.54352,0.20622
0.54375,0.21016
0.54398,0.21474
0.54421,0.21565
0.54444,0.21527
0.54466,0.21587
0.54489,0.21733
0.54512,0.21584
0.54535,0.214
0.54558,0.21723
0.54581,0.21686
0.54604,0.21245
0.54627,0.21143
0.5465,0.21182
0.54673,0.21362
0.54696,0.21494
0.54719,0.21501
