KC_OPX_lvn_4,
W,R
0.4501,0.23012
0.45026,0.21435
0.45042,0.20725
0.45057,0.21498
0.45073,0.23623
0.45089,0.23808
0.45104,0.23529
0.4512,0.24526
0.45136,0.24937
0.45152,0.23362
0.45167,0.21578
0.45183,0.2211
0.45199,0.23433
0.45215,0.23483
0.4523,0.23231
0.45246,0.23146
0.45262,0.23276
0.45278,0.24106
0.45294,0.24943
0.45309,0.24422
0.45325,0.23308
0.45341,0.23303
0.45357,0.24391
0.45373,0.24315
0.45389,0.22095
0.45405,0.20425
0.45421,0.21536
0.45436,0.23786
0.45452,0.24659
0.45468,0.24025
0.45484,0.22982
0.455,0.22099
0.45516,0.21854
0.45532,0.22052
0.45548,0.21897
0.45564,0.21635
0.4558,0.21993
0.45596,0.22642
0.45612,0.22584
0.45628,0.2231
0.45644,0.22401
0.4566,0.22329
0.45677,0.21243
0.45693,0.20295
0.45709,0.2108
0.45725,0.21868
0.45741,0.21633
0.45757,0.21352
0.45773,0.21054
0.4579,0.20884
0.45806,0.20667
0.45822,0.21225
0.45838,0.22488
0.45854,0.21729
0.45871,0.20764
0.45887,0.21203
0.45903,0.2145
0.45919,0.21129
0.45936,0.20655
0.45952,0.2128
0.45968,0.21746
0.45984,0.21652
0.46001,0.22542
0.46017,0.22719
0.46033,0.21812
0.4605,0.2089
0.46066,0.20407
0.46083,0.21082
0.46099,0.22138
0.46115,0.22512
0.46132,0.22457
0.46148,0.22901
0.46165,0.22344
0.46181,0.20638
0.46197,0.21293
0.46214,0.23225
0.4623,0.2313
0.46247,0.22467
0.46263,0.22675
0.4628,0.22863
0.46296,0.22725
0.46313,0.22678
0.4633,0.2321
0.46346,0.23657
0.46363,0.23007
0.46379,0.22394
0.46396,0.22354
0.46412,0.22091
0.46429,0.21978
0.46446,0.22872
0.46462,0.23859
0.46479,0.23673
0.46496,0.22815
0.46512,0.22682
0.46529,0.23588
0.46546,0.23869
0.46563,0.23361
0.46579,0.22909
0.46596,0.22585
0.46613,0.23272
0.4663,0.24326
0.46646,0.24894
0.46663,0.24609
0.4668,0.24684
0.46697,0.2597
0.46714,0.25941
0.4673,0.25131
0.46747,0.24855
0.46764,0.24852
0.46781,0.25319
0.46798,0.25549
0.46815,0.26069
0.46832,0.26493
0.46849,0.26466
0.46866,0.26544
0.46883,0.26103
0.46899,0.25938
0.46916,0.26129
0.46933,0.25697
0.4695,0.24987
0.46967,0.24446
0.46984,0.24333
0.47001,0.24643
0.47019,0.2502
0.47036,0.25571
0.47053,0.2586
0.4707,0.25249
0.47087,0.24777
0.47104,0.24926
0.47121,0.25081
0.47138,0.25062
0.47155,0.24969
0.47173,0.25029
0.4719,0.25273
0.47207,0.25894
0.47224,0.2641
0.47241,0.26142
0.47259,0.25076
0.47276,0.24318
0.47293,0.24681
0.4731,0.25076
0.47328,0.25274
0.47345,0.25553
0.47362,0.26076
0.47379,0.26354
0.47397,0.25188
0.47414,0.23659
0.47431,0.23587
0.47449,0.24585
0.47466,0.24643
0.47484,0.23803
0.47501,0.23516
0.47518,0.23698
0.47536,0.23958
0.47553,0.2406
0.47571,0.23855
0.47588,0.23595
0.47606,0.23673
0.47623,0.23722
0.47641,0.23788
0.47658,0.23742
0.47676,0.23397
0.47693,0.23737
0.47711,0.24132
0.47728,0.23867
0.47746,0.23307
0.47763,0.23213
0.47781,0.2396
0.47799,0.24038
0.47816,0.23691
0.47834,0.23822
0.47852,0.23727
0.47869,0.23532
0.47887,0.23789
0.47905,0.24
0.47922,0.23855
0.4794,0.24089
0.47958,0.24487
0.47976,0.24513
0.47993,0.24389
0.48011,0.24546
0.48029,0.24901
0.48047,0.24789
0.48065,0.24706
0.48082,0.24571
0.481,0.24076
0.48118,0.242
0.48136,0.24719
0.48154,0.24911
0.48172,0.25045
0.4819,0.25043
0.48208,0.24831
0.48225,0.24963
0.48243,0.25078
0.48261,0.2483
0.48279,0.24591
0.48297,0.24613
0.48315,0.25086
0.48333,0.25252
0.48351,0.25021
0.48369,0.25326
0.48387,0.25989
0.48406,0.25956
0.48424,0.25452
0.48442,0.25545
0.4846,0.25858
0.48478,0.26071
0.48496,0.26208
0.48514,0.26141
0.48532,0.26135
0.48551,0.25738
0.48569,0.25562
0.48587,0.2588
0.48605,0.25687
0.48623,0.25484
0.48642,0.25416
0.4866,0.25398
0.48678,0.25941
0.48697,0.26569
0.48715,0.26705
0.48733,0.26334
0.48751,0.26149
0.4877,0.26506
0.48788,0.26724
0.48807,0.26689
0.48825,0.26533
0.48843,0.26384
0.48862,0.26529
0.4888,0.26359
0.48899,0.25728
0.48917,0.25521
0.48935,0.25787
0.48954,0.26128
0.48972,0.26266
0.48991,0.26035
0.49009,0.26042
0.49028,0.26175
0.49047,0.25984
0.49065,0.2593
0.49084,0.26086
0.49102,0.2658
0.49121,0.26867
0.4914,0.26201
0.49158,0.25704
0.49177,0.25655
0.49195,0.25675
0.49214,0.26297
0.49233,0.26786
0.49252,0.26693
0.4927,0.26603
0.49289,0.26323
0.49308,0.25936
0.49327,0.25535
0.49345,0.25186
0.49364,0.25501
0.49383,0.26161
0.49402,0.26322
0.49421,0.26148
0.49439,0.26235
0.49458,0.26355
0.49477,0.26296
0.49496,0.26172
0.49515,0.25876
0.49534,0.25733
0.49553,0.25705
0.49572,0.2567
0.49591,0.25624
0.4961,0.25439
0.49629,0.25347
0.49648,0.25482
0.49667,0.25716
0.49686,0.25667
0.49705,0.25722
0.49724,0.26066
0.49743,0.26096
0.49762,0.25961
0.49781,0.25786
0.498,0.25686
0.49819,0.25977
0.49839,0.2653
0.49858,0.26913
0.49877,0.26878
0.49896,0.26666
0.49915,0.26274
0.49935,0.2577
0.49954,0.2566
0.49973,0.25918
0.49992,0.2609
0.50012,0.26277
0.50031,0.26479
0.5005,0.26563
0.5007,0.26676
0.50089,0.26572
0.50108,0.26345
0.50128,0.26195
0.50147,0.26055
0.50166,0.26126
0.50186,0.26593
0.50205,0.27067
0.50225,0.26985
0.50244,0.26892
0.50264,0.2691
0.50283,0.26793
0.50303,0.26931
0.50322,0.27152
0.50342,0.27396
0.50361,0.27459
0.50381,0.27232
0.50401,0.27083
0.5042,0.26751
0.5044,0.26295
0.50459,0.26392
0.50479,0.26928
0.50499,0.27001
0.50518,0.26714
0.50538,0.26668
0.50558,0.26793
0.50577,0.26751
0.50597,0.26508
0.50617,0.26459
0.50637,0.26531
0.50657,0.2653
0.50676,0.26597
0.50696,0.2666
0.50716,0.26558
0.50736,0.26492
0.50756,0.26646
0.50776,0.26712
0.50795,0.26703
0.50815,0.26703
0.50835,0.26665
0.50855,0.26675
0.50875,0.26591
0.50895,0.26452
0.50915,0.2634
0.50935,0.26533
0.50955,0.26935
0.50975,0.2685
0.50995,0.26563
0.51015,0.26676
0.51035,0.26822
0.51056,0.26674
0.51076,0.26608
0.51096,0.26689
0.51116,0.26581
0.51136,0.26388
0.51156,0.26369
0.51177,0.26499
0.51197,0.26558
0.51217,0.26481
0.51237,0.26451
0.51257,0.26522
0.51278,0.2671
0.51298,0.26877
0.51318,0.26877
0.51339,0.26938
0.51359,0.26821
0.51379,0.26596
0.514,0.2669
0.5142,0.26785
0.51441,0.26875
0.51461,0.26902
0.51481,0.2686
0.51502,0.26999
0.51522,0.27082
0.51543,0.27183
0.51563,0.27274
0.51584,0.27196
0.51604,0.27039
0.51625,0.26987
0.51645,0.27056
0.51666,0.27034
0.51687,0.27081
0.51707,0.2707
0.51728,0.26851
0.51749,0.2678
0.51769,0.27075
0.5179,0.27396
0.51811,0.27387
0.51831,0.2743
0.51852,0.2752
0.51873,0.27487
0.51894,0.27507
0.51914,0.27468
0.51935,0.27453
0.51956,0.27537
0.51977,0.27719
0.51998,0.2769
0.52018,0.27372
0.52039,0.27322
0.5206,0.27435
0.52081,0.27524
0.52102,0.27676
0.52123,0.27735
0.52144,0.27773
0.52165,0.27901
0.52186,0.27975
0.52207,0.27907
0.52228,0.27844
0.52249,0.27879
0.5227,0.28
0.52291,0.28111
0.52312,0.28072
0.52333,0.27894
0.52355,0.27682
0.52376,0.27746
0.52397,0.28066
0.52418,0.28141
0.52439,0.27972
0.52461,0.27948
0.52482,0.28119
0.52503,0.28277
0.52524,0.28391
0.52546,0.28392
0.52567,0.28311
0.52588,0.28397
0.5261,0.28469
0.52631,0.28412
0.52652,0.28282
0.52674,0.28101
0.52695,0.2805
0.52717,0.28117
0.52738,0.28313
0.5276,0.28514
0.52781,0.28456
0.52802,0.28291
0.52824,0.28218
0.52846,0.28165
0.52867,0.28124
0.52889,0.28165
0.5291,0.28314
0.52932,0.28545
0.52953,0.2851
0.52975,0.28248
0.52997,0.28188
0.53018,0.2832
0.5304,0.28428
0.53062,0.28265
0.53084,0.28075
0.53105,0.28176
0.53127,0.2835
0.53149,0.28424
