LVM-EN_0,
W,R
0.006076804,0.081870308
0.010766768,0.088945981
0.013881635,0.092482836
0.017014166,0.097790082
0.017049495,0.101330862
0.020182026,0.106638108
0.02023502,0.111949279
0.023358719,0.116371329
0.024969146,0.123450928
0.02502214,0.128762099
0.026623735,0.134956503
0.029720936,0.136722967
0.031296034,0.140261785
0.035959501,0.144681873
0.035985998,0.147337459
0.039100865,0.150874314
0.039127362,0.153529899
0.039153859,0.156185485
0.040720124,0.158839108
0.042312887,0.164148316
0.045436585,0.168570366
0.048551452,0.172107221
0.05167515,0.176529272
0.053259081,0.180953285
0.056409276,0.188030921
0.057922548,0.185373373
0.059524143,0.191567776
0.06109924,0.195106594
0.065753875,0.198641486
0.067328973,0.202180304
0.06897473,0.212800684
0.069010059,0.216341464
0.07044384,0.20571716
0.072018937,0.209255978
0.072124925,0.21987832
0.073708856,0.224302333
0.075266289,0.22607076
0.079929756,0.230490848
0.084593223,0.234910936
0.08925669,0.239331023
0.089309684,0.244642194
0.092424551,0.24817905
0.095548249,0.2526011
0.100273543,0.263217554
0.101760318,0.25790442
0.101857473,0.267641567
0.106512108,0.271176459
0.109626974,0.274713315
0.111202072,0.278252132
0.114316939,0.281788988
0.117431805,0.285325843
0.123617376,0.287973577
0.12981178,0.291506507
0.136006183,0.295039437
0.136050345,0.299465413
0.13761661,0.302119036
0.139191708,0.305657853
0.145386112,0.309190783
0.148492146,0.311842443
0.150067243,0.315381261
0.15318211,0.318918116
0.154757208,0.322456934
0.160960443,0.326875059
0.165623911,0.331295147
0.167199009,0.334833965
0.170313875,0.33837082
0.176508278,0.34190375
0.182693849,0.344551484
0.185817548,0.348973535
0.195100321,0.353387734
0.19822402,0.357809785
0.204418423,0.361342714
0.207542122,0.365764765
0.213718861,0.367527304
0.219913264,0.371060234
0.224567899,0.374595126
0.229231366,0.379015214
0.23542577,0.382548144
0.238540636,0.386084999
0.241655503,0.389621854
0.241699664,0.39404783
0.249425004,0.396693602
0.252531038,0.399345262
0.258725441,0.402878191
0.266459613,0.406409158
0.272645185,0.409056893
0.278857253,0.414360213
0.285033991,0.416122753
0.289688626,0.419657645
0.294334429,0.422307342
0.300502336,0.423184686
0.305148138,0.425834384
0.312855813,0.426709765
0.319041384,0.4293575
0.328306492,0.432001309
0.336031832,0.434647081
0.34529694,0.43729089
0.353013448,0.439051466
0.360738787,0.441697238
0.371534832,0.443453889
0.377720403,0.446101624
0.386976679,0.447860238
0.394710851,0.451391205
0.402436191,0.454036977
0.413232235,0.455793628
0.419400142,0.456670972
0.424037112,0.458435474
0.433293388,0.460194088
0.439470126,0.461956628
0.447168969,0.461946814
0.451797107,0.462826121
0.461044551,0.46369954
0.470318491,0.467228544
0.476477565,0.467220693
0.485733841,0.468979307
0.49191058,0.470741846
0.501166856,0.47250046
0.507343595,0.474262999
0.516608703,0.476906809
0.525856147,0.477780227
0.532024053,0.478657571
0.539731728,0.479532953
0.547457068,0.482178725
0.553642639,0.484826459
0.562898915,0.486585073
0.570597758,0.48657526
