LVM_OL_0,
W,R
0.304034251,0.244367016
0.305825771,0.246007281
0.306355412,0.247655368
0.307142406,0.249632135
0.307929401,0.251608901
0.308711417,0.253255424
0.308986193,0.254739954
0.310277939,0.256713592
0.310552716,0.258198122
0.311087334,0.260176453
0.31111969,0.262323034
0.311899218,0.263804436
0.312938588,0.265779637
0.313725583,0.267756404
0.313780339,0.27138908
0.314255223,0.269404491
0.314809753,0.272703795
0.315084529,0.274188325
0.315361794,0.275837977
0.316396187,0.277482936
0.316933294,0.279626388
0.317972665,0.28160159
0.318002532,0.28358305
0.318032399,0.28556451
0.318567017,0.28754284
0.318846771,0.289357614
0.319126525,0.291172387
0.320408316,0.292485538
0.321190332,0.294132061
0.321729929,0.296440635
0.322514434,0.29825228
0.322791699,0.299901932
0.323581183,0.30204382
0.324365688,0.303855465
0.324907774,0.30632916
0.325942166,0.307974119
0.325977011,0.310285822
0.327013892,0.312095902
0.327312562,0.331910499
0.327541044,0.313578868
0.327570911,0.315560328
0.328099557,0.333887265
0.328292198,0.329922781
0.328605304,0.317205286
0.328636664,0.336030718
0.328640149,0.319516989
0.328692416,0.322984544
0.328714816,0.324470638
0.328739705,0.326121855
0.328764594,0.327773071
0.328917414,0.321166641
0.329925921,0.337839233
0.330965292,0.339814435
0.331002625,0.34229126
0.331297313,0.345096763
0.331594489,0.348067388
0.332129108,0.350045719
0.332693593,0.35400551
0.332913613,0.351857364
0.333730475,0.35581559
0.334012718,0.357795485
0.33429496,0.35977538
0.334582181,0.362085519
0.335114311,0.363898728
0.335146667,0.366045309
0.335428909,0.368025204
0.335453799,0.369676421
0.335478688,0.371327637
0.335755953,0.372977289
0.336053129,0.375947914
0.336285593,0.374625377
0.336830168,0.377264194
0.337112411,0.379244089
0.337392164,0.381058863
0.337414565,0.382544958
0.337444432,0.384526417
0.33797905,0.386504748
0.338261293,0.388484643
0.338798401,0.390628096
0.338820801,0.39211419
0.338873068,0.395581745
0.339350442,0.393762278
0.339660063,0.397558511
0.339939816,0.399373285
0.339967194,0.401189623
0.340499324,0.403002832
0.341033943,0.404981163
0.341576028,0.407454858
0.34186076,0.409599875
0.342647754,0.411576642
0.343177395,0.413224729
0.344214277,0.415034809
0.344241655,0.416851147
0.344776273,0.418829478
0.34531587,0.421138052
0.345345737,0.423119512
0.345880355,0.425097843
0.346444841,0.429057633
0.346477197,0.431204214
0.34666735,0.427074609
0.346756951,0.433018988
0.347039194,0.434998883
0.347064083,0.4366501
0.347846099,0.438296623
0.347873477,0.440112961
0.347895878,0.441599056
0.348435474,0.44390763
0.349227447,0.446214639
0.349509689,0.448194534
0.349791932,0.45017443
0.350841258,0.452810118
0.351890584,0.455445806
0.353454617,0.458738853
0.353754283,0.461874599
0.355063451,0.465004088
0.355605537,0.467477784
0.35571256,0.474578014
0.355925113,0.471934504
0.356142644,0.469621236
0.356257134,0.477216832
0.356304423,0.480354143
0.357366194,0.483815439
0.359412579,0.485619262
0.360296641,0.494035772
0.36047186,0.488915437
0.360509194,0.491392261
0.360598795,0.497336641
0.361390767,0.49964365
0.36167301,0.501623545
0.361707855,0.503935248
0.362504805,0.506572501
0.36304689,0.509046197
0.363596443,0.512015257
0.363628798,0.514161839
0.364420771,0.516468848
0.36572745,0.519433216
0.366514445,0.521409982
0.366564223,0.524712415
0.368123279,0.527675218
0.368915251,0.529982227
0.370471818,0.532779908
0.37228076,0.535576025
0.37382986,0.537878341
0.375896156,0.541003137
0.377954985,0.543632567
0.379511552,0.546430248
0.381060652,0.548732565
0.382624685,0.552025611
0.384171296,0.554162805
0.385730351,0.557125608
0.386777189,0.559596175
0.388343711,0.563054342
0.390400051,0.565518651
0.391954129,0.568151211
0.393758093,0.570617084
0.39555708,0.572752714
0.396858782,0.575386838
0.398405393,0.577524033
0.400209358,0.579989906
0.40277045,0.582451086
0.403807331,0.584261166
0.405876116,0.587551084
0.408434719,0.589847142
0.41075588,0.593135495
0.413067085,0.595763361
0.415128404,0.598557913
0.417434631,0.600855536
0.418741311,0.603819903
0.42029041,0.606122219
0.42234924,0.60875165
0.423643475,0.610890409
0.425437484,0.612695796
0.427246426,0.615491912
0.429547676,0.617459292
0.431094287,0.619596486
0.434395084,0.620897122
0.438443053,0.621532577
0.442236157,0.622004475
0.444527451,0.623311368
0.447076099,0.62494694
0.449119995,0.62658564
0.451423733,0.628718142
0.452965366,0.630525093
0.455019218,0.63282428
0.457332912,0.635617268
0.459136876,0.638083141
0.459419119,0.640063037
0.460203625,0.641874681
0.460245936,0.644681749
0.461042886,0.647319002
0.462324677,0.648632153
0.464128642,0.651098026
0.465685208,0.653895707
0.467484195,0.656031337
0.468526054,0.658171661
0.471087146,0.660632841
0.473648238,0.663094021
0.476951525,0.664559778
0.478992932,0.666033357
0.48153909,0.667503807
0.483580497,0.668977386
0.485372017,0.670617651
0.487168515,0.67258816
0.488957546,0.674063303
0.490251781,0.676202062
0.491048731,0.678839315
0.493107561,0.681468746
0.493642179,0.683447077
0.495193768,0.685914514
0.497255086,0.688709067
0.498564255,0.691838555
0.501370256,0.693802806
0.503416641,0.695606628
0.506482485,0.69806468
0.508029096,0.700201874
0.510085436,0.702666183
0.512131821,0.704470005
0.514680468,0.706105577
0.517231605,0.707906271
0.519780252,0.709541842
0.521824148,0.711180543
0.525382299,0.712809857
0.527930947,0.714445429
0.530477105,0.715915879
0.533023264,0.717386329
0.534822251,0.719521959
0.536618749,0.721492468
0.538662644,0.723131169
0.541213781,0.724931862
0.54351503,0.726899242
0.545304062,0.728374385
0.547867643,0.731000687
0.54990905,0.732474266
0.552210299,0.734441645
0.553994352,0.735586546
0.558289719,0.735890193
0.56131823,0.73587142
0.565358732,0.73601151
0.568637129,0.73582605
0.57064618,0.735153048
0.573659757,0.734143545
0.576168582,0.73313717
0.57893476,0.732459475
0.581443585,0.7314531
0.584467117,0.731104083
0.58698092,0.730427952
0.59025185,0.729747128
0.59328036,0.729728354
0.59757075,0.729701758
0.600339417,0.729189184
0.602091115,0.728187503
0.604080254,0.726193528
0.607083875,0.724523538
0.609597678,0.723847407
0.61235639,0.722674346
0.615369967,0.721664843
0.618383543,0.72065534
0.622421557,0.720630308
0.625447578,0.720446413
0.629480614,0.720091138
0.633773492,0.720229664
0.636307206,0.720874506
0.639598047,0.721514655
0.642646469,0.722816854
0.647209145,0.724109667
0.652264129,0.724573743
0.657326579,0.725533184
0.660634843,0.727329184
0.664405547,0.726314987
0.668681003,0.725297661
0.671699557,0.724618401
0.674715623,0.723774019
0.67823644,0.722926509
0.681492437,0.721254954
0.684753412,0.719913643
0.686747529,0.718249911
0.689501263,0.716746607
0.692010088,0.715740233
0.695016198,0.714235365
0.697520045,0.712898747
0.700523666,0.711228757
0.702520273,0.709730147
0.705014164,0.707733042
0.707505567,0.705570816
0.709242331,0.703578405
0.713003079,0.701903722
0.714487467,0.699912876
0.716484074,0.698414265
0.717723553,0.696920348
0.719970046,0.695255052
0.722461449,0.693092826
0.724957829,0.691260843
0.726444706,0.689435118
0.728433846,0.687441143
0.729665858,0.685451861
0.732914388,0.683284942
0.735655677,0.68095603
0.737884748,0.678134881
0.739371625,0.676309157
0.741608163,0.673983374
0.742330446,0.671666977
0.742795375,0.669021902
0.743775011,0.667034185
0.745761662,0.664875088
0.747253517,0.663379606
0.749752386,0.661712745
0.751231797,0.659391655
0.752958605,0.656738758
0.754947745,0.654744782
0.756432133,0.652753936
