MJL_OLV_2,
W,R
0.666855044,0.657361745
0.668761325,0.658740249
0.670962515,0.661740073
0.67695066,0.66464119
0.682284349,0.666554263
0.682301078,0.661955763
0.683901198,0.663834178
0.691576346,0.662610003
0.69568541,0.666550379
0.69589771,0.664904032
0.703932217,0.666547989
0.703946557,0.662606418
0.704726456,0.668658128
0.70701043,0.670488664
0.711670161,0.669729445
0.719385421,0.669171222
0.726832487,0.668651721
0.730631854,0.665967296
0.731760411,0.66785378
0.731777141,0.663255281
0.73696153,0.662208807
0.741066748,0.65996795
0.744149741,0.662594768
0.74644921,0.658449402
0.750358746,0.656023691
0.753410487,0.65469073
0.755941771,0.653348334
0.757592228,0.651204124
0.762268518,0.650394844
0.766694605,0.649051899
0.768942741,0.648135172
0.772387799,0.646635257
0.774288459,0.645024711
0.776177816,0.642877653
0.778089779,0.64180362
0.77936079,0.639656591
0.78135597,0.636306875
0.785684609,0.637508099
0.787531515,0.638932796
0.791371945,0.636701453
0.79373335,0.634332505
0.79770455,0.632137966
0.799935185,0.629732213
0.803403601,0.628111327
0.804041059,0.626501148
0.80717026,0.624474694
0.809107533,0.622743025
0.811639793,0.621132296
0.814806584,0.618716386
0.818533519,0.617902124
0.818547859,0.613960553
0.819871105,0.615494929
0.823034967,0.613884017
0.827825517,0.613957864
0.828092655,0.612540889
0.829996243,0.610125345
0.830937189,0.608701541
0.835060765,0.606903888
0.838169078,0.604319926
0.840760792,0.602608916
0.844550397,0.602607818
0.848978437,0.600728208
0.849516404,0.602126879
0.849530744,0.598185308
0.854672607,0.598043233
0.856569362,0.597506018
0.861905734,0.596867866
0.861924853,0.591612439
0.862265484,0.594284378
0.866701333,0.590258105
0.86986129,0.589720524
0.874304624,0.58898114
0.874318963,0.585039569
0.874924836,0.5867674
0.879355804,0.584082791
0.883148338,0.583276694
0.886698733,0.582408271
0.890105709,0.580591353
0.892638946,0.578712292
0.892902958,0.577151051
0.894544487,0.575760082
0.898971551,0.574148805
0.900134847,0.572769437
0.902139317,0.571464562
0.905301226,0.570390316
0.909098641,0.568242555
0.911494123,0.567291747
0.916053084,0.566362213
0.919213041,0.565824632
0.920481124,0.564482602
0.923881063,0.562689663
0.924914045,0.561261328
0.927444353,0.560187264
0.930082898,0.558089371
0.932509851,0.556697474
0.934411487,0.554818596
0.936284732,0.55348908
0.939474056,0.552133804
0.940744091,0.550255109
0.942488957,0.54823186
0.944544435,0.54730235
0.945813494,0.545691987
0.948686012,0.544945425
0.95087411,0.543543861
0.952772818,0.542469981
0.954887847,0.540345133
0.95594156,0.539517405
0.957841244,0.538175193
0.960372529,0.536832797
0.961092071,0.535087913
0.964173848,0.533611705
0.966704157,0.532537642
0.96832396,0.530706299
0.970503524,0.529853216
0.972403208,0.528511003
0.975568045,0.526631759
0.976837267,0.524976674
0.979036427,0.523298959
0.980796297,0.521807713
