Brown University Keck/NASA Relab Spectrum MS-CMP-015/C1MS15,
W,R
0.3,0.09874
0.305,0.09434
0.31,0.10287
0.315,0.11146
0.32,0.1164
0.325,0.13084
0.33,0.14
0.335,0.15065
0.34,0.16064
0.345,0.17085
0.35,0.18222
0.355,0.19392
0.36,0.20465
0.365,0.21669
0.37,0.22852
0.375,0.24042
0.38,0.25084
0.385,0.26078
0.39,0.26963
0.395,0.27662
0.4,0.28174
0.405,0.28678
0.41,0.29318
0.415,0.29787
0.42,0.30255
0.425,0.30845
0.43,0.31486
0.435,0.32102
0.44,0.32629
0.445,0.33054
0.45,0.33408
0.455,0.33796
0.46,0.34048
0.465,0.34363
0.47,0.34664
0.475,0.3497
0.48,0.35315
0.485,0.35819
0.49,0.36193
0.495,0.36679
0.5,0.37123
0.505,0.37473
0.51,0.37969
0.515,0.38553
0.52,0.39079
0.525,0.39461
0.53,0.3985
0.535,0.4017
0.54,0.40502
0.545,0.4073
0.55,0.41027
0.555,0.41316
0.56,0.41617
0.565,0.41868
0.57,0.42082
0.575,0.42309
0.58,0.42455
0.585,0.42719
0.59,0.42787
0.595,0.43021
0.6,0.43138
0.605,0.4341
0.61,0.43451
0.615,0.43622
0.62,0.4381
0.625,0.43938
0.63,0.44061
0.635,0.44291
0.64,0.44458
0.645,0.44637
0.65,0.44675
0.655,0.45008
0.66,0.45103
0.665,0.45217
0.67,0.45395
0.675,0.45592
0.68,0.45785
0.685,0.45992
0.69,0.46007
0.695,0.46163
0.7,0.46314
0.705,0.46548
0.71,0.46667
0.715,0.46921
0.72,0.46998
0.725,0.47207
0.73,0.47381
0.735,0.47453
0.74,0.47747
0.745,0.47828
0.75,0.47952
0.755,0.48134
0.76,0.4837
0.765,0.48498
0.77,0.48631
0.775,0.48684
0.78,0.4889
0.785,0.48915
0.79,0.49124
0.795,0.49149
0.8,0.49271
0.805,0.49322
0.81,0.49298
0.815,0.49356
0.82,0.49369
0.825,0.49344
0.83,0.49308
0.835,0.49054
0.84,0.49116
0.845,0.48944
0.85,0.48743
0.855,0.48636
0.86,0.48338
0.865,0.48088
0.87,0.47887
0.875,0.4763
0.88,0.47356
0.885,0.4693
0.89,0.46657
0.895,0.46333
0.9,0.45981
0.905,0.45482
0.91,0.45082
0.915,0.44491
0.92,0.4412
0.925,0.43755
0.93,0.43235
0.935,0.42772
0.94,0.42315
0.945,0.41705
0.95,0.4115
0.955,0.406
0.96,0.40066
0.965,0.39531
0.97,0.38969
0.975,0.38398
0.98,0.38002
