Brown University Keck/NASA Relab Spectrum MS-CMP-015-A/C2MS15,
W,R
0.3,0.05607
0.305,0.06228
0.31,0.06529
0.315,0.06882
0.32,0.07529
0.325,0.07857
0.33,0.08347
0.335,0.08921
0.34,0.09429
0.345,0.10011
0.35,0.1064
0.355,0.11135
0.36,0.11744
0.365,0.12289
0.37,0.12905
0.375,0.13411
0.38,0.13932
0.385,0.14429
0.39,0.14757
0.395,0.15192
0.4,0.15395
0.405,0.15688
0.41,0.16059
0.415,0.16235
0.42,0.16476
0.425,0.16719
0.43,0.17076
0.435,0.1732
0.44,0.17525
0.445,0.17735
0.45,0.17959
0.455,0.18167
0.46,0.18402
0.465,0.18609
0.47,0.18809
0.475,0.19018
0.48,0.19259
0.485,0.19492
0.49,0.197
0.495,0.19923
0.5,0.20236
0.505,0.20451
0.51,0.20706
0.515,0.2099
0.52,0.21255
0.525,0.21477
0.53,0.21691
0.535,0.21887
0.54,0.22026
0.545,0.222
0.55,0.2232
0.555,0.2247
0.56,0.22712
0.565,0.22813
0.57,0.22926
0.575,0.23028
0.58,0.23098
0.585,0.23181
0.59,0.23277
0.595,0.23327
0.6,0.23388
0.605,0.23507
0.61,0.23562
0.615,0.23599
0.62,0.23643
0.625,0.23708
0.63,0.23721
0.635,0.23797
0.64,0.23823
0.645,0.2385
0.65,0.23948
0.655,0.2392
0.66,0.24006
0.665,0.24031
0.67,0.24079
0.675,0.24139
0.68,0.24218
0.685,0.24197
0.69,0.24225
0.695,0.24296
0.7,0.24262
0.705,0.24371
0.71,0.24386
0.715,0.24386
0.72,0.24504
0.725,0.24487
0.73,0.24529
0.735,0.24523
0.74,0.24598
0.745,0.24628
0.75,0.24674
0.755,0.24689
0.76,0.24776
0.765,0.2478
0.77,0.24787
0.775,0.24724
0.78,0.24818
0.785,0.24836
0.79,0.24864
0.795,0.24837
0.8,0.24827
0.805,0.24869
0.81,0.24859
0.815,0.2479
0.82,0.24856
0.825,0.24748
0.83,0.24781
0.835,0.24666
0.84,0.24659
0.845,0.24589
0.85,0.24607
0.855,0.2453
0.86,0.24419
0.865,0.24286
0.87,0.24157
0.875,0.24037
0.88,0.23983
0.885,0.23787
0.89,0.2371
0.895,0.23558
0.9,0.23475
0.905,0.2326
0.91,0.23181
0.915,0.22948
0.92,0.22804
0.925,0.22633
0.93,0.22492
0.935,0.22197
0.94,0.22054
0.945,0.21808
0.95,0.21613
0.955,0.2145
0.96,0.21235
0.965,0.20999
0.97,0.20832
0.975,0.2054
0.98,0.20427
0.985,0.20267
0.99,0.20049
0.995,0.19886
1,0.19718
1.005,0.19556
1.01,0.19462
1.015,0.19358
1.02,0.1925
1.025,0.19219
1.03,0.19166
1.035,0.19252
1.04,0.19189
1.045,0.19234
1.05,0.19281
1.055,0.19401
1.06,0.19516
1.065,0.19637
1.07,0.19912
1.075,0.20058
1.08,0.20331
1.085,0.20487
1.09,0.20778
1.095,0.21098
1.1,0.21389
1.105,0.21697
1.11,0.22026
1.115,0.2233
1.12,0.22589
1.125,0.22929
1.13,0.2314
1.135,0.23457
1.14,0.23691
1.145,0.23938
1.15,0.24174
1.155,0.24404
1.16,0.24591
1.165,0.24807
1.17,0.25006
1.175,0.252
1.18,0.25351
1.185,0.25558
1.19,0.2565
1.195,0.25859
1.2,0.2597
1.205,0.26068
1.21,0.26269
1.215,0.26365
1.22,0.2647
1.225,0.26567
1.23,0.26818
1.235,0.26899
1.24,0.2701
1.245,0.27077
1.25,0.27245
1.255,0.27346
1.26,0.27566
1.265,0.27601
1.27,0.27687
1.275,0.27826
1.28,0.27948
1.285,0.28038
1.29,0.2812
1.295,0.28264
1.3,0.28398
1.305,0.28412
1.31,0.28618
1.315,0.28639
1.32,0.28853
1.325,0.28907
1.33,0.29011
1.335,0.29128
1.34,0.29221
1.345,0.29324
1.35,0.2938
1.355,0.29408
1.36,0.29471
1.365,0.29505
1.37,0.29695
1.375,0.29709
1.38,0.29677
1.385,0.29848
1.39,0.29612
1.395,0.29783
1.4,0.2996
1.405,0.29963
1.41,0.30181
1.415,0.3033
1.42,0.30417
1.425,0.30577
1.43,0.30583
1.435,0.30758
1.44,0.30775
1.445,0.30824
1.45,0.30935
1.455,0.3104
1.46,0.31032
1.465,0.31221
1.47,0.31259
1.475,0.31307
1.48,0.31328
1.485,0.3147
1.49,0.31482
1.495,0.31578
1.5,0.31713
1.505,0.31727
1.51,0.31824
1.515,0.3177
1.52,0.31899
1.525,0.31878
1.53,0.32048
1.535,0.3205
1.54,0.32084
1.545,0.32053
1.55,0.32131
1.555,0.32108
1.56,0.32166
1.565,0.32186
1.57,0.32221
1.575,0.32192
1.58,0.32273
1.585,0.32448
1.59,0.324
1.595,0.32338
1.6,0.32479
1.605,0.32469
1.61,0.3247
1.615,0.32475
1.62,0.32443
1.625,0.32378
1.63,0.32431
1.635,0.32481
1.64,0.32494
1.645,0.32417
1.65,0.32473
1.655,0.32492
1.66,0.32644
1.665,0.32592
1.67,0.32555
1.675,0.32698
1.68,0.32622
1.685,0.32634
1.69,0.32546
1.695,0.32649
1.7,0.32595
1.705,0.32616
1.71,0.32547
1.715,0.32555
1.72,0.32709
1.725,0.32592
1.73,0.32567
1.735,0.32577
1.74,0.32521
1.745,0.32509
1.75,0.32503
1.755,0.32499
1.76,0.32499
1.765,0.32379
1.77,0.324
1.775,0.32426
1.78,0.32303
1.785,0.3225
1.79,0.32274
1.795,0.32306
1.8,0.32276
1.805,0.3223
1.81,0.32247
1.815,0.32104
1.82,0.32143
1.825,0.32102
1.83,0.32084
1.835,0.32039
1.84,0.3198
1.845,0.31972
1.85,0.31895
1.855,0.31812
1.86,0.31921
1.865,0.31829
1.87,0.31803
1.875,0.31714
1.88,0.31742
1.885,0.31702
1.89,0.31484
1.895,0.31488
1.9,0.31281
1.905,0.31171
1.91,0.31118
1.915,0.31071
1.92,0.3111
1.925,0.31067
1.93,0.31057
1.935,0.30926
1.94,0.30948
1.945,0.31083
1.95,0.31071
1.955,0.30998
1.96,0.30996
1.965,0.30959
1.97,0.31031
1.975,0.31
1.98,0.30993
1.985,0.30945
1.99,0.30875
1.995,0.30833
2,0.30854
2.005,0.30928
2.01,0.30833
2.015,0.30818
2.02,0.30866
2.025,0.30894
2.03,0.30816
2.035,0.30753
2.04,0.30808
2.045,0.3077
2.05,0.30675
2.055,0.3069
2.06,0.30617
2.065,0.30566
2.07,0.30616
2.075,0.30597
2.08,0.30497
2.085,0.30516
2.09,0.30416
2.095,0.30429
2.1,0.30333
2.105,0.3039
2.11,0.3039
2.115,0.30282
2.12,0.30315
2.125,0.30302
2.13,0.30194
2.135,0.30137
2.14,0.30059
2.145,0.29948
2.15,0.29886
2.155,0.29713
2.16,0.29738
2.165,0.29687
2.17,0.29671
2.175,0.297
2.18,0.296
2.185,0.29548
2.19,0.2956
2.195,0.29505
2.2,0.29509
2.205,0.29377
2.21,0.29341
2.215,0.29361
2.22,0.2931
2.225,0.29238
2.23,0.29175
2.235,0.29117
2.24,0.28941
2.245,0.28867
2.25,0.28897
2.255,0.28967
2.26,0.28922
2.265,0.28989
2.27,0.29009
2.275,0.28824
2.28,0.28848
2.285,0.28788
2.29,0.28717
2.295,0.28687
2.3,0.28664
2.305,0.28531
2.31,0.28447
2.315,0.28457
2.32,0.28478
2.325,0.28532
2.33,0.28561
2.335,0.28547
2.34,0.28667
2.345,0.28624
2.35,0.28649
2.355,0.28727
2.36,0.28824
2.365,0.28841
2.37,0.28907
2.375,0.2904
2.38,0.29
2.385,0.29001
2.39,0.29087
2.395,0.2909
2.4,0.29277
2.405,0.29296
2.41,0.29458
2.415,0.29501
2.42,0.29598
2.425,0.29581
2.43,0.29619
2.435,0.29739
2.44,0.29771
2.445,0.2982
2.45,0.29868
2.455,0.29915
2.46,0.30049
2.465,0.30025
2.47,0.30096
2.475,0.30291
2.48,0.30345
2.485,0.30429
2.49,0.3056
2.495,0.30632
2.5,0.30724
2.505,0.30885
2.51,0.30911
2.515,0.31093
2.52,0.31086
2.525,0.31159
2.53,0.31243
2.535,0.31385
2.54,0.316
2.545,0.31638
2.55,0.31718
2.555,0.31731
2.56,0.31823
2.565,0.31941
2.57,0.32064
2.575,0.32191
2.58,0.32106
2.585,0.32203
2.59,0.32357
2.595,0.32499
2.6,0.32567
