Brown University Keck/NASA Relab Spectrum MS-CMP-042-A/CAMS42,
W,R
0.3,0.2093
0.305,0.22362
0.31,0.23322
0.315,0.25075
0.32,0.27297
0.325,0.29448
0.33,0.32315
0.335,0.35062
0.34,0.37991
0.345,0.40627
0.35,0.43122
0.355,0.45395
0.36,0.47796
0.365,0.49493
0.37,0.51075
0.375,0.52443
0.38,0.53614
0.385,0.54418
0.39,0.55291
0.395,0.56002
0.4,0.56637
0.405,0.5759
0.41,0.58541
0.415,0.59247
0.42,0.59785
0.425,0.60228
0.43,0.6081
0.435,0.61375
0.44,0.61936
0.445,0.62213
0.45,0.62323
0.455,0.62706
0.46,0.63421
0.465,0.6406
0.47,0.64482
0.475,0.65523
0.48,0.66207
0.485,0.6629
0.49,0.66512
0.495,0.6694
0.5,0.67965
0.505,0.689
0.51,0.69387
0.515,0.69987
0.52,0.70291
0.525,0.7068
0.53,0.71216
0.535,0.71635
0.54,0.72068
0.545,0.7257
0.55,0.72932
0.555,0.73019
0.56,0.73269
0.565,0.73475
0.57,0.73364
0.575,0.73378
0.58,0.73465
0.585,0.73239
0.59,0.73003
0.595,0.7304
0.6,0.73071
0.605,0.73001
0.61,0.72753
0.615,0.72638
0.62,0.72409
0.625,0.72104
0.63,0.72018
0.635,0.72059
0.64,0.7194
0.645,0.72105
0.65,0.72328
0.655,0.72376
0.66,0.72414
0.665,0.72385
0.67,0.72434
0.675,0.72344
0.68,0.72247
0.685,0.72156
0.69,0.71745
0.695,0.71498
0.7,0.71212
0.705,0.70932
0.71,0.70507
0.715,0.70131
0.72,0.69703
0.725,0.69205
0.73,0.68777
0.735,0.6837
0.74,0.67666
0.745,0.67156
0.75,0.66635
0.755,0.65946
0.76,0.65268
0.765,0.64507
0.77,0.63884
0.775,0.63158
0.78,0.62582
0.785,0.62084
0.79,0.6146
0.795,0.60945
0.8,0.60492
0.805,0.60016
0.81,0.5961
0.815,0.59147
0.82,0.5882
0.825,0.58289
0.83,0.57948
0.835,0.57641
0.84,0.57383
0.845,0.56952
0.85,0.5673
0.855,0.56236
0.86,0.562
0.865,0.55951
0.87,0.55536
0.875,0.5565
0.88,0.55203
0.885,0.54993
0.89,0.54752
0.895,0.5424
0.9,0.53921
0.905,0.53676
0.91,0.53167
0.915,0.52889
0.92,0.5236
0.925,0.51928
0.93,0.5154
0.935,0.50994
0.94,0.50405
0.945,0.49899
0.95,0.49253
0.955,0.48766
0.96,0.48164
0.965,0.47609
0.97,0.47084
0.975,0.46477
0.98,0.45861
0.985,0.45318
0.99,0.44831
0.995,0.44344
1,0.43768
1.005,0.43339
1.01,0.42979
1.015,0.4265
1.02,0.42348
1.025,0.4205
1.03,0.41791
1.035,0.41552
1.04,0.41426
1.045,0.41353
1.05,0.41222
1.055,0.41286
1.06,0.4136
1.065,0.4138
1.07,0.41491
1.075,0.41692
1.08,0.41921
1.085,0.42196
1.09,0.42493
1.095,0.42823
1.1,0.43124
1.105,0.43434
1.11,0.43814
1.115,0.44171
1.12,0.44508
1.125,0.44856
1.13,0.45259
1.135,0.45538
1.14,0.45892
1.145,0.46119
1.15,0.46446
1.155,0.46696
1.16,0.46968
1.165,0.47219
1.17,0.47483
1.175,0.47599
1.18,0.47866
1.185,0.48025
1.19,0.48203
1.195,0.48374
1.2,0.48678
1.205,0.48813
1.21,0.48993
1.215,0.49303
1.22,0.49356
1.225,0.49486
1.23,0.49648
1.235,0.49841
1.24,0.49955
1.245,0.50197
1.25,0.50335
1.255,0.50508
1.26,0.50739
1.265,0.51073
1.27,0.51376
1.275,0.51573
1.28,0.51833
1.285,0.51992
1.29,0.52258
1.295,0.52588
1.3,0.52896
1.305,0.53218
1.31,0.53546
1.315,0.53832
1.32,0.54219
1.325,0.54608
1.33,0.54957
1.335,0.55381
1.34,0.55734
1.345,0.55959
1.35,0.5618
1.355,0.56155
1.36,0.56509
1.365,0.57052
1.37,0.57442
1.375,0.58027
1.38,0.58391
