Brown University Keck/NASA Relab Spectrum MS-CMP-042-B/CBMS42,
W,R
0.3,0.16788
0.305,0.17984
0.31,0.19263
0.315,0.20364
0.32,0.21784
0.325,0.23617
0.33,0.2535
0.335,0.27253
0.34,0.2894
0.345,0.30571
0.35,0.32015
0.355,0.33296
0.36,0.34397
0.365,0.35454
0.37,0.36183
0.375,0.36791
0.38,0.37342
0.385,0.37743
0.39,0.38117
0.395,0.38401
0.4,0.38742
0.405,0.39357
0.41,0.39969
0.415,0.40186
0.42,0.4045
0.425,0.40784
0.43,0.41129
0.435,0.41414
0.44,0.41793
0.445,0.41958
0.45,0.42159
0.455,0.42458
0.46,0.42855
0.465,0.43252
0.47,0.43644
0.475,0.44115
0.48,0.44577
0.485,0.44672
0.49,0.44938
0.495,0.45273
0.5,0.45701
0.505,0.46119
0.51,0.4651
0.515,0.46887
0.52,0.47073
0.525,0.47402
0.53,0.47657
0.535,0.47944
0.54,0.48242
0.545,0.4856
0.55,0.48781
0.555,0.48916
0.56,0.49143
0.565,0.49336
0.57,0.49474
0.575,0.49637
0.58,0.49786
0.585,0.49851
0.59,0.49995
0.595,0.50147
0.6,0.50263
0.605,0.50475
0.61,0.50547
0.615,0.50664
0.62,0.50693
0.625,0.50785
0.63,0.50876
0.635,0.50968
0.64,0.51032
0.645,0.51253
0.65,0.51379
0.655,0.5152
0.66,0.51684
0.665,0.51798
0.67,0.51841
0.675,0.51932
0.68,0.5206
0.685,0.52082
0.69,0.52052
0.695,0.52188
0.7,0.52141
0.705,0.52024
0.71,0.51992
0.715,0.51967
0.72,0.51907
0.725,0.51782
0.73,0.51612
0.735,0.51531
0.74,0.5135
0.745,0.51146
0.75,0.50913
0.755,0.50698
0.76,0.50427
0.765,0.50012
0.77,0.49809
0.775,0.49426
0.78,0.4929
0.785,0.48999
0.79,0.48754
0.795,0.48483
0.8,0.48407
0.805,0.48105
0.81,0.47819
0.815,0.47728
0.82,0.47579
0.825,0.47285
0.83,0.47059
0.835,0.47072
0.84,0.4696
0.845,0.46743
0.85,0.46649
0.855,0.46405
0.86,0.46419
0.865,0.46267
0.87,0.46035
0.875,0.45986
0.88,0.45946
0.885,0.4581
0.89,0.45739
0.895,0.45523
0.9,0.45297
0.905,0.45208
0.91,0.44943
0.915,0.4458
0.92,0.4431
0.925,0.44109
0.93,0.43766
0.935,0.43511
0.94,0.43036
0.945,0.42732
0.95,0.42251
0.955,0.41952
0.96,0.41462
0.965,0.41075
0.97,0.40714
0.975,0.40243
0.98,0.39851
0.985,0.39435
0.99,0.39154
0.995,0.38615
1,0.38363
1.005,0.37931
1.01,0.37712
1.015,0.37396
1.02,0.37153
1.025,0.37101
1.03,0.36793
1.035,0.36643
1.04,0.36495
1.045,0.36505
1.05,0.3643
1.055,0.36447
1.06,0.36522
1.065,0.36525
1.07,0.36634
1.075,0.36767
1.08,0.37066
1.085,0.37278
1.09,0.37581
1.095,0.37859
1.1,0.3813
1.105,0.38415
1.11,0.38702
1.115,0.39062
1.12,0.39349
1.125,0.39683
1.13,0.39951
1.135,0.4023
1.14,0.40548
1.145,0.40764
1.15,0.41103
1.155,0.41267
1.16,0.4149
1.165,0.41647
1.17,0.41885
1.175,0.4207
1.18,0.42321
1.185,0.42478
1.19,0.4259
1.195,0.42743
1.2,0.43321
1.205,0.43546
1.21,0.43698
1.215,0.43888
1.22,0.43945
1.225,0.44007
1.23,0.44299
1.235,0.4444
1.24,0.44594
1.245,0.44773
1.25,0.44889
1.255,0.4509
1.26,0.45231
1.265,0.45532
1.27,0.45787
1.275,0.46047
1.28,0.46222
1.285,0.46361
1.29,0.46608
1.295,0.4683
1.3,0.4717
1.305,0.47438
1.31,0.47732
1.315,0.47997
1.32,0.48296
1.325,0.48646
1.33,0.4891
1.335,0.49297
1.34,0.49583
1.345,0.49807
1.35,0.50006
1.355,0.5011
1.36,0.50307
1.365,0.50497
1.37,0.509
1.375,0.51441
1.38,0.51805
1.385,0.52293
1.39,0.5267
1.395,0.53027
1.4,0.53413
1.405,0.53716
1.41,0.54144
1.415,0.5454
1.42,0.54846
1.425,0.55249
1.43,0.55676
1.435,0.56046
1.44,0.56335
1.445,0.56761
1.45,0.57
1.455,0.57419
1.46,0.57671
1.465,0.58104
1.47,0.58436
1.475,0.58732
1.48,0.59003
1.485,0.59367
1.49,0.59717
1.495,0.59924
1.5,0.60257
1.505,0.60554
1.51,0.60856
1.515,0.61031
1.52,0.61348
1.525,0.61741
1.53,0.61925
1.535,0.62188
1.54,0.62524
1.545,0.62679
1.55,0.62902
1.555,0.63062
1.56,0.63259
1.565,0.63516
1.57,0.63789
1.575,0.63955
1.58,0.64192
1.585,0.64417
1.59,0.64549
1.595,0.64697
1.6,0.6489
1.605,0.64894
1.61,0.6514
1.615,0.65202
1.62,0.65426
1.625,0.6556
1.63,0.65617
1.635,0.65696
1.64,0.65989
1.645,0.66072
1.65,0.6616
1.655,0.6619
1.66,0.66288
1.665,0.6638
1.67,0.66552
1.675,0.66632
1.68,0.66733
1.685,0.66948
1.69,0.6694
1.695,0.67091
1.7,0.672
1.705,0.67235
1.71,0.67343
1.715,0.67366
1.72,0.67463
1.725,0.67493
1.73,0.67526
1.735,0.67673
1.74,0.67689
1.745,0.6779
1.75,0.67857
1.755,0.67856
1.76,0.67883
1.765,0.67916
1.77,0.67987
1.775,0.68064
1.78,0.68109
1.785,0.68145
1.79,0.68276
1.795,0.68318
1.8,0.68311
1.805,0.68291
1.81,0.68402
1.815,0.68453
1.82,0.68577
1.825,0.68695
1.83,0.68855
1.835,0.6903
1.84,0.69039
1.845,0.69001
1.85,0.68895
1.855,0.68862
1.86,0.68802
1.865,0.69011
1.87,0.68951
1.875,0.6895
1.88,0.69181
1.885,0.69186
1.89,0.69254
1.895,0.69362
1.9,0.69435
1.905,0.69366
1.91,0.69378
1.915,0.694
1.92,0.69312
1.925,0.69288
1.93,0.69371
1.935,0.69359
1.94,0.69353
1.945,0.69457
1.95,0.6961
1.955,0.69675
1.96,0.69742
1.965,0.69786
1.97,0.69839
1.975,0.69898
1.98,0.69991
1.985,0.70026
1.99,0.7008
1.995,0.70122
2,0.701
2.005,0.70169
2.01,0.70188
2.015,0.70267
2.02,0.70281
2.025,0.70345
2.03,0.70397
2.035,0.70504
2.04,0.70491
2.045,0.70511
2.05,0.70529
2.055,0.70573
2.06,0.70605
2.065,0.70598
2.07,0.70579
2.075,0.70705
2.08,0.70731
2.085,0.70791
2.09,0.70871
2.095,0.70942
2.1,0.70933
2.105,0.70954
2.11,0.70981
2.115,0.71059
2.12,0.71044
2.125,0.71182
2.13,0.71216
2.135,0.71205
2.14,0.71106
2.145,0.71143
2.15,0.71095
2.155,0.71123
2.16,0.71224
2.165,0.71257
2.17,0.71266
2.175,0.71289
2.18,0.71352
2.185,0.71361
2.19,0.71348
2.195,0.71455
2.2,0.71429
2.205,0.71524
2.21,0.71589
2.215,0.71594
2.22,0.7172
2.225,0.71769
2.23,0.7174
2.235,0.71684
2.24,0.71756
2.245,0.71854
2.25,0.71867
2.255,0.71874
2.26,0.71978
2.265,0.71994
2.27,0.72086
2.275,0.72176
2.28,0.72161
2.285,0.72239
2.29,0.72252
2.295,0.72305
2.3,0.72402
2.305,0.72237
2.31,0.72202
2.315,0.72177
2.32,0.72378
2.325,0.7232
2.33,0.72315
2.335,0.72359
2.34,0.72296
2.345,0.72286
2.35,0.72276
2.355,0.72198
2.36,0.72345
2.365,0.72322
2.37,0.72304
2.375,0.72376
2.38,0.72381
2.385,0.72373
2.39,0.72372
2.395,0.7249
2.4,0.72471
2.405,0.72467
2.41,0.7254
2.415,0.72545
2.42,0.72519
2.425,0.72532
2.43,0.72556
2.435,0.72607
2.44,0.72616
2.445,0.72592
2.45,0.72571
2.455,0.7262
2.46,0.72717
2.465,0.72691
2.47,0.72711
2.475,0.72663
2.48,0.72743
2.485,0.72766
2.49,0.72855
2.495,0.72892
2.5,0.72936
2.505,0.72956
2.51,0.72872
2.515,0.72911
2.52,0.72943
2.525,0.73051
2.53,0.72889
2.535,0.72962
2.54,0.731
2.545,0.7294
2.55,0.73111
2.555,0.73222
