Brown University Keck/NASA Relab Spectrum MS-CMP-043-A/CAMS43,
W,R
0.3,0.08468
0.305,0.09046
0.31,0.09503
0.315,0.10486
0.32,0.11479
0.325,0.12506
0.33,0.13413
0.335,0.14656
0.34,0.15711
0.345,0.16835
0.35,0.17922
0.355,0.18879
0.36,0.20216
0.365,0.21451
0.37,0.22646
0.375,0.23781
0.38,0.24907
0.385,0.25861
0.39,0.26811
0.395,0.27605
0.4,0.28167
0.405,0.28829
0.41,0.29141
0.415,0.29727
0.42,0.30295
0.425,0.30867
0.43,0.31534
0.435,0.32172
0.44,0.3284
0.445,0.33304
0.45,0.337
0.455,0.34
0.46,0.34419
0.465,0.34733
0.47,0.34972
0.475,0.35676
0.48,0.36122
0.485,0.366
0.49,0.36972
0.495,0.37347
0.5,0.37916
0.505,0.38302
0.51,0.38667
0.515,0.3932
0.52,0.39853
0.525,0.40245
0.53,0.4057
0.535,0.40863
0.54,0.41135
0.545,0.41444
0.55,0.41771
0.555,0.4204
0.56,0.42389
0.565,0.42612
0.57,0.42865
0.575,0.43041
0.58,0.43205
0.585,0.43378
0.59,0.43539
0.595,0.43702
0.6,0.43848
0.605,0.44038
0.61,0.44149
0.615,0.44278
0.62,0.44467
0.625,0.44592
0.63,0.44737
0.635,0.4494
0.64,0.4511
0.645,0.45266
0.65,0.45338
0.655,0.45545
0.66,0.45667
0.665,0.45808
0.67,0.45895
0.675,0.46162
0.68,0.46287
0.685,0.46305
0.69,0.46498
0.695,0.46595
0.7,0.46671
0.705,0.46912
0.71,0.47046
0.715,0.47097
0.72,0.47121
0.725,0.47208
0.73,0.47296
0.735,0.47472
0.74,0.47711
0.745,0.47707
0.75,0.47979
0.755,0.48173
0.76,0.48204
0.765,0.48268
0.77,0.48418
0.775,0.48568
0.78,0.48651
0.785,0.48778
0.79,0.48765
0.795,0.48892
0.8,0.48945
0.805,0.48975
0.81,0.49016
0.815,0.48961
0.82,0.49042
0.825,0.49002
0.83,0.49002
0.835,0.49017
0.84,0.48851
0.845,0.48819
0.85,0.485
0.855,0.48438
0.86,0.483
0.865,0.48229
0.87,0.4785
0.875,0.47798
0.88,0.47563
0.885,0.47013
0.89,0.46873
0.895,0.4653
0.9,0.46281
0.905,0.45876
0.91,0.45505
0.915,0.45386
0.92,0.44889
0.925,0.4445
0.93,0.4399
0.935,0.43524
0.94,0.43085
0.945,0.42543
0.95,0.42098
0.955,0.41633
0.96,0.41012
0.965,0.40593
0.97,0.40117
0.975,0.3963
0.98,0.39136
0.985,0.3866
0.99,0.38246
0.995,0.37779
1,0.37409
1.005,0.37001
1.01,0.36839
1.015,0.36574
1.02,0.36269
1.025,0.36151
1.03,0.36041
1.035,0.35984
1.04,0.36033
1.045,0.36147
1.05,0.36211
1.055,0.36412
1.06,0.36731
1.065,0.37054
1.07,0.37408
1.075,0.37887
1.08,0.38474
1.085,0.3904
1.09,0.39667
1.095,0.40376
1.1,0.41138
1.105,0.41799
1.11,0.42553
1.115,0.43371
1.12,0.44127
1.125,0.44848
1.13,0.456
1.135,0.46271
1.14,0.46933
1.145,0.47648
1.15,0.48277
1.155,0.4887
1.16,0.49442
1.165,0.49909
1.17,0.50471
1.175,0.50899
1.18,0.5145
1.185,0.51876
1.19,0.52292
1.195,0.52715
1.2,0.53166
1.205,0.53606
1.21,0.53897
1.215,0.54186
1.22,0.54551
1.225,0.54911
1.23,0.5519
1.235,0.55506
1.24,0.55784
1.245,0.55997
1.25,0.56348
1.255,0.56695
1.26,0.57008
1.265,0.57288
1.27,0.57474
1.275,0.57704
1.28,0.57908
1.285,0.58184
1.29,0.5853
1.295,0.58851
1.3,0.58987
1.305,0.59207
1.31,0.59537
1.315,0.59802
1.32,0.60001
1.325,0.60309
1.33,0.60516
1.335,0.60721
1.34,0.61002
1.345,0.61199
1.35,0.61265
1.355,0.6151
1.36,0.61821
1.365,0.61542
1.37,0.61661
1.375,0.6163
1.38,0.62053
1.385,0.61733
1.39,0.60914
1.395,0.60969
1.4,0.61349
1.405,0.6165
1.41,0.61941
1.415,0.62234
1.42,0.62581
1.425,0.62764
1.43,0.63005
1.435,0.63273
1.44,0.63506
1.445,0.63642
1.45,0.63869
1.455,0.64007
1.46,0.64124
1.465,0.64289
1.47,0.64476
1.475,0.64621
1.48,0.64695
1.485,0.64893
1.49,0.6504
1.495,0.65173
1.5,0.65313
1.505,0.65517
1.51,0.65629
1.515,0.65685
1.52,0.65848
1.525,0.65897
1.53,0.6598
1.535,0.66086
1.54,0.66232
1.545,0.66214
1.55,0.66381
1.555,0.66403
1.56,0.66537
1.565,0.66562
1.57,0.6662
1.575,0.66776
1.58,0.66883
1.585,0.66833
1.59,0.66918
1.595,0.66944
1.6,0.66994
1.605,0.67123
1.61,0.67265
1.615,0.67285
1.62,0.67263
1.625,0.67324
1.63,0.67189
1.635,0.67288
1.64,0.67326
1.645,0.67362
1.65,0.67277
1.655,0.67387
1.66,0.67257
1.665,0.67295
1.67,0.67158
1.675,0.67177
1.68,0.67316
1.685,0.67152
1.69,0.672
1.695,0.67214
1.7,0.673
1.705,0.67132
1.71,0.67144
1.715,0.67155
1.72,0.67039
1.725,0.66977
1.73,0.66971
1.735,0.66872
1.74,0.66822
1.745,0.66783
1.75,0.6671
1.755,0.66727
1.76,0.66638
1.765,0.66502
1.77,0.66413
1.775,0.66343
1.78,0.66206
1.785,0.66197
1.79,0.66181
1.795,0.66086
1.8,0.65996
1.805,0.65855
1.81,0.65817
1.815,0.65693
1.82,0.6568
1.825,0.65531
1.83,0.65455
1.835,0.65437
1.84,0.65205
1.845,0.65129
1.85,0.64945
1.855,0.6482
1.86,0.64544
1.865,0.64476
1.87,0.64458
1.875,0.63923
1.88,0.63603
1.885,0.63288
