Brown University Keck/NASA Relab Spectrum MS-CMP-043-B/CBMS43,
W,R
0.3,0.07154
0.305,0.07386
0.31,0.0819
0.315,0.08829
0.32,0.09683
0.325,0.10619
0.33,0.11671
0.335,0.12717
0.34,0.13899
0.345,0.14988
0.35,0.15935
0.355,0.17073
0.36,0.18125
0.365,0.19227
0.37,0.2027
0.375,0.21299
0.38,0.22271
0.385,0.23122
0.39,0.24062
0.395,0.24706
0.4,0.2526
0.405,0.26001
0.41,0.26374
0.415,0.26969
0.42,0.27462
0.425,0.2796
0.43,0.28521
0.435,0.28987
0.44,0.29441
0.445,0.29911
0.45,0.30251
0.455,0.30694
0.46,0.31044
0.465,0.31418
0.47,0.31791
0.475,0.32408
0.48,0.32909
0.485,0.33272
0.49,0.33676
0.495,0.33999
0.5,0.34455
0.505,0.34921
0.51,0.35233
0.515,0.35742
0.52,0.36175
0.525,0.36615
0.53,0.36867
0.535,0.37184
0.54,0.37488
0.545,0.37718
0.55,0.37919
0.555,0.38187
0.56,0.38527
0.565,0.38617
0.57,0.38914
0.575,0.39052
0.58,0.39177
0.585,0.39263
0.59,0.39422
0.595,0.39538
0.6,0.39576
0.605,0.39681
0.61,0.39802
0.615,0.39788
0.62,0.39895
0.625,0.39988
0.63,0.40074
0.635,0.40077
0.64,0.40176
0.645,0.40237
0.65,0.40193
0.655,0.40287
0.66,0.40295
0.665,0.40328
0.67,0.40326
0.675,0.40461
0.68,0.40473
0.685,0.40347
0.69,0.40439
0.695,0.40446
0.7,0.40404
0.705,0.40524
0.71,0.4051
0.715,0.40558
0.72,0.40436
0.725,0.40441
0.73,0.40369
0.735,0.40463
0.74,0.40539
0.745,0.40396
0.75,0.40501
0.755,0.40546
0.76,0.40176
0.765,0.40327
0.77,0.40278
0.775,0.40149
0.78,0.40119
0.785,0.40123
0.79,0.40122
0.795,0.40128
0.8,0.40008
0.805,0.40054
0.81,0.39912
0.815,0.39805
0.82,0.39743
0.825,0.39816
0.83,0.3958
0.835,0.39508
0.84,0.39341
0.845,0.39392
0.85,0.39096
0.855,0.38824
0.86,0.38723
0.865,0.38615
0.87,0.38289
0.875,0.38246
0.88,0.38102
0.885,0.3779
