Brown University Keck/NASA Relab Spectrum MS-CMP-044-A/CAMS44,,
W,R,Standard Deviation
0.3,0.14005,0
0.305,0.15166,0
0.31,0.16091,0
0.315,0.17374,0
0.32,0.18726,0
0.325,0.2019,0
0.33,0.21821,0
0.335,0.23159,0
0.34,0.2472,0
0.345,0.26265,0
0.35,0.27504,0
0.355,0.29092,0
0.36,0.30392,0
0.365,0.31901,0
0.37,0.33223,0
0.375,0.34432,0
0.38,0.35739,0
0.385,0.3677,0
0.39,0.37654,0
0.395,0.38677,0
0.4,0.3936,0
0.405,0.40127,0
0.41,0.40736,0
0.415,0.41475,0
0.42,0.42033,0
0.425,0.42674,0
0.43,0.43414,0
0.435,0.44043,0
0.44,0.44627,0
0.445,0.45191,0
0.45,0.45498,0
0.455,0.45992,0
0.46,0.46459,0
0.465,0.46981,0
0.47,0.47222,0
0.475,0.47682,0
0.48,0.48349,0
0.485,0.48526,0
0.49,0.49023,0
0.495,0.49481,0
0.5,0.49985,0
0.505,0.50607,0
0.51,0.51063,0
0.515,0.51655,0
0.52,0.52195,0
0.525,0.52757,0
0.53,0.52963,0
0.535,0.53362,0
0.54,0.53684,0
0.545,0.5404,0
0.55,0.54267,0
0.555,0.54633,0
0.56,0.54994,0
0.565,0.55238,0
0.57,0.55455,0
0.575,0.55672,0
0.58,0.55876,0
0.585,0.55998,0
0.59,0.56258,0
0.595,0.56375,0
0.6,0.56526,0
0.605,0.5645,0
0.61,0.56699,0
0.615,0.56731,0
0.62,0.56762,0
0.625,0.5686,0
0.63,0.57083,0
0.635,0.57117,0
0.64,0.57226,0
0.645,0.57531,0
0.65,0.57747,0
0.655,0.57827,0
0.66,0.57939,0
0.665,0.58199,0
0.67,0.58316,0
0.675,0.58432,0
0.68,0.58601,0
0.685,0.58665,0
0.69,0.5874,0
0.695,0.58834,0
0.7,0.58875,0
0.705,0.58853,0
0.71,0.58923,0
0.715,0.59001,0
0.72,0.58937,0
0.725,0.58966,0
0.73,0.58949,0
0.735,0.58945,0
0.74,0.58949,0
0.745,0.58986,0
0.75,0.58971,0
0.755,0.589,0
0.76,0.58928,0
0.765,0.58813,0
0.77,0.58889,0
0.775,0.58571,0
0.78,0.58391,0.00274
0.785,0.58309,0.00299
0.79,0.58206,0.00309
0.795,0.58016,0.00293
0.8,0.57969,0.00224
0.805,0.57709,0.00162
0.81,0.57604,0.00331
0.815,0.57425,0.0034
0.82,0.57327,0.00301
0.825,0.57115,0.00308
0.83,0.56997,0.00353
0.835,0.56883,0.003
0.84,0.56648,0.00192
0.845,0.56482,0.00259
0.85,0.56245,0.00303
0.855,0.56065,0.00585
0.86,0.55911,0.00566
0.865,0.55647,0.00511
0.87,0.55489,0.00742
0.875,0.55244,0.00507
0.88,0.54918,0.006
0.885,0.5465,0.00621
0.89,0.54338,0.00514
0.895,0.54022,0.00568
0.9,0.53714,0.00632
0.905,0.53467,0.00702
0.91,0.52915,0.00483
0.915,0.5245,0.00586
0.92,0.52086,0.00533
0.925,0.51576,0.00453
0.93,0.51187,0.00498
0.935,0.50634,0.00617
0.94,0.50081,0.00603
0.945,0.49552,0.00629
0.95,0.4908,0.00637
0.955,0.48484,0.00572
