Brown University Keck/NASA Relab Spectrum MS-CMP-044-B/CBMS44,,
W,R,Standard Deviation
0.3,0.11334,0
0.305,0.11696,0
0.31,0.12357,0
0.315,0.12924,0
0.32,0.14249,0
0.325,0.15451,0
0.33,0.16697,0
0.335,0.18007,0
0.34,0.19207,0
0.345,0.2051,0
0.35,0.21669,0
0.355,0.22912,0
0.36,0.24052,0
0.365,0.25163,0
0.37,0.26112,0
0.375,0.27161,0
0.38,0.27988,0
0.385,0.28795,0
0.39,0.29487,0
0.395,0.30289,0
0.4,0.307,0
0.405,0.31291,0
0.41,0.31814,0
0.415,0.32419,0
0.42,0.3279,0
0.425,0.33227,0
0.43,0.33765,0
0.435,0.34236,0
0.44,0.34626,0
0.445,0.35013,0
0.45,0.35294,0
0.455,0.35715,0
0.46,0.36101,0
0.465,0.36542,0
0.47,0.36843,0
0.475,0.37196,0
0.48,0.37762,0
0.485,0.38038,0
0.49,0.38406,0
0.495,0.38844,0
0.5,0.39236,0
0.505,0.39644,0
0.51,0.40074,0
0.515,0.40519,0
0.52,0.40902,0
0.525,0.41363,0
0.53,0.41663,0
0.535,0.42005,0
0.54,0.42294,0
0.545,0.42653,0
0.55,0.42874,0
0.555,0.43199,0
0.56,0.43535,0
0.565,0.438,0
0.57,0.4399,0
0.575,0.44246,0
0.58,0.44442,0
0.585,0.44615,0
0.59,0.44813,0
0.595,0.44964,0
0.6,0.45183,0
0.605,0.45187,0
0.61,0.45348,0
0.615,0.45455,0
0.62,0.45581,0
0.625,0.45634,0
0.63,0.45855,0
0.635,0.45931,0
0.64,0.46074,0
0.645,0.46266,0
0.65,0.46484,0
0.655,0.46563,0
0.66,0.46722,0
0.665,0.46889,0
0.67,0.46997,0
0.675,0.47156,0
0.68,0.47368,0
0.685,0.47416,0
0.69,0.47434,0
0.695,0.47557,0
0.7,0.47647,0
0.705,0.47744,0
0.71,0.47761,0
0.715,0.47801,0
0.72,0.47805,0
0.725,0.47842,0
0.73,0.47766,0
0.735,0.47832,0
0.74,0.47953,0
0.745,0.47918,0
0.75,0.47979,0
0.755,0.47992,0
0.76,0.48031,0
0.765,0.47996,0
0.77,0.47974,0
0.775,0.48024,0
0.78,0.47957,0.00539
0.785,0.47855,0.00496
0.79,0.47824,0.00534
0.795,0.47698,0.00542
0.8,0.47565,0.00604
0.805,0.47545,0.00489
0.81,0.47453,0.00603
0.815,0.47381,0.00567
0.82,0.47333,0.00582
0.825,0.47121,0.00447
0.83,0.47096,0.00519
0.835,0.47053,0.00572
0.84,0.46843,0.00468
0.845,0.46745,0.00555
0.85,0.46598,0.00529
0.855,0.46506,0.00805
0.86,0.46309,0.00877
0.865,0.46164,0.00924
0.87,0.46096,0.00879
0.875,0.45804,0.00836
0.88,0.45689,0.00785
0.885,0.45436,0.00895
0.89,0.45211,0.00847
0.895,0.44915,0.00794
0.9,0.44715,0.01061
0.905,0.44526,0.01095
0.91,0.44271,0.00704
0.915,0.43903,0.00951
0.92,0.43598,0.00928
0.925,0.43315,0.01118
0.93,0.42792,0.01045
0.935,0.42333,0.01024
0.94,0.41987,0.01001
0.945,0.41447,0.01153
0.95,0.41084,0.01154
0.955,0.40648,0.01105
0.96,0.40185,0.01147
0.965,0.39801,0.01238
0.97,0.39345,0.01119
0.975,0.38833,0.01115
0.98,0.38423,0.01182
0.985,0.37996,0.01212
0.99,0.37563,0.01176
0.995,0.37107,0.01248
1,0.36731,0.01214
1.005,0.36366,0.01182
1.01,0.36074,0.01254
1.015,0.35866,0.01245
1.02,0.35682,0.01206
1.025,0.35491,0.01241
1.03,0.35327,0.01274
1.035,0.35204,0.0127
1.04,0.35157,0.01274
1.045,0.35178,0.01321
1.05,0.35307,0.01438
1.055,0.35381,0.01361
1.06,0.35539,0.01338
1.065,0.35819,0.01394
1.07,0.36085,0.01317
1.075,0.36413,0.01328
1.08,0.36741,0.01329
1.085,0.37188,0.01357
1.09,0.37697,0.01433
1.095,0.38162,0.01398
1.1,0.38636,0.01423
1.105,0.39255,0.01413
1.11,0.39805,0.01408
1.115,0.40265,0.01416
1.12,0.40782,0.01598
1.125,0.41307,0.01614
1.13,0.41878,0.01503
1.135,0.42292,0.01662
1.14,0.42894,0.01441
1.145,0.43345,0.01542
1.15,0.43869,0.01487
1.155,0.44262,0.01467
1.16,0.44632,0.01328
1.165,0.45007,0.01317
1.17,0.45424,0.01408
1.175,0.45774,0.01413
1.18,0.46056,0.01329
1.185,0.46378,0.01329
1.19,0.46655,0.01417
1.195,0.46927,0.01291
1.2,0.4722,0.01637
1.205,0.47495,0.01765
1.21,0.47729,0.01725
1.215,0.47939,0.01673
1.22,0.48194,0.01683
1.225,0.48413,0.01642
1.23,0.48869,0.01589
1.235,0.49118,0.01212
1.24,0.49381,0.0119
1.245,0.49609,0.01261
1.25,0.49868,0.01138
1.255,0.5017,0.01206
1.26,0.50428,0.01144
1.265,0.50664,0.0115
1.27,0.50894,0.01148
1.275,0.51137,0.01211
1.28,0.51399,0.01257
1.285,0.5164,0.01134
1.29,0.51969,0.01116
1.295,0.52299,0.01131
1.3,0.52509,0.01122
1.305,0.52854,0.01114
1.31,0.5309,0.01065
1.315,0.53393,0.01067
1.32,0.53681,0.01099
1.325,0.54023,0.00936
1.33,0.54356,0.01034
1.335,0.54682,0.01061
1.34,0.54913,0.01073
1.345,0.55198,0.01187
1.35,0.55473,0.01454
1.355,0.55924,0.01755
1.36,0.56362,0.01936
1.365,0.56723,0.01787
1.37,0.57075,0.01754
1.375,0.57105,0.01471
1.38,0.57521,0.0181
1.385,0.5775,0.01955
1.39,0.57574,0.01643
1.395,0.57877,0.01851
1.4,0.58332,0.01625
1.405,0.58638,0.01539
