MY_EN_600,
W,R
0.244910652,0.043813456
0.25298952,0.046391826
0.261751939,0.051548566
0.269465928,0.054546383
0.273866867,0.05464261
0.277556638,0.059838827
0.284799183,0.064046874
0.287592418,0.068560106
0.28940174,0.071130606
0.291438006,0.075568116
0.293551399,0.080562011
0.296863488,0.086356558
0.298184113,0.080860559
0.303966859,0.089483911
0.311018234,0.094702334
0.317989477,0.100232258
0.322499858,0.106734726
0.325953117,0.110832232
0.328151909,0.114795244
0.3303507,0.118758256
0.334728111,0.122060766
0.338011889,0.124702774
0.339117048,0.128005284
0.341318722,0.132628798
0.34178136,0.134446547
0.345223197,0.13744899
0.347897806,0.140554822
0.350096597,0.144517834
0.350105242,0.146499339
0.353394784,0.150462351
0.354502825,0.154425363
0.35890298,0.160206496
0.362181305,0.164332893
0.365470847,0.168295905
0.367669638,0.172258917
0.369871312,0.176882431
0.372072985,0.181505945
0.376453277,0.185468956
0.379207198,0.191187645
0.381869228,0.198166691
0.385248443,0.201321004
0.385285906,0.20990753
0.386356484,0.205284016
0.388845257,0.212131245
0.395718108,0.215655017
0.402196182,0.221151016
0.408710588,0.226569293
0.414032933,0.232396327
0.418375337,0.238921411
0.423811432,0.244437766
0.428805825,0.248875276
0.433535559,0.254289852
0.439611851,0.260152251
0.444784424,0.265805278
0.449740425,0.270248604
0.455990335,0.276680958
0.462017877,0.279775002
0.465236328,0.284544254
0.46743512,0.288507266
0.47399115,0.291149273
0.47929286,0.294458139
0.482745971,0.297754293
0.484947644,0.302377807
0.487272437,0.305097307
0.492611715,0.308982827
0.496994889,0.313606341
0.500229237,0.316238579
0.505758355,0.322192867
0.510138648,0.326155878
0.515071796,0.328139791
0.522116648,0.331863006
0.524358748,0.335402906
0.529829791,0.339365918
0.53311357,0.342007926
0.536394466,0.343989432
0.538587494,0.34663144
0.544049892,0.348612946
0.546245801,0.351915456
0.551711081,0.354557464
0.557417204,0.356759695
0.563781866,0.359375384
0.565922536,0.361822985
0.571390697,0.365125495
0.576853094,0.367107001
0.581227623,0.369749009
0.585605034,0.373051519
0.589982444,0.376354029
0.59544196,0.377675033
0.601893905,0.380779245
0.609435465,0.383479748
0.617520698,0.387516933
0.625418243,0.390561013
0.630315298,0.392300487
0.633998545,0.396001496
0.641765444,0.397117968
0.649843424,0.399492782
0.657918296,0.401155152
0.666674843,0.404966163
0.674143677,0.407807716
0.682697093,0.409887683
0.690234953,0.411740038
0.698309973,0.413436334
0.706076669,0.414506543
0.713112301,0.416116482
0.719960416,0.417305152
0.726504919,0.417305152
0.733052303,0.417965654
0.738503173,0.417305152
0.745041913,0.415984148
0.751583533,0.415323646
0.755316676,0.412411771
0.762310013,0.409308681
0.76708293,0.407499298
0.770080182,0.404755614
0.774434539,0.402774108
0.779882528,0.401453104
0.784298409,0.398271449
0.787483199,0.393527081
0.789653173,0.390885073
0.7912719,0.385638671
0.797278063,0.383832578
0.797670431,0.38130849
0.799418055,0.378996037
0.802673016,0.375033025
0.807018727,0.371070013
0.809185819,0.367767503
0.812446543,0.365125495
0.814616517,0.362483487
0.81569574,0.35984148
0.817054485,0.355479557
0.821114911,0.351915456
0.822191253,0.348612946
0.825449095,0.345310436
0.828706938,0.342007926
0.830876912,0.339365918
0.833046885,0.33672391
0.833767194,0.333744353
0.837108645,0.329147391
0.839781865,0.325483391
0.845007389,0.321259615
0.848574153,0.315472822
0.851132527,0.307499262
0.853715397,0.300248163
0.855593646,0.29537317
0.859800747,0.291065548
0.867179309,0.287225134
0.871878493,0.285637401
0.873201781,0.280752068
0.880106733,0.27842572
0.882390452,0.273540388
0.887956891,0.272609848
0.890051062,0.268306103
0.895320014,0.265230961
0.90204192,0.264976517
0.905798643,0.261426684
0.912340263,0.260766182
0.921063385,0.26010568
0.929795152,0.261426684
0.935260431,0.264068692
0.94022412,0.263938383
0.946585451,0.265790739
0.951650506,0.270673712
0.954940048,0.274636724
0.958226708,0.277939234
0.960428381,0.282562748
0.964805792,0.285865258
0.967590287,0.290420955
0.971399284,0.297093791
0.972755404,0.292897547
0.977961078,0.301056803
0.981256383,0.306340819
0.984545925,0.310303831
0.986744717,0.314266843
0.987204707,0.31739206
0.992230168,0.321532365
0.993338209,0.325495376
0.997721383,0.33011889
0.998835188,0.335402906
0.999946111,0.34002642
1.00236412,0.34321453
1.005708246,0.34656835
1.007439001,0.352892141
1.01107118,0.357696051
1.014744698,0.363169432
1.018228864,0.369269635
1.022264647,0.374613775
1.025443717,0.380738534
1.02790955,0.386775409
1.033336151,0.393817901
1.038413897,0.394946709
1.039111954,0.400849819
1.045414596,0.407227891
1.048190499,0.412423403
1.052625186,0.416252185
1.055923077,0.41994716
1.059215501,0.424570674
1.061414293,0.428533686
1.063604439,0.430515192
1.066891099,0.433817701
1.072755807,0.438263321
1.077939812,0.439932476
1.082210595,0.445046235
1.086588006,0.448348745
1.089874666,0.451651255
1.098612197,0.454293263
1.105168226,0.456935271
1.111724256,0.459577279
1.117362607,0.461283187
1.1247672,0.463409212
1.129479232,0.464766248
1.133576728,0.468163804
1.141223508,0.470805812
1.148864524,0.472126816
1.155417672,0.474108322
1.159909004,0.474333357
1.166728173,0.475826098
1.170708351,0.478731836
1.177261499,0.480713342
1.184902515,0.482034346
1.189271281,0.48335535
1.19800593,0.485336856
1.203232481,0.487428762
1.210936664,0.489735724
1.218745605,0.492083397
1.227092846,0.494536241
1.235392435,0.496339969
1.243245624,0.498556463
1.251325085,0.501270536
1.2591763,0.503034684
1.267290154,0.504293027
1.275547035,0.50564698
1.283628568,0.508836016
1.291032989,0.51092246
1.300323228,0.513782415
1.307863841,0.516265792
1.315938565,0.517894236
1.32064734,0.518504903
1.324691478,0.521664465
1.332320967,0.520343461
1.33995622,0.520343461
1.349778738,0.521664465
1.35523249,0.521664465
1.360030586,0.519784394
1.36366909,0.517232681
1.368377199,0.51769068
1.375933694,0.516380449
1.384659697,0.516380449
1.392303596,0.518361955
