MY_OL_30,
W,R
0.255855137,0.078069573
0.258242041,0.079494646
0.261023115,0.080918877
0.263815131,0.083058169
0.266194741,0.084006534
0.268975815,0.085430766
0.27175689,0.086854997
0.274140147,0.088041716
0.275749652,0.090183533
0.278740576,0.092441581
0.281145716,0.095058423
0.28313845,0.096484337
0.286324636,0.098622788
0.288331959,0.101002117
0.289954229,0.103978173
0.290779041,0.106360027
0.291795467,0.10838393
0.292618455,0.110646607
0.293636705,0.112789687
0.294658601,0.115171121
0.295286328,0.117553396
0.298273605,0.11957309
0.30183755,0.120638107
0.304025545,0.121944424
0.307600431,0.123724502
0.309202642,0.125389612
0.310804853,0.127054722
0.312808528,0.129195698
0.315801276,0.131572923
0.318405324,0.13430852
0.320418118,0.137045381
0.323219251,0.139780557
0.326034973,0.143469149
0.32925216,0.147633607
0.330078795,0.150134638
0.332894517,0.15382323
0.333535009,0.157039743
0.335952914,0.160490823
0.337381746,0.163705653
0.33861714,0.167159257
0.339449246,0.170017819
0.340677346,0.172994716
0.341704713,0.17573368
0.342739375,0.178949352
0.34395471,0.181092011
0.344987548,0.184188506
0.346801433,0.18680661
0.348022238,0.189306799
0.349633567,0.191567794
0.351055105,0.194305916
0.352472995,0.196805685
0.353498539,0.199425472
0.354713874,0.201568131
0.355728477,0.203472857
0.357146367,0.205972626
0.357965708,0.207996949
0.358987605,0.210378383
0.360991281,0.212519359
0.362208439,0.214781194
0.363635448,0.217876847
0.365451156,0.220614128
0.366268673,0.222519275
0.367682917,0.22478069
0.368706637,0.227281301
0.370317966,0.229542295
0.371535124,0.23180413
0.372748635,0.233827613
0.373965794,0.236089448
0.374980397,0.237994174
0.376204849,0.240732718
0.376619079,0.242042822
0.377429302,0.243471261
0.378049734,0.245376829
0.378869075,0.247401152
0.379500449,0.250021781
0.380515052,0.251926507
0.381746799,0.255141758
0.383177454,0.258475765
0.383608096,0.260858461
0.384223057,0.262406498
0.386429289,0.264904583
0.387640976,0.266808888
0.390230436,0.268591071
0.391431183,0.269780315
0.394013348,0.27108579
0.395816291,0.272988833
0.398009758,0.27465268
0.400009786,0.276555302
0.401810905,0.278339168
0.404418601,0.281313119
0.40702265,0.284048716
0.408643096,0.286905595
0.411042765,0.289164906
0.412057368,0.291069632
0.41367052,0.293449803
0.414690593,0.29571206
0.41649536,0.297734279
0.417911427,0.300114871
0.419716194,0.302137091
0.421531902,0.304874371
0.422550152,0.307017451
0.423962572,0.309159689
0.425177906,0.311302348
0.426787411,0.313444165
0.427783778,0.314157123
0.428588531,0.315228031
