OC-LP-A2_2,
W,R
250,0.068925492
255,0.070945798
260,0.073034455
265,0.074928043
270,0.076658706
275,0.078197811
280,0.079558028
285,0.080897294
290,0.082491924
295,0.083961367
300,0.085930305
305,0.087645249
310,0.089505324
315,0.09151456
320,0.093803318
325,0.095780625
330,0.097733491
335,0.099365211
340,0.10156028
345,0.103482814
350,0.105170629
355,0.10683871
360,0.108570306
365,0.110699104
370,0.112482194
375,0.114591422
380,0.11667358
385,0.119273303
390,0.121610823
395,0.12396506
400,0.12894028
405,0.129971062
410,0.131372193
415,0.13315512
420,0.135353413
425,0.137763628
430,0.140479545
435,0.143073454
440,0.145823742
445,0.148882565
450,0.151364726
455,0.153449622
460,0.154977877
465,0.156873883
470,0.158795165
475,0.160696793
480,0.162744103
485,0.165002657
490,0.167547246
495,0.170341647
500,0.173449535
505,0.176689601
510,0.180069895
515,0.183551821
520,0.187283027
525,0.191137515
530,0.195050724
535,0.198969056
540,0.202786811
545,0.206614806
550,0.210325187
555,0.214021712
560,0.217417662
565,0.220862682
570,0.22413684
575,0.227384139
580,0.230320145
585,0.233123546
590,0.236667706
595,0.23899397
600,0.241236224
605,0.242386113
610,0.244395288
615,0.246247946
620,0.248043045
625,0.249707142
630,0.251207803
635,0.252605873
640,0.253901638
645,0.255074543
650,0.25613161
655,0.257124415
660,0.258080731
665,0.259039938
670,0.259974876
675,0.260843315
680,0.261571575
685,0.262282243
690,0.262934117
695,0.263567833
700,0.264102508
705,0.26460691
710,0.265000532
715,0.26536554
720,0.265681389
725,0.265993638
730,0.266119886
735,0.26617964
740,0.265905755
745,0.265693417
750,0.265299385
755,0.264965604
760,0.264516755
765,0.263905362
770,0.263260901
775,0.262404028
780,0.261522331
785,0.260575247
790,0.259594234
795,0.258464616
800,0.257108117
805,0.255795616
810,0.254428929
815,0.253101024
820,0.25157602
825,0.24997806
830,0.248411004
835,0.246844735
840,0.2453698
845,0.242743552
850,0.241613912
855,0.240540753
860,0.240852423
865,0.239844018
870,0.239164992
875,0.238281731
880,0.237336674
885,0.236266884
890,0.235443857
895,0.234922785
900,0.234536639
905,0.234383576
910,0.234440737
915,0.234647931
920,0.234789612
925,0.234849471
930,0.234983011
935,0.23496472
940,0.235224472
945,0.235453391
950,0.236006736
955,0.236409764
960,0.236896141
965,0.237442416
970,0.238051422
975,0.238739907
980,0.239403461
985,0.240055873
990,0.240512687
995,0.241041973
1000,0.241390116
1005,0.241775595
1010,0.241999818
1015,0.241984623
1020,0.242339891
1025,0.242487559
1030,0.242973431
1035,0.243015928
1040,0.243303534
1045,0.243370957
1050,0.243482471
1055,0.243553992
1060,0.243914877
1065,0.244296973
1070,0.244644726
1075,0.244768651
1080,0.244941273
1085,0.245230142
1090,0.245661003
1095,0.246142341
1100,0.246616496
1110,0.246920698
1120,0.247644778
1130,0.248240225
1140,0.248656887
1150,0.248901895
1160,0.249101922
1170,0.249188
1180,0.249129267
1190,0.248914616
1200,0.24868271
1210,0.24852715
1220,0.248364521
1230,0.248220383
1240,0.24809117
1250,0.248066184
1260,0.247998293
1270,0.247884855
1280,0.247747802
1290,0.247584857
1300,0.247460119
1310,0.247243719
1320,0.247017751
1330,0.246713894
1340,0.246439553
1350,0.24621217
1360,0.246060058
1370,0.245984564
1380,0.245948049
1390,0.245972677
1400,0.245950927
1410,0.245845699
1420,0.245651484
1430,0.24541693
1440,0.245187443
1450,0.24489561
1460,0.244569218
1470,0.244207344
1480,0.243800689
1490,0.243431855
1500,0.242920873
1510,0.242375986
1520,0.241704785
1530,0.241059981
1540,0.240460221
1550,0.239971368
1560,0.239336944
1570,0.238590733
1580,0.237721034
1590,0.237064805
1600,0.236369778
1610,0.235632009
1620,0.234765432
1630,0.233962504
1640,0.233150388
1650,0.232324062
1660,0.231484151
1670,0.230712762
1680,0.229722699
1690,0.228948728
1700,0.228057229
1710,0.227419607
1720,0.226572661
1730,0.225771729
1740,0.224890485
1750,0.223922341
1760,0.222945481
1770,0.222074572
1780,0.221425497
1790,0.220568149
1800,0.219669944
1810,0.218594694
1820,0.217752382
1830,0.216951965
1840,0.216206189
1850,0.215579115
1860,0.215049321
1870,0.214587367
1880,0.214103217
1890,0.213638877
1900,0.213221112
1910,0.212913282
1920,0.212657456
1930,0.212489318
1940,0.212415123
1950,0.212451114
1960,0.212553044
1970,0.212654054
1980,0.212723343
1990,0.212811384
2000,0.21278792
2010,0.212878745
2020,0.2129147
2030,0.21306636
2040,0.21301881
2050,0.212970706
2060,0.212948413
2070,0.213085883
2080,0.213283335
2090,0.213525053
2100,0.213748719
2110,0.213894595
2120,0.213905021
2130,0.213672574
2140,0.213213925
2150,0.212680154
2160,0.212262107
2170,0.212014685
2180,0.211828799
2190,0.211767905
2200,0.211711147
2210,0.211780141
2220,0.211814076
2230,0.211947637
2240,0.212026412
2250,0.212139452
2260,0.212505091
2270,0.212986766
2280,0.213410764
2290,0.213285337
2300,0.212824015
2310,0.212282583
2320,0.211998883
2330,0.211824248
2340,0.211866093
2350,0.211908359
2360,0.21180935
2370,0.21151557
2380,0.211112906
2390,0.210948289
2400,0.210654806
2410,0.210543907
2420,0.210282724
2430,0.210177828
2440,0.210023331
2450,0.210040816
2460,0.209881104
2470,0.209711163
2480,0.209493791
2490,0.209674092
2500,0.210048012
