OC-AK-Ko,
W,R
0.2,0.1212673
0.201,0.1119776
0.202,0.0955693
0.203,0.0967919
0.204,0.0986155
0.205,0.0951147
0.206,0.0935935
0.207,0.0922119
0.208,0.0880786
0.209,0.0836557
0.21,0.0863208
0.211,0.086966
0.212,0.0848262
0.213,0.0849431
0.214,0.0828819
0.215,0.0806086
0.216,0.0872479
0.217,0.0854586
0.218,0.0810779
0.219,0.0836027
0.22,0.080095
0.221,0.080802
0.222,0.0814924
0.223,0.0817133
0.224,0.0783048
0.225,0.0772452
0.226,0.0782891
0.227,0.076108
0.228,0.0782115
0.229,0.0790874
0.23,0.0775761
0.231,0.077476
0.232,0.0765863
0.233,0.076982
0.234,0.0755571
0.235,0.0751162
0.236,0.0755994
0.237,0.0775575
0.238,0.0764429
0.239,0.074417
0.24,0.0749355
0.241,0.0760128
0.242,0.0751977
0.243,0.0752753
0.244,0.0766825
0.245,0.0750455
0.246,0.074201
0.247,0.0756347
0.248,0.0732985
0.249,0.0748746
0.25,0.0739496
0.251,0.075401
0.252,0.0741234
0.253,0.0751388
0.254,0.0752311
0.255,0.0749061
0.256,0.0749522
0.257,0.0756514
0.258,0.0753961
0.259,0.075622
0.26,0.0760177
0.261,0.0757594
0.262,0.0741499
0.263,0.0759971
0.264,0.0755385
0.265,0.0759774
0.266,0.0757447
0.267,0.0769359
0.268,0.074421
0.269,0.0766177
0.27,0.0757457
0.271,0.0761365
0.272,0.0765824
0.273,0.075619
0.274,0.0758547
0.275,0.0763594
0.276,0.0760845
0.277,0.0762219
0.278,0.0763987
0.279,0.0764184
0.28,0.0773002
0.281,0.0766619
0.282,0.0763182
0.283,0.0773866
0.284,0.07671
0.285,0.0765264
0.286,0.0784138
0.287,0.0769329
0.288,0.0763889
0.289,0.0780868
0.29,0.0754285
0.291,0.0760157
0.292,0.0763094
0.293,0.0766727
0.294,0.0763722
0.295,0.0767837
0.296,0.0761277
0.297,0.0766275
0.298,0.076654
0.299,0.0762563
0.3,0.0752125
0.301,0.0760108
0.302,0.0763565
0.303,0.07682
0.304,0.0772806
0.305,0.0770547
0.306,0.075949
0.307,0.0762986
0.308,0.0765804
0.309,0.077258
0.31,0.0759558
0.311,0.0768279
0.312,0.0771912
0.313,0.0756102
0.314,0.076929
0.315,0.0757535
0.316,0.0775182
0.317,0.0764596
0.318,0.0779719
0.319,0.0767022
0.32,0.0758782
0.321,0.0776959
0.322,0.0766874
0.323,0.0772648
0.324,0.0778354
0.325,0.0770439
0.326,0.0760845
0.327,0.0765244
0.328,0.0773326
0.329,0.0765146
0.33,0.0772923
0.331,0.0772609
0.332,0.0761591
0.333,0.0774141
0.334,0.0780347
0.335,0.0772118
0.336,0.0770861
0.337,0.0774494
0.338,0.0778216
0.339,0.0785228
0.34,0.0778678
0.341,0.0775261
0.342,0.0774485
0.343,0.0773787
0.344,0.0780387
0.345,0.0771588
0.346,0.0779365
0.347,0.078456
0.348,0.0771362
0.349,0.0772835
0.35,0.0774838
0.351,0.0780662
0.352,0.0779424
0.353,0.077911
0.354,0.0777441
0.355,0.0777853
0.356,0.0777804
0.357,0.077472
0.358,0.0763751
0.359,0.0776076
0.36,0.0776243
0.361,0.0780357
0.362,0.0777107
0.363,0.07791
0.364,0.0777784
0.365,0.0783391
0.366,0.0768603
0.367,0.0781378
