OC-AK-Ko5,
W,R
0.253868007,0.075355946
0.259074713,0.075355946
0.26428578,0.075704913
0.2721002,0.076053881
0.277311267,0.076402848
0.282517974,0.076402848
0.286423003,0.076402848
0.292931386,0.076402848
0.299439769,0.076402848
0.305948152,0.076402848
0.311157038,0.076577331
0.315064248,0.076751815
0.316368105,0.076926298
0.321574811,0.076926298
0.326781518,0.076926298
0.331992585,0.077275265
0.338507509,0.077798716
0.343714215,0.077798716
0.348918741,0.077624232
0.355424943,0.077449749
0.358026116,0.077275265
0.363232822,0.077275265
0.369743385,0.077449749
0.374952272,0.077624232
0.378863843,0.078147683
0.38407709,0.078671133
0.389285977,0.078845617
0.395803081,0.079543551
0.401009787,0.079543551
0.406229575,0.080590452
0.414043996,0.080939419
0.417962107,0.08198632
0.423170994,0.082160804
0.430987594,0.082684255
0.432302353,0.083731156
0.436213924,0.084254606
0.442726667,0.084603573
0.444034885,0.085127024
0.446644779,0.085650475
0.45055635,0.086173925
0.45446574,0.086522892
0.458375131,0.086871859
0.462286702,0.08739531
0.466198272,0.08791876
0.470105482,0.088093244
0.472715377,0.088616695
0.476624767,0.088965662
0.480534157,0.089314629
0.484447909,0.090012563
0.488359479,0.090536013
0.490969374,0.091059464
0.497486478,0.091757398
0.498796876,0.092455332
0.502708447,0.092978783
0.506628739,0.094200168
0.506622198,0.093676717
0.511839806,0.094549135
0.513145843,0.094898102
0.517059594,0.095596036
0.519667308,0.095945003
0.523576698,0.09629397
0.528792126,0.096991904
0.532703697,0.097515355
0.535315771,0.098213289
0.537923485,0.098562256
0.541839417,0.099434673
0.544447131,0.09978364
0.549666919,0.100830542
0.55358067,0.101528476
0.556192745,0.10222641
0.558802639,0.10274986
0.56271421,0.103273311
0.565326284,0.103971245
0.571843389,0.104669179
0.577054456,0.105018146
0.579662169,0.105367113
0.58357156,0.10571608
0.586179274,0.106065048
0.590088664,0.106414015
0.593998054,0.106762982
0.597909625,0.107286432
0.601816835,0.107460916
0.607030083,0.107984366
0.61224115,0.108333333
0.617454397,0.108856784
0.622669825,0.109554718
0.627880891,0.109903685
0.633091958,0.110252652
0.639609063,0.110950586
0.64482449,0.11164852
0.651337234,0.111997487
0.656548301,0.112346455
0.661759368,0.112695422
0.666972615,0.113218872
0.672185862,0.113742323
0.677396929,0.11409129
0.681312861,0.114963707
0.68912292,0.114963707
0.69302795,0.114963707
0.698239017,0.115312675
0.703445723,0.115312675
0.709956286,0.115487158
0.713867857,0.116010609
0.717779428,0.116534059
0.726895525,0.116883026
0.733408268,0.117231993
0.743815139,0.116708543
0.747720169,0.116708543
0.752926875,0.116708543
0.756827544,0.116359576
0.764631063,0.115836125
0.771135085,0.115487158
0.77633743,0.115138191
0.781539776,0.114789224
0.785438264,0.114265773
0.79064497,0.114265773
0.795847316,0.113916806
0.802351338,0.113567839
0.806249827,0.113044389
0.810148315,0.112520938
0.814046804,0.111997487
0.817943112,0.111299553
0.820539924,0.110776103
0.821830699,0.109903685
0.824427511,0.109380235
0.827022143,0.1086823
0.829623315,0.108507817
0.834832202,0.1086823
0.840041088,0.108856784
0.846545111,0.108507817
0.850441419,0.107809883
0.85303387,0.106937465
0.856923637,0.10571608
0.856910555,0.104669179
0.85820351,0.103971245
0.863403675,0.103447795
0.865998307,0.10274986
0.871202833,0.102575377
0.875103502,0.10222641
0.879004171,0.101877443
0.885508193,0.101528476
0.890714899,0.101528476
0.898524958,0.101528476
0.905028981,0.101179509
0.911537363,0.101179509
0.916735348,0.100481575
