OC-GS-F,
W,R
0.698753226,0.197646526
0.701536322,0.198070831
0.70571523,0.198495135
0.711295635,0.198636569
0.71408726,0.198636569
0.72106632,0.198636569
0.726652411,0.198495135
0.732241345,0.198212265
0.73643731,0.197787961
0.740633275,0.197363657
0.743433428,0.196939353
0.74623358,0.196515049
0.750429545,0.196090745
0.754628352,0.195525006
0.756038379,0.194817832
0.760237186,0.194252093
0.761644369,0.193686354
0.763057238,0.192837746
0.767256046,0.192272007
0.768666072,0.191564834
0.770070412,0.19114053
0.772870565,0.190716225
0.772879093,0.190291921
0.775686827,0.189490458
0.778027394,0.188783284
0.780367962,0.188076111
0.782708529,0.187368937
0.78388592,0.186661764
0.786221749,0.186190315
0.787401509,0.185365279
0.787415723,0.184658105
0.788590745,0.184068794
0.792094489,0.18336162
0.792108703,0.182654447
0.795607709,0.182182998
0.7967851,0.181475824
0.799125668,0.180768651
0.80029832,0.180297201
0.801480449,0.179354303
0.80265784,0.17864713
0.803832862,0.178057819
0.805010252,0.177350645
0.807348451,0.176761334
0.808528211,0.175936298
0.810868778,0.175229124
0.810878254,0.174757675
0.813214084,0.174286226
0.815559389,0.173343328
0.815571234,0.172754017
0.815585448,0.172046843
0.819089192,0.17133967
0.820261845,0.170868221
0.820276059,0.170161047
0.821451081,0.169571736
0.823791648,0.168864562
0.824971408,0.168039526
0.826148799,0.167332353
0.829652543,0.166625179
0.830829934,0.165918006
0.832007324,0.165210832
0.834347892,0.164503658
0.835525283,0.163796485
0.83670978,0.162735725
0.839052717,0.161910689
0.840230108,0.161203515
0.841409867,0.160378479
0.843750435,0.159671306
0.844932564,0.158728408
0.848433939,0.158139096
0.848448153,0.157431923
0.850786351,0.156842611
0.85312455,0.1562533
0.855467486,0.155428264
0.857810423,0.154603228
0.86015099,0.153896055
0.862491558,0.153188881
0.86600004,0.152245983
0.867182169,0.151303085
0.869520367,0.150713774
0.873026481,0.149888738
0.874201502,0.149299427
0.876544439,0.148474391
