OC-GS-F3,
W,R
0.695184347,0.130863805
0.703252093,0.131354897
0.707284321,0.131682293
0.70970267,0.131927839
0.712927136,0.132255234
0.716956074,0.132746327
0.72260876,0.132828176
0.731492493,0.132910024
0.735531301,0.132910024
0.741980233,0.133564815
0.748445616,0.133401117
0.75248936,0.133155571
0.758959679,0.132746327
0.767845057,0.132746327
0.772701498,0.132255234
0.775134653,0.131764141
0.77757439,0.130945653
0.784046354,0.130454561
0.788906085,0.12979977
0.792145357,0.129390526
0.79539121,0.128653887
0.80024765,0.128162794
0.803500084,0.12709876
0.805931594,0.126689516
0.809983563,0.126034726
0.813224481,0.125543633
0.815660927,0.124888843
0.818100663,0.124070355
0.821344871,0.123415565
0.82296862,0.123006321
0.826211182,0.122433379
0.830264797,0.12169674
0.83351065,0.120960101
0.837562619,0.12030531
0.840002355,0.119486822
0.843239982,0.119159427
0.846482545,0.118586486
0.8489157,0.118095393
0.852972605,0.117195056
0.857019639,0.116785812
0.861069963,0.116212871
0.865121932,0.11555808
0.869978373,0.115066988
0.874028697,0.114494046
0.877266324,0.114166651
0.880507242,0.113675558
0.886173089,0.113102617
0.894257286,0.112775221
0.90072925,0.112284129
0.90800404,0.112038582
0.91527225,0.112120431
0.921734343,0.112120431
0.929807024,0.112365978
0.936262537,0.112693373
0.937869834,0.113102617
0.942711469,0.113348163
0.949162046,0.113921105
0.954806507,0.114412197
0.958840379,0.114657744
0.963673788,0.115312534
0.964471679,0.115803627
0.969310023,0.116212871
0.970912385,0.116867661
0.9733258,0.117358754
0.979774732,0.118013544
0.986225309,0.118586486
0.987826026,0.119323125
0.990241085,0.119732369
0.992649564,0.120469008
0.997482973,0.121123798
0.998284154,0.121451193
1.003119208,0.122024135
1.006338738,0.122597077
1.006325577,0.123251867
1.011162276,0.12374296
1.014383452,0.124234052
1.017602982,0.124806994
1.021630275,0.125379936
1.023235927,0.125871028
1.024843225,0.126280272
1.029674988,0.127016911
1.033700636,0.127671702
1.037729573,0.128162794
1.039336871,0.128572038
1.044978041,0.129226829
1.048197572,0.12979977
1.051415457,0.130454561
1.055444394,0.130945653
1.057046757,0.131600444
1.058649119,0.132255234
1.060254771,0.132746327
1.061860424,0.13323742
1.065892651,0.133564815
1.071560144,0.132910024
1.076405069,0.132991873
1.078009076,0.133564815
1.079616374,0.133974059
1.081222026,0.134465152
1.082021562,0.134874395
1.083630505,0.135201791
1.084436621,0.135283639
1.08927332,0.135774732
1.093326935,0.135038093
1.095758445,0.134628849
1.095730478,0.136020279
1.105400586,0.137166162
1.111851163,0.137739103
1.11102695,0.138557591
1.112680312,0.136675069
1.119933715,0.137493557
1.119917264,0.138312045
1.120715154,0.138803138
1.120700348,0.139539777
1.123107182,0.140358265
1.122281324,0.141258601
1.125499209,0.141913392
1.126290519,0.14273188
1.127887946,0.143632216
1.13678813,0.142895577
1.137586021,0.14338667
1.139186738,0.144123309
1.139175222,0.144696251
1.141588636,0.145187343
1.149676124,0.144696251
1.149692575,0.143877763
1.151329485,0.142813728
1.156136572,0.144778099
1.15611683,0.145760285
1.150506917,0.143550368
1.157712612,0.14674247
1.158510503,0.147233563
1.16011122,0.147970202
1.160099704,0.148543144
1.160894304,0.149197934
1.161682324,0.15018012
1.160861402,0.15083491
1.162467054,0.151326003
1.165703036,0.151080456
1.16975336,0.150507515
1.175410982,0.150343817
1.177014989,0.150916759
1.180227939,0.151817096
1.186676871,0.152471886
1.189889821,0.153372223
1.18987666,0.154027013
1.191479023,0.154681803
1.193091256,0.154845501
1.197924664,0.155500291
1.202766299,0.155745838
1.207601353,0.156318779
1.208395953,0.15697357
1.215680614,0.15623693
1.218926467,0.155500291
1.222173965,0.154681803
1.227013954,0.155009198
1.230236775,0.155418442
1.231839137,0.156073233
1.233439854,0.156809872
1.238288069,0.156728023
1.239084315,0.157300965
1.239882206,0.157792057
1.243106672,0.158119453
1.252789941,0.158610545
1.254395593,0.159101638
1.257641446,0.158364999
1.25927013,0.157710209
1.264896495,0.159101638
1.268917206,0.160001975
1.270521214,0.160574916
1.270512988,0.16098416
1.270508053,0.161229707
1.270499827,0.161638951
1.270491601,0.162048195
1.271284557,0.162784834
1.273699616,0.163194078
1.27611303,0.163685171
1.276907631,0.164339961
1.27932269,0.164749205
1.286590899,0.164831054
1.289027345,0.164176263
1.289846623,0.163603322
1.290665901,0.16303038
1.29629391,0.164339961
1.300317912,0.1650766
1.302726391,0.165813239
1.305136514,0.166468029
1.309979794,0.166631727
1.313196034,0.167368366
1.313181228,0.168105005
1.316402404,0.168596098
1.31962358,0.169087191
1.321229232,0.169578284
1.324445473,0.170314923
1.325249944,0.17047862
1.32847441,0.170806015
1.331693941,0.171378957
1.337330176,0.172279294
1.343787333,0.17252484
1.347006864,0.173097782
1.351845208,0.173507026
1.35750941,0.173015933
1.363969858,0.173097782
1.368804912,0.173670723
1.371215036,0.174325514
1.378493117,0.17391627
1.382518764,0.17457106
1.386547701,0.175062153
1.390573348,0.175716943
1.390553607,0.176699129
1.398622997,0.177108373
1.406690743,0.177599465
1.409099222,0.178336104
1.411512636,0.178827197
1.414732166,0.179400139
1.414722296,0.179891231
1.418744652,0.180709719
1.423579706,0.181282661
1.430847916,0.18136451
1.437300138,0.181855602
1.440518024,0.182510393
1.442938018,0.18267409
1.446976827,0.18267409
1.456668321,0.182755939
1.461513246,0.182837788
1.463931595,0.183083334
1.466349945,0.183328881
1.472004276,0.183328881
1.475232033,0.183492578
1.483294843,0.184229217
1.488143058,0.184147369
1.492190092,0.183738125
1.496237126,0.183328881
1.502695928,0.183492578
1.507532628,0.183983671
1.509136635,0.184556613
1.511551694,0.184965857
1.513963463,0.185538798
1.516378522,0.185948042
1.522036144,0.185784345
1.528494947,0.185948042
1.534961975,0.185702496
1.539818416,0.185211403
1.545477683,0.184965857
1.552747538,0.184965857
1.555975294,0.185129554
1.560007522,0.185456949
1.563248439,0.184965857
1.567282312,0.185211403
1.570521584,0.184802159
1.57295145,0.184474764
1.578607426,0.184392915
1.581830247,0.184802159
1.586668591,0.185211403
1.588279179,0.185456949
1.592311407,0.185784345
1.595552324,0.185293252
1.599602648,0.18472031
1.606079548,0.183983671
1.610931053,0.183738125
1.61417197,0.183247032
1.621450051,0.182837788
1.627099447,0.183083334
1.632755424,0.183001486
1.636800812,0.18267409
1.641655608,0.182264846
1.64489488,0.181855602
1.650559082,0.18136451
1.65622164,0.180955266
1.66349972,0.180546022
1.665919715,0.180709719
1.670779446,0.180054929
1.675630951,0.179809383
1.681285282,0.179809383
1.68695113,0.179236441
1.694224275,0.179072744
1.699881897,0.178909046
1.707969384,0.178417953
1.71524911,0.17792686
1.720916602,0.17727207
1.725773043,0.176780977
1.730626193,0.176453582
1.738712035,0.176044338
1.74356354,0.175798792
1.748416691,0.175471397
1.757308649,0.175144001
1.764581795,0.174980304
1.771053758,0.174489211
1.782359131,0.174652909
1.78882616,0.174407362
1.795293188,0.174161816
1.800146339,0.173834421
1.806611722,0.173670723
1.812270989,0.173425177
1.819545779,0.17317963
1.824390704,0.173261479
1.829233983,0.173425177
1.835696077,0.173425177
1.842960996,0.173670723
1.849428025,0.173425177
1.855080711,0.173507026
1.861541159,0.173588874
1.866389374,0.173507026
1.872856402,0.173261479
1.876084159,0.173425177
1.883354013,0.173425177
1.885787169,0.172934084
1.890628804,0.17317963
1.896288071,0.172934084
1.90112806,0.173261479
1.90434759,0.173834421
1.90919416,0.173834421
1.914846847,0.17391627
1.920497888,0.174079967
1.925334587,0.17457106
1.932601151,0.174734758
1.935835488,0.17457106
1.94148982,0.17457106
1.947140861,0.174734758
1.953599664,0.174898455
1.960060112,0.174980304
1.963294449,0.174816606
1.968141019,0.174816606
1.972981008,0.175144001
1.976203829,0.175553245
1.97942665,0.175962489
1.982652761,0.176208036
1.98506782,0.17661728
1.991526623,0.176780977
1.995562141,0.176944675
1.997171084,0.17727207
2.002808964,0.178090558
2.005228958,0.178254256
2.011689406,0.178336104
2.017338802,0.178581651
2.022989844,0.178745348
2.029443711,0.179154592
2.035091462,0.179481988
2.042361317,0.179481988
2.048009068,0.179809383
2.056076813,0.180300475
2.059297989,0.180791568
2.064932579,0.181773754
2.072197498,0.1820193
2.079457482,0.182510393
2.08348642,0.183001486
2.085904769,0.183247032
2.089940287,0.18341073
2.09639909,0.183574427
2.102859538,0.183656276
2.109324921,0.183492578
2.112542807,0.184147369
2.116571744,0.184638461
2.123022322,0.185211403
2.125437381,0.185620647
2.129466318,0.18611174
2.133495256,0.186602832
2.137530773,0.18676653
2.139942542,0.187339472
2.143973125,0.187748716
2.147200881,0.187912413
2.152040871,0.188239808
2.157690267,0.188485355
2.164951896,0.188894599
2.171412344,0.188976447
2.176255623,0.189140145
2.180289496,0.189385691
2.184321724,0.189713087
2.189161713,0.190040482
2.193193941,0.190367877
2.19803722,0.190531575
2.2028805,0.190695272
2.20772378,0.19085897
2.210140484,0.191186365
2.217403758,0.19151376
2.227093608,0.191677458
2.231940177,0.191677458
2.238402271,0.191677458
2.240014504,0.191841155
2.244046731,0.19216855
2.249692837,0.192577794
2.254534472,0.192823341
2.259371171,0.193314433
2.262597282,0.19355998
2.268243388,0.193969224
2.273892784,0.19421477
2.281162638,0.19421477
2.286010853,0.194132921
2.29408847,0.194132921
2.301351744,0.194460317
2.307815482,0.194378468
2.317505332,0.194542165
2.322345321,0.194869561
2.325569787,0.195196956
2.3320253,0.195524351
2.339293509,0.1956062
2.347364545,0.195933595
2.350589011,0.19626099
2.354617949,0.196752083
2.357839124,0.197243176
2.364289702,0.197816117
2.371552976,0.198143512
2.377199082,0.198552756
2.382841897,0.199125698
2.3893007,0.199289395
2.397378316,0.199289395
2.405457578,0.199207547
2.411919671,0.199207547
2.421607875,0.199453093
2.427257271,0.199698639
2.435331598,0.199862337
2.440173232,0.200107883
2.447434861,0.200517127
2.453082612,0.200844522
2.458732008,0.201090069
2.463578578,0.201090069
2.465182585,0.20166301
2.472450795,0.201744859
2.478100191,0.201990405
2.482135709,0.202154103
2.4902051,0.202563347
2.495859431,0.202563347
2.501513763,0.202563347
2.509588089,0.202727045
2.513626897,0.202727045
2.520896752,0.202727045
2.525738386,0.202972591
2.529767324,0.203463684
2.53541343,0.203872928
2.541870587,0.204118474
2.548331035,0.204200323
2.55317267,0.204445869
2.559621602,0.20510066
2.565267708,0.205509904
2.570913813,0.205919148
2.574138279,0.206246543
2.578172152,0.206492089
2.581403199,0.206492089
2.587865292,0.206492089
2.590286932,0.206573938
2.595941263,0.206573938
2.599978426,0.206655787
2.603211118,0.206573938
2.610490844,0.206082845
2.614539523,0.205591752
2.621008196,0.205264357
2.62263359,0.204773264
2.62748345,0.204609567
2.632336601,0.204282172
2.637997513,0.203954777
2.645273948,0.203627381
2.651740977,0.203381835
2.654976959,0.203136289
2.659826819,0.202972591
