OC_LP_A2_2,
W,R
0.25,0.068925492
0.255,0.070945798
0.26,0.073034455
0.265,0.074928043
0.27,0.076658706
0.275,0.078197811
0.28,0.079558028
0.285,0.080897294
0.29,0.082491924
0.295,0.083961367
0.3,0.085930305
0.305,0.087645249
0.31,0.089505324
0.315,0.09151456
0.32,0.093803318
0.325,0.095780625
0.33,0.097733491
0.335,0.099365211
0.34,0.10156028
0.345,0.103482814
0.35,0.105170629
0.355,0.10683871
0.36,0.108570306
0.365,0.110699104
0.37,0.112482194
0.375,0.114591422
0.38,0.11667358
0.385,0.119273303
0.39,0.121610823
0.395,0.12396506
0.4,0.12894028
0.405,0.129971062
0.41,0.131372193
0.415,0.13315512
0.42,0.135353413
0.425,0.137763628
0.43,0.140479545
0.435,0.143073454
0.44,0.145823742
0.445,0.148882565
0.45,0.151364726
0.455,0.153449622
0.46,0.154977877
0.465,0.156873883
0.47,0.158795165
0.475,0.160696793
0.48,0.162744103
0.485,0.165002657
0.49,0.167547246
0.495,0.170341647
0.5,0.173449535
0.505,0.176689601
0.51,0.180069895
0.515,0.183551821
0.52,0.187283027
0.525,0.191137515
0.53,0.195050724
0.535,0.198969056
0.54,0.202786811
0.545,0.206614806
0.55,0.210325187
0.555,0.214021712
0.56,0.217417662
0.565,0.220862682
0.57,0.22413684
0.575,0.227384139
0.58,0.230320145
0.585,0.233123546
0.59,0.236667706
0.595,0.23899397
0.6,0.241236224
0.605,0.242386113
0.61,0.244395288
0.615,0.246247946
0.62,0.248043045
0.625,0.249707142
0.63,0.251207803
0.635,0.252605873
0.64,0.253901638
0.645,0.255074543
0.65,0.25613161
0.655,0.257124415
0.66,0.258080731
0.665,0.259039938
0.67,0.259974876
0.675,0.260843315
0.68,0.261571575
0.685,0.262282243
0.69,0.262934117
0.695,0.263567833
0.7,0.264102508
0.705,0.26460691
0.71,0.265000532
0.715,0.26536554
0.72,0.265681389
0.725,0.265993638
0.73,0.266119886
0.735,0.26617964
0.74,0.265905755
0.745,0.265693417
0.75,0.265299385
0.755,0.264965604
0.76,0.264516755
0.765,0.263905362
0.77,0.263260901
0.775,0.262404028
0.78,0.261522331
0.785,0.260575247
0.79,0.259594234
0.795,0.258464616
0.8,0.257108117
0.805,0.255795616
0.81,0.254428929
0.815,0.253101024
0.82,0.25157602
0.825,0.24997806
0.83,0.248411004
0.835,0.246844735
0.84,0.2453698
0.845,0.242743552
0.85,0.241613912
0.855,0.240540753
0.86,0.240852423
0.865,0.239844018
0.87,0.239164992
0.875,0.238281731
0.88,0.237336674
0.885,0.236266884
0.89,0.235443857
0.895,0.234922785
0.9,0.234536639
0.905,0.234383576
0.91,0.234440737
0.915,0.234647931
0.92,0.234789612
0.925,0.234849471
0.93,0.234983011
0.935,0.23496472
0.94,0.235224472
0.945,0.235453391
0.95,0.236006736
0.955,0.236409764
0.96,0.236896141
0.965,0.237442416
0.97,0.238051422
0.975,0.238739907
0.98,0.239403461
0.985,0.240055873
0.99,0.240512687
0.995,0.241041973
1,0.241390116
1.005,0.241775595
1.01,0.241999818
1.015,0.241984623
1.02,0.242339891
1.025,0.242487559
1.03,0.242973431
1.035,0.243015928
1.04,0.243303534
1.045,0.243370957
1.05,0.243482471
1.055,0.243553992
1.06,0.243914877
1.065,0.244296973
1.07,0.244644726
1.075,0.244768651
1.08,0.244941273
1.085,0.245230142
1.09,0.245661003
1.095,0.246142341
1.1,0.246616496
1.11,0.246920698
1.12,0.247644778
1.13,0.248240225
1.14,0.248656887
1.15,0.248901895
1.16,0.249101922
1.17,0.249188
1.18,0.249129267
1.19,0.248914616
1.2,0.24868271
1.21,0.24852715
1.22,0.248364521
1.23,0.248220383
1.24,0.24809117
1.25,0.248066184
