OC-LP_A3_1,
W,R
0.25,0.073795351
0.255,0.0757035
0.26,0.077820205
0.265,0.079724293
0.27,0.081352185
0.275,0.082972686
0.28,0.084234907
0.285,0.085684728
0.29,0.087199453
0.295,0.088726461
0.3,0.090415576
0.305,0.092623684
0.31,0.094456209
0.315,0.096439191
0.32,0.098422436
0.325,0.100450374
0.33,0.102668117
0.335,0.104326695
0.34,0.106241407
0.345,0.108219727
0.35,0.109932233
0.355,0.111456308
0.36,0.113261409
0.365,0.11513959
0.37,0.116818607
0.375,0.118972978
0.38,0.120837995
0.385,0.122939508
0.39,0.125507551
0.395,0.127381785
0.4,0.131086434
0.405,0.132547272
0.41,0.134288434
0.415,0.136042838
0.42,0.138299078
0.425,0.140119913
0.43,0.142405671
0.435,0.14492168
0.44,0.147081967
0.445,0.149608962
0.45,0.151764364
0.455,0.153483888
0.46,0.155197975
0.465,0.15670954
0.47,0.158433044
0.475,0.160213019
0.48,0.16199087
0.485,0.164164407
0.49,0.166472135
0.495,0.168822628
0.5,0.171323622
0.505,0.174132911
0.51,0.177032092
0.515,0.17989574
0.52,0.182761451
0.525,0.185976601
0.53,0.189277824
0.535,0.192592577
0.54,0.195889506
0.545,0.198859185
0.55,0.201812668
0.555,0.204827097
0.56,0.207752531
0.565,0.21049088
0.57,0.213127591
0.575,0.215516462
0.58,0.217924606
0.585,0.220131317
0.59,0.222276926
0.595,0.22427374
0.6,0.226304979
0.605,0.228055212
0.61,0.22977488
0.615,0.231578828
0.62,0.232836404
0.625,0.234504058
0.63,0.235767106
0.635,0.237036401
0.64,0.238121683
0.645,0.239209278
0.65,0.240134506
0.655,0.241095638
0.66,0.241995429
0.665,0.242909575
0.67,0.243773576
0.675,0.2446033
0.68,0.245304969
0.685,0.245974201
0.69,0.2466167
0.695,0.247127349
0.7,0.247777594
0.705,0.248335164
0.71,0.248854966
0.715,0.249302839
0.72,0.249603338
0.725,0.249830431
0.73,0.249940918
0.735,0.250053313
0.74,0.250045425
0.745,0.24999069
0.75,0.249830707
0.755,0.249507895
0.76,0.249169738
0.765,0.248796737
0.77,0.248092552
0.775,0.24757845
0.78,0.246951921
0.785,0.246193005
0.79,0.245287933
0.795,0.244403282
0.8,0.243399133
0.805,0.242226486
0.81,0.240957738
0.815,0.239745895
0.82,0.238392423
0.825,0.237129775
0.83,0.235434808
0.835,0.234301586
0.84,0.232931287
0.845,0.231563981
0.85,0.2301611
0.855,0.226811663
0.86,0.225097599
0.865,0.223979455
0.87,0.222930613
0.875,0.221983348
0.88,0.22119337
0.885,0.220459645
0.89,0.21978554
0.895,0.218849633
0.9,0.218479432
0.905,0.218142485
0.91,0.217811766
0.915,0.21787662
0.92,0.217787175
0.925,0.217911568
0.93,0.217959313
0.935,0.21821932
0.94,0.218608888
0.945,0.219035632
0.95,0.219451712
0.955,0.219942179
0.96,0.220579274
0.965,0.221088933
0.97,0.221581768
0.975,0.222224497
0.98,0.222852479
0.985,0.223501359
0.99,0.224088034
0.995,0.224324703
1,0.224771274
1.005,0.225252111
1.01,0.225439698
1.015,0.226053345
1.02,0.226363698
1.025,0.226494527
1.03,0.226965556
1.035,0.227179755
1.04,0.227474888
1.045,0.227658212
1.05,0.227939492
1.055,0.228198436
1.06,0.228467281
1.065,0.228642915
1.07,0.228644602
1.075,0.229156518
1.08,0.22956052
1.085,0.230611603
1.09,0.23093223
1.095,0.231132293
1.1,0.231356388
1.105,0.234262675
1.11,0.229192041
1.115,0.23251971
1.12,0.233565943
1.125,0.233915963
1.13,0.233614576
1.135,0.234534205
1.14,0.234654854
1.145,0.234773145
1.15,0.234117813
1.155,0.232137792
1.16,0.23435635
1.165,0.233501716
1.17,0.236565732
1.175,0.237660867
1.18,0.235067246
1.185,0.237261006
1.19,0.236539904
1.195,0.236800542
1.2,0.236690707
1.205,0.2367273
1.21,0.236809265
1.215,0.236432376
1.22,0.236171777
1.225,0.236393829
1.23,0.235692077
1.235,0.237007911
1.24,0.236981549
1.245,0.236728102
1.25,0.237355817
1.255,0.236366252
1.26,0.238074594
1.265,0.237431974
1.27,0.237749956
1.275,0.237223513
1.28,0.237211045
1.285,0.237739931
1.29,0.237113007
1.295,0.23750382
1.3,0.236867389
1.305,0.237189727
1.31,0.237686716
1.315,0.236737094
1.32,0.236823819
1.325,0.237246871
1.33,0.236349558
1.335,0.236788466
1.34,0.237298903
1.345,0.236331202
1.35,0.237245889
1.355,0.236990319
1.36,0.236600779
1.365,0.236022865
1.37,0.236687359
1.375,0.237069416
1.38,0.236361907
1.385,0.236235906
1.39,0.236668838
1.395,0.236946664
1.4,0.235611342
1.405,0.235449982
1.41,0.235250647
1.415,0.234859551
1.42,0.235634051
1.425,0.234176302
1.43,0.234826795
1.435,0.23500354
1.44,0.234530768
1.445,0.23495681
1.45,0.235071974
1.455,0.235105487
1.46,0.234139845
1.465,0.23395229
1.47,0.234248778
1.475,0.23355022
1.48,0.234219955
1.485,0.233496564
1.49,0.233707327
1.495,0.233542989
1.5,0.23227802
1.505,0.233037359
1.51,0.231837603
1.515,0.232511594
1.52,0.231760645
1.525,0.230941189
1.53,0.231502129
1.535,0.231429004
1.54,0.231160011
1.545,0.231160991
1.55,0.230874734
1.555,0.230258661
1.56,0.229673066
1.565,0.229610441
1.57,0.229649207
1.575,0.22858282
1.58,0.228360779
1.585,0.228018915
1.59,0.227602618
1.595,0.227169454
1.6,0.226981537
1.605,0.226706082
1.61,0.227329217
1.615,0.226277406
1.62,0.226341618
1.625,0.22532872
1.63,0.224979569
1.635,0.224819889
1.64,0.224473248
1.645,0.22431067
1.65,0.223583476
1.655,0.223032592
1.66,0.2230138
1.665,0.222086199
1.67,0.222239377
1.675,0.221813712
1.68,0.221246938
1.685,0.221353588
1.69,0.220886823
1.695,0.220435953
1.7,0.219652132
1.705,0.221069686
1.71,0.220451175
1.715,0.22056347
1.72,0.221148385
1.725,0.219318637
1.73,0.219242925
1.735,0.220126557
1.74,0.218796916
1.745,0.219031721
1.75,0.218261337
1.755,0.217544158
1.76,0.216533674
1.765,0.216327364
1.77,0.216234749
1.775,0.216563211
1.78,0.215900872
1.785,0.215557193
1.79,0.215546079
1.795,0.213545064
1.8,0.215713294
1.805,0.213587004
1.81,0.213127377
1.815,0.214146375
1.82,0.212481525
1.825,0.218398041
1.83,0.211217022
1.835,0.211831929
1.84,0.209650549
1.845,0.21014961
1.85,0.210477492
1.855,0.209839567
1.86,0.209668874
1.865,0.211111423
1.87,0.209875669
1.875,0.209334747
1.88,0.209443794
1.885,0.208679663
1.89,0.209044954
1.895,0.208017202
1.9,0.208595261
1.905,0.208334078
1.91,0.208183387
1.915,0.207998963
1.92,0.208187604
1.925,0.207472658
1.93,0.206977393
1.935,0.206753398
1.94,0.207052607
1.945,0.206980413
1.95,0.206882372
1.955,0.206883897
1.96,0.206818957
1.965,0.205559431
1.97,0.206244375
1.975,0.206524127
1.98,0.207189824
1.985,0.20667224
1.99,0.207619697
1.995,0.206594021
2,0.207274698
2.005,0.207609124
2.01,0.208153331
2.015,0.207558479
2.02,0.206942525
2.025,0.207511445
2.03,0.207403535
2.035,0.209904284
2.04,0.208788765
2.045,0.2078296
2.05,0.206987598
2.055,0.208086122
2.06,0.204096463
2.065,0.208843388
2.07,0.207635418
2.075,0.20675302
2.08,0.207108096
2.085,0.208234473
2.09,0.207976914
2.095,0.207547424
2.1,0.206979272
2.105,0.206848852
2.11,0.206692383
2.115,0.206781362
2.12,0.207477741
2.125,0.207076642
2.13,0.20691142
2.135,0.205380216
2.14,0.205034999
2.145,0.206041228
2.15,0.204571473
2.155,0.205391201
2.16,0.204949782
2.165,0.205519424
2.17,0.204689112
2.175,0.203839825
2.18,0.204571625
2.185,0.20432934
2.19,0.203706591
2.195,0.204997508
2.2,0.204058945
2.205,0.203687507
2.21,0.203566667
2.215,0.205268198
2.22,0.20445015
2.225,0.204623012
2.23,0.204406818
2.235,0.204266098
2.24,0.204720559
2.245,0.203828551
2.25,0.204140056
2.255,0.206185748
2.26,0.205091869
2.265,0.20823076
2.27,0.206468323
2.275,0.206228804
2.28,0.205554436
2.285,0.200304572
2.29,0.205967903
2.295,0.205977502
2.3,0.20629705
2.305,0.205094298
2.31,0.202745433
2.315,0.203491355
2.32,0.204720923
2.325,0.205100228
2.33,0.204642912
2.335,0.20338225
2.34,0.203418934
2.345,0.201766509
2.35,0.204134281
2.355,0.203585936
2.36,0.20452891
2.365,0.203752537
2.37,0.207092957
2.375,0.20472625
2.38,0.204058029
2.385,0.203640218
2.39,0.202540019
2.395,0.202410168
2.4,0.201148684
2.405,0.202759112
2.41,0.202958504
2.415,0.201524827
2.42,0.201002186
2.425,0.203123102
2.43,0.198259561
2.435,0.199972184
2.44,0.203035676
2.445,0.203438523
2.45,0.200533978
2.455,0.200836682
2.46,0.201276314
2.465,0.198686288
2.47,0.200942537
2.475,0.200257396
2.48,0.200305884
2.485,0.205905197
2.49,0.198901033
2.495,0.199502119
2.5,0.205615087
