OC-LP-A4_3,
W,R
0.25,0.088813214
0.255,0.09027453
0.26,0.09183032
0.265,0.093176204
0.27,0.09428726
0.275,0.095508654
0.28,0.09642436
0.285,0.097496162
0.29,0.098628412
0.295,0.099995817
0.3,0.101440177
0.305,0.102983011
0.31,0.104750721
0.315,0.106609606
0.32,0.108432931
0.325,0.110180812
0.33,0.111779106
0.335,0.113149634
0.34,0.115052789
0.345,0.116566805
0.35,0.118349669
0.355,0.11995538
0.36,0.121759044
0.365,0.123979506
0.37,0.126210755
0.375,0.12891848
0.38,0.131896636
0.385,0.13476304
0.39,0.137693897
0.395,0.140365529
0.4,0.146224871
0.405,0.147777893
0.41,0.149330914
0.415,0.151780242
0.42,0.154596865
0.425,0.157587304
0.43,0.160841044
0.435,0.164546646
0.44,0.167544141
0.445,0.170540486
0.45,0.172907404
0.455,0.17494829
0.46,0.176912991
0.465,0.178719177
0.47,0.180449608
0.475,0.182475732
0.48,0.18466845
0.485,0.187229379
0.49,0.190326057
0.495,0.193881349
0.5,0.197593071
0.505,0.201551131
0.51,0.205695709
0.515,0.209855637
0.52,0.214392661
0.525,0.218747148
0.53,0.223096852
0.535,0.227449466
0.54,0.231527973
0.545,0.235539698
0.55,0.23973065
0.555,0.243522891
0.56,0.246849197
0.565,0.250092505
0.57,0.25305331
0.575,0.255722156
0.58,0.258182307
0.585,0.260441898
0.59,0.262601281
0.595,0.264402576
0.6,0.266062927
0.605,0.267470358
0.61,0.268886605
0.615,0.271470172
0.62,0.27140885
0.625,0.272319164
0.63,0.273279261
0.635,0.27406362
0.64,0.274776094
0.645,0.275499412
0.65,0.275985096
0.655,0.276424226
0.66,0.276939093
0.665,0.277426896
0.67,0.277100919
0.675,0.278355368
0.68,0.278631898
0.685,0.276770366
0.69,0.279222783
0.695,0.279476683
0.7,0.279791326
0.705,0.278593454
0.71,0.279907523
0.715,0.280019516
0.72,0.280146897
0.725,0.280004684
0.73,0.279722183
0.735,0.279090867
0.74,0.279142299
0.745,0.278665666
0.75,0.278144098
0.755,0.277497677
0.76,0.276818116
0.765,0.275890636
0.77,0.275073246
0.775,0.274075228
0.78,0.272977607
0.785,0.271898275
0.79,0.270573529
0.795,0.269194818
0.8,0.267719221
0.805,0.266252245
0.81,0.264607669
0.815,0.262946722
0.82,0.261201735
0.825,0.259385556
0.83,0.257606916
0.835,0.255893243
0.84,0.254094562
0.845,0.252213701
0.85,0.250502766
0.855,0.248023981
0.86,0.246701561
0.865,0.245628393
0.87,0.2442308
0.875,0.24321542
0.88,0.242096326
0.885,0.2411106
0.89,0.240302323
0.895,0.23969629
0.9,0.239625455
0.905,0.23963284
0.91,0.240048213
0.915,0.240303328
0.92,0.240577599
0.925,0.240484016
0.93,0.240832997
0.935,0.240698849
0.94,0.240772968
0.945,0.241107827
0.95,0.241457755
0.955,0.241981675
0.96,0.242465171
0.965,0.24304323
0.97,0.243585425
0.975,0.244177022
0.98,0.244728656
0.985,0.245177196
0.99,0.245719387
0.995,0.246147408
1,0.24659953
1.005,0.247005609
1.01,0.247121694
1.015,0.247734486
1.02,0.248141745
1.025,0.248397387
1.03,0.248611654
1.035,0.248801578
1.04,0.248936405
1.045,0.249236049
1.05,0.249297492
1.055,0.24940821
1.06,0.249599322
1.065,0.249537541
1.07,0.249793551
1.075,0.249964061
1.08,0.250045341
1.085,0.250236044
1.09,0.250528535
1.095,0.250426345
1.1,0.250723645
1.11,0.251873433
1.12,0.252208131
1.13,0.252141263
1.14,0.252242155
1.15,0.252352089
1.16,0.252210938
1.17,0.252002873
1.18,0.25161859
1.19,0.251396582
1.2,0.251065619
1.21,0.250799608
1.22,0.250547705
1.23,0.250340132
1.24,0.250118477
1.25,0.24989005
1.26,0.249730936
1.27,0.24950165
1.28,0.249219101
1.29,0.248926451
1.3,0.248679611
1.31,0.2484646
1.32,0.248186002
1.33,0.247933463
1.34,0.24756789
1.35,0.247106315
1.36,0.246730252
1.37,0.246480593
1.38,0.246376411
1.39,0.24616736
1.4,0.245965827
1.41,0.245567463
1.42,0.245301436
1.43,0.244878916
1.44,0.244600667
1.45,0.244006754
1.46,0.243581819
1.47,0.243048346
1.48,0.242589185
1.49,0.242037367
1.5,0.241477781
1.51,0.240903066
1.52,0.240025632
1.53,0.239367319
1.54,0.238606877
1.55,0.238028799
1.56,0.237196631
1.57,0.236421963
1.58,0.235655841
1.59,0.234864338
1.6,0.233975354
1.61,0.233142706
1.62,0.232294474
1.63,0.231431073
1.64,0.2305173
1.65,0.22956291
1.66,0.228658713
1.67,0.227732369
1.68,0.226773458
1.69,0.225821643
1.7,0.224857672
1.71,0.223924632
1.72,0.223035983
1.73,0.222092671
1.74,0.221186536
1.75,0.220213704
1.76,0.219301431
1.77,0.218468539
1.78,0.217700934
1.79,0.216921604
1.8,0.216078702
1.81,0.215152541
1.82,0.214246175
1.83,0.213357534
1.84,0.212614994
1.85,0.211949984
1.86,0.211398894
1.87,0.210877457
1.88,0.210148009
1.89,0.209688701
1.9,0.209274514
1.91,0.209197525
1.92,0.208955089
1.93,0.208781098
1.94,0.20862472
1.95,0.208571678
1.96,0.208613121
1.97,0.208689076
1.98,0.208792494
1.99,0.208884678
2,0.208935904
2.01,0.208843625
2.02,0.208681005
2.03,0.208472561
2.04,0.208396368
2.05,0.208392614
2.06,0.208473382
2.07,0.208572282
2.08,0.2086506
2.09,0.208751336
2.1,0.208820325
2.11,0.208712813
2.12,0.208284831
2.13,0.207613202
2.14,0.206940138
2.15,0.206498068
2.16,0.206201121
2.17,0.20633372
2.18,0.206284402
2.19,0.206173723
2.2,0.205929786
2.21,0.205949818
2.22,0.206125126
2.23,0.206106653
2.24,0.206242852
2.25,0.206343522
2.26,0.206583328
2.27,0.206671927
2.28,0.206726589
2.29,0.206565248
2.3,0.206320392
2.31,0.20611722
2.32,0.205973506
2.33,0.205846274
2.34,0.205657208
2.35,0.205480759
2.36,0.205296954
2.37,0.205090709
2.38,0.204822445
2.39,0.204385058
2.4,0.204182539
2.41,0.20405565
2.42,0.204116506
2.43,0.203948703
2.44,0.203760102
2.45,0.203657885
2.46,0.203620116
2.47,0.203811209
2.48,0.203999082
2.49,0.204438989
2.5,0.20498201
