OC-LP-B2_3,
W,R
0.25,0.088212495
0.255,0.092008382
0.26,0.096180877
0.265,0.100021128
0.27,0.104009471
0.275,0.107683529
0.28,0.111652801
0.285,0.115214955
0.29,0.119343016
0.295,0.12352633
0.3,0.128476581
0.305,0.133690112
0.31,0.139376782
0.315,0.145594838
0.32,0.151852852
0.325,0.158757764
0.33,0.165483766
0.335,0.172122846
0.34,0.179067721
0.345,0.185587474
0.35,0.191871468
0.355,0.197579335
0.36,0.203395215
0.365,0.209111468
0.37,0.214329984
0.375,0.219120434
0.38,0.223538981
0.385,0.228170938
0.39,0.232756932
0.395,0.236474435
0.4,0.243756252
0.405,0.246167781
0.41,0.24857931
0.415,0.251613164
0.42,0.254914532
0.425,0.258067087
0.43,0.261224355
0.435,0.264514618
0.44,0.267445938
0.445,0.270446634
0.45,0.273145842
0.455,0.27588745
0.46,0.278584148
0.465,0.280892677
0.47,0.283557911
0.475,0.285989169
0.48,0.288129031
0.485,0.290345651
0.49,0.292788849
0.495,0.295030239
0.5,0.297251906
0.505,0.299746881
0.51,0.30238778
0.515,0.304662657
0.52,0.307121472
0.525,0.309380543
0.53,0.311624719
0.535,0.313841612
0.54,0.315801585
0.545,0.317578818
0.55,0.319419651
0.555,0.321009392
0.56,0.322209663
0.565,0.323496537
0.57,0.324586897
0.575,0.325571752
0.58,0.326461654
0.585,0.327287838
0.59,0.328193536
0.595,0.328944551
0.6,0.329602657
0.605,0.330235
0.61,0.330989692
0.615,0.331839503
0.62,0.332632388
0.625,0.333269984
0.63,0.334118266
0.635,0.334745355
0.64,0.335427668
0.645,0.33604824
0.65,0.33663107
0.655,0.33727138
0.66,0.337671373
0.665,0.338078912
0.67,0.338593035
0.675,0.338985493
0.68,0.339346029
0.685,0.339592079
0.69,0.339760045
0.695,0.34010418
0.7,0.340409175
0.705,0.340679923
0.71,0.340735768
0.715,0.340638447
0.72,0.340753009
0.725,0.340568827
0.73,0.340250626
0.735,0.339480166
0.74,0.339539664
0.745,0.338971451
0.75,0.338161435
0.755,0.337391168
0.76,0.336441866
0.765,0.335394957
0.77,0.334053865
0.775,0.332608117
0.78,0.33104534
0.785,0.329602395
0.79,0.327783441
0.795,0.325852018
0.8,0.32388158
0.805,0.321780972
0.81,0.319579239
0.815,0.317294579
0.82,0.315012131
0.825,0.312604807
0.83,0.310136173
0.835,0.307891501
0.84,0.305535519
0.845,0.303152965
0.85,0.300907679
0.855,0.297403935
