OC-LP-B4-2,
W,R
0.25,0.117216648
0.255,0.120497465
0.26,0.124058807
0.265,0.127654991
0.27,0.130908597
0.275,0.134357643
0.28,0.137915425
0.285,0.141212316
0.29,0.14537751
0.295,0.149640432
0.3,0.154450745
0.305,0.159450689
0.31,0.165927935
0.315,0.172519233
0.32,0.179726729
0.325,0.18676574
0.33,0.19396429
0.335,0.200966704
0.34,0.208895544
0.345,0.215777632
0.35,0.222554785
0.355,0.228979843
0.36,0.234912535
0.365,0.241148643
0.37,0.246217459
0.375,0.251058732
0.38,0.256286333
0.385,0.260962985
0.39,0.264834332
0.395,0.268679667
0.4,0.274860538
0.405,0.278032321
0.41,0.280957597
0.415,0.283947467
0.42,0.287448607
0.425,0.290799067
0.43,0.293539236
0.435,0.295990597
0.44,0.298637834
0.445,0.302084461
0.45,0.304548132
0.455,0.306862759
0.46,0.308415681
0.465,0.310430114
0.47,0.312305848
0.475,0.313967146
0.48,0.31575101
0.485,0.317436399
0.49,0.319376695
0.495,0.321392771
0.5,0.32353225
0.505,0.325821514
0.51,0.3281204
0.515,0.330426605
0.52,0.332587993
0.525,0.334755712
0.53,0.336847387
0.535,0.338879544
0.54,0.340631118
0.545,0.342375812
0.55,0.343823248
0.555,0.345203793
0.56,0.34618935
0.565,0.347095128
0.57,0.347853143
0.575,0.348478837
0.58,0.349001764
0.585,0.349436826
0.59,0.349690451
0.595,0.349697501
0.6,0.349701759
0.605,0.349766163
0.61,0.349962023
0.615,0.350219794
0.62,0.350646801
0.625,0.351091479
0.63,0.35150659
0.635,0.351925437
0.64,0.352294448
0.645,0.352608868
0.65,0.352826685
0.655,0.353021831
0.66,0.353161733
0.665,0.353391241
0.67,0.353668524
0.675,0.35394288
0.68,0.353997894
0.685,0.354058415
0.69,0.354042268
0.695,0.354128105
0.7,0.354098839
0.705,0.354099645
0.71,0.354003165
0.715,0.353907463
0.72,0.35376418
0.725,0.353593145
0.73,0.353218636
0.735,0.352810464
0.74,0.351993174
0.745,0.35127217
0.75,0.350335438
0.755,0.349502063
0.76,0.34848761
0.765,0.347215913
0.77,0.345903115
0.775,0.344310989
0.78,0.342716566
0.785,0.341001523
0.79,0.339231201
0.795,0.337263962
0.8,0.334954198
0.805,0.33276738
0.81,0.330377644
0.815,0.328150044
0.82,0.325637283
0.825,0.323239558
0.83,0.320770649
0.835,0.318288577
0.84,0.315887782
0.845,0.314477627
0.85,0.311230948
0.855,0.307908819
0.86,0.303656135
0.865,0.301240913
0.87,0.299439898
0.875,0.297782058
0.88,0.296551944
0.885,0.295192446
0.89,0.294148713
0.895,0.293331104
0.9,0.292682728
0.905,0.292276117
0.91,0.292044462
0.915,0.292086662
0.92,0.29220956
0.925,0.292431146
0.93,0.292592073
0.935,0.292494594
0.94,0.292733501
0.945,0.292958257
0.95,0.293487801
0.955,0.293670345
0.96,0.29394605
0.965,0.294299942
0.97,0.294749424
0.975,0.295235973
0.98,0.295725534
0.985,0.296233034
0.99,0.296592767
0.995,0.296992065
1,0.297193677
1.005,0.297449072
1.01,0.297588974
1.015,0.297445835
1.02,0.297732807
1.025,0.297808932
1.03,0.298392271
1.035,0.29855584
1.04,0.299043327
1.045,0.299228945
1.05,0.299462402
1.055,0.299584708
1.06,0.299982848
1.065,0.300407234
1.07,0.300974117
1.075,0.30145732
1.08,0.302015539
1.085,0.30270818
1.09,0.303587812
1.095,0.304540186
1.1,0.305417114
1.11,0.30633948
1.12,0.307672235
1.13,0.308794094
1.14,0.309771667
1.15,0.310561889
1.16,0.311253795
1.17,0.311759073
1.18,0.311972359
1.19,0.311974664
1.2,0.311971731
1.21,0.312133912
1.22,0.312252892
1.23,0.31237666
1.24,0.312433995
1.25,0.312645908
1.26,0.312910767
1.27,0.313147097
1.28,0.31336254
1.29,0.31362996
1.3,0.313992043
1.31,0.314369865
1.32,0.314715552
1.33,0.315104389
1.34,0.315588877
1.35,0.316114141
1.36,0.316677111
1.37,0.317187476
1.38,0.317638314
1.39,0.318046691
1.4,0.318341918
1.41,0.318571796
1.42,0.31869202
1.43,0.31882152
1.44,0.318959436
1.45,0.319017887
1.46,0.318973986
1.47,0.318791642
1.48,0.318560843
1.49,0.318305073
1.5,0.317826212
1.51,0.317314226
1.52,0.316673243
1.53,0.316081763
1.54,0.315443573
1.55,0.314627276
1.56,0.313754791
1.57,0.31271754
1.58,0.311712311
1.59,0.310697279
1.6,0.309659586
1.61,0.308582582
1.62,0.307399348
1.63,0.30615655
1.64,0.304875534
1.65,0.303581731
1.66,0.30235814
1.67,0.301214474
1.68,0.299760837
1.69,0.298463311
1.7,0.29699828
1.71,0.295880146
1.72,0.294584968
1.73,0.29331093
1.74,0.291879993
1.75,0.290312764
1.76,0.288785501
1.77,0.287418229
1.78,0.286369707
1.79,0.28512035
1.8,0.283830261
1.81,0.282371083
1.82,0.281201808
1.83,0.280104394
1.84,0.279031732
1.85,0.278020878
1.86,0.277097345
1.87,0.276250241
1.88,0.275400217
1.89,0.274591645
1.9,0.273824946
1.91,0.273159861
1.92,0.272555098
1.93,0.272027666
1.94,0.271578856
1.95,0.271294462
1.96,0.271154369
1.97,0.271136873
1.98,0.27114706
1.99,0.271208571
2,0.271311975
2.01,0.271472947
2.02,0.271517546
2.03,0.271566489
2.04,0.271494702
2.05,0.271516192
2.06,0.271545551
2.07,0.271719196
2.08,0.271950283
2.09,0.27232948
2.1,0.272709436
2.11,0.272924189
2.12,0.272955043
2.13,0.272709293
