OC-LVM-F,
W,R
0.305150979,0.105497414
0.308620315,0.107706327
0.313749365,0.10947163
0.317218701,0.111680542
0.317304364,0.113449761
0.320795116,0.116100978
0.32422162,0.117425282
0.322626154,0.119195806
0.324435777,0.121848329
0.32452144,0.123617547
0.324607102,0.125386766
0.328055023,0.127153374
0.328140685,0.128922593
0.328226348,0.130691811
0.328269179,0.131576421
0.330078802,0.134228943
0.330185881,0.136440467
0.331931256,0.137766075
0.331974088,0.138650685
0.332081166,0.140862208
0.333847958,0.142630122
0.335593334,0.14395573
0.335721828,0.146609558
0.337488619,0.148377472
0.335893153,0.150147996
0.3359574,0.15147491
0.336043062,0.153244128
0.336128725,0.155013347
0.336192972,0.156340261
0.338002595,0.158992784
0.339769386,0.160760697
0.341536178,0.162528611
0.341600425,0.163855525
0.343388632,0.166065743
0.343452879,0.167392657
0.343559957,0.16960418
0.343624204,0.170931094
0.345433827,0.173583617
0.347200619,0.17535153
0.347307697,0.177563053
0.349074489,0.179330967
0.350819865,0.180656575
0.350948359,0.183310403
0.35271515,0.185078317
0.3511411,0.187291146
0.35458902,0.189057754
0.354674683,0.190826972
0.354803177,0.1934808
0.354888839,0.195250019
0.354974502,0.197019238
0.356762709,0.199229456
0.356826956,0.20055637
0.358636579,0.203208892
0.360360539,0.204092196
0.360446202,0.205861415
0.362234409,0.208071633
0.362298656,0.209398547
0.362384319,0.211167766
0.365832239,0.212934374
0.365939318,0.215145897
0.366003565,0.216472811
0.367791772,0.218683029
0.371282524,0.221334247
0.371389602,0.22354577
0.373156394,0.225313683
0.373242056,0.227082902
0.375008848,0.228850816
0.375158757,0.231946948
0.378649509,0.234598166
0.375073095,0.23017773
0.380394885,0.235923774
0.380480548,0.237692993
0.380587626,0.239904516
0.384035547,0.241671124
0.385823754,0.243881342
0.387590545,0.245649256
0.391038466,0.247415864
0.394486386,0.249182472
0.396274594,0.25139269
0.398084217,0.254045213
0.401553553,0.256254125
0.405044305,0.258905343
0.408535057,0.26155656
0.411982977,0.263323168
0.417112027,0.265088471
0.420559947,0.266855079
0.425667581,0.268178077
0.430818046,0.270385684
0.43592568,0.271708682
0.442693027,0.27258807
0.449503206,0.274352068
0.452908295,0.275234066
0.459718473,0.276998064
0.46318781,0.279206976
0.46663573,0.280973584
0.470083651,0.282740192
0.473531571,0.2845068
0.477000908,0.286715713
0.480427412,0.288040016
0.483832502,0.288922015
0.487259007,0.290246318
0.492345225,0.291127012
0.497431443,0.292007705
0.49749569,0.293334619
0.502581908,0.294215312
0.502646155,0.295542226
0.50779662,0.297749834
0.509563412,0.299517747
0.513032748,0.30172666
0.514756708,0.302609964
0.521545471,0.303931657
0.523269431,0.304814961
0.528398481,0.306580263
0.53180357,0.307462262
0.538549502,0.307899345
0.545316849,0.308778733
0.548743354,0.310103037
