OC-PZ-Khe,
W,R
0.395519046,0.091274809
0.395448331,0.091461142
0.399160852,0.091678649
0.400999434,0.091833985
0.40282623,0.092020378
0.402755516,0.092206711
0.406479823,0.092393162
0.406409108,0.092579495
0.410121629,0.092797002
0.410027343,0.093045446
0.409944843,0.093262835
0.41366915,0.093449286
0.417381671,0.093666792
0.421094192,0.093884299
0.424794927,0.094132861
0.42853102,0.094288257
0.432267113,0.094443652
0.439810013,0.09456811
0.447364699,0.094661512
0.45107722,0.094879019
0.456699038,0.095065529
0.460399774,0.095314091
0.464124081,0.095500542
0.465950877,0.095686934
0.469663398,0.095904441
0.469580898,0.09612183
0.477100226,0.096308399
0.484631341,0.096463912
0.490241373,0.096681477
0.495851405,0.096899043
0.497654629,0.097147546
0.503288233,0.097303001
0.503217518,0.097489334
0.506918254,0.097737896
0.510666132,0.097862236
0.518185461,0.098048805
0.52570479,0.098235374
0.529440883,0.098390769
0.536948425,0.098608394
0.540660947,0.0988259
0.548203847,0.098950358
0.55956534,0.099012823
0.570915048,0.099106343
0.580402602,0.099106638
0.593685178,0.09910705
0.601298793,0.099045175
0.608912408,0.0989833
0.618399962,0.098983594
0.625942863,0.099108052
0.63729257,0.099201572
0.646744767,0.099295033
0.658094475,0.099388554
0.669491326,0.099357852
0.680911748,0.099265039
0.688537149,0.099172108
0.698048275,0.099110291
0.70378795,0.098986246
0.709527626,0.098862201
0.715290873,0.098676044
0.721030549,0.098551999
0.724872714,0.098427895
0.732533472,0.098241797
0.738284933,0.098086696
0.742150669,0.097900481
0.747925702,0.097683269
0.749893928,0.097496995
0.755668961,0.097279783
0.757637186,0.097093508
0.759593626,0.09693829
0.765356873,0.096752133
0.76922261,0.096565918
0.773088346,0.096379703
0.775044786,0.096224484
0.777013012,0.09603821
0.780878748,0.095851994
0.782846973,0.09566572
0.782929474,0.095448331
0.788692721,0.095262175
0.792558457,0.095075959
0.794550255,0.094827574
0.79651848,0.0946413
0.800384216,0.094455084
0.802364228,0.094237755
0.808139261,0.094020543
0.808221761,0.093803154
0.812099283,0.093585883
0.815988591,0.093337557
0.816059306,0.093151223
0.819925042,0.092965008
0.825711861,0.092716741
0.831475108,0.092530584
0.835340845,0.092344369
0.839206581,0.092158153
0.843072318,0.091971938
0.846938054,0.091785723
0.85080379,0.091599507
0.854681312,0.091382236
0.856649538,0.091195962
0.862412785,0.091009806
0.866290307,0.090792535
