OC-PZ-Khe1,
W,R
0.39927871,0.081368094
0.403014803,0.081523489
0.406727324,0.081740996
0.410486988,0.08183428
0.414223081,0.081989676
0.41797096,0.082114016
0.421718838,0.082238356
0.421671695,0.082362578
0.42920281,0.082518091
0.429120309,0.08273548
0.436651424,0.082890993
0.440399302,0.083015333
0.444147181,0.083139673
0.447895059,0.083264013
0.451642938,0.083388353
0.457276542,0.083543808
0.462910145,0.083699262
0.464748727,0.083854599
0.468473034,0.08404105
0.474130209,0.084134393
0.477878088,0.084258733
0.47971667,0.08441407
0.483452763,0.084569465
0.48907458,0.084755975
0.492798887,0.084942426
0.49653498,0.085097822
0.502168584,0.085253276
0.507790402,0.085439786
0.511514709,0.085626238
0.517124741,0.085843803
0.522746559,0.086030313
0.530265887,0.086216882
0.537797002,0.086372395
0.543430605,0.08652785
0.550938148,0.086745474
0.55654818,0.08696304
0.56596502,0.087149668
0.571610409,0.087274067
0.577255799,0.087398465
0.58669621,0.087522982
0.59423911,0.08764744
0.605541675,0.087865182
0.614982086,0.087989699
0.624422497,0.088114216
0.631953611,0.088269729
0.639508297,0.088363132
0.650834433,0.088518763
0.658377334,0.088643221
0.66593202,0.088736623
0.671577409,0.088861022
0.682927117,0.088954542
0.692379314,0.089048003
0.701866868,0.089048298
0.715173015,0.0889866
0.724695927,0.088893728
0.736104563,0.08883197
0.745639261,0.088708043
0.751378936,0.088583997
0.757118612,0.088459952
0.764767584,0.08830491
0.772404771,0.088180924
0.780041957,0.088056937
0.787702715,0.08787084
0.795339902,0.087746853
0.799205638,0.087560638
0.804945314,0.087436592
0.806901754,0.087281374
0.810755704,0.087126214
0.816530737,0.086909002
0.822258627,0.086816012
0.824215067,0.086660793
0.828069018,0.086505634
0.833808693,0.086381588
0.837639072,0.08628854
0.839595512,0.086133321
0.849141995,0.085978338
0.854869885,0.085885348
0.860644918,0.085668136
0.868258533,0.085606261
0.872100698,0.085482156
0.879726098,0.085389225
0.885453988,0.085296236
0.891193664,0.08517219
0.896921554,0.0850792
0.904546955,0.08498627
0.914081652,0.084862342
0.919821328,0.084738297
0.927458514,0.08461431
0.935072129,0.084552435
0.940776447,0.084521556
0.952185084,0.084459799
0.963570149,0.084460152
0.971171978,0.084429332
0.980659532,0.084429627
0.990147087,0.084429922
0.995827833,0.084461154
1.00150858,0.084492386
1.010960777,0.084585848
1.020412974,0.084679309
1.031774467,0.084741774
1.041214878,0.08486629
1.048757779,0.084990748
1.056288893,0.085146262
1.06574109,0.085239723
1.075181501,0.08536424
1.08082689,0.085488639
1.088358005,0.085644152
1.093991609,0.085799606
1.101522723,0.08595512
1.110951348,0.086110692
1.120391759,0.086235209
1.126037149,0.086359608
1.133580049,0.086484066
1.141122949,0.086608523
1.15056336,0.08673304
1.160003771,0.086857557
1.167534886,0.08701307
1.175077786,0.087137528
1.186427494,0.087231048
1.195879691,0.08732451
1.205355459,0.08735586
1.214831228,0.08738721
1.224306996,0.08741856
1.235656704,0.08751208
1.24321139,0.087605483
1.250766076,0.087698885
1.262139355,0.087730294
1.273500849,0.087792759
1.286748067,0.087886338
1.296188478,0.088010855
1.303743164,0.088104257
1.311309636,0.088166604
1.322647558,0.08829118
1.332099755,0.088384641
1.341551952,0.088478102
1.352878088,0.088633733
1.360432774,0.088727136
1.371770696,0.088851711
1.379313596,0.088976169
1.386856496,0.089100627
1.396296907,0.089225144
1.40576089,0.08928755
1.413315576,0.089380952
1.424641712,0.089536583
1.432196398,0.089629985
1.441648595,0.089723447
1.449191495,0.089847904
1.456746181,0.089941307
1.468095889,0.090034827
1.475638789,0.090159285
1.48318169,0.090283743
1.492622101,0.090408259
1.500188573,0.090470606
1.511550066,0.090533071
1.522899774,0.090626591
1.534249481,0.090720111
1.541839525,0.090720347
1.553189233,0.090813867
1.560743919,0.090907269
1.568322176,0.090938561
1.575900434,0.090969852
1.585387988,0.090970147
1.600568075,0.090970618
1.611929568,0.091033083
1.621417122,0.091033377
1.629007166,0.091033613
1.636597209,0.091033849
1.644210824,0.090971973
1.655619461,0.090910216
1.665130586,0.090848399
1.674618141,0.090848694
1.686026777,0.090786937
1.697423628,0.090756235
1.706934754,0.090694418
1.714536583,0.090663598
1.724047709,0.090601782
1.733558835,0.090539966
1.741148878,0.090540201
1.752557515,0.090478444
1.760194701,0.090354457
1.767820102,0.090261526
1.777307656,0.090261821
1.784909485,0.090231001
1.79629455,0.090231355
1.805782104,0.09023165
1.813372148,0.090231885
1.820962191,0.090232121
1.82856402,0.090201301
1.83806336,0.09017054
1.849448425,0.090170894
1.860857062,0.090109136
1.872253913,0.090078434
1.87983217,0.090109726
1.88933151,0.090078965
1.89693334,0.090048145
1.906420894,0.09004844
1.91593202,0.089986623
1.921624552,0.0899868
1.927340656,0.089924866
1.93682821,0.08992516
1.951984726,0.089987743
1.963369791,0.089988096
1.972833773,0.090050502
1.98228597,0.090143963
1.993671035,0.090144317
2.001272864,0.090113497
2.014579012,0.090051799
2.024042995,0.090114204
2.03542806,0.090114558
2.043018103,0.090114794
2.050608146,0.090115029
2.061993211,0.090115383
2.069583255,0.090115619
2.077173298,0.090115854
2.088558363,0.090116208
2.098045917,0.090116502
2.109419197,0.090147912
2.118894965,0.090179262
2.126461437,0.090241609
2.13592542,0.090304014
2.145389402,0.09036642
2.156774467,0.090366774
2.168159532,0.090367127
2.179556383,0.090336425
2.192827173,0.090367893
2.206086178,0.090430417
2.217447671,0.090492881
2.22882095,0.09052429
2.24019423,0.0905557
2.255374316,0.090556171
2.264861871,0.090556466
2.27623515,0.090587875
2.283813408,0.090619166
2.29327739,0.090681572
2.304638884,0.090744036
2.31792146,0.090744449
2.325487931,0.090806796
2.333066189,0.090838087
2.338770507,0.090807208
2.348258061,0.090807503
2.357745616,0.090807797
2.367221384,0.090839148
2.376697153,0.090870498
2.388082218,0.090870851
2.399467283,0.090871205
2.410852348,0.090871559
2.420351688,0.090840798
2.433634264,0.09084121
2.445019329,0.090841564
2.45641618,0.090810862
2.46781303,0.09078016
2.479198095,0.090780513
2.49058316,0.090780867
2.500070715,0.090781162
