OC-PZ-Xin,
W,R
0.390698661,0.093976523
0.394458325,0.094069807
0.396285122,0.094256199
0.400033,0.094380539
0.401883368,0.09450482
0.40372195,0.094660157
0.409355553,0.094815611
0.416910239,0.094909014
0.420740619,0.094815965
0.426350651,0.095033531
0.433905337,0.095126933
0.443357533,0.095220394
0.447117198,0.095313679
0.450853291,0.095469074
0.454589383,0.09562447
0.462120498,0.095779983
0.465891948,0.095842212
0.469616255,0.096028663
0.473387705,0.096090892
0.477147369,0.096184176
0.480895248,0.096308516
0.484643127,0.096432856
0.488414577,0.096495085
0.492186027,0.096557314
0.497854988,0.096619602
0.503500377,0.096744001
0.503429662,0.096930334
0.507177541,0.097054674
0.507130398,0.097178896
0.512775787,0.097303295
0.518421177,0.097427694
0.522169055,0.097552034
0.529711955,0.097676492
0.53724307,0.097832005
0.544797756,0.097925408
0.550466717,0.097987696
0.556100321,0.09814315
0.559918914,0.098081157
0.567544315,0.097988226
0.573236847,0.097988403
0.582724401,0.097988697
0.584657269,0.09789559
0.590373374,0.097833655
0.597904488,0.097989169
0.601711295,0.097958231
0.609313125,0.097927411
0.616879596,0.097989758
0.622524986,0.098114157
0.631965397,0.098238674
0.639496511,0.098394187
0.647039412,0.098518645
0.654570526,0.098674158
0.658365548,0.098674276
0.662136998,0.098736505
0.665908448,0.098798734
0.669679898,0.098860963
0.675348859,0.098923251
0.682950688,0.098892431
0.688619649,0.098954719
0.692402885,0.098985892
0.696197907,0.09898601
0.701890439,0.098986187
0.707582972,0.098986364
0.715173015,0.0989866
0.719003394,0.098893551
0.722821988,0.098831558
0.726652367,0.098738509
0.73047096,0.098676516
0.732403828,0.098583408
0.738108146,0.098552529
0.741950311,0.098428425
0.741973883,0.098366314
0.745792476,0.098304321
0.745839619,0.098180099
0.749669998,0.09808705
0.753500377,0.097994001
0.75354752,0.097869779
0.753582878,0.097776612
0.757413257,0.097683564
0.757436828,0.097621452
0.759369696,0.097528345
0.761290779,0.097466293
0.763223647,0.097373185
0.765144729,0.097311133
0.767054026,0.097280136
0.765180087,0.097217966
0.765203658,0.097155855
0.765239016,0.097062689
0.76908118,0.096938584
0.771002263,0.096876532
0.771025834,0.096814421
0.772946917,0.096752369
0.774867999,0.096690317
0.774891571,0.096628206
0.776824439,0.096535098
0.778733736,0.096504101
0.778780879,0.096379879
0.780690175,0.096348883
0.780713747,0.096286772
0.78076089,0.09616255
0.782693758,0.096069442
0.784614841,0.09600739
0.784638412,0.095945279
0.786559495,0.095883226
0.784709127,0.095758945
0.786630209,0.095696893
0.788551292,0.095634841
0.786677352,0.095572671
0.786724496,0.095448449
0.78866915,0.095324286
0.788704507,0.095231119
0.790637375,0.095138012
0.792558457,0.095075959
0.792593815,0.094982793
0.792617386,0.094920682
0.794550255,0.094827574
0.796494909,0.094703411
0.796530266,0.094610244
0.796565623,0.094517078
0.796612766,0.094392855
0.800443145,0.094299807
0.800466717,0.094237696
0.804297096,0.094144647
0.804308882,0.094113591
0.806218178,0.094082595
0.808151047,0.093989487
0.810083915,0.093896379
0.810095701,0.093865324
0.808233547,0.093772098
0.80828069,0.093647876
0.810225344,0.093523713
0.812169998,0.09339955
0.81219357,0.093337439
0.812240713,0.093213217
0.816082878,0.093089112
0.816106449,0.093027001
0.818027532,0.092964949
0.819972186,0.092840786
0.820019329,0.092716564
0.8200429,0.092654453
0.823885065,0.092530348
0.823920422,0.092437182
0.82395578,0.092344015
0.825888648,0.092250908
0.82780973,0.092188855
0.827845088,0.092095689
0.829777956,0.092002581
0.829825099,0.091878359
0.831746181,0.091816307
0.83367905,0.091723199
0.837509429,0.09163015
0.837556572,0.091505928
0.841386951,0.09141288
0.841434094,0.091288657
0.843366962,0.09119555
0.843402319,0.091102383
0.847244484,0.090978279
0.847291627,0.090854057
0.851122006,0.090761008
0.851145578,0.090698897
0.854975957,0.090605848
0.855011314,0.090512682
0.855046672,0.090419515
0.856967754,0.090357463
0.860798133,0.090264414
0.862731001,0.090171306
0.86656138,0.090078258
0.866608523,0.089954035
0.870462474,0.089798876
0.870486046,0.089736765
0.874316425,0.089643716
0.878146804,0.089550667
0.880079672,0.089457559
0.88201254,0.089364452
0.885831133,0.089302459
0.889673298,0.089178354
0.891606166,0.089085247
0.895436545,0.088992198
0.899266924,0.088899149
0.9050066,0.088775104
0.908813408,0.088744166
0.914541297,0.088651176
0.920269187,0.088558186
0.924075995,0.088527249
0.927882802,0.088496311
0.931701395,0.088434318
0.939291439,0.088434554
0.946857911,0.0884969
0.952550443,0.088497077
0.958219404,0.088559365
0.963900151,0.088590597
0.967671601,0.088652826
0.969557326,0.088683941
0.973328776,0.08874617
0.978997737,0.088808457
0.982769187,0.088870686
0.986540637,0.088932915
0.988414577,0.088995085
0.992186027,0.089057314
0.999752499,0.089119661
1.003500377,0.089244001
1.007271827,0.08930623
1.011043277,0.089368459
1.014791156,0.089492799
1.018574392,0.089523972
1.02232227,0.089648312
1.026081935,0.089741597
1.029841599,0.089834881
1.033613049,0.08989711
1.037372714,0.089990395
1.043029889,0.090083738
1.044892042,0.090176964
1.046765982,0.090239134
1.050525646,0.090332418
1.052387799,0.090425644
1.056135678,0.090549983
1.059883556,0.090674323
1.063631435,0.090798663
1.067391099,0.090891948
1.071150764,0.090985232
1.076796153,0.091109631
1.078658307,0.091202857
1.082417971,0.091296141
1.086177635,0.091389426
1.088016217,0.091544762
1.091764096,0.091669102
1.097397699,0.091824557
1.099248067,0.091948838
1.10298416,0.092104233
1.104846313,0.092197459
1.112377428,0.092352972
1.116101735,0.092539423
1.119849613,0.092663763
1.125483217,0.092819218
1.131116821,0.092974672
1.134864699,0.093099012
1.140498303,0.093254467
1.146131906,0.093409921
1.149867999,0.093565317
1.157399114,0.09372083
1.164930228,0.093876344
1.170563832,0.094031798
1.180027814,0.094094204
1.185673204,0.094218603
1.195101829,0.094374175
1.204554026,0.094467636
1.21591552,0.094530101
1.225355931,0.094654618
1.234796342,0.094779134
1.244248539,0.094872596
1.253700735,0.094966057
1.265026872,0.095121688
1.274479068,0.095215149
1.285805205,0.095370781
