OC-PZ-Xin1,
W,R
0.39980907,0.079970594
0.403545163,0.08012599
0.40726947,0.080312441
0.414788799,0.08049901
0.422308127,0.080685579
0.427929945,0.080872089
0.435472846,0.080996547
0.444877899,0.08121423
0.448602206,0.081400681
0.458030832,0.081556254
0.463640864,0.081773819
0.471160192,0.081960388
0.478644164,0.082240124
0.486187064,0.082364581
0.491808882,0.082551091
0.501225721,0.082737719
0.508721478,0.082986399
0.516229021,0.083204024
0.519941543,0.08342153
0.525586932,0.083545929
0.531220536,0.083701384
0.53875165,0.083856897
0.550066,0.084043584
0.557585329,0.084230153
0.565128229,0.084354611
0.576477937,0.084448131
0.58971337,0.084572765
0.602937017,0.084728456
0.614263153,0.084884087
0.621806053,0.085008545
0.63125825,0.085102006
0.644481897,0.085257696
0.655808033,0.085413327
0.665236658,0.0855689
0.674665284,0.085724472
0.686014992,0.085817992
0.69926221,0.085911571
0.714395154,0.086036265
0.727654158,0.086098788
0.735255987,0.086067969
0.742869602,0.086006093
0.748597492,0.085913103
0.754337168,0.085789058
0.76198614,0.085634016
0.771556195,0.085416922
0.777319442,0.085230766
0.783082689,0.085044609
0.788822365,0.084920564
0.79456204,0.084796518
0.800325288,0.084610362
0.80797426,0.08445532
0.813749293,0.084238108
0.81951254,0.084051952
0.823366491,0.083896792
0.827220441,0.083741632
0.831086178,0.083555417
0.838758721,0.083338264
0.844533754,0.083121052
0.854092023,0.082935013
0.859855271,0.082748857
0.867504243,0.082593815
0.875153215,0.082438773
0.888506506,0.082252852
0.899938714,0.082128984
0.907552329,0.082067108
0.915165944,0.082005233
0.926562795,0.081974531
0.934141052,0.082005822
0.945478974,0.082130398
0.958714407,0.082255033
0.970028757,0.082441719
0.979457383,0.082597292
0.987012069,0.082690694
0.996440694,0.082846266
1.005869319,0.083001839
1.017207241,0.083126414
1.024738356,0.083281928
1.03226947,0.083437441
1.04168631,0.083624069
1.053012446,0.0837797
1.0624175,0.083997384
1.0699604,0.084121841
1.077491514,0.084277355
1.085022629,0.084432868
1.092541957,0.084619437
1.101958797,0.084806065
1.111375636,0.084992693
1.116997454,0.085179203
1.12642608,0.085334775
1.133957194,0.085490289
1.145259759,0.085708031
1.156550537,0.085956829
1.167876674,0.08611246
1.177305299,0.086268032
1.18674571,0.086392549
1.196174335,0.086548121
1.209409768,0.086672756
1.22074769,0.086797332
1.230199887,0.086890793
1.241537809,0.087015369
1.254761456,0.087171059
1.266099378,0.087295635
1.2774373,0.08742021
1.286877711,0.087544727
1.296318122,0.087669244
1.307656044,0.08779382
1.317084669,0.087949392
1.32652508,0.088073909
1.341646238,0.088229658
1.337863002,0.088198484
1.352972374,0.088385289
1.362400999,0.088540861
1.37371535,0.088727548
1.386927211,0.088914294
1.398253347,0.089069925
1.409591269,0.089194501
1.419019894,0.089350073
1.430346031,0.089505704
1.443569678,0.089661394
1.456816896,0.089754974
1.466257307,0.08987949
1.477607015,0.089973011
1.488968508,0.090035475
1.504125024,0.090098058
1.515510089,0.090098411
1.524997643,0.090098706
1.534485197,0.090099001
1.545870262,0.090099354
1.56107392,0.090037715
1.576289365,0.089945019
1.591504809,0.089852324
1.602913445,0.089790567
1.614345653,0.089666698
1.629549312,0.089605058
1.637186498,0.089481072
1.650516217,0.089357262
1.661948425,0.089233394
1.671459551,0.089171577
1.682868188,0.08910982
1.696197907,0.08898601
1.711425137,0.08886226
1.722857345,0.088738391
1.728585235,0.088645401
1.739993871,0.088583644
1.749493211,0.088552883
1.76092542,0.088429014
1.772334056,0.088367257
1.779947671,0.088305381
1.791356308,0.088243624
1.802764944,0.088181866
1.814173581,0.088120109
1.823661135,0.088120404
1.831251179,0.088120639
1.844533754,0.088121052
1.85781633,0.088121464
1.871122478,0.088059766
1.884405054,0.088060178
1.895801905,0.088029476
1.90908448,0.088029889
1.918572035,0.088030183
1.933740336,0.08806171
1.952703658,0.088093355
1.96404158,0.088217931
1.94322789,0.088062005
1.926162078,0.088030419
1.973481991,0.088342448
1.982945974,0.088404853
1.992398171,0.088498315
2.001862153,0.08856072
2.013211861,0.088654241
2.026470866,0.088716764
2.039718084,0.088810343
2.047260984,0.088934801
2.054827456,0.088997148
2.066165378,0.089121724
2.079412597,0.089215303
2.092659815,0.089308882
2.102100226,0.089433399
2.111528852,0.089588971
2.120945691,0.089775599
2.132295399,0.089869119
2.139861871,0.089931466
2.151223364,0.08999393
2.160663775,0.090118447
2.172025269,0.090180912
2.18719357,0.090212439
2.194748256,0.090305841
2.202302942,0.090399243
2.211755139,0.090492705
2.21932161,0.090555051
2.228762021,0.090679568
2.238214218,0.090773029
2.251461437,0.090866609
2.264720441,0.090929132
2.274149067,0.091084704
2.285498774,0.091178225
2.296848482,0.091271745
2.308209975,0.091334209
2.319559683,0.09142773
2.329000094,0.091552246
2.338452291,0.091645708
2.346006977,0.09173911
2.353573449,0.091801457
2.361151707,0.091832748
2.370627475,0.091864098
2.378193947,0.091926445
2.38955544,0.09198891
2.399019423,0.092051315
2.410404488,0.092051669
2.41797096,0.092114016
2.427458514,0.09211431
2.440729304,0.092145778
2.455874034,0.092239416
2.471030549,0.092301999
2.480494531,0.092364405
2.488037432,0.092488862
