Brown University Keck/NASA Relab Spectrum OC-TXH-006-A/C1OC06A,,
W,R,Standard Deviation
0.28,0.08597,0.00958
0.285,0.08775,0.00425
0.29,0.0879,0.00326
0.295,0.08812,0.00315
0.3,0.08848,0.00304
0.305,0.0894,0.00293
0.31,0.09102,0.003
0.315,0.09363,0.00303
0.32,0.09721,0.00304
0.325,0.10097,0.00307
0.33,0.10529,0.00322
0.335,0.11014,0.00323
0.34,0.11578,0.00333
0.345,0.12176,0.00345
0.35,0.12794,0.0036
0.355,0.13434,0.00373
0.36,0.14033,0.0039
0.365,0.14555,0.00408
0.37,0.15028,0.00421
0.375,0.15401,0.00432
0.38,0.15714,0.00432
0.385,0.15934,0.00441
0.39,0.16078,0.00475
0.395,0.16194,0.00477
0.4,0.163,0.00449
0.405,0.16464,0.00461
0.41,0.16671,0.00466
0.415,0.16783,0.00471
0.42,0.16821,0.00468
0.425,0.168,0.00439
0.43,0.16811,0.00432
0.435,0.16969,0.00438
0.44,0.16985,0.00441
0.445,0.1701,0.00443
0.45,0.16959,0.00443
0.455,0.16983,0.00439
0.46,0.17105,0.00439
0.465,0.17196,0.00447
0.47,0.17256,0.00441
0.475,0.17374,0.00452
0.48,0.17505,0.00456
0.485,0.17549,0.00461
0.49,0.176,0.00453
0.495,0.17626,0.00458
0.5,0.17734,0.0046
0.505,0.17667,0.00455
0.51,0.17936,0.00469
0.515,0.18078,0.00474
0.52,0.18146,0.00474
0.525,0.18203,0.00478
0.53,0.1825,0.00477
0.535,0.18314,0.00478
0.54,0.18332,0.0048
0.545,0.18334,0.00485
0.55,0.18343,0.00479
0.555,0.18399,0.00481
0.56,0.18434,0.00477
0.565,0.18447,0.00482
0.57,0.18429,0.00487
0.575,0.18418,0.00479
0.58,0.18391,0.00483
0.585,0.18367,0.00486
0.59,0.18356,0.00484
0.595,0.18339,0.00481
0.6,0.18315,0.00482
0.605,0.18276,0.00478
0.61,0.18256,0.00484
0.615,0.18234,0.00486
0.62,0.18223,0.00487
0.625,0.18213,0.00481
0.63,0.18207,0.00486
0.635,0.18217,0.00482
0.64,0.18235,0.00486
0.645,0.18279,0.00487
0.65,0.1827,0.00492
0.655,0.18217,0.00489
0.66,0.18209,0.00492
0.665,0.18243,0.00496
0.67,0.18294,0.00503
0.675,0.18346,0.00497
0.68,0.18383,0.005
0.685,0.18383,0.00501
0.69,0.18379,0.00506
0.695,0.18375,0.00498
0.7,0.18406,0.005
0.705,0.18364,0.00499
0.71,0.18363,0.00491
0.715,0.18346,0.00496
0.72,0.1831,0.00487
0.725,0.18261,0.00488
0.73,0.18184,0.00485
0.735,0.18107,0.00484
0.74,0.17997,0.00475
0.745,0.17901,0.00468
0.75,0.17732,0.00469
0.755,0.17564,0.00464
0.76,0.1739,0.00463
0.765,0.17253,0.00444
0.77,0.17034,0.00441
0.775,0.1682,0.00439
0.78,0.16561,0.0044
0.785,0.16327,0.00428
0.79,0.16046,0.00428
0.795,0.15761,0.00419
0.8,0.15414,0.00501
0.805,0.15153,0.00502
0.81,0.14868,0.0049
0.815,0.1462,0.00472
0.82,0.14327,0.00473
0.825,0.14118,0.00452
0.83,0.13808,0.00444
0.835,0.13612,0.00438
0.84,0.13366,0.00418
0.845,0.13146,0.00416
0.85,0.12943,0.00408
0.855,0.12833,0.00425
0.86,0.12611,0.00401
0.865,0.12475,0.00378
0.87,0.12343,0.00416
0.875,0.12201,0.00376
0.88,0.12108,0.00364
0.885,0.12017,0.00346
0.89,0.11889,0.00334
0.895,0.11886,0.00349
0.9,0.11822,0.00351
0.905,0.11759,0.00346
0.91,0.1177,0.00358
0.915,0.11746,0.00382
0.92,0.11758,0.00329
0.925,0.11745,0.00336
0.93,0.11719,0.00348
0.935,0.11727,0.00342
0.94,0.1172,0.00344
0.945,0.11713,0.00375
0.95,0.117,0.00356
0.955,0.11743,0.00347
0.96,0.11784,0.00348
0.965,0.11796,0.00338
0.97,0.11843,0.00336
0.975,0.11913,0.00347
0.98,0.11967,0.00342
0.985,0.11997,0.00363
0.99,0.12099,0.0038
0.995,0.12155,0.00369
1,0.12272,0.00369
1.005,0.12321,0.00353
1.01,0.12469,0.00342
1.015,0.12541,0.00368
1.02,0.12631,0.0038
1.025,0.12742,0.00357
1.03,0.12866,0.00368
1.035,0.1296,0.00372
1.04,0.13043,0.00373
1.045,0.13147,0.00384
1.05,0.13199,0.00369
1.055,0.13284,0.00391
1.06,0.13428,0.00351
1.065,0.13456,0.00419
1.07,0.13603,0.00402
1.075,0.13643,0.00376
1.08,0.13752,0.00404
1.085,0.1382,0.00392
1.09,0.13917,0.00414
1.095,0.14025,0.00427
1.1,0.14119,0.0041
1.105,0.14166,0.0042
1.11,0.14263,0.00413
1.115,0.14341,0.00422
1.12,0.14454,0.00413
1.125,0.14555,0.00458
1.13,0.14577,0.0043
1.135,0.14671,0.00451
1.14,0.14718,0.00433
1.145,0.14779,0.00449
1.15,0.14849,0.00403
1.155,0.14943,0.00408
1.16,0.14972,0.00375
1.165,0.15045,0.00446
1.17,0.15098,0.00432
1.175,0.15141,0.00435
1.18,0.15145,0.00447
1.185,0.1517,0.00415
1.19,0.15242,0.0042
1.195,0.15277,0.00443
1.2,0.15323,0.0046
1.205,0.15308,0.00407
1.21,0.15325,0.00445
1.215,0.15386,0.00425
1.22,0.15403,0.00434
1.225,0.15452,0.00405
1.23,0.1546,0.00437
1.235,0.15491,0.00428
1.24,0.15501,0.00439
1.245,0.15518,0.00417
1.25,0.1554,0.00442
1.255,0.15586,0.00462
1.26,0.15635,0.0044
1.265,0.15669,0.00426
1.27,0.15679,0.00438
1.275,0.15733,0.00463
1.28,0.15722,0.00432
1.285,0.15793,0.00469
1.29,0.1583,0.00465
1.295,0.1587,0.00464
1.3,0.15904,0.00501
1.305,0.15931,0.00465
1.31,0.15938,0.00497
1.315,0.16027,0.00456
1.32,0.1603,0.00471
1.325,0.16049,0.0047
1.33,0.16122,0.00448
1.335,0.16165,0.00468
1.34,0.16148,0.00472
1.345,0.1618,0.00482
1.35,0.16204,0.00479
1.355,0.1624,0.00491
1.36,0.16279,0.00493
1.365,0.16326,0.00449
1.37,0.1636,0.00526
1.375,0.16363,0.00519
1.38,0.16373,0.00501
1.385,0.16455,0.00456
1.39,0.16493,0.00491
1.395,0.1648,0.00525
1.4,0.16551,0.00484
1.405,0.16564,0.00527
1.41,0.16617,0.00497
1.415,0.16665,0.00517
1.42,0.16647,0.005
1.425,0.16713,0.0049
1.43,0.16725,0.00499
1.435,0.16693,0.00496
1.44,0.16744,0.00514
1.445,0.16724,0.0053
1.45,0.16728,0.0049
1.455,0.16765,0.00524
1.46,0.16748,0.00478
1.465,0.16745,0.00529
1.47,0.16758,0.00486
1.475,0.16711,0.00525
1.48,0.16687,0.00465
1.485,0.16689,0.00504
1.49,0.16676,0.00519
1.495,0.16713,0.00502
1.5,0.16681,0.00513
1.505,0.16645,0.00497
1.51,0.16652,0.00481
1.515,0.16637,0.00518
1.52,0.16645,0.00541
1.525,0.16563,0.0049
1.53,0.16539,0.00473
1.535,0.16527,0.00504
1.54,0.16442,0.00474
1.545,0.16424,0.00455
1.55,0.16396,0.00521
1.555,0.16318,0.00484
1.56,0.16248,0.00495
1.565,0.16198,0.0048
1.57,0.162,0.00509
1.575,0.16131,0.00506
1.58,0.16131,0.00508
1.585,0.16043,0.00515
1.59,0.15968,0.00505
1.595,0.15978,0.00506
1.6,0.15967,0.00475
1.605,0.15841,0.00508
1.61,0.15813,0.00484
1.615,0.15737,0.00511
1.62,0.1568,0.00495
1.625,0.15637,0.00506
1.63,0.15594,0.00468
1.635,0.15499,0.0049
1.64,0.15455,0.00497
1.645,0.1545,0.00495
1.65,0.15309,0.0052
