Brown University Keck/NASA Relab Spectrum OC-TXH-006-A40/C1OC06A40,,
W,R,Standard Deviation
0.28,0.07855,0.01344
0.285,0.0798,0.00628
0.29,0.07977,0.00557
0.295,0.0802,0.00563
0.3,0.08075,0.00543
0.305,0.08143,0.00569
0.31,0.08304,0.00568
0.315,0.08516,0.00572
0.32,0.08802,0.00605
0.325,0.09084,0.00607
0.33,0.09364,0.00621
0.335,0.09656,0.00638
0.34,0.09965,0.00657
0.345,0.10276,0.00685
0.35,0.10658,0.00701
0.355,0.11019,0.00715
0.36,0.11331,0.00748
0.365,0.11622,0.00756
0.37,0.11887,0.00782
0.375,0.1211,0.00788
0.38,0.12322,0.00807
0.385,0.12512,0.00818
0.39,0.12752,0.0085
0.395,0.12907,0.00852
0.4,0.13022,0.00832
0.405,0.13183,0.00845
0.41,0.13358,0.00863
0.415,0.13508,0.0086
0.42,0.13614,0.00872
0.425,0.13697,0.0086
0.43,0.13812,0.00873
0.435,0.13939,0.0087
0.44,0.14035,0.00874
0.445,0.14124,0.00883
0.45,0.1418,0.00892
0.455,0.14263,0.0089
0.46,0.14364,0.00897
0.465,0.14468,0.00904
0.47,0.14548,0.00913
0.475,0.14662,0.00921
0.48,0.14783,0.00921
0.485,0.1487,0.00941
0.49,0.14959,0.00943
0.495,0.15044,0.00956
0.5,0.1514,0.0096
0.505,0.15157,0.00961
0.51,0.15335,0.00975
0.515,0.15467,0.00986
0.52,0.15544,0.00979
0.525,0.15641,0.00994
0.53,0.15712,0.00995
0.535,0.15791,0.01011
0.54,0.15856,0.01007
0.545,0.15909,0.01018
0.55,0.15944,0.0102
0.555,0.16021,0.01017
0.56,0.16083,0.01026
0.565,0.16142,0.01031
0.57,0.16165,0.01035
0.575,0.16211,0.01028
0.58,0.16237,0.0103
0.585,0.1625,0.01039
0.59,0.16281,0.0104
0.595,0.163,0.01042
0.6,0.16317,0.0104
0.605,0.16358,0.01045
0.61,0.1637,0.01049
0.615,0.16372,0.01045
0.62,0.16413,0.01053
0.625,0.16423,0.01055
0.63,0.16443,0.01052
0.635,0.16475,0.01048
0.64,0.16512,0.01061
0.645,0.16527,0.01059
0.65,0.16562,0.01064
0.655,0.16592,0.01066
0.66,0.16583,0.01072
0.665,0.16597,0.01067
0.67,0.16649,0.01075
0.675,0.16705,0.01074
0.68,0.16759,0.01074
0.685,0.16782,0.0108
0.69,0.16804,0.01077
0.695,0.16846,0.01091
0.7,0.1689,0.01092
0.705,0.16887,0.01091
0.71,0.16893,0.01097
0.715,0.16933,0.01102
0.72,0.16924,0.01094
0.725,0.16924,0.01094
0.73,0.16913,0.01093
0.735,0.16875,0.01088
0.74,0.16837,0.01092
0.745,0.16777,0.01088
0.75,0.16734,0.01091
0.755,0.16641,0.01074
0.76,0.16525,0.01069
0.765,0.16443,0.0106
0.77,0.16319,0.01061
0.775,0.16194,0.01051
0.78,0.1606,0.0105
0.785,0.15914,0.01032
0.79,0.15731,0.01032
0.795,0.15579,0.01017
0.8,0.15358,0.01073
0.805,0.15197,0.01039
0.81,0.15013,0.01023
0.815,0.14851,0.01001
0.82,0.14674,0.01011
0.825,0.14496,0.00949
0.83,0.14344,0.00967
0.835,0.14184,0.00922
0.84,0.14032,0.00904
0.845,0.13888,0.0091
0.85,0.13741,0.00891
0.855,0.13662,0.00873
0.86,0.13562,0.00883
0.865,0.13465,0.00846
0.87,0.13358,0.00792
0.875,0.13277,0.00789
0.88,0.13187,0.00798
0.885,0.13097,0.00744
0.89,0.13028,0.00811
0.895,0.12993,0.00781
0.9,0.12957,0.00753
0.905,0.12947,0.00737
0.91,0.12945,0.0079
0.915,0.12939,0.00786
0.92,0.12932,0.00752
0.925,0.12923,0.00762
0.93,0.12916,0.00771
0.935,0.12911,0.00773
0.94,0.12908,0.0073
0.945,0.12913,0.00756
0.95,0.12912,0.00788
0.955,0.12927,0.00716
0.96,0.12952,0.00757
0.965,0.12973,0.00754
0.97,0.13015,0.00759
0.975,0.13069,0.00762
0.98,0.13128,0.00727
0.985,0.13196,0.00773
0.99,0.13266,0.00733
0.995,0.13334,0.00748
1,0.13404,0.00774
1.005,0.13476,0.00785
1.01,0.13556,0.00799
1.015,0.13642,0.00788
1.02,0.13716,0.0079
1.025,0.13811,0.00821
1.03,0.13897,0.00815
1.035,0.13971,0.00772
1.04,0.14048,0.00807
1.045,0.14131,0.00815
1.05,0.14195,0.00805
1.055,0.14258,0.00812
1.06,0.14338,0.00808
1.065,0.1441,0.00819
1.07,0.1448,0.00845
1.075,0.14556,0.00835
1.08,0.14632,0.00832
1.085,0.14704,0.0089
1.09,0.14788,0.00881
1.095,0.14867,0.00865
1.1,0.14956,0.0089
1.105,0.15044,0.00904
1.11,0.15135,0.00894
1.115,0.15202,0.00873
1.12,0.15283,0.00871
1.125,0.15354,0.00871
1.13,0.15423,0.00868
1.135,0.15477,0.00895
1.14,0.15551,0.00892
1.145,0.15601,0.00902
1.15,0.1566,0.0091
1.155,0.1571,0.00914
1.16,0.1576,0.0094
1.165,0.15802,0.00882
1.17,0.15863,0.00934
1.175,0.15895,0.00833
1.18,0.15939,0.00914
1.185,0.1598,0.00901
1.19,0.16017,0.00909
1.195,0.16046,0.00909
1.2,0.16082,0.00914
1.205,0.16115,0.00909
1.21,0.16146,0.00913
1.215,0.16179,0.00918
1.22,0.16191,0.00969
1.225,0.16215,0.00956
1.23,0.16233,0.00939
1.235,0.16261,0.00936
1.24,0.1628,0.00922
1.245,0.16324,0.00933
1.25,0.16347,0.009
1.255,0.1638,0.00916
1.26,0.16403,0.00923
1.265,0.16429,0.00926
1.27,0.16455,0.00959
1.275,0.16474,0.00912
1.28,0.16491,0.00901
1.285,0.16518,0.00971
1.29,0.16558,0.00988
1.295,0.16589,0.00967
1.3,0.16624,0.00952
1.305,0.1666,0.00968
1.31,0.1669,0.0098
1.315,0.16719,0.00965
1.32,0.16755,0.00974
1.325,0.1679,0.00979
1.33,0.16823,0.01021
1.335,0.16857,0.01
1.34,0.16883,0.00946
1.345,0.16896,0.00929
1.35,0.16888,0.00971
1.355,0.16917,0.00965
1.36,0.16945,0.00944
1.365,0.16966,0.01001
1.37,0.16986,0.00987
1.375,0.17041,0.00977
1.38,0.1705,0.00996
1.385,0.17069,0.01042
1.39,0.17108,0.00985
1.395,0.17122,0.0104
1.4,0.17141,0.01007
1.405,0.17173,0.00955
1.41,0.1721,0.00983
1.415,0.17228,0.00941
1.42,0.1725,0.00998
1.425,0.17257,0.01041
1.43,0.17269,0.00978
1.435,0.1729,0.01007
1.44,0.17304,0.01016
1.445,0.17308,0.01004
1.45,0.17306,0.00974
1.455,0.17307,0.00972
1.46,0.17301,0.0101
1.465,0.17296,0.00992
1.47,0.17301,0.01023
1.475,0.17295,0.00982
1.48,0.17285,0.00962
1.485,0.17282,0.00991
1.49,0.17271,0.01019
1.495,0.17249,0.01014
1.5,0.17238,0.00971
1.505,0.17242,0.01022
1.51,0.17228,0.0098
1.515,0.17218,0.01007
1.52,0.17212,0.01021
1.525,0.17181,0.00965
1.53,0.17143,0.00979
1.535,0.171,0.00986
1.54,0.1706,0.00945
1.545,0.17021,0.01016
1.55,0.16994,0.00952
1.555,0.16959,0.00967
1.56,0.16933,0.00944
1.565,0.16907,0.00981
1.57,0.16876,0.0096
1.575,0.16845,0.00983
1.58,0.16818,0.00979
1.585,0.16786,0.00988
1.59,0.16751,0.00922
1.595,0.16718,0.00969
1.6,0.16685,0.00981
1.605,0.16643,0.0097
1.61,0.16602,0.00944
1.615,0.16566,0.00979
1.62,0.16514,0.00921
1.625,0.1647,0.00934
1.63,0.16423,0.00975
1.635,0.16393,0.00936
1.64,0.16356,0.00915
1.645,0.16316,0.00929
1.65,0.16283,0.00953
1.655,0.16244,0.00924
1.66,0.162,0.00892
1.665,0.16169,0.00922
1.67,0.16145,0.00909
1.675,0.16106,0.00914
1.68,0.16072,0.00942
1.685,0.16033,0.00902
1.69,0.15993,0.00933
1.695,0.1596,0.00932
1.7,0.15937,0.00921
1.705,0.15912,0.00894
1.71,0.15884,0.00911
1.715,0.15856,0.00942
1.72,0.15804,0.00899
1.725,0.15791,0.00918
1.73,0.15746,0.00878
1.735,0.15706,0.00911
1.74,0.15684,0.00905
1.745,0.15668,0.0088
1.75,0.15634,0.00885
1.755,0.15612,0.00882
1.76,0.15594,0.00877
1.765,0.15548,0.0086
1.77,0.15517,0.00888
1.775,0.15503,0.00896
1.78,0.15461,0.00869
1.785,0.15437,0.00881
1.79,0.15402,0.00858
1.795,0.15376,0.00884
1.8,0.15349,0.0092
1.805,0.1533,0.00857
1.81,0.15321,0.00882
1.815,0.15305,0.00873
1.82,0.15286,0.00896
1.825,0.15245,0.00875
1.83,0.15263,0.00872
1.835,0.15242,0.00875
1.84,0.1525,0.00903
1.845,0.15243,0.00874
1.85,0.15273,0.00894
1.855,0.15211,0.0087
1.86,0.15186,0.00884
1.865,0.15197,0.00829
1.87,0.15192,0.00888
1.875,0.15173,0.00901
1.88,0.15171,0.00832
1.885,0.15166,0.00865
1.89,0.15124,0.0089
1.895,0.15126,0.00872
1.9,0.15123,0.00869
1.905,0.15154,0.00896
1.91,0.15188,0.0086
1.915,0.15194,0.00879
1.92,0.15212,0.00841
1.925,0.15218,0.00878
1.93,0.15207,0.00914
1.935,0.15224,0.00898
1.94,0.15247,0.00884
1.945,0.15269,0.00861
1.95,0.15269,0.00866
