Brown University Keck/NASA Relab Spectrum OC-TXH-012-P/C1OC12P,,
W,R,Standard Deviation
0.25,0.246269,0.15805
0.255,0.244517,0.10352
0.26,0.242995,0.07336
0.265,0.240273,0.05487
0.27,0.240929,0.0423
0.275,0.242416,0.03364
0.28,0.243262,0.02654
0.285,0.242816,0.02132
0.29,0.241614,0.01775
0.295,0.241736,0.01453
0.3,0.243864,0.01212
0.305,0.246752,0.01028
0.31,0.251111,0.00865
0.315,0.256771,0.00739
0.32,0.26073,0.00645
0.325,0.267994,0.00567
0.33,0.276387,0.00516
0.335,0.285709,0.00499
0.34,0.295689,0.00542
0.345,0.305985,0.00652
0.35,0.317102,0.00285
0.355,0.328646,0.00227
0.36,0.340087,0.00201
0.365,0.350712,0.0018
0.37,0.360807,0.0017
0.375,0.369389,0.00155
0.38,0.3769,0.00149
0.385,0.382992,0.00152
0.39,0.38807,0.00146
0.395,0.39307,0.00141
0.4,0.396823,0.00145
0.405,0.400988,0.00148
0.41,0.406387,0.00142
0.415,0.410468,0.00143
0.42,0.413308,0.00145
0.425,0.415348,0.0015
0.43,0.416865,0.00149
0.435,0.418243,0.00146
0.44,0.420105,0.00153
0.445,0.42038,0.00151
0.45,0.419994,0.00149
0.455,0.419999,0.00155
0.46,0.421066,0.00153
0.465,0.422262,0.00154
0.47,0.423359,0.00153
0.475,0.425054,0.00159
0.48,0.426896,0.0016
0.485,0.427527,0.00157
0.49,0.427889,0.00163
0.495,0.428141,0.00163
0.5,0.429022,0.00171
0.505,0.430097,0.00164
0.51,0.432005,0.00166
0.515,0.433133,0.00175
0.52,0.433625,0.0017
0.525,0.433659,0.00169
0.53,0.433748,0.00175
0.535,0.434439,0.00166
0.54,0.435024,0.00173
0.545,0.435215,0.00175
0.55,0.435048,0.00173
0.555,0.435145,0.00176
0.56,0.435181,0.00172
0.565,0.435163,0.00178
0.57,0.434691,0.00178
0.575,0.43377,0.00179
0.58,0.433272,0.00184
0.585,0.432408,0.00185
0.59,0.431979,0.00182
0.595,0.43142,0.0019
0.6,0.430932,0.00191
0.605,0.430462,0.0019
0.61,0.429876,0.00191
0.615,0.428985,0.00199
0.62,0.428415,0.00201
0.625,0.428121,0.00195
0.63,0.427789,0.00198
0.635,0.427313,0.00193
0.64,0.426865,0.002
0.645,0.426804,0.002
0.65,0.426649,0.00198
0.655,0.426334,0.00195
0.66,0.425994,0.00202
0.665,0.4256,0.00206
0.67,0.425107,0.00209
0.675,0.424748,0.00211
0.68,0.42426,0.00211
0.685,0.423673,0.00217
0.69,0.422854,0.00215
0.695,0.422086,0.00214
0.7,0.421232,0.00219
0.705,0.420511,0.00218
0.71,0.419675,0.00226
0.715,0.418865,0.00229
0.72,0.417856,0.00229
0.725,0.416603,0.00241
0.73,0.415534,0.00235
0.735,0.414388,0.00252
0.74,0.412717,0.00237
0.745,0.410048,0.00243
0.75,0.408462,0.00519
0.755,0.40694,0.00527
0.76,0.405044,0.00511
0.765,0.402987,0.00531
0.77,0.400719,0.00544
0.775,0.398133,0.00523
0.78,0.395627,0.0051
0.785,0.393063,0.00506
0.79,0.390215,0.00482
0.795,0.387254,0.00467
0.8,0.384177,0.00465
0.805,0.38096,0.00593
0.81,0.377851,0.006
0.815,0.374333,0.00504
0.82,0.370749,0.00547
0.825,0.367403,0.0052
0.83,0.36393,0.00436
0.835,0.360441,0.00431
0.84,0.357138,0.00395
0.845,0.354281,0.00379
0.85,0.352004,0.00386
0.855,0.349544,0.00353
0.86,0.347575,0.00338
0.865,0.345684,0.00323
0.87,0.344193,0.00301
0.875,0.343003,0.00308
0.88,0.341837,0.00289
0.885,0.340619,0.00278
0.89,0.339382,0.00287
0.895,0.338192,0.00269
0.9,0.337003,0.00234
0.905,0.335067,0.00234
0.91,0.333409,0.00269
0.915,0.331777,0.00243
0.92,0.330328,0.00241
0.925,0.329151,0.00242
0.93,0.327826,0.0026
0.935,0.326807,0.00257
0.94,0.325769,0.00238
0.945,0.325003,0.00261
0.95,0.324299,0.00216
0.955,0.323549,0.00222
0.96,0.322904,0.00257
0.965,0.32233,0.00228
0.97,0.321813,0.00248
0.975,0.321339,0.00242
0.98,0.321087,0.00232
0.985,0.320597,0.00238
0.99,0.320197,0.00233
0.995,0.319637,0.00262
1,0.31884,0.00258
1.005,0.318178,0.00233
1.01,0.31787,0.00267
1.015,0.31737,0.00253
1.02,0.316979,0.00231
1.025,0.316662,0.00219
1.03,0.316624,0.00254
1.035,0.316251,0.00243
1.04,0.316069,0.00259
1.045,0.316008,0.00232
1.05,0.315752,0.00243
1.055,0.316177,0.00265
1.06,0.316635,0.00259
1.065,0.317001,0.00226
1.07,0.317124,0.00241
1.075,0.317533,0.00248
1.08,0.318188,0.00256
1.085,0.319105,0.00258
1.09,0.319694,0.00268
1.095,0.320215,0.00269
1.1,0.321115,0.00281
1.105,0.322149,0.00246
1.11,0.323101,0.00243
1.115,0.323894,0.00251
1.12,0.325314,0.00262
1.125,0.326476,0.00243
1.13,0.327532,0.00252
1.135,0.328689,0.00252
1.14,0.329461,0.00245
1.145,0.330292,0.00266
1.15,0.331323,0.00257
1.155,0.331864,0.00257
1.16,0.331986,0.00246
1.165,0.332246,0.00247
1.17,0.332618,0.00246
1.175,0.332846,0.00257
1.18,0.333092,0.0024
1.185,0.333532,0.00253
1.19,0.333625,0.00254
1.195,0.333676,0.00256
1.2,0.333888,0.00247
1.205,0.333868,0.00225
1.21,0.333765,0.00226
1.215,0.333361,0.00233
1.22,0.333105,0.0023
1.225,0.332962,0.0025
1.23,0.333183,0.00234
1.235,0.333035,0.00228
1.24,0.333057,0.00214
1.245,0.333029,0.00216
1.25,0.333067,0.00257
1.255,0.33317,0.0021
1.26,0.333206,0.00227
1.265,0.333139,0.00234
1.27,0.332604,0.00191
1.275,0.332298,0.00234
1.28,0.332103,0.00222
1.285,0.332048,0.00224
1.29,0.332419,0.00249
1.295,0.333011,0.00227
1.3,0.333288,0.00216
1.305,0.333678,0.00227
1.31,0.334161,0.00228
1.315,0.334603,0.00242
1.32,0.334628,0.00228
1.325,0.334883,0.00225
1.33,0.335195,0.0025
1.335,0.335687,0.00238
1.34,0.336349,0.00224
1.345,0.33666,0.00258
1.35,0.337355,0.00226
1.355,0.338104,0.00244
1.36,0.339285,0.00223
1.365,0.339715,0.00227
1.37,0.340004,0.00238
1.375,0.340295,0.00207
1.38,0.341463,0.00233
1.385,0.341938,0.00208
1.39,0.343488,0.00236
1.395,0.344195,0.00245
1.4,0.344276,0.00247
1.405,0.344428,0.00224
1.41,0.344745,0.00213
1.415,0.345122,0.00227
1.42,0.34549,0.00209
1.425,0.345559,0.00217
1.43,0.345747,0.00233
1.435,0.345993,0.00198
1.44,0.346427,0.00202
1.445,0.347139,0.00245
1.45,0.347053,0.00248
1.455,0.346795,0.00241
1.46,0.346856,0.00237
1.465,0.347343,0.00238
1.47,0.347282,0.00216
1.475,0.346949,0.00219
1.48,0.346731,0.00355
1.485,0.346512,0.00216
1.49,0.346163,0.0022
1.495,0.345609,0.00225
1.5,0.345814,0.00224
1.505,0.345816,0.00212
1.51,0.345143,0.00241
1.515,0.344878,0.00203
1.52,0.344608,0.00214
1.525,0.344196,0.00227
1.53,0.343576,0.00208
1.535,0.34351,0.00236
1.54,0.343282,0.00215
1.545,0.342498,0.00243
1.55,0.341698,0.00229
1.555,0.341333,0.00217
1.56,0.340786,0.00222
1.565,0.340279,0.00246
1.57,0.340055,0.00226
1.575,0.339521,0.00231
1.58,0.338724,0.00242
1.585,0.338151,0.00228
1.59,0.337433,0.00245
1.595,0.336883,0.00246
1.6,0.336042,0.00255
1.605,0.335757,0.00244
1.61,0.334844,0.00254
1.615,0.334014,0.00217
1.62,0.333571,0.00247
1.625,0.332825,0.0025
1.63,0.332242,0.00239
1.635,0.331404,0.00261
1.64,0.330632,0.00243
1.645,0.329839,0.00258
1.65,0.328851,0.00197
1.655,0.328261,0.00211
1.66,0.327955,0.00202
1.665,0.327684,0.00199
1.67,0.327261,0.00204
1.675,0.326571,0.00208
1.68,0.325673,0.00198
1.685,0.32495,0.00185
1.69,0.324288,0.00198
1.695,0.323283,0.00206
1.7,0.322789,0.00204
1.705,0.321927,0.00175
1.71,0.321253,0.00151
1.715,0.320474,0.00154
1.72,0.319548,0.00176
1.725,0.318669,0.00144
1.73,0.317972,0.00166
1.735,0.316678,0.00147
1.74,0.315613,0.00168
1.745,0.314407,0.00169
1.75,0.313553,0.00167
1.755,0.312521,0.00157
1.76,0.311932,0.00175
1.765,0.310844,0.00178
1.77,0.309518,0.00178
1.775,0.308747,0.00186
1.78,0.308256,0.00172
1.785,0.307686,0.00169
1.79,0.307189,0.00157
1.795,0.306202,0.00153
1.8,0.305638,0.00161
1.805,0.304638,0.00179
1.81,0.303801,0.00196
1.815,0.302825,0.00189
1.82,0.30234,0.00161
1.825,0.301762,0.00197
1.83,0.301313,0.00197
1.835,0.301067,0.00177
1.84,0.301052,0.00173
1.845,0.299945,0.00163
1.85,0.299284,0.00214
1.855,0.297886,0.00182
1.86,0.297297,0.00213
1.865,0.296684,0.00153
1.87,0.297023,0.00152
1.875,0.296006,0.00199
1.88,0.294877,0.00192
1.885,0.294354,0.00195
1.89,0.294201,0.00183
1.895,0.293434,0.00168
1.9,0.29201,0.00187
1.905,0.291559,0.00146
1.91,0.290672,0.0018
1.915,0.290084,0.00188
1.92,0.290144,0.00168
1.925,0.289295,0.00163
1.93,0.288819,0.00167
1.935,0.288505,0.00173
1.94,0.287848,0.00167
1.945,0.287638,0.0019
1.95,0.2875,0.00168
1.955,0.287162,0.00169
1.96,0.28716,0.00171
1.965,0.287029,0.00167
1.97,0.286659,0.00166
1.975,0.286388,0.00165
1.98,0.28594,0.00152
1.985,0.286048,0.00148
1.99,0.286144,0.0017
1.995,0.286068,0.00181
2,0.285757,0.0018
2.005,0.285407,0.00181
2.01,0.285561,0.00167
2.015,0.285503,0.0016
2.02,0.285542,0.00171
2.025,0.28534,0.00133
2.03,0.285339,0.00168
2.035,0.28504,0.00183
2.04,0.284718,0.00164
2.045,0.284625,0.00195
2.05,0.284404,0.00171
2.055,0.283683,0.00168
2.06,0.283462,0.0018
2.065,0.283321,0.00153
2.07,0.283676,0.00188
2.075,0.283264,0.00169
2.08,0.282976,0.00158
2.085,0.283336,0.00176
2.09,0.283146,0.00198
2.095,0.283152,0.00198
2.1,0.282978,0.00192
2.105,0.283077,0.00172
2.11,0.283253,0.00152
2.115,0.283493,0.00172
2.12,0.28347,0.00162
2.125,0.283417,0.0019
2.13,0.28302,0.00209
2.135,0.283272,0.00179
2.14,0.282797,0.00176
2.145,0.281633,0.00196
2.15,0.28158,0.00175
2.155,0.281172,0.0017
2.16,0.281277,0.00185
2.165,0.280686,0.00189
2.17,0.280929,0.00181
2.175,0.281099,0.0017
2.18,0.281031,0.00167
2.185,0.281026,0.00173
2.19,0.280927,0.00212
2.195,0.280493,0.00186
2.2,0.280408,0.00173
2.205,0.280573,0.00198
2.21,0.280348,0.00202
2.215,0.280516,0.00219
2.22,0.280229,0.00172
2.225,0.280021,0.00184
2.23,0.280157,0.0016
2.235,0.280014,0.00193
2.24,0.279885,0.00189
2.245,0.280267,0.00193
2.25,0.280136,0.00231
2.255,0.280358,0.00202
2.26,0.279826,0.00199
2.265,0.280051,0.00195
2.27,0.280275,0.00188
2.275,0.280237,0.0022
2.28,0.280115,0.00186
2.285,0.28004,0.00194
2.29,0.279918,0.00187
2.295,0.280517,0.00182
2.3,0.281026,0.00175
2.305,0.281036,0.00202
2.31,0.280764,0.00201
2.315,0.279392,0.00227
2.32,0.278859,0.00218
2.325,0.278369,0.0023
2.33,0.278589,0.00215
2.335,0.278213,0.00198
2.34,0.278914,0.00221
2.345,0.279064,0.00203
2.35,0.278696,0.0023
2.355,0.277302,0.00214
2.36,0.277046,0.00188
2.365,0.277302,0.00248
2.37,0.276765,0.00213
2.375,0.276139,0.0021
2.38,0.276146,0.00211
2.385,0.276381,0.0024
2.39,0.276045,0.00228
2.395,0.276132,0.00202
2.4,0.27668,0.00204
2.405,0.276618,0.00209
2.41,0.276442,0.00222
2.415,0.276381,0.00233
2.42,0.276271,0.00238
2.425,0.275138,0.00221
2.43,0.275382,0.00221
2.435,0.274824,0.00209
2.44,0.274706,0.00207
2.445,0.274414,0.00218
2.45,0.274818,0.00222
2.455,0.274629,0.00205
2.46,0.274824,0.00231
2.465,0.274617,0.00216
2.47,0.274683,0.00214
2.475,0.274902,0.00249
2.48,0.273931,0.00264
2.485,0.274316,0.00266
2.49,0.273234,0.00257
2.495,0.272619,0.00297
2.5,0.272802,0.00318
