Brown University Keck/NASA Relab Spectrum OC-TXH-012-P05/C1OC12P05,,
W,R,Standard Deviation
0.25,0.194115,0.15805
0.255,0.191668,0.10352
0.26,0.190158,0.07336
0.265,0.188007,0.05487
0.27,0.188345,0.0423
0.275,0.189198,0.03364
0.28,0.189547,0.02654
0.285,0.18899,0.02132
0.29,0.188078,0.01775
0.295,0.187621,0.01453
0.3,0.18841,0.01212
0.305,0.190002,0.01028
0.31,0.192417,0.00865
0.315,0.19589,0.00739
0.32,0.199073,0.00645
0.325,0.203788,0.00567
0.33,0.209469,0.00516
0.335,0.215674,0.00499
0.34,0.222342,0.00542
0.345,0.229254,0.00652
0.35,0.236932,0.00285
0.355,0.244669,0.00227
0.36,0.252326,0.00201
0.365,0.259347,0.0018
0.37,0.266054,0.0017
0.375,0.272114,0.00155
0.38,0.277285,0.00149
0.385,0.281556,0.00152
0.39,0.286529,0.00146
0.395,0.290381,0.00141
0.4,0.293398,0.00145
0.405,0.296923,0.00148
0.41,0.300785,0.00142
0.415,0.303944,0.00143
0.42,0.307371,0.00145
0.425,0.30943,0.0015
0.43,0.311553,0.00149
0.435,0.313413,0.00146
0.44,0.314888,0.00153
0.445,0.315717,0.00151
0.45,0.316335,0.00149
0.455,0.317172,0.00155
0.46,0.318794,0.00153
0.465,0.320207,0.00154
0.47,0.321714,0.00153
0.475,0.323485,0.00159
0.48,0.325205,0.0016
0.485,0.326659,0.00157
0.49,0.327427,0.00163
0.495,0.328525,0.00163
0.5,0.329802,0.00171
0.505,0.331203,0.00164
0.51,0.332861,0.00166
0.515,0.334144,0.00175
0.52,0.335142,0.0017
0.525,0.335947,0.00169
0.53,0.337092,0.00175
0.535,0.338002,0.00166
0.54,0.338876,0.00173
0.545,0.33947,0.00175
0.55,0.340176,0.00173
0.555,0.340714,0.00176
0.56,0.341207,0.00172
0.565,0.341724,0.00178
0.57,0.342076,0.00178
0.575,0.342257,0.00179
0.58,0.342443,0.00184
0.585,0.342803,0.00185
0.59,0.343126,0.00182
0.595,0.343024,0.0019
0.6,0.343048,0.00191
0.605,0.343149,0.0019
0.61,0.343307,0.00191
0.615,0.343351,0.00199
0.62,0.343216,0.00201
0.625,0.34322,0.00195
0.63,0.343244,0.00198
0.635,0.343288,0.00193
0.64,0.343485,0.002
0.645,0.343796,0.002
0.65,0.344198,0.00198
0.655,0.344473,0.00195
0.66,0.344565,0.00202
0.665,0.344663,0.00206
0.67,0.344696,0.00209
0.675,0.344627,0.00211
0.68,0.344467,0.00211
0.685,0.344254,0.00217
0.69,0.344184,0.00215
0.695,0.344047,0.00214
0.7,0.343744,0.00219
0.705,0.343515,0.00218
0.71,0.343072,0.00226
0.715,0.342672,0.00229
0.72,0.34221,0.00229
0.725,0.341859,0.00241
0.73,0.341477,0.00235
0.735,0.341035,0.00252
0.74,0.340463,0.00237
0.745,0.339525,0.00243
0.75,0.339269,0.00519
0.755,0.336649,0.00527
0.76,0.335754,0.00511
0.765,0.334505,0.00531
0.77,0.333324,0.00544
0.775,0.33169,0.00523
0.78,0.330333,0.0051
0.785,0.328945,0.00506
0.79,0.327299,0.00482
0.795,0.325491,0.00467
0.8,0.323636,0.00465
0.805,0.321516,0.00593
0.81,0.31964,0.006
0.815,0.317604,0.00504
0.82,0.315371,0.00547
0.825,0.313088,0.0052
0.83,0.310834,0.00436
0.835,0.308498,0.00431
0.84,0.306479,0.00395
0.845,0.304345,0.00379
0.85,0.302192,0.00386
0.855,0.30006,0.00353
0.86,0.298287,0.00338
0.865,0.296319,0.00323
0.87,0.294396,0.00301
0.875,0.292494,0.00308
0.88,0.290922,0.00289
0.885,0.289712,0.00278
0.89,0.287943,0.00287
0.895,0.286951,0.00269
0.9,0.285959,0.00234
0.905,0.284859,0.00234
0.91,0.283527,0.00269
0.915,0.282405,0.00243
0.92,0.281471,0.00241
0.925,0.280444,0.00242
0.93,0.279466,0.0026
0.935,0.278763,0.00257
0.94,0.278301,0.00238
0.945,0.27769,0.00261
0.95,0.27695,0.00216
0.955,0.276172,0.00222
0.96,0.275734,0.00257
0.965,0.275206,0.00228
0.97,0.274727,0.00248
0.975,0.274412,0.00242
0.98,0.274026,0.00232
0.985,0.274002,0.00238
0.99,0.273783,0.00233
0.995,0.273326,0.00262
1,0.27283,0.00258
1.005,0.2725,0.00233
1.01,0.272107,0.00267
1.015,0.272031,0.00253
1.02,0.271919,0.00231
1.025,0.271909,0.00219
1.03,0.271791,0.00254
1.035,0.271658,0.00243
1.04,0.271425,0.00259
1.045,0.27169,0.00232
1.05,0.271965,0.00243
1.055,0.27226,0.00265
1.06,0.272711,0.00259
1.065,0.273095,0.00226
1.07,0.273604,0.00241
1.075,0.274158,0.00248
1.08,0.274661,0.00256
1.085,0.275105,0.00258
1.09,0.275882,0.00268
1.095,0.276628,0.00269
1.1,0.277338,0.00281
1.105,0.278077,0.00246
1.11,0.278952,0.00243
1.115,0.279591,0.00251
1.12,0.280365,0.00262
1.125,0.281006,0.00243
1.13,0.28163,0.00252
1.135,0.28258,0.00252
1.14,0.283331,0.00245
1.145,0.283994,0.00266
1.15,0.284501,0.00257
1.155,0.284979,0.00257
1.16,0.285674,0.00246
1.165,0.286203,0.00247
1.17,0.286736,0.00246
1.175,0.286907,0.00257
1.18,0.286977,0.0024
1.185,0.287301,0.00253
1.19,0.287541,0.00254
1.195,0.287795,0.00256
1.2,0.288156,0.00247
1.205,0.288076,0.00225
1.21,0.288338,0.00226
1.215,0.288788,0.00233
1.22,0.288693,0.0023
1.225,0.288706,0.0025
1.23,0.288428,0.00234
1.235,0.288358,0.00228
1.24,0.288502,0.00214
1.245,0.288729,0.00216
1.25,0.288923,0.00257
1.255,0.28898,0.0021
1.26,0.288691,0.00227
1.265,0.288708,0.00234
1.27,0.289177,0.00191
1.275,0.289211,0.00234
1.28,0.289225,0.00222
1.285,0.289596,0.00224
1.29,0.289992,0.00249
1.295,0.290149,0.00227
1.3,0.290427,0.00216
1.305,0.290672,0.00227
1.31,0.290917,0.00228
1.315,0.291033,0.00242
1.32,0.291155,0.00228
1.325,0.2916,0.00225
1.33,0.291856,0.0025
1.335,0.292551,0.00238
1.34,0.292807,0.00224
1.345,0.292971,0.00258
1.35,0.292964,0.00226
1.355,0.29344,0.00244
1.36,0.293842,0.00223
1.365,0.294107,0.00227
1.37,0.294549,0.00238
1.375,0.294763,0.00207
1.38,0.295043,0.00233
1.385,0.29528,0.00208
1.39,0.296608,0.00236
1.395,0.29682,0.00245
1.4,0.296786,0.00247
1.405,0.29697,0.00224
1.41,0.297376,0.00213
1.415,0.297656,0.00227
1.42,0.298407,0.00209
1.425,0.298768,0.00217
1.43,0.298966,0.00233
1.435,0.298982,0.00198
1.44,0.299452,0.00202
1.445,0.29984,0.00245
1.45,0.300193,0.00248
1.455,0.300588,0.00241
1.46,0.300392,0.00237
1.465,0.300565,0.00238
1.47,0.300912,0.00216
1.475,0.301074,0.00219
1.48,0.301113,0.00355
1.485,0.301429,0.00216
1.49,0.301784,0.0022
1.495,0.302039,0.00225
1.5,0.302162,0.00224
1.505,0.302338,0.00212
1.51,0.302103,0.00241
1.515,0.301963,0.00203
1.52,0.301975,0.00214
1.525,0.302249,0.00227
1.53,0.302188,0.00208
1.535,0.301867,0.00236
1.54,0.301788,0.00215
1.545,0.301442,0.00243
1.55,0.301154,0.00229
1.555,0.30059,0.00217
1.56,0.300489,0.00222
1.565,0.300211,0.00246
1.57,0.299799,0.00226
1.575,0.29932,0.00231
1.58,0.298898,0.00242
1.585,0.298309,0.00228
1.59,0.297728,0.00245
1.595,0.297298,0.00246
1.6,0.296864,0.00255
1.605,0.29646,0.00244
1.61,0.29604,0.00254
