Brown University Keck/NASA Relab Spectrum OC-TXH-015-D/C1OC15D,,
W,R,Standard Deviation
0.3,0.13391,0.25259
0.305,0.15031,0.16377
0.31,0.15941,0.11318
0.315,0.16391,0.08298
0.32,0.17136,0.0624
0.325,0.17935,0.04894
0.33,0.183,0.03907
0.335,0.19146,0.03211
0.34,0.19952,0.02645
0.345,0.20387,0.02139
0.35,0.21393,0.0179
0.355,0.2208,0.01504
0.36,0.22766,0.01256
0.365,0.2348,0.0113
0.37,0.24067,0.00967
0.375,0.24502,0.00882
0.38,0.24934,0.00848
0.385,0.25307,0.00795
0.39,0.25685,0.00853
0.395,0.26024,0.00999
0.4,0.26276,0.00603
0.405,0.26596,0.00547
0.41,0.26941,0.00517
0.415,0.27207,0.00516
0.42,0.27429,0.00452
0.425,0.27653,0.00434
0.43,0.2786,0.00447
0.435,0.28108,0.00433
0.44,0.28329,0.00442
0.445,0.28542,0.00449
0.45,0.28665,0.00446
0.455,0.28836,0.00442
0.46,0.29067,0.00485
0.465,0.29237,0.0048
0.47,0.29367,0.00473
0.475,0.2958,0.00471
0.48,0.29712,0.00519
0.485,0.29862,0.00499
0.49,0.29971,0.00483
0.495,0.30077,0.00485
0.5,0.30226,0.0047
0.505,0.30349,0.00458
0.51,0.30575,0.00453
0.515,0.30748,0.00455
0.52,0.30911,0.00473
0.525,0.3107,0.00485
0.53,0.31329,0.00509
0.535,0.31482,0.00525
0.54,0.31655,0.00534
0.545,0.31771,0.00519
0.55,0.31861,0.00541
0.555,0.31941,0.00559
0.56,0.31961,0.00548
0.565,0.32034,0.00549
0.57,0.32099,0.00602
0.575,0.32111,0.00597
0.58,0.32091,0.00518
0.585,0.32091,0.00529
0.59,0.32061,0.0054
0.595,0.32089,0.00561
0.6,0.32114,0.00582
0.605,0.32102,0.00579
0.61,0.32119,0.0054
0.615,0.3219,0.00543
0.62,0.32244,0.00588
0.625,0.32289,0.00615
0.63,0.32354,0.00597
0.635,0.32372,0.00593
0.64,0.32459,0.0064
0.645,0.32532,0.00645
0.65,0.32564,0.0064
0.655,0.32559,0.00637
0.66,0.32565,0.00603
0.665,0.32582,0.00584
0.67,0.32546,0.00637
0.675,0.32555,0.0065
0.68,0.32544,0.00585
0.685,0.32563,0.0059
0.69,0.32564,0.0062
0.695,0.32578,0.00636
0.7,0.32563,0.00588
0.705,0.32571,0.00571
0.71,0.32545,0.00598
0.715,0.32541,0.00592
0.72,0.32519,0.00586
0.725,0.32535,0.00589
0.73,0.32463,0.00632
0.735,0.32438,0.00614
0.74,0.32351,0.00588
0.745,0.32323,0.00571
0.75,0.3226,0.00617
0.755,0.32165,0.00609
0.76,0.32108,0.00593
0.765,0.31945,0.00607
0.77,0.31789,0.00628
0.775,0.3167,0.00631
0.78,0.31472,0.00599
0.785,0.31283,0.00582
0.79,0.31044,0.00651
