Brown University Keck/NASA Relab Spectrum OC-TXH-015-D15/C1OC15D15,,
W,R,Standard Deviation
0.3,0.09231,0.10639
0.305,0.09535,0.06672
0.31,0.09861,0.04834
0.315,0.10105,0.03602
0.32,0.10357,0.02691
0.325,0.10482,0.02101
0.33,0.10635,0.01674
0.335,0.10893,0.01395
0.34,0.11218,0.0113
0.345,0.1141,0.0096
0.35,0.1172,0.00809
0.355,0.12052,0.00675
0.36,0.12393,0.00571
0.365,0.12714,0.0049
0.37,0.13033,0.00422
0.375,0.13241,0.00375
0.38,0.13466,0.00357
0.385,0.13752,0.00331
0.39,0.14062,0.00365
0.395,0.14307,0.00428
0.4,0.14431,0.00292
0.405,0.14602,0.00236
0.41,0.14854,0.00196
0.415,0.15122,0.0018
0.42,0.15328,0.00173
0.425,0.15516,0.00159
0.43,0.15668,0.00159
0.435,0.15829,0.00163
0.44,0.16016,0.00141
0.445,0.16253,0.00146
0.45,0.16459,0.00145
0.455,0.16636,0.00149
0.46,0.16791,0.00147
0.465,0.16959,0.00152
0.47,0.1711,0.0016
0.475,0.17273,0.00165
0.48,0.17458,0.00151
0.485,0.17635,0.00133
0.49,0.17856,0.00139
0.495,0.18051,0.00156
0.5,0.18216,0.00163
0.505,0.18367,0.00156
0.51,0.18536,0.00154
0.515,0.18703,0.00173
0.52,0.18822,0.00177
0.525,0.18967,0.00173
0.53,0.19096,0.00167
0.535,0.19281,0.00161
0.54,0.19434,0.0014
0.545,0.19649,0.0014
0.55,0.19774,0.00148
0.555,0.19937,0.00171
0.56,0.20049,0.00163
0.565,0.20157,0.00171
0.57,0.20228,0.00162
0.575,0.20324,0.00172
0.58,0.2038,0.0017
0.585,0.20475,0.00179
0.59,0.20511,0.00195
0.595,0.20586,0.00179
0.6,0.20653,0.00182
0.605,0.20753,0.00167
0.61,0.20857,0.00146
0.615,0.21005,0.00148
0.62,0.21139,0.00157
0.625,0.21252,0.00161
0.63,0.21346,0.00175
0.635,0.21445,0.00176
0.64,0.21544,0.00177
0.645,0.21635,0.00175
0.65,0.21695,0.00187
0.655,0.21746,0.0019
0.66,0.21785,0.002
0.665,0.21829,0.00184
0.67,0.21884,0.00162
0.675,0.21975,0.00156
0.68,0.22093,0.00162
0.685,0.22183,0.00163
0.69,0.22253,0.00186
0.695,0.22305,0.0019
0.7,0.22363,0.00194
0.705,0.22405,0.00188
0.71,0.2245,0.00199
0.715,0.22432,0.00204
0.72,0.22431,0.00196
0.725,0.2251,0.0017
0.73,0.22612,0.00176
0.735,0.22661,0.00181
0.74,0.22692,0.00191
0.745,0.22719,0.00204
0.75,0.227,0.00213
0.755,0.22657,0.00218
0.76,0.22588,0.00218
0.765,0.22583,0.00203
0.77,0.22571,0.00197
0.775,0.22583,0.00199
0.78,0.22559,0.00215
0.785,0.22493,0.00232
0.79,0.22373,0.00229
0.795,0.22223,0.00241
0.8,0.22156,0.00382
0.805,0.22099,0.00383
0.81,0.22032,0.0041
0.815,0.21962,0.00405
0.82,0.21823,0.0041
0.825,0.21662,0.00405
0.83,0.21497,0.00382
0.835,0.21437,0.00378
0.84,0.21317,0.0038
0.845,0.21107,0.00391
0.85,0.20985,0.00376
0.855,0.2072,0.00505
0.86,0.20725,0.0044
0.865,0.20651,0.00465
0.87,0.20583,0.00442
0.875,0.20421,0.00421
0.88,0.20377,0.00386
0.885,0.20326,0.00356
0.89,0.2023,0.00339
0.895,0.20092,0.0033
0.9,0.2009,0.00321
0.905,0.20057,0.00366
0.91,0.19999,0.00331
0.915,0.19982,0.00304
0.92,0.19911,0.00318
0.925,0.19883,0.00296
0.93,0.19877,0.00283
0.935,0.19904,0.00287
0.94,0.19972,0.00297
0.945,0.2,0.00277
0.95,0.20108,0.00271
0.955,0.20175,0.00266
0.96,0.20238,0.00271
0.965,0.20283,0.00262
0.97,0.20267,0.00257
0.975,0.20388,0.0028
0.98,0.2045,0.00258
0.985,0.20561,0.00287
0.99,0.20576,0.00258
0.995,0.20634,0.00258
1,0.20685,0.00245
1.005,0.20705,0.00238
1.01,0.20775,0.00239
1.015,0.20855,0.00234
1.02,0.20948,0.00241
1.025,0.21002,0.00247
1.03,0.2101,0.00274
1.035,0.21085,0.00245
1.04,0.21133,0.00257
1.045,0.21267,0.00289
1.05,0.21286,0.00256
1.055,0.21365,0.00281
1.06,0.21369,0.00263
1.065,0.21396,0.0026
1.07,0.21511,0.00283
1.075,0.21527,0.00296
1.08,0.21575,0.00265
1.085,0.21602,0.00239
1.09,0.21648,0.00266
1.095,0.21809,0.00236
1.1,0.2191,0.00232
1.105,0.21901,0.00248
1.11,0.22005,0.00272
1.115,0.22095,0.00243
1.12,0.22179,0.00249
1.125,0.22324,0.00238
1.13,0.2236,0.0029
1.135,0.22378,0.00249
1.14,0.22496,0.00267
1.145,0.22486,0.0027
1.15,0.22607,0.00267
1.155,0.22622,0.00259
1.16,0.22756,0.00262
1.165,0.22782,0.00271
1.17,0.22795,0.00261
1.175,0.22797,0.00244
1.18,0.22885,0.00267
1.185,0.22875,0.00235
1.19,0.22921,0.00258
1.195,0.22954,0.0024
1.2,0.23014,0.00282
1.205,0.23066,0.00276
1.21,0.23126,0.00277
1.215,0.2318,0.00277
1.22,0.23222,0.00297
1.225,0.23257,0.00287
1.23,0.23285,0.00274
1.235,0.23293,0.00283
1.24,0.23306,0.00264
1.245,0.23296,0.00278
1.25,0.23361,0.00274
1.255,0.23329,0.00265
1.26,0.23344,0.00244
1.265,0.23359,0.00232
1.27,0.23408,0.00228
1.275,0.23443,0.0022
1.28,0.23478,0.00238
1.285,0.23527,0.00238
1.29,0.23564,0.00256
1.295,0.23615,0.00244
1.3,0.23655,0.00278
1.305,0.23694,0.00264
1.31,0.23718,0.00256
1.315,0.23803,0.00252
1.32,0.23788,0.00253
1.325,0.23865,0.00254
1.33,0.23924,0.00257
1.335,0.23919,0.00246
1.34,0.23956,0.00244
1.345,0.24009,0.00237
1.35,0.24039,0.00235
1.355,0.24073,0.00236
1.36,0.24074,0.00251
1.365,0.24214,0.0026
1.37,0.24217,0.0026
1.375,0.24331,0.00279
1.38,0.24408,0.00312
1.385,0.24398,0.00284
1.39,0.24499,0.00279
1.395,0.24489,0.0028
1.4,0.24525,0.00266
1.405,0.24574,0.00267
1.41,0.24581,0.00286
1.415,0.24661,0.00288
1.42,0.24652,0.00259
1.425,0.24672,0.00259
1.43,0.24735,0.00249
1.435,0.24758,0.00247
1.44,0.24801,0.00239
1.445,0.24826,0.00248
1.45,0.24865,0.00262
1.455,0.24917,0.00263
1.46,0.24933,0.00249
1.465,0.24976,0.00288
1.47,0.25034,0.00276
1.475,0.25029,0.00268
1.48,0.25089,0.0027
1.485,0.25047,0.00258
1.49,0.25082,0.00287
