Brown University Keck/NASA Relab Spectrum OC-TXH-018-P55/C1OC18P55,
W,R
0.25,0.104051
0.255,0.102392
0.26,0.101203
0.265,0.099819
0.27,0.100796
0.275,0.102305
0.28,0.102865
0.285,0.102357
0.29,0.100776
0.295,0.099982
0.3,0.100077
0.305,0.100648
0.31,0.101652
0.315,0.103073
0.32,0.10445
0.325,0.106186
0.33,0.107959
0.335,0.109835
0.34,0.111843
0.345,0.113795
0.35,0.115928
0.355,0.118246
0.36,0.120483
0.365,0.122711
0.37,0.124867
0.375,0.127094
0.38,0.129251
0.385,0.13128
0.39,0.134291
0.395,0.136426
0.4,0.13859
0.405,0.140823
0.41,0.143478
0.415,0.145371
0.42,0.147566
0.425,0.149562
0.43,0.151491
0.435,0.153619
0.44,0.155621
0.445,0.157519
0.45,0.15936
0.455,0.160829
0.46,0.163172
0.465,0.165074
0.47,0.167023
0.475,0.168908
0.48,0.170964
0.485,0.172704
0.49,0.174399
0.495,0.176758
0.5,0.178023
0.505,0.17962
0.51,0.181631
0.515,0.183512
0.52,0.185172
0.525,0.18679
0.53,0.188376
0.535,0.18999
0.54,0.191512
0.545,0.192911
0.55,0.19428
0.555,0.19579
0.56,0.197228
0.565,0.198552
0.57,0.199852
0.575,0.201005
0.58,0.202187
0.585,0.203555
0.59,0.204578
0.595,0.20576
0.6,0.20685
0.605,0.208067
0.61,0.20904
0.615,0.21005
0.62,0.211086
0.625,0.212064
0.63,0.212957
0.635,0.213368
0.64,0.21491
0.645,0.216033
0.65,0.21699
0.655,0.217976
0.66,0.218818
0.665,0.219886
0.67,0.220906
0.675,0.221831
0.68,0.222673
0.685,0.223548
0.69,0.224218
0.695,0.22491
0.7,0.225827
0.705,0.226657
0.71,0.227392
0.715,0.228224
0.72,0.228861
0.725,0.229501
0.73,0.230205
0.735,0.230782
0.74,0.231262
0.745,0.23167
0.75,0.232073
0.755,0.23229
0.76,0.232488
0.765,0.232664
0.77,0.232829
0.775,0.232474
0.78,0.232223
0.785,0.231832
0.79,0.231522
0.795,0.230829
0.8,0.230277
0.805,0.229669
0.81,0.228857
0.815,0.228019
0.82,0.226994
0.825,0.225777
0.83,0.224718
0.835,0.223457
0.84,0.222243
0.845,0.221198
0.85,0.220043
0.855,0.218757
0.86,0.217687
0.865,0.216507
0.87,0.215503
0.875,0.214357
0.88,0.213387
0.885,0.212701
0.89,0.211671
0.895,0.210839
0.9,0.210007
0.905,0.2098
0.91,0.209836
0.915,0.209647
0.92,0.209783
0.925,0.210071
0.93,0.210437
0.935,0.210908
0.94,0.211519
0.945,0.212197
0.95,0.212889
0.955,0.21379
0.96,0.214903
0.965,0.215969
0.97,0.217091
0.975,0.218254
0.98,0.219496
0.985,0.22082
0.99,0.222168
0.995,0.223252
1,0.224461
1.005,0.225509
1.01,0.226605
1.015,0.227741
1.02,0.22876
1.025,0.229717
1.03,0.23057
1.035,0.231777
1.04,0.232626
1.045,0.233734
1.05,0.234652
1.055,0.235746
1.06,0.236754
1.065,0.237754
1.07,0.238852
1.075,0.239816
1.08,0.240755
1.085,0.241729
1.09,0.242804
1.095,0.243972
1.1,0.244897
1.105,0.245881
1.11,0.246852
1.115,0.247933
1.12,0.248873
1.125,0.249866
1.13,0.250803
1.135,0.251892
1.14,0.252631
1.145,0.253376
1.15,0.254087
1.155,0.255044
1.16,0.255928
1.165,0.256601
1.17,0.25738
1.175,0.258184
1.18,0.258905
1.185,0.2595
1.19,0.260102
1.195,0.26045
1.2,0.260999
1.205,0.261627
1.21,0.262021
1.215,0.262661
1.22,0.263141
1.225,0.2638
1.23,0.264304
1.235,0.265002
1.24,0.265722
1.245,0.266175
1.25,0.266297
1.255,0.267046
1.26,0.267551
1.265,0.2681
1.27,0.268488
1.275,0.269121
1.28,0.269494
1.285,0.270062
1.29,0.270943
1.295,0.271683
