OWN_OLV_0,
W,R
0.500580271,0.761192435
0.505481529,0.762855434
0.509212694,0.765803367
0.513410255,0.768404647
0.517607816,0.77187277
0.520872585,0.774473883
0.524137355,0.777421732
0.526469333,0.780369414
0.530666894,0.782450589
0.53533085,0.784531848
0.540461202,0.787133296
0.546524345,0.789561544
0.549322719,0.791989204
0.553053884,0.793896927
0.558650632,0.796151722
0.563780984,0.797019487
0.572642501,0.797541185
0.578705644,0.797542274
0.584768787,0.797196628
0.589432744,0.796157256
0.593630304,0.795464536
0.595962282,0.794424745
0.599227052,0.793731858
0.601092634,0.792345247
0.605290195,0.791652528
0.608554965,0.790612904
0.611819734,0.789573281
0.615550899,0.788360372
0.619282064,0.787320833
0.623013229,0.786454661
0.626277999,0.785415038
0.629542768,0.78489552
0.633273933,0.784549453
0.63793789,0.785243765
0.643068242,0.786284898
0.646333011,0.787152327
0.649131385,0.78819304
0.652396154,0.789407206
0.655660924,0.790621371
0.66032488,0.791142315
0.665455232,0.791489974
0.669652793,0.791664097
0.67524954,0.791491734
0.678047914,0.790972132
0.681312684,0.790279245
0.684111057,0.789412906
0.687375827,0.788546651
0.690640596,0.787160291
0.693905366,0.786120667
0.69670374,0.78508096
0.699035718,0.783694432
0.7009013,0.782654557
0.703699674,0.781268113
0.705565257,0.780228238
0.70836363,0.779015162
0.710229213,0.777801919
0.713027587,0.776588843
0.715825961,0.77502903
0.718624334,0.773469218
0.720489917,0.772082606
0.722277767,0.771100506
0.723832419,0.769656049
0.726164397,0.768500679
0.727719049,0.767345169
0.729662364,0.766478676
0.731217017,0.764745272
0.733548995,0.763878849
0.735103647,0.762434392
0.736269636,0.760989865
0.738212951,0.759978899
0.73937894,0.758678845
0.740933592,0.757523335
0.742488244,0.756078878
0.744042896,0.754923368
0.745597549,0.753767858
0.747152201,0.752323401
0.748706853,0.75073447
0.750650168,0.749723504
0.751816157,0.74799003
0.753759472,0.74683459
0.755314124,0.745101185
0.756868776,0.743801202
0.758034766,0.742645622
0.759200755,0.741490042
0.760755407,0.740045585
0.761532733,0.738745462
0.762310059,0.737589812
0.763087385,0.736578636
0.764642037,0.735278653
0.765419363,0.73397853
0.767362678,0.732967563
0.76891733,0.73166758
0.770860645,0.730656613
0.771637972,0.729212017
0.772415298,0.727478472
0.773192624,0.72661177
0.775135939,0.72545633
0.777079254,0.724445364
0.778633906,0.72314538
0.780188558,0.721845397
0.781354547,0.720689817
