Brown University Keck/NASA Relab Spectrum PO-CMP-081-J/TJPO81,
W,R
0.3,0.01029
0.305,0.01024
0.31,0.00826
0.315,0.00691
0.32,0.00655
0.325,0.00895
0.33,0.0125
0.335,0.01835
0.34,0.02525
0.345,0.03574
0.35,0.0516
0.355,0.07627
0.36,0.10551
0.365,0.13508
0.37,0.15904
0.375,0.18403
0.38,0.20305
0.385,0.22016
0.39,0.23871
0.395,0.25308
0.4,0.27243
0.405,0.29871
0.41,0.35376
0.415,0.37342
0.42,0.38754
0.425,0.39661
0.43,0.40733
0.435,0.41783
0.44,0.42981
0.445,0.42764
0.45,0.42331
0.455,0.42791
0.46,0.44273
0.465,0.46302
0.47,0.47828
0.475,0.49684
0.48,0.52093
0.485,0.52819
0.49,0.53418
0.495,0.54126
0.5,0.55594
0.505,0.58046
0.51,0.59684
0.515,0.60249
0.52,0.61299
0.525,0.62596
0.53,0.63556
0.535,0.64221
0.54,0.65966
0.545,0.66449
0.55,0.67608
0.555,0.68239
0.56,0.68461
0.565,0.688
0.57,0.68795
0.575,0.68513
0.58,0.68384
0.585,0.6827
0.59,0.68011
0.595,0.67683
0.6,0.67381
0.605,0.66782
0.61,0.66006
0.615,0.64722
0.62,0.63857
0.625,0.629
0.63,0.62346
0.635,0.61955
0.64,0.62415
0.645,0.63077
0.65,0.63651
0.655,0.64015
0.66,0.64678
0.665,0.64991
0.67,0.65238
0.675,0.64938
0.68,0.64623
0.685,0.63909
0.69,0.6305
0.695,0.61879
0.7,0.6101
0.705,0.59624
0.71,0.58165
0.715,0.56643
0.72,0.5522
0.725,0.53723
0.73,0.51751
0.735,0.49943
0.74,0.48134
0.745,0.46098
0.75,0.43919
0.755,0.41824
0.76,0.37849
0.765,0.35982
0.77,0.33903
0.775,0.32077
0.78,0.30289
0.785,0.28451
0.79,0.26863
0.795,0.25352
0.8,0.23856
0.805,0.22487
0.81,0.21305
0.815,0.20135
0.82,0.19039
0.825,0.18159
0.83,0.17243
0.835,0.1639
0.84,0.15625
0.845,0.14962
0.85,0.14348
0.855,0.13688
0.86,0.13054
0.865,0.12487
0.87,0.11999
0.875,0.11488
0.88,0.11024
0.885,0.10591
0.89,0.10156
0.895,0.09778
0.9,0.09397
0.905,0.09163
0.91,0.08887
0.915,0.08549
0.92,0.08265
0.925,0.07958
0.93,0.07697
0.935,0.07458
0.94,0.07188
0.945,0.06933
0.95,0.06652
0.955,0.06389
0.96,0.0616
0.965,0.05919
0.97,0.05653
0.975,0.05403
0.98,0.05154
0.985,0.04926
0.99,0.04675
0.995,0.04398
1,0.04204
1.005,0.04023
1.01,0.03843
1.015,0.03693
1.02,0.03519
1.025,0.03386
1.03,0.03274
1.035,0.03175
1.04,0.03074
1.045,0.03004
1.05,0.02933
1.055,0.02962
1.06,0.03019
1.065,0.03086
1.07,0.03167
1.075,0.03295
1.08,0.03412
1.085,0.03543
1.09,0.03724
1.095,0.03878
1.1,0.04035
1.105,0.04226
1.11,0.04422
1.115,0.04629
1.12,0.0483
1.125,0.05033
1.13,0.05217
1.135,0.05475
1.14,0.05658
1.145,0.05858
1.15,0.06047
1.155,0.06234
1.16,0.06412
1.165,0.06609
1.17,0.06746
1.175,0.06892
1.18,0.07032
1.185,0.07166
1.19,0.07293
1.195,0.07414
1.2,0.07567
1.205,0.07665
1.21,0.07589
1.215,0.07618
1.22,0.07904
1.225,0.08186
1.23,0.08485
1.235,0.08806
1.24,0.09163
1.245,0.095
1.25,0.09818
1.255,0.10136
1.26,0.10423
1.265,0.10734
1.27,0.11047
1.275,0.11394
1.28,0.11747
1.285,0.12081
1.29,0.12422
1.295,0.12812
1.3,0.13209
1.305,0.13622
1.31,0.14066
1.315,0.14555
1.32,0.15044
1.325,0.15516
1.33,0.16041
1.335,0.16587
1.34,0.17239
1.345,0.17856
1.35,0.18546
1.355,0.19366
1.36,0.20183
1.365,0.20707
1.37,0.21486
1.375,0.22318
1.38,0.23549
1.385,0.23771
1.39,0.24886
1.395,0.26265
1.4,0.27462
1.405,0.28273
1.41,0.28918
1.415,0.3007
1.42,0.3123
1.425,0.32373
1.43,0.33516
1.435,0.3468
1.44,0.35871
1.445,0.37211
1.45,0.38387
1.455,0.39493
1.46,0.4082
1.465,0.42115
1.47,0.43429
1.475,0.44523
1.48,0.45735
1.485,0.46929
1.49,0.48101
1.495,0.49381
1.5,0.50542
1.505,0.51751
1.51,0.52806
1.515,0.54051
1.52,0.55052
1.525,0.561
1.53,0.57165
1.535,0.58059
1.54,0.58983
1.545,0.60003
1.55,0.6102
1.555,0.61948
1.56,0.62688
1.565,0.63622
1.57,0.6447
1.575,0.65121
1.58,0.65858
1.585,0.66539
1.59,0.67296
1.595,0.68084
1.6,0.68485
1.605,0.69276
1.61,0.69799
1.615,0.70378
1.62,0.70777
1.625,0.71257
1.63,0.71645
1.635,0.72053
1.64,0.72444
1.645,0.72743
1.65,0.73291
1.655,0.73684
1.66,0.74076
1.665,0.74304
1.67,0.74695
1.675,0.7487
1.68,0.75137
1.685,0.75485
1.69,0.75729
1.695,0.7592
1.7,0.76249
1.705,0.76418
1.71,0.76609
1.715,0.76679
1.72,0.76904
1.725,0.77004
1.73,0.77241
1.735,0.77443
1.74,0.77391
1.745,0.77602
1.75,0.77681
1.755,0.77905
1.76,0.78087
1.765,0.7824
1.77,0.783
1.775,0.78354
1.78,0.78568
1.785,0.7851
1.79,0.7845
1.795,0.78709
1.8,0.78966
1.805,0.78861
1.81,0.78947
1.815,0.78982
1.82,0.79122
1.825,0.79014
1.83,0.79317
1.835,0.79699
1.84,0.7907
1.845,0.79321
1.85,0.79152
1.855,0.79466
1.86,0.79253
1.865,0.79816
1.87,0.79867
1.875,0.79919
1.88,0.79971
1.885,0.80027
1.89,0.80079
1.895,0.79884
1.9,0.8051
1.905,0.79867
1.91,0.79833
1.915,0.7992
1.92,0.80282
1.925,0.79884
1.93,0.80047
1.935,0.80323
1.94,0.80259
1.945,0.80197
1.95,0.80164
1.955,0.80407
1.96,0.80347
1.965,0.80428
1.97,0.80438
1.975,0.80384
1.98,0.80447
1.985,0.80386
1.99,0.80373
1.995,0.8043
2,0.80503
2.005,0.80383
2.01,0.80603
2.015,0.80542
2.02,0.80478
2.025,0.80634
2.03,0.80589
2.035,0.80539
2.04,0.8053
2.045,0.80735
2.05,0.80642
2.055,0.80934
2.06,0.80846
2.065,0.80865
2.07,0.80909
2.075,0.80901
2.08,0.8104
2.085,0.81
2.09,0.80857
2.095,0.80889
2.1,0.81089
2.105,0.81258
2.11,0.812
2.115,0.81163
2.12,0.81307
2.125,0.81163
2.13,0.81277
2.135,0.811
2.14,0.81211
2.145,0.81329
2.15,0.81403
2.155,0.81348
2.16,0.81424
2.165,0.81457
2.17,0.81355
2.175,0.81528
2.18,0.81597
2.185,0.81762
2.19,0.81803
2.195,0.81685
2.2,0.81747
2.205,0.81816
2.21,0.81796
2.215,0.81938
2.22,0.81915
2.225,0.81884
2.23,0.82048
2.235,0.82069
2.24,0.82094
2.245,0.82146
2.25,0.82078
2.255,0.8212
2.26,0.82157
2.265,0.823
2.27,0.82379
2.275,0.82222
2.28,0.82262
2.285,0.82235
2.29,0.82498
2.295,0.82257
2.3,0.82475
2.305,0.82374
2.31,0.82403
2.315,0.82495
2.32,0.8272
2.325,0.82587
2.33,0.82664
2.335,0.82831
2.34,0.82735
2.345,0.8291
2.35,0.83063
2.355,0.83124
2.36,0.83188
2.365,0.83033
2.37,0.82993
2.375,0.82621
2.38,0.82709
