Brown University Keck/NASA Relab Spectrum PO-CMP-081-L/TLPO81,
W,R
0.3,0.00775
0.305,0.00856
0.31,0.00631
0.315,0.00436
0.32,0.00527
0.325,0.00823
0.33,0.0122
0.335,0.01798
0.34,0.02501
0.345,0.03554
0.35,0.05217
0.355,0.07581
0.36,0.10545
0.365,0.1339
0.37,0.1653
0.375,0.18972
0.38,0.20966
0.385,0.22616
0.39,0.24546
0.395,0.2609
0.4,0.28083
0.405,0.30743
0.41,0.3535
0.415,0.37546
0.42,0.38846
0.425,0.39965
0.43,0.40895
0.435,0.41932
0.44,0.42893
0.445,0.4267
0.45,0.42374
0.455,0.42834
0.46,0.44696
0.465,0.46467
0.47,0.4837
0.475,0.50313
0.48,0.52485
0.485,0.5357
0.49,0.53936
0.495,0.54356
0.5,0.56448
0.505,0.58182
0.51,0.59592
0.515,0.60839
0.52,0.61495
0.525,0.62413
0.53,0.63298
0.535,0.64565
0.54,0.66031
0.545,0.67153
0.55,0.68413
0.555,0.68415
0.56,0.68908
0.565,0.68929
0.57,0.69245
0.575,0.68719
0.58,0.68429
0.585,0.68488
0.59,0.67842
0.595,0.68252
0.6,0.67396
0.605,0.6695
0.61,0.65958
0.615,0.65043
0.62,0.64068
0.625,0.63182
0.63,0.62654
0.635,0.62402
0.64,0.62749
0.645,0.63285
0.65,0.63583
0.655,0.64231
0.66,0.6462
0.665,0.65282
0.67,0.64806
0.675,0.65047
0.68,0.64552
0.685,0.64058
0.69,0.63422
0.695,0.62251
0.7,0.61049
0.705,0.6004
0.71,0.58422
0.715,0.57299
0.72,0.555
0.725,0.53978
0.73,0.52052
0.735,0.50327
0.74,0.48286
0.745,0.4633
0.75,0.44286
0.755,0.42065
0.76,0.38148
0.765,0.36139
0.77,0.34143
0.775,0.32152
0.78,0.30275
0.785,0.28576
0.79,0.26968
0.795,0.25372
0.8,0.24038
0.805,0.22566
0.81,0.21342
0.815,0.20251
0.82,0.19126
0.825,0.18207
0.83,0.17299
0.835,0.16519
0.84,0.15759
0.845,0.15056
0.85,0.14433
0.855,0.13714
0.86,0.13174
0.865,0.12642
0.87,0.12119
0.875,0.11612
0.88,0.11151
0.885,0.10736
0.89,0.10296
0.895,0.09899
0.9,0.09531
0.905,0.09188
0.91,0.08861
0.915,0.08532
0.92,0.0824
0.925,0.07983
0.93,0.07707
0.935,0.07446
0.94,0.07154
0.945,0.06938
0.95,0.06668
0.955,0.06416
0.96,0.06178
0.965,0.05901
0.97,0.05682
0.975,0.05402
0.98,0.05174
0.985,0.04917
0.99,0.0468
0.995,0.04468
1,0.04256
1.005,0.04055
1.01,0.039
1.015,0.03735
1.02,0.03576
1.025,0.03448
1.03,0.03321
1.035,0.0322
1.04,0.03139
1.045,0.03066
1.05,0.03004
1.055,0.03014
1.06,0.03052
1.065,0.03112
1.07,0.03216
1.075,0.03315
1.08,0.03444
1.085,0.03575
1.09,0.03732
1.095,0.03896
1.1,0.04075
1.105,0.04254
1.11,0.0445
1.115,0.04644
1.12,0.04843
1.125,0.05035
1.13,0.05239
1.135,0.05476
1.14,0.05648
1.145,0.05867
1.15,0.06038
1.155,0.0624
1.16,0.06425
1.165,0.06579
1.17,0.06737
1.175,0.06912
1.18,0.07033
1.185,0.07182
1.19,0.07275
1.195,0.07416
1.2,0.07604
1.205,0.07681
1.21,0.07639
1.215,0.07674
1.22,0.07946
1.225,0.08197
1.23,0.08503
1.235,0.08814
1.24,0.09143
1.245,0.09489
