Brown University Keck/NASA Relab Spectrum PO-CMP-081-RJ/TJP81R,
W,R
0.3,0.00912
0.305,0.00694
0.31,0.00508
0.315,0.00464
0.32,0.00525
0.325,0.00984
0.33,0.01434
0.335,0.02143
0.34,0.03189
0.345,0.04463
0.35,0.06496
0.355,0.0938
0.36,0.12863
0.365,0.1625
0.37,0.19423
0.375,0.22199
0.38,0.24288
0.385,0.26053
0.39,0.28097
0.395,0.29528
0.4,0.31337
0.405,0.3444
0.41,0.38249
0.415,0.40351
0.42,0.4175
0.425,0.42746
0.43,0.43766
0.435,0.44899
0.44,0.46061
0.445,0.45592
0.45,0.45223
0.455,0.4601
0.46,0.47857
0.465,0.50002
0.47,0.51556
0.475,0.53757
0.48,0.56058
0.485,0.56937
0.49,0.57644
0.495,0.57943
0.5,0.60134
0.505,0.62478
0.51,0.63775
0.515,0.64788
0.52,0.65733
0.525,0.66761
0.53,0.6756
0.535,0.68648
0.54,0.69863
0.545,0.71028
0.55,0.71926
0.555,0.72447
0.56,0.72848
0.565,0.72927
0.57,0.72841
0.575,0.7269
0.58,0.72375
0.585,0.7195
0.59,0.71665
0.595,0.71186
0.6,0.706
0.605,0.70008
0.61,0.68924
0.615,0.67685
0.62,0.66581
0.625,0.65619
0.63,0.64878
0.635,0.64417
0.64,0.64692
0.645,0.65155
0.65,0.65721
0.655,0.66291
0.66,0.66808
0.665,0.66945
0.67,0.66988
0.675,0.66863
0.68,0.66454
0.685,0.65847
0.69,0.64867
0.695,0.63777
0.7,0.6283
0.705,0.61691
0.71,0.60307
0.715,0.58882
0.72,0.57438
0.725,0.5568
0.73,0.53859
0.735,0.51956
0.74,0.50039
0.745,0.47975
0.75,0.45871
0.755,0.43683
0.76,0.41554
0.765,0.39411
0.77,0.37344
0.775,0.35221
0.78,0.33235
0.785,0.31322
0.79,0.29529
0.795,0.27709
0.8,0.26189
0.805,0.2459
0.81,0.23225
0.815,0.21921
0.82,0.20751
0.825,0.19721
0.83,0.18706
0.835,0.17799
0.84,0.16974
0.845,0.16168
0.85,0.15527
0.855,0.14665
0.86,0.1404
0.865,0.13507
0.87,0.1299
0.875,0.1244
0.88,0.11868
0.885,0.11417
0.89,0.1095
0.895,0.10507
0.9,0.10125
0.905,0.09749
0.91,0.09382
0.915,0.08963
0.92,0.08652
0.925,0.0838
0.93,0.08061
0.935,0.07821
0.94,0.07541
0.945,0.07254
0.95,0.06957
0.955,0.06687
0.96,0.06462
0.965,0.06187
0.97,0.05856
0.975,0.05637
0.98,0.05411
0.985,0.05146
0.99,0.04897
0.995,0.04657
1,0.04442
1.005,0.04232
1.01,0.04056
1.015,0.0386
1.02,0.03712
1.025,0.03589
1.03,0.03476
1.035,0.03369
1.04,0.03271
1.045,0.03177
1.05,0.031
1.055,0.03135
1.06,0.03203
1.065,0.03267
1.07,0.03384
1.075,0.03506
1.08,0.03622
1.085,0.0376
1.09,0.03899
1.095,0.04078
1.1,0.04235
1.105,0.04458
1.11,0.04631
1.115,0.04856
1.12,0.05074
1.125,0.05279
1.13,0.05498
1.135,0.05717
1.14,0.05936
1.145,0.06167
1.15,0.06343
1.155,0.06557
1.16,0.06704
1.165,0.06899
1.17,0.07046
1.175,0.07242
1.18,0.07405
1.185,0.07486
1.19,0.07646
1.195,0.07743
1.2,0.07833
1.205,0.07897
1.21,0.07828
1.215,0.07975
1.22,0.0823
1.225,0.08555
1.23,0.08898
1.235,0.09231
1.24,0.09558
1.245,0.0982
1.25,0.10172
1.255,0.10525
1.26,0.10851
1.265,0.11201
1.27,0.11522
1.275,0.11838
1.28,0.12203
1.285,0.12563
1.29,0.12894
1.295,0.13285
1.3,0.13737
1.305,0.14089
1.31,0.14594
1.315,0.15062
1.32,0.15507
1.325,0.16059
1.33,0.16638
1.335,0.17252
1.34,0.1784
1.345,0.18488
1.35,0.19135
1.355,0.19801
1.36,0.20489
1.365,0.21538
1.37,0.2232
1.375,0.23215
1.38,0.23834
1.385,0.25095
1.39,0.2605
1.395,0.26934
1.4,0.27881
1.405,0.29057
1.41,0.30179
1.415,0.3144
1.42,0.32525
1.425,0.33772
1.43,0.34968
1.435,0.36232
1.44,0.37421
1.445,0.38746
1.45,0.40089
1.455,0.41398
1.46,0.42641
1.465,0.44033
1.47,0.45348
1.475,0.46639
1.48,0.48022
1.485,0.4923
1.49,0.50654
1.495,0.51856
1.5,0.5319
1.505,0.54334
1.51,0.55534
1.515,0.56829
1.52,0.58044
1.525,0.59012
1.53,0.60189
1.535,0.61516
1.54,0.62246
1.545,0.63374
1.55,0.64365
1.555,0.65531
1.56,0.66277
1.565,0.67101
1.57,0.67995
1.575,0.68978
1.58,0.69856
1.585,0.70783
1.59,0.71398
1.595,0.72035
1.6,0.72741
1.605,0.73606
1.61,0.74085
1.615,0.74572
1.62,0.75244
1.625,0.75661
1.63,0.76371
1.635,0.76898
1.64,0.77412
1.645,0.77914
1.65,0.78157
1.655,0.78878
1.66,0.79781
1.665,0.80171
1.67,0.80439
1.675,0.80587
1.68,0.81079
1.685,0.81686
1.69,0.81922
1.695,0.82532
1.7,0.82715
1.705,0.82854
1.71,0.83198
1.715,0.83459
1.72,0.8348
1.725,0.83876
1.73,0.83893
1.735,0.84035
1.74,0.84261
1.745,0.84344
1.75,0.84483
1.755,0.8452
1.76,0.84479
1.765,0.84599
1.77,0.84897
1.775,0.84792
1.78,0.84916
1.785,0.85027
1.79,0.85123
1.795,0.8515
1.8,0.85166
1.805,0.85251
1.81,0.85321
1.815,0.85268
1.82,0.85324
1.825,0.85497
1.83,0.85277
1.835,0.85227
1.84,0.85619
1.845,0.85754
1.85,0.85799
1.855,0.85741
1.86,0.85758
1.865,0.85403
1.87,0.85091
1.875,0.86369
1.88,0.86387
1.885,0.8574
1.89,0.85621
1.895,0.85601
1.9,0.85312
1.905,0.8571
1.91,0.8587
1.915,0.85752
1.92,0.85749
1.925,0.85901
1.93,0.85849
1.935,0.85801
1.94,0.85854
1.945,0.85903
1.95,0.85813
1.955,0.85786
1.96,0.85806
1.965,0.85827
1.97,0.85811
1.975,0.85887
1.98,0.85854
1.985,0.85903
1.99,0.85946
1.995,0.85885
2,0.85865
