Brown University Keck/NASA Relab Spectrum PO-CMP-081-RK/TKP81R,
W,R
0.3,0.01959
0.305,0.01242
0.31,0.00919
0.315,0.00763
0.32,0.00873
0.325,0.01041
0.33,0.01444
0.335,0.0217
0.34,0.0305
0.345,0.04316
0.35,0.06252
0.355,0.09163
0.36,0.12543
0.365,0.15873
0.37,0.18982
0.375,0.21684
0.38,0.2378
0.385,0.25538
0.39,0.27562
0.395,0.29037
0.4,0.30726
0.405,0.33869
0.41,0.37597
0.415,0.39617
0.42,0.41015
0.425,0.42055
0.43,0.43007
0.435,0.44143
0.44,0.45283
0.445,0.44953
0.45,0.44414
0.455,0.45204
0.46,0.47109
0.465,0.493
0.47,0.50771
0.475,0.53051
0.48,0.55403
0.485,0.56339
0.49,0.5698
0.495,0.57288
0.5,0.59469
0.505,0.61768
0.51,0.63162
0.515,0.64161
0.52,0.65058
0.525,0.66166
0.53,0.66967
0.535,0.68047
0.54,0.69403
0.545,0.70522
0.55,0.7126
0.555,0.72046
0.56,0.7237
0.565,0.725
0.57,0.72533
0.575,0.72298
0.58,0.71988
0.585,0.71488
0.59,0.71186
0.595,0.70746
0.6,0.70074
0.605,0.69583
0.61,0.68455
0.615,0.67414
0.62,0.6625
0.625,0.65345
0.63,0.64519
0.635,0.64279
0.64,0.6451
0.645,0.65101
0.65,0.65447
0.655,0.66393
0.66,0.66921
0.665,0.6691
0.67,0.67178
0.675,0.66971
0.68,0.66614
0.685,0.66033
0.69,0.65236
0.695,0.64291
0.7,0.63208
0.705,0.62056
0.71,0.60716
0.715,0.59275
0.72,0.57789
0.725,0.55956
0.73,0.54261
0.735,0.52325
0.74,0.50321
0.745,0.48205
0.75,0.46029
0.755,0.43852
0.76,0.41783
0.765,0.39651
0.77,0.37474
0.775,0.35308
0.78,0.33306
0.785,0.31323
0.79,0.29482
0.795,0.27624
0.8,0.2603
0.805,0.24393
0.81,0.23074
0.815,0.21795
0.82,0.20577
0.825,0.19548
0.83,0.18604
0.835,0.17709
0.84,0.16878
0.845,0.1612
0.85,0.15399
0.855,0.14748
0.86,0.1413
0.865,0.13389
0.87,0.1295
0.875,0.12469
0.88,0.11893
0.885,0.11442
0.89,0.10966
0.895,0.1053
0.9,0.10085
0.905,0.09726
0.91,0.09303
0.915,0.09013
0.92,0.08704
0.925,0.0839
0.93,0.08073
0.935,0.07804
0.94,0.0757
0.945,0.07311
0.95,0.07004
0.955,0.06707
0.96,0.06453
0.965,0.06186
0.97,0.05932
0.975,0.05649
0.98,0.05409
0.985,0.05166
0.99,0.04913
0.995,0.04639
1,0.04449
1.005,0.0424
1.01,0.04092
1.015,0.03882
1.02,0.03722
1.025,0.0359
1.03,0.0344
1.035,0.03369
1.04,0.03286
1.045,0.03159
1.05,0.03107
1.055,0.03138
1.06,0.03186
1.065,0.03276
1.07,0.03381
1.075,0.03475
1.08,0.03572
1.085,0.03706
1.09,0.03865
1.095,0.04041
1.1,0.04194
1.105,0.04402
1.11,0.0459
1.115,0.04801
1.12,0.04979
1.125,0.05208
1.13,0.05425
1.135,0.05643
1.14,0.05877
1.145,0.06068
1.15,0.0626
1.155,0.06455
1.16,0.06622
1.165,0.06818
1.17,0.06963
1.175,0.07154
1.18,0.07287
1.185,0.07388
1.19,0.07559
1.195,0.0766
1.2,0.07774
1.205,0.07809
1.21,0.0774
1.215,0.07876
1.22,0.08149
1.225,0.08466
1.23,0.08856
1.235,0.09152
1.24,0.09492
1.245,0.09819
1.25,0.10132
1.255,0.10463
1.26,0.10799
1.265,0.11125
1.27,0.11434
1.275,0.11766
1.28,0.12096
1.285,0.12481
1.29,0.12832
1.295,0.13223
1.3,0.13642
1.305,0.1401
1.31,0.14515
1.315,0.14974
1.32,0.15395
1.325,0.15994
1.33,0.1661
1.335,0.17201
1.34,0.17738
1.345,0.18371
1.35,0.19012
1.355,0.19666
1.36,0.2042
1.365,0.21459
1.37,0.22172
1.375,0.23124
1.38,0.23698
1.385,0.24971
1.39,0.25905
1.395,0.26796
1.4,0.27765
1.405,0.28899
1.41,0.30026
1.415,0.3131
1.42,0.32421
1.425,0.33623
1.43,0.34788
1.435,0.36089
1.44,0.37305
1.445,0.38588
1.45,0.39945
1.455,0.41197
1.46,0.42538
1.465,0.43812
1.47,0.45227
1.475,0.46375
1.48,0.47748
1.485,0.49038
1.49,0.50357
1.495,0.51669
1.5,0.52909
1.505,0.54033
1.51,0.55275
1.515,0.56549
1.52,0.57673
1.525,0.58593
1.53,0.59838
1.535,0.61214
1.54,0.61936
1.545,0.63065
1.55,0.63906
1.555,0.64966
1.56,0.65888
1.565,0.66674
1.57,0.67466
1.575,0.68425
1.58,0.6917
1.585,0.70089
1.59,0.70718
1.595,0.7128
1.6,0.71889
1.605,0.72799
1.61,0.73327
1.615,0.73635
1.62,0.74378
1.625,0.74784
1.63,0.75281
1.635,0.75814
1.64,0.76334
1.645,0.76671
1.65,0.77063
1.655,0.77586
1.66,0.78307
1.665,0.78564
1.67,0.78936
1.675,0.7893
1.68,0.79328
1.685,0.79715
1.69,0.80058
1.695,0.80498
1.7,0.80492
1.705,0.80656
1.71,0.80853
1.715,0.81188
1.72,0.81188
1.725,0.81468
1.73,0.81552
1.735,0.81761
1.74,0.81794
1.745,0.81757
1.75,0.82058
1.755,0.8226
1.76,0.82248
1.765,0.82359
1.77,0.82454
1.775,0.82558
1.78,0.82625
1.785,0.82729
1.79,0.828
1.795,0.82863
1.8,0.82832
1.805,0.82885
1.81,0.82876
1.815,0.82854
1.82,0.83007
1.825,0.83105
1.83,0.83074
1.835,0.8301
1.84,0.83386
1.845,0.83427
1.85,0.83466
1.855,0.83511
1.86,0.83545
1.865,0.8322
1.87,0.82867
1.875,0.84206
1.88,0.84129
1.885,0.83566
1.89,0.83517
1.895,0.83451
1.9,0.83255
1.905,0.83569
1.91,0.83783
1.915,0.8368
1.92,0.83773
1.925,0.83911
1.93,0.83845
1.935,0.83836
1.94,0.83811
1.945,0.83888
1.95,0.83788
1.955,0.8373
1.96,0.83727
1.965,0.83767
1.97,0.83697
1.975,0.83874
1.98,0.83752
1.985,0.83845
1.99,0.83897
1.995,0.83858
2,0.83784
2.005,0.83735
2.01,0.83862
2.015,0.83862
2.02,0.83923
2.025,0.83833
2.03,0.838
2.035,0.83827
2.04,0.83878
2.045,0.83883
2.05,0.83929
2.055,0.83917
2.06,0.84023
2.065,0.84042
2.07,0.8398
2.075,0.83987
2.08,0.84039
2.085,0.83964
2.09,0.8396
2.095,0.83934
2.1,0.84138
2.105,0.84166
2.11,0.84053
2.115,0.84078
2.12,0.84105
2.125,0.84009
2.13,0.83907
2.135,0.83931
2.14,0.83869
2.145,0.83968
2.15,0.84
2.155,0.83937
2.16,0.83893
2.165,0.83913
2.17,0.83872
2.175,0.8382
2.18,0.83834
2.185,0.83847
2.19,0.83795
2.195,0.83825
2.2,0.83838
2.205,0.83972
2.21,0.83976
2.215,0.83942
2.22,0.8393
2.225,0.83934
2.23,0.83953
2.235,0.83937
2.24,0.8396
2.245,0.84024
2.25,0.84059
