Brown University Keck/NASA Relab Spectrum PO-CMP-081-RL/TLP81R,
W,R
0.3,0.01216
0.305,0.00757
0.31,0.00651
0.315,0.00655
0.32,0.00777
0.325,0.01031
0.33,0.01516
0.335,0.02163
0.34,0.03148
0.345,0.04455
0.35,0.06481
0.355,0.09334
0.36,0.12658
0.365,0.16027
0.37,0.19007
0.375,0.21726
0.38,0.23799
0.385,0.25549
0.39,0.27952
0.395,0.29487
0.4,0.31186
0.405,0.34335
0.41,0.39058
0.415,0.41022
0.42,0.4237
0.425,0.43373
0.43,0.4441
0.435,0.45514
0.44,0.46728
0.445,0.46309
0.45,0.45854
0.455,0.46741
0.46,0.48695
0.465,0.50732
0.47,0.5227
0.475,0.545
0.48,0.56825
0.485,0.5763
0.49,0.58446
0.495,0.58709
0.5,0.60957
0.505,0.63173
0.51,0.64537
0.515,0.65491
0.52,0.66484
0.525,0.6741
0.53,0.68209
0.535,0.69426
0.54,0.70554
0.545,0.71673
0.55,0.72532
0.555,0.73173
0.56,0.73447
0.565,0.73595
0.57,0.73545
0.575,0.73306
0.58,0.72883
0.585,0.72528
0.59,0.72144
0.595,0.71572
0.6,0.70919
0.605,0.70297
0.61,0.69206
0.615,0.68086
0.62,0.6682
0.625,0.65869
0.63,0.64926
0.635,0.64646
0.64,0.64931
0.645,0.65369
0.65,0.65854
0.655,0.66491
0.66,0.66979
0.665,0.67174
0.67,0.6725
0.675,0.67092
0.68,0.66705
0.685,0.65959
0.69,0.65099
0.695,0.64187
0.7,0.63107
0.705,0.61856
0.71,0.60569
0.715,0.59171
0.72,0.57555
0.725,0.55897
0.73,0.54117
0.735,0.52168
0.74,0.50168
0.745,0.48111
0.75,0.45942
0.755,0.43779
0.76,0.41702
0.765,0.39544
0.77,0.37418
0.775,0.3534
0.78,0.33354
0.785,0.31397
0.79,0.2959
0.795,0.27755
0.8,0.26058
0.805,0.2453
0.81,0.23252
0.815,0.21948
0.82,0.20788
0.825,0.1978
0.83,0.18797
0.835,0.17839
0.84,0.17029
0.845,0.16321
0.85,0.15572
0.855,0.14875
0.86,0.14245
0.865,0.13723
0.87,0.13078
0.875,0.12604
0.88,0.12028
0.885,0.1149
0.89,0.11059
0.895,0.10651
0.9,0.10173
0.905,0.09805
0.91,0.09392
0.915,0.0904
0.92,0.08719
0.925,0.08455
0.93,0.08107
0.935,0.0785
0.94,0.07616
0.945,0.07284
0.95,0.07
0.955,0.06708
0.96,0.06488
0.965,0.0622
0.97,0.05933
0.975,0.05648
0.98,0.05457
0.985,0.05143
0.99,0.04921
0.995,0.04667
1,0.04441
1.005,0.04243
1.01,0.04077
1.015,0.03905
1.02,0.03707
1.025,0.03603
1.03,0.03486
1.035,0.03414
1.04,0.03309
1.045,0.03223
1.05,0.03151
1.055,0.03159
1.06,0.03243
1.065,0.03284
1.07,0.03381
1.075,0.03482
1.08,0.03534
1.085,0.03691
1.09,0.03841
1.095,0.03995
1.1,0.04152
1.105,0.04353
1.11,0.04528
1.115,0.04713
1.12,0.0493
1.125,0.05139
1.13,0.05336
1.135,0.05529
1.14,0.05757
1.145,0.05945
1.15,0.06139
1.155,0.0633
1.16,0.06497
1.165,0.06689
1.17,0.06794
1.175,0.07013
1.18,0.07149
1.185,0.0725
1.19,0.07421
1.195,0.07508
1.2,0.07626
1.205,0.07675
1.21,0.07624
1.215,0.07754
1.22,0.08002
1.225,0.083
1.23,0.08645
1.235,0.08917
1.24,0.09245
1.245,0.09515
1.25,0.09817
1.255,0.10057
1.26,0.10411
1.265,0.10729
1.27,0.11017
1.275,0.11346
1.28,0.11646
1.285,0.11988
1.29,0.12329
1.295,0.12691
1.3,0.13065
1.305,0.13443
1.31,0.13919
1.315,0.14357
1.32,0.14805
1.325,0.15353
1.33,0.15909
1.335,0.16497
1.34,0.17019
1.345,0.17611
1.35,0.18228
1.355,0.1893
1.36,0.19567
1.365,0.20603
1.37,0.2129
1.375,0.22194
1.38,0.22756
1.385,0.24048
1.39,0.24887
1.395,0.25748
1.4,0.26684
1.405,0.27743
1.41,0.28902
1.415,0.3004
1.42,0.31168
1.425,0.32252
1.43,0.33385
1.435,0.34577
1.44,0.35847
1.445,0.36973
1.45,0.38334
1.455,0.39568
1.46,0.40797
1.465,0.42117
1.47,0.43362
1.475,0.44544
1.48,0.45829
1.485,0.47047
1.49,0.48425
1.495,0.49682
1.5,0.5084
1.505,0.51996
1.51,0.53137
1.515,0.54274
1.52,0.5543
1.525,0.56328
1.53,0.575
1.535,0.58688
1.54,0.59475
1.545,0.6047
1.55,0.61432
1.555,0.62389
1.56,0.63242
1.565,0.63921
1.57,0.64753
1.575,0.65647
1.58,0.66431
1.585,0.67176
1.59,0.67802
1.595,0.68351
1.6,0.69024
1.605,0.69698
1.61,0.70252
1.615,0.70736
1.62,0.71469
1.625,0.71752
1.63,0.72176
1.635,0.72614
1.64,0.73093
1.645,0.73582
1.65,0.73879
1.655,0.74301
1.66,0.744
1.665,0.74847
1.67,0.75138
1.675,0.75095
1.68,0.75392
1.685,0.75914
1.69,0.76104
1.695,0.76645
1.7,0.76601
1.705,0.76741
1.71,0.76937
1.715,0.77255
1.72,0.77252
1.725,0.77496
1.73,0.77524
1.735,0.77689
1.74,0.77826
1.745,0.77924
1.75,0.78028
1.755,0.78154
1.76,0.78213
1.765,0.78269
1.77,0.78369
1.775,0.78514
1.78,0.78516
1.785,0.78646
1.79,0.78679
1.795,0.78838
1.8,0.78724
1.805,0.78762
1.81,0.78937
1.815,0.7885
1.82,0.78929
1.825,0.78984
1.83,0.78971
1.835,0.78933
1.84,0.79223
1.845,0.79418
1.85,0.79431
1.855,0.79471
1.86,0.79424
1.865,0.791
1.87,0.78871
1.875,0.79981
1.88,0.80016
1.885,0.79501
1.89,0.79366
1.895,0.79313
1.9,0.79043
1.905,0.79395
1.91,0.7964
1.915,0.79481
1.92,0.79467
1.925,0.79624
1.93,0.79554
1.935,0.79623
1.94,0.79551
1.945,0.79704
1.95,0.79497
1.955,0.79494
1.96,0.79509
1.965,0.79531
1.97,0.79479
1.975,0.79608
1.98,0.79548
1.985,0.79572
1.99,0.79638
1.995,0.79597
2,0.79565
2.005,0.79532
2.01,0.79671
2.015,0.79615
2.02,0.79707
2.025,0.79644
2.03,0.79591
2.035,0.79673
2.04,0.79729
2.045,0.79735
2.05,0.7983
2.055,0.79861
2.06,0.79844
2.065,0.79942
2.07,0.79881
2.075,0.7989
2.08,0.79957
2.085,0.79846
2.09,0.79867
2.095,0.79914
2.1,0.80049
2.105,0.80033
2.11,0.80036
2.115,0.80027
2.12,0.79968
2.125,0.79961
2.13,0.79931
2.135,0.79873
2.14,0.79857
2.145,0.79895
2.15,0.79941
2.155,0.7984
2.16,0.79839
2.165,0.79793
2.17,0.79762
2.175,0.79759
2.18,0.7979
2.185,0.79772
2.19,0.79726
2.195,0.79751
2.2,0.79783
2.205,0.79884
2.21,0.79883
2.215,0.79858
2.22,0.79753
2.225,0.79744
2.23,0.79765
2.235,0.79825
2.24,0.79808
2.245,0.79885
2.25,0.79869
2.255,0.79841
2.26,0.79908
2.265,0.79772
2.27,0.79817
2.275,0.79791
2.28,0.79824
2.285,0.79729
2.29,0.79484
2.295,0.79348
2.3,0.79429
2.305,0.79821
2.31,0.79842
2.315,0.80109
2.32,0.80145
2.325,0.80129
2.33,0.80193
2.335,0.80173
2.34,0.8013
2.345,0.80278
2.35,0.80229
2.355,0.80207
2.36,0.80334
2.365,0.8025
2.37,0.80152
2.375,0.80246
2.38,0.80267
2.385,0.80229
2.39,0.80163
2.395,0.8027
2.4,0.80301
2.405,0.80204
2.41,0.80269
2.415,0.80152
2.42,0.80361
2.425,0.8043
2.43,0.80465
2.435,0.80329
2.44,0.80387
2.445,0.80297
2.45,0.80312
2.455,0.80374
2.46,0.80279
2.465,0.80309
2.47,0.80254
2.475,0.80364
2.48,0.80287
2.485,0.80174
2.49,0.80218
2.495,0.80215
2.5,0.80259
2.505,0.80138
2.51,0.79908
2.515,0.79785
2.52,0.79989
2.525,0.79793
2.53,0.79535
2.535,0.79993
2.54,0.79879
2.545,0.79333
2.55,0.80181
2.555,0.80716
2.56,0.80345
2.565,0.79975
2.57,0.80392
2.575,0.80193
2.58,0.80026
2.585,0.79309
2.59,0.79969
2.595,0.79859
2.6,0.81057
