Brown University Keck/NASA Relab Spectrum PO-LAM-089-IA/CIPO89,
W,R
0.3,0.08184
0.305,0.07686
0.31,0.07749
0.315,0.07925
0.32,0.08412
0.325,0.09118
0.33,0.10395
0.335,0.12064
0.34,0.14371
0.345,0.17028
0.35,0.2005
0.355,0.23116
0.36,0.26075
0.365,0.28378
0.37,0.30124
0.375,0.3154
0.38,0.32446
0.385,0.33547
0.39,0.35186
0.395,0.36485
0.4,0.37877
0.405,0.39934
0.41,0.42539
0.415,0.4391
0.42,0.44372
0.425,0.44495
0.43,0.4473
0.435,0.45317
0.44,0.46126
0.445,0.46095
0.45,0.46853
0.455,0.47669
0.46,0.48943
0.465,0.50241
0.47,0.5114
0.475,0.52295
0.48,0.53883
0.485,0.54368
0.49,0.55102
0.495,0.55859
0.5,0.57883
0.505,0.59682
0.51,0.60528
0.515,0.61442
0.52,0.62362
0.525,0.63347
0.53,0.64152
0.535,0.65155
0.54,0.66209
0.545,0.67201
0.55,0.67724
0.555,0.68387
0.56,0.68861
0.565,0.69079
0.57,0.69235
0.575,0.69317
0.58,0.69105
0.585,0.69065
0.59,0.6892
0.595,0.68884
0.6,0.68427
0.605,0.68024
0.61,0.67642
0.615,0.66993
0.62,0.66347
0.625,0.65817
0.63,0.6538
0.635,0.65035
0.64,0.65226
0.645,0.65588
0.65,0.6584
0.655,0.66262
0.66,0.66469
0.665,0.66638
0.67,0.66643
0.675,0.66789
0.68,0.66755
0.685,0.66097
0.69,0.65381
0.695,0.64952
0.7,0.64267
0.705,0.63583
0.71,0.63003
0.715,0.62225
0.72,0.61329
0.725,0.60394
0.73,0.59163
0.735,0.58105
0.74,0.56984
0.745,0.55639
0.75,0.54425
0.755,0.53105
0.76,0.51337
0.765,0.49865
0.77,0.48373
0.775,0.46822
0.78,0.45429
0.785,0.44138
0.79,0.42792
0.795,0.41517
0.8,0.40433
0.805,0.39406
0.81,0.38179
0.815,0.37127
0.82,0.3622
0.825,0.35317
0.83,0.34531
0.835,0.33795
0.84,0.32987
0.845,0.32204
0.85,0.3143
0.855,0.30591
0.86,0.29754
0.865,0.29952
0.87,0.29472
0.875,0.28921
0.88,0.28293
0.885,0.27789
0.89,0.27218
0.895,0.26601
0.9,0.25994
0.905,0.25278
0.91,0.24588
0.915,0.23862
0.92,0.23075
0.925,0.22356
0.93,0.21564
0.935,0.20821
0.94,0.1999
0.945,0.19286
0.95,0.18559
0.955,0.17864
0.96,0.17104
0.965,0.16498
0.97,0.159
0.975,0.15311
0.98,0.14775
0.985,0.14302
0.99,0.13878
0.995,0.13482
1,0.131
1.005,0.1277
1.01,0.12483
1.015,0.1223
1.02,0.11994
1.025,0.11842
1.03,0.11626
1.035,0.11518
1.04,0.11424
1.045,0.11342
1.05,0.11309
1.055,0.11242
1.06,0.11237
1.065,0.11303
1.07,0.11376
1.075,0.1146
1.08,0.11602
1.085,0.11785
1.09,0.12012
1.095,0.12238
1.1,0.12514
1.105,0.12815
1.11,0.13119
1.115,0.13474
1.12,0.13796
1.125,0.14133
1.13,0.14467
1.135,0.14801
1.14,0.15205
1.145,0.15498
1.15,0.1586
1.155,0.16136
1.16,0.16395
1.165,0.1667
1.17,0.16923
1.175,0.17175
1.18,0.17373
1.185,0.17604
1.19,0.17805
1.195,0.17999
1.2,0.18267
1.205,0.18497
1.21,0.1865
1.215,0.18784
1.22,0.18955
1.225,0.19179
1.23,0.19431
1.235,0.19675
1.24,0.19909
1.245,0.20193
1.25,0.20417
1.255,0.2079
1.26,0.21098
1.265,0.21404
1.27,0.21781
1.275,0.22197
1.28,0.22646
1.285,0.22982
1.29,0.23506
1.295,0.23973
1.3,0.24528
1.305,0.25062
1.31,0.25648
1.315,0.26251
1.32,0.26912
1.325,0.27585
1.33,0.28253
1.335,0.29026
1.34,0.29834
1.345,0.30639
1.35,0.31472
1.355,0.3231
1.36,0.33283
1.365,0.34139
1.37,0.3505
1.375,0.36007
1.38,0.37226
1.385,0.37835
1.39,0.39041
1.395,0.40098
1.4,0.41123
1.405,0.42146
1.41,0.43023
1.415,0.44204
1.42,0.45216
1.425,0.46444
1.43,0.47526
1.435,0.48639
1.44,0.49757
1.445,0.50949
1.45,0.51967
1.455,0.52909
1.46,0.54043
1.465,0.54995
1.47,0.56129
1.475,0.57127
1.48,0.58014
1.485,0.59112
1.49,0.59936
1.495,0.61025
1.5,0.61919
1.505,0.62852
1.51,0.63631
1.515,0.64542
1.52,0.65241
1.525,0.66099
1.53,0.66952
1.535,0.67576
1.54,0.6833
1.545,0.68895
1.55,0.69589
1.555,0.70431
1.56,0.70997
1.565,0.71696
1.57,0.72055
1.575,0.72529
1.58,0.7322
1.585,0.73521
1.59,0.74097
1.595,0.74385
1.6,0.7485
1.605,0.75304
1.61,0.75611
1.615,0.75988
1.62,0.76414
1.625,0.76607
1.63,0.7699
1.635,0.77213
1.64,0.77526
1.645,0.77849
1.65,0.77995
1.655,0.78173
1.66,0.77442
1.665,0.77517
1.67,0.77723
1.675,0.77796
1.68,0.78156
1.685,0.78374
1.69,0.78299
1.695,0.78427
1.7,0.78448
1.705,0.78569
1.71,0.78777
1.715,0.78877
1.72,0.78942
1.725,0.79117
1.73,0.79112
1.735,0.79221
1.74,0.79303
1.745,0.79442
1.75,0.79599
1.755,0.79807
1.76,0.79795
1.765,0.79928
1.77,0.8001
1.775,0.80157
1.78,0.8024
1.785,0.80376
1.79,0.80434
1.795,0.80464
1.8,0.80423
1.805,0.8054
1.81,0.80616
1.815,0.80822
1.82,0.80763
1.825,0.80864
1.83,0.80734
1.835,0.80829
1.84,0.80736
1.845,0.81245
1.85,0.8107
1.855,0.81335
1.86,0.81272
1.865,0.81477
1.87,0.80772
1.875,0.81374
1.88,0.81914
1.885,0.81372
1.89,0.81221
1.895,0.81413
1.9,0.81127
1.905,0.81222
1.91,0.81669
1.915,0.81454
1.92,0.81594
1.925,0.81615
1.93,0.81558
1.935,0.81521
1.94,0.8161
1.945,0.81849
1.95,0.81652
1.955,0.81713
1.96,0.81829
1.965,0.81872
1.97,0.81862
1.975,0.82056
1.98,0.82061
1.985,0.81931
1.99,0.82181
1.995,0.82138
2,0.82091
2.005,0.82157
2.01,0.82226
2.015,0.82263
2.02,0.82188
2.025,0.8216
2.03,0.82218
2.035,0.82067
2.04,0.82193
2.045,0.82118
2.05,0.82059
2.055,0.82178
2.06,0.82227
2.065,0.82159
2.07,0.81994
2.075,0.821
2.08,0.82139
2.085,0.82092
2.09,0.81891
2.095,0.82048
2.1,0.8218
2.105,0.82199
2.11,0.82282
2.115,0.82107
2.12,0.82288
2.125,0.82016
2.13,0.82086
2.135,0.81992
2.14,0.81963
2.145,0.82134
2.15,0.82106
2.155,0.82061
2.16,0.81959
2.165,0.81939
2.17,0.82063
2.175,0.82225
2.18,0.82179
2.185,0.82176
2.19,0.82065
2.195,0.82067
2.2,0.8197
2.205,0.82034
2.21,0.8202
2.215,0.82102
2.22,0.81978
2.225,0.82049
2.23,0.81921
2.235,0.81915
2.24,0.81847
2.245,0.81696
2.25,0.81597
