Brown University Keck/NASA Relab Spectrum PO-RGB-040/C1PO40,
W,R
0.3,0.20433
0.305,0.22916
0.31,0.24203
0.315,0.26315
0.32,0.28673
0.325,0.31325
0.33,0.33947
0.335,0.36553
0.34,0.39405
0.345,0.42231
0.35,0.44428
0.355,0.46829
0.36,0.4916
0.365,0.51261
0.37,0.52957
0.375,0.54275
0.38,0.55682
0.385,0.56624
0.39,0.57807
0.395,0.58626
0.4,0.59773
0.405,0.60817
0.41,0.61856
0.415,0.62426
0.42,0.63312
0.425,0.63917
0.43,0.64555
0.435,0.65171
0.44,0.65631
0.445,0.65828
0.45,0.6583
0.455,0.66206
0.46,0.66704
0.465,0.67442
0.47,0.67759
0.475,0.68374
0.48,0.69109
0.485,0.69434
0.49,0.69827
0.495,0.70217
0.5,0.70999
0.505,0.71791
0.51,0.72351
0.515,0.72796
0.52,0.7306
0.525,0.73355
0.53,0.73659
0.535,0.74023
0.54,0.74569
0.545,0.74759
0.55,0.7511
0.555,0.75284
0.56,0.75504
0.565,0.75571
0.57,0.75791
0.575,0.75668
0.58,0.75847
0.585,0.75733
0.59,0.75836
0.595,0.75779
0.6,0.75823
0.605,0.7568
0.61,0.75641
0.615,0.75566
0.62,0.75438
0.625,0.75311
0.63,0.7523
0.635,0.75143
0.64,0.75243
0.645,0.7528
0.65,0.75516
0.655,0.75602
0.66,0.75708
0.665,0.75656
0.67,0.75645
0.675,0.75623
0.68,0.75579
0.685,0.75549
0.69,0.75297
0.695,0.75098
0.7,0.74949
0.705,0.74688
0.71,0.74464
0.715,0.74194
0.72,0.73991
0.725,0.73575
0.73,0.73372
0.735,0.72905
0.74,0.7255
0.745,0.7217
0.75,0.71717
0.755,0.71239
0.76,0.70841
0.765,0.70408
0.77,0.69786
0.775,0.69401
0.78,0.68795
0.785,0.68382
0.79,0.68012
0.795,0.67488
0.8,0.67108
0.805,0.666
0.81,0.66248
0.815,0.65929
0.82,0.65582
0.825,0.6511
0.83,0.64849
0.835,0.64539
0.84,0.64318
0.845,0.64101
0.85,0.63845
0.855,0.63511
0.86,0.63343
0.865,0.63065
0.87,0.6287
0.875,0.627
0.88,0.62535
0.885,0.62304
0.89,0.61926
0.895,0.61522
0.9,0.61421
0.905,0.61096
0.91,0.60884
0.915,0.60558
0.92,0.60154
0.925,0.59585
0.93,0.59163
0.935,0.58782
0.94,0.58315
0.945,0.5774
0.95,0.57033
0.955,0.56713
0.96,0.56034
0.965,0.55476
0.97,0.5506
0.975,0.54518
0.98,0.53793
0.985,0.53292
0.99,0.52792
0.995,0.52284
1,0.5186
1.005,0.51488
1.01,0.51011
1.015,0.50685
1.02,0.50351
1.025,0.49898
1.03,0.49845
1.035,0.49618
1.04,0.49527
1.045,0.49363
1.05,0.49448
1.055,0.49192
1.06,0.49165
1.065,0.49261
1.07,0.49356
1.075,0.49545
1.08,0.49693
1.085,0.50028
1.09,0.5026
1.095,0.50608
1.1,0.50934
1.105,0.51443
1.11,0.51705
1.115,0.5191
1.12,0.5242
1.125,0.52828
1.13,0.53233
1.135,0.53544
1.14,0.53827
1.145,0.54023
1.15,0.5422
1.155,0.54415
1.16,0.54715
1.165,0.55019
1.17,0.55159
1.175,0.5532
1.18,0.55552
1.185,0.55681
1.19,0.55825
1.195,0.55984
1.2,0.55956
1.205,0.56132
1.21,0.56389
1.215,0.56691
1.22,0.56739
1.225,0.56964
1.23,0.57121
1.235,0.57225
1.24,0.57399
1.245,0.57538
1.25,0.57812
1.255,0.57991
1.26,0.58126
1.265,0.58302
1.27,0.58572
1.275,0.58712
1.28,0.58974
1.285,0.59107
1.29,0.59366
1.295,0.59488
1.3,0.60003
1.305,0.60311
1.31,0.60477
1.315,0.60757
1.32,0.61194
1.325,0.61572
1.33,0.61809
1.335,0.6208
1.34,0.62449
1.345,0.62688
1.35,0.63193
1.355,0.6342
1.36,0.63758
1.365,0.63992
1.37,0.64345
1.375,0.64926
1.38,0.65397
1.385,0.65795
1.39,0.66243
1.395,0.66512
1.4,0.66899
1.405,0.67305
1.41,0.67723
1.415,0.68053
1.42,0.68414
1.425,0.68701
1.43,0.69002
1.435,0.69417
1.44,0.69857
1.445,0.70319
1.45,0.7073
1.455,0.71103
1.46,0.71226
1.465,0.71742
1.47,0.72137
1.475,0.72683
1.48,0.73036
1.485,0.73544
1.49,0.73686
1.495,0.7412
1.5,0.7433
1.505,0.74779
1.51,0.74889
1.515,0.75396
1.52,0.75395
1.525,0.7577
1.53,0.75922
1.535,0.76304
1.54,0.76928
1.545,0.7686
1.55,0.76933
1.555,0.77345
1.56,0.77885
1.565,0.78207
1.57,0.78057
1.575,0.78168
1.58,0.78339
1.585,0.78793
1.59,0.7881
1.595,0.78798
1.6,0.79078
1.605,0.79212
1.61,0.79301
1.615,0.7963
1.62,0.79866
1.625,0.79836
1.63,0.79839
1.635,0.79903
1.64,0.79906
1.645,0.79965
1.65,0.80287
1.655,0.8046
1.66,0.80428
1.665,0.80414
1.67,0.80172
1.675,0.80102
1.68,0.80662
1.685,0.80387
1.69,0.80532
1.695,0.80817
1.7,0.80546
1.705,0.80533
1.71,0.80609
1.715,0.80631
1.72,0.80619
1.725,0.80433
1.73,0.80438
1.735,0.80557
1.74,0.80722
1.745,0.80532
1.75,0.80656
1.755,0.80713
1.76,0.80852
1.765,0.80749
1.77,0.80824
1.775,0.80625
1.78,0.80697
1.785,0.80738
1.79,0.80661
1.795,0.80484
1.8,0.80703
1.805,0.80805
1.81,0.80715
1.815,0.80446
1.82,0.8054
1.825,0.80438
1.83,0.80728
1.835,0.8077
1.84,0.80447
1.845,0.80251
1.85,0.80274
1.855,0.80353
1.86,0.80392
1.865,0.80412
1.87,0.80047
1.875,0.80034
1.88,0.8029
1.885,0.80286
1.89,0.80271
1.895,0.8023
1.9,0.80179
1.905,0.80179
1.91,0.80217
1.915,0.80261
1.92,0.80203
1.925,0.80065
1.93,0.80275
1.935,0.80171
1.94,0.8006
1.945,0.8013
1.95,0.79957
1.955,0.7963
1.96,0.79788
1.965,0.80143
1.97,0.80337
1.975,0.80401
1.98,0.80345
1.985,0.80375
1.99,0.80415
1.995,0.80423
2,0.80303
2.005,0.80127
2.01,0.80408
2.015,0.80499
2.02,0.80328
2.025,0.8037
2.03,0.80563
2.035,0.80798
2.04,0.81065
2.045,0.81043
2.05,0.8073
2.055,0.80538
2.06,0.80394
2.065,0.80472
2.07,0.80637
2.075,0.80782
2.08,0.80822
2.085,0.8091
2.09,0.80558
2.095,0.80573
2.1,0.80705
2.105,0.80895
2.11,0.80853
2.115,0.80849
2.12,0.80888
2.125,0.81034
2.13,0.81011
2.135,0.81166
2.14,0.81093
2.145,0.81063
2.15,0.80857
2.155,0.81146
2.16,0.81217
2.165,0.81255
2.17,0.80553
2.175,0.80794
2.18,0.8089
2.185,0.80809
2.19,0.80591
2.195,0.80524
2.2,0.80439
2.205,0.80552
2.21,0.807
2.215,0.80849
2.22,0.80777
2.225,0.80897
2.23,0.80878
2.235,0.8091
2.24,0.80937
2.245,0.80855
2.25,0.80913
2.255,0.81137
2.26,0.80837
2.265,0.8085
2.27,0.81144
2.275,0.8115
2.28,0.80937
2.285,0.80907
2.29,0.81109
2.295,0.81017
2.3,0.80762
2.305,0.80789
2.31,0.80998
2.315,0.81036
2.32,0.81175
2.325,0.811
2.33,0.8091
2.335,0.80864
2.34,0.8088
2.345,0.80935
2.35,0.81148
2.355,0.81785
2.36,0.82035
2.365,0.81733
2.37,0.819
2.375,0.81758
2.38,0.81257
2.385,0.81549
2.39,0.8165
2.395,0.82102
2.4,0.81905
2.405,0.81693
2.41,0.81726
2.415,0.82077
2.42,0.8193
2.425,0.818
2.43,0.8187
2.435,0.81649
2.44,0.81512
2.445,0.81448
2.45,0.81376
2.455,0.81243
2.46,0.81211
2.465,0.81455
2.47,0.81217
2.475,0.80917
2.48,0.81116
2.485,0.81701
2.49,0.81426
2.495,0.81564
2.5,0.81617
2.505,0.81831
2.51,0.81821
2.515,0.81991
2.52,0.81936
2.525,0.82037
2.53,0.81541
2.535,0.81282
2.54,0.81672
2.545,0.81482
2.55,0.82041
2.555,0.82246
2.56,0.8195
2.565,0.81513
2.57,0.81473
2.575,0.81924
2.58,0.81829
2.585,0.8167
2.59,0.81989
2.595,0.8175
2.6,0.81522
