Brown University Keck/NASA Relab Spectrum PO-TXH-081-CP/C1PO81CP,,
W,R,Standard Deviation
0.28,0.28056,0.16065
0.285,0.24239,0.06003
0.29,0.23098,0.02848
0.295,0.23006,0.01743
0.3,0.23695,0.01265
0.305,0.24885,0.01044
0.31,0.26277,0.00844
0.315,0.28016,0.00769
0.32,0.30034,0.00651
0.325,0.32232,0.00605
0.33,0.34524,0.00575
0.335,0.36981,0.0058
0.34,0.39485,0.00602
0.345,0.41851,0.00621
0.35,0.44103,0.00533
0.355,0.46261,0.00445
0.36,0.48242,0.00404
0.365,0.50231,0.00423
0.37,0.51736,0.00433
0.375,0.53196,0.00454
0.38,0.54228,0.00428
0.385,0.55267,0.00406
0.39,0.5634,0.00501
0.395,0.57197,0.0058
0.4,0.58015,0.00447
0.405,0.59081,0.00505
0.41,0.60109,0.00488
0.415,0.60722,0.00508
0.42,0.61408,0.00563
0.425,0.61915,0.0063
0.43,0.62374,0.00582
0.435,0.62817,0.00609
0.44,0.63313,0.00565
0.445,0.63499,0.00612
0.45,0.63346,0.00614
0.455,0.63501,0.00574
0.46,0.64126,0.00553
0.465,0.64736,0.00549
0.47,0.6515,0.00525
0.475,0.65854,0.006
0.48,0.66641,0.00519
0.485,0.67008,0.00556
0.49,0.67182,0.00494
0.495,0.67361,0.00611
0.5,0.6842,0.00573
0.505,0.69482,0.00615
0.51,0.70036,0.00641
0.515,0.70393,0.00629
0.52,0.70847,0.00612
0.525,0.71178,0.00583
0.53,0.71429,0.00565
0.535,0.72016,0.00564
0.54,0.72484,0.00646
0.545,0.72944,0.00603
0.55,0.73209,0.00657
0.555,0.73581,0.00653
0.56,0.73736,0.00584
0.565,0.73729,0.00648
0.57,0.73806,0.006
0.575,0.7375,0.00605
0.58,0.73752,0.00592
0.585,0.73666,0.00576
0.59,0.73505,0.00637
0.595,0.73382,0.00618
0.6,0.73183,0.00589
0.605,0.73021,0.00604
0.61,0.72782,0.00598
0.615,0.72511,0.00616
0.62,0.72245,0.00626
0.625,0.72038,0.00599
0.63,0.71789,0.00642
0.635,0.71725,0.00617
0.64,0.71721,0.00665
0.645,0.71948,0.00615
0.65,0.71971,0.00601
0.655,0.72088,0.00637
0.66,0.72134,0.00585
0.665,0.7225,0.00628
0.67,0.72143,0.00664
0.675,0.72055,0.0067
0.68,0.71827,0.00603
0.685,0.71592,0.00633
0.69,0.71295,0.00636
0.695,0.70985,0.00586
0.7,0.7063,0.00656
0.705,0.70301,0.00632
0.71,0.69705,0.00577
0.715,0.69384,0.00593
0.72,0.68875,0.00594
0.725,0.6827,0.00638
0.73,0.67791,0.00623
0.735,0.6727,0.00648
0.74,0.66608,0.00613
0.745,0.66071,0.00602
0.75,0.65416,0.00574
0.755,0.64846,0.00578
0.76,0.64189,0.0058
0.765,0.6333,0.00597
0.77,0.6292,0.00567
0.775,0.62167,0.00571
0.78,0.61664,0.00596
0.785,0.61014,0.00584
0.79,0.60437,0.00578
0.795,0.59893,0.00579
0.8,0.59396,0.0125
0.805,0.58794,0.01247
0.81,0.58407,0.01191
0.815,0.57946,0.01175
0.82,0.57434,0.01142
0.825,0.57081,0.01085
0.83,0.56753,0.01088
0.835,0.56214,0.01035
0.84,0.56026,0.00976
0.845,0.557,0.00936
0.85,0.55424,0.00878
0.855,0.55009,0.01183
0.86,0.54763,0.01053
0.865,0.54433,0.01073
0.87,0.54265,0.00888
0.875,0.54055,0.00827
0.88,0.53823,0.00795
0.885,0.53564,0.00716
0.89,0.53342,0.00662
0.895,0.52855,0.00674
0.9,0.52656,0.00662
0.905,0.52359,0.00734
0.91,0.52068,0.00609
0.915,0.51661,0.00629
0.92,0.51207,0.00671
0.925,0.50834,0.00561
0.93,0.50334,0.00645
0.935,0.499,0.00615
0.94,0.4939,0.00542
0.945,0.48919,0.00552
0.95,0.48352,0.0055
0.955,0.47812,0.00537
0.96,0.47274,0.00576
0.965,0.46584,0.00562
0.97,0.46197,0.00551
0.975,0.45597,0.00504
0.98,0.45033,0.00518
0.985,0.44583,0.00514
0.99,0.44097,0.00499
0.995,0.43613,0.00474
1,0.43149,0.00502
1.005,0.42705,0.00521
1.01,0.42409,0.00551
1.015,0.42013,0.00519
1.02,0.41751,0.00521
1.025,0.41571,0.00525
1.03,0.41182,0.00557
1.035,0.41045,0.00539
1.04,0.40802,0.00568
1.045,0.40666,0.00427
1.05,0.40602,0.0052
1.055,0.40478,0.0049
1.06,0.40549,0.00528
1.065,0.40529,0.00529
1.07,0.40637,0.00523
1.075,0.40759,0.00562
1.08,0.40902,0.0052
1.085,0.41098,0.00544
1.09,0.41368,0.00546
1.095,0.41569,0.00536
1.1,0.41765,0.00492
1.105,0.42015,0.00464
1.11,0.42393,0.00533
1.115,0.42558,0.00538
1.12,0.42709,0.00543
1.125,0.43186,0.00527
1.13,0.43411,0.00509
1.135,0.43652,0.00542
1.14,0.43896,0.00517
1.145,0.44055,0.00532
1.15,0.44306,0.00521
1.155,0.4446,0.00529
1.16,0.44614,0.00548
1.165,0.44766,0.00561
1.17,0.449,0.00519
1.175,0.45181,0.00495
1.18,0.45305,0.00513
1.185,0.45435,0.00575
1.19,0.45541,0.00534
1.195,0.45659,0.00547
1.2,0.45742,0.00509
1.205,0.45848,0.00525
1.21,0.45976,0.00567
1.215,0.46008,0.00544
1.22,0.46252,0.00525
1.225,0.4624,0.00502
1.23,0.4645,0.00537
1.235,0.46481,0.00542
1.24,0.46709,0.00559
1.245,0.46778,0.00531
1.25,0.46898,0.00563
1.255,0.47027,0.00526
1.26,0.47195,0.00551
1.265,0.47387,0.00559
1.27,0.47503,0.00536
1.275,0.47677,0.0055
1.28,0.47891,0.00542
1.285,0.4815,0.00586
1.29,0.48281,0.00589
1.295,0.48523,0.00587
1.3,0.48705,0.00545
1.305,0.48943,0.00572
1.31,0.49142,0.00496
1.315,0.49461,0.00556
1.32,0.49761,0.00612
1.325,0.49993,0.00559
1.33,0.50256,0.00568
1.335,0.50649,0.00604
1.34,0.50939,0.00593
1.345,0.51214,0.00616
1.35,0.51569,0.00626
1.355,0.5189,0.00642
1.36,0.52243,0.0055
1.365,0.52479,0.00597
1.37,0.52848,0.00607
1.375,0.53134,0.00707
1.38,0.5372,0.00619
1.385,0.53933,0.00711
1.39,0.54558,0.00631
1.395,0.54949,0.007
1.4,0.55124,0.00652
1.405,0.55622,0.00687
1.41,0.55986,0.00628
1.415,0.56492,0.0063
1.42,0.5694,0.00629
1.425,0.57259,0.00611
1.43,0.57779,0.00644
1.435,0.58136,0.00694
1.44,0.58711,0.00728
1.445,0.59075,0.00702
1.45,0.59612,0.00654
1.455,0.60078,0.0063
1.46,0.60491,0.00656
1.465,0.60889,0.00684
1.47,0.61408,0.00657
1.475,0.61772,0.00706
1.48,0.62355,0.0066
1.485,0.62771,0.0071
1.49,0.63223,0.00728
1.495,0.6367,0.00684
1.5,0.64108,0.00659
1.505,0.64545,0.00647
1.51,0.65079,0.00674
1.515,0.65409,0.00704
1.52,0.65882,0.00679
1.525,0.66329,0.00737
1.53,0.66753,0.00722
1.535,0.67308,0.00788
1.54,0.6771,0.00729
1.545,0.6806,0.00698
1.55,0.68471,0.00775
1.555,0.68963,0.00719
1.56,0.69234,0.00745
1.565,0.69753,0.00774
1.57,0.70072,0.0079
1.575,0.70452,0.00746
1.58,0.7083,0.00748
1.585,0.71302,0.00761
1.59,0.71503,0.0077
1.595,0.71989,0.00772
1.6,0.72228,0.00788
1.605,0.72543,0.0077
1.61,0.72836,0.00799
1.615,0.73194,0.00705
1.62,0.73514,0.00782
1.625,0.73793,0.00809
1.63,0.74006,0.00803
1.635,0.74241,0.00814
1.64,0.74613,0.00799
1.645,0.74809,0.00856
1.65,0.75144,0.00801
1.655,0.752,0.00862
1.66,0.75509,0.00842
1.665,0.757,0.0081
1.67,0.75981,0.00799
1.675,0.76128,0.00813
1.68,0.76336,0.00796
1.685,0.76528,0.008
1.69,0.76608,0.00832
1.695,0.76803,0.00848
1.7,0.77076,0.00837
1.705,0.77172,0.00853
1.71,0.77238,0.00885
1.715,0.77421,0.00832
1.72,0.77575,0.00853
1.725,0.77706,0.00859
1.73,0.77753,0.00859
1.735,0.7778,0.00833
1.74,0.77973,0.00833
1.745,0.77985,0.00873
1.75,0.78134,0.00797
1.755,0.78216,0.00863
1.76,0.78386,0.00831
1.765,0.7827,0.00861
1.77,0.78535,0.00841
1.775,0.7856,0.00822
1.78,0.78554,0.00849
1.785,0.78679,0.00857
1.79,0.78841,0.00817
1.795,0.78816,0.00834
1.8,0.78959,0.0083
1.805,0.78914,0.00816
1.81,0.78971,0.00814
1.815,0.78993,0.00824
1.82,0.78954,0.0085
1.825,0.79055,0.00793
1.83,0.79069,0.00891
1.835,0.79152,0.00917
1.84,0.79166,0.0087
1.845,0.79226,0.0089
1.85,0.79215,0.00955
1.855,0.79214,0.00923
1.86,0.79231,0.00855
1.865,0.79245,0.00844
1.87,0.79189,0.01218
1.875,0.79149,0.0084
1.88,0.79103,0.00957
1.885,0.78989,0.00837
1.89,0.78862,0.00843
1.895,0.78812,0.00845
1.9,0.78731,0.00888
1.905,0.78655,0.0092
1.91,0.78618,0.00944
1.915,0.78567,0.00836
1.92,0.78639,0.00885
1.925,0.78406,0.0084
1.93,0.78309,0.00842
1.935,0.78412,0.00874
1.94,0.78399,0.00875
1.945,0.78508,0.00861
1.95,0.78487,0.00824
1.955,0.78394,0.00889
1.96,0.78375,0.00856
1.965,0.78399,0.00829
1.97,0.78413,0.00868
1.975,0.78389,0.008
1.98,0.78524,0.00873
1.985,0.78496,0.0087
1.99,0.78566,0.00859
1.995,0.7847,0.00879
2,0.78573,0.0091
2.005,0.78524,0.00916
2.01,0.78693,0.00879
2.015,0.78724,0.00857
2.02,0.78798,0.00872
2.025,0.78782,0.00955
2.03,0.78665,0.00899
2.035,0.78687,0.00889
2.04,0.78853,0.0091
2.045,0.7869,0.00846
2.05,0.78707,0.00905
2.055,0.78733,0.00898
2.06,0.78676,0.00919
2.065,0.78718,0.00912
2.07,0.78651,0.00841
2.075,0.78774,0.00866
2.08,0.78721,0.00919
2.085,0.78697,0.009
2.09,0.78701,0.00918
