Brown University Keck/NASA Relab Spectrum PO-TXH-081-CP1/C1PO81CP1,,
W,R,Standard Deviation
0.28,0.21023,0.09746
0.285,0.1665,0.03681
0.29,0.15299,0.01773
0.295,0.15159,0.01118
0.3,0.1554,0.00796
0.305,0.16176,0.00667
0.31,0.17105,0.00593
0.315,0.18267,0.00539
0.32,0.19636,0.00516
0.325,0.21112,0.00529
0.33,0.22687,0.00548
0.335,0.24381,0.00607
0.34,0.26083,0.00659
0.345,0.2774,0.00732
0.35,0.29306,0.00747
0.355,0.30842,0.00811
0.36,0.32255,0.00829
0.365,0.33684,0.0114
0.37,0.34892,0.00875
0.375,0.36024,0.00947
0.38,0.36949,0.00962
0.385,0.37873,0.01019
0.39,0.38871,0.01063
0.395,0.39557,0.01193
0.4,0.4051,0.01129
0.405,0.41466,0.0122
0.41,0.42319,0.01144
0.415,0.4307,0.01213
0.42,0.43767,0.01172
0.425,0.44282,0.01236
0.43,0.44895,0.01204
0.435,0.45447,0.0122
0.44,0.46011,0.01248
0.445,0.46393,0.01225
0.45,0.46525,0.01212
0.455,0.47023,0.01222
0.46,0.47558,0.01241
0.465,0.48207,0.01311
0.47,0.4877,0.0128
0.475,0.49545,0.01377
0.48,0.50348,0.01371
0.485,0.50682,0.01344
0.49,0.51085,0.01341
0.495,0.515,0.01311
0.5,0.52427,0.01387
0.505,0.53496,0.01432
0.51,0.54056,0.01447
0.515,0.54486,0.01416
0.52,0.54938,0.01472
0.525,0.55361,0.01474
0.53,0.55908,0.01462
0.535,0.56371,0.01538
0.54,0.57008,0.01555
0.545,0.5737,0.01518
0.55,0.57961,0.01559
0.555,0.58193,0.01541
0.56,0.58687,0.01568
0.565,0.58834,0.01575
0.57,0.59033,0.01561
0.575,0.59177,0.01638
0.58,0.59295,0.01582
0.585,0.59425,0.01548
0.59,0.59515,0.01576
0.595,0.59567,0.01542
0.6,0.59582,0.01566
0.605,0.59672,0.01564
0.61,0.59613,0.01565
0.615,0.59576,0.01527
0.62,0.59596,0.01522
0.625,0.59541,0.01544
0.63,0.59443,0.01511
0.635,0.59517,0.01519
0.64,0.59682,0.01527
0.645,0.59881,0.01512
0.65,0.60087,0.01526
0.655,0.60284,0.01506
0.66,0.60526,0.01485
0.665,0.60609,0.01516
0.67,0.60696,0.01527
0.675,0.60758,0.01512
0.68,0.60749,0.01494
0.685,0.60605,0.01536
0.69,0.60454,0.01521
0.695,0.60304,0.01472
0.7,0.60082,0.01491
0.705,0.59852,0.01494
0.71,0.59595,0.01466
0.715,0.59242,0.01468
0.72,0.58933,0.01481
0.725,0.58628,0.01365
0.73,0.5811,0.01378
0.735,0.57799,0.01402
0.74,0.57266,0.01369
0.745,0.56884,0.01389
0.75,0.56377,0.01323
0.755,0.55932,0.01318
0.76,0.55462,0.01294
0.765,0.54889,0.01286
0.77,0.54432,0.01265
0.775,0.53846,0.01178
0.78,0.53456,0.01229
0.785,0.52943,0.01136
0.79,0.52432,0.01194
0.795,0.51959,0.01148
0.8,0.51662,0.01417
0.805,0.51217,0.01447
0.81,0.50785,0.01431
0.815,0.50233,0.01356
0.82,0.50055,0.013
0.825,0.49586,0.01318
0.83,0.4935,0.01297
0.835,0.49042,0.01225
0.84,0.4885,0.01201
0.845,0.48526,0.01217
0.85,0.48151,0.01158
0.855,0.47787,0.01124
0.86,0.47797,0.01112
0.865,0.47461,0.0107
0.87,0.47276,0.01044
0.875,0.47039,0.01196
0.88,0.46726,0.01032
0.885,0.46456,0.01066
0.89,0.46366,0.00947
0.895,0.46132,0.01014
0.9,0.45843,0.00938
0.905,0.45668,0.00992
0.91,0.45282,0.00951
0.915,0.45037,0.01019
0.92,0.44713,0.00865
0.925,0.44324,0.00945
0.93,0.43777,0.0091
0.935,0.4335,0.00927
0.94,0.42902,0.0089
0.945,0.42478,0.00807
0.95,0.41858,0.00815
0.955,0.41371,0.00841
0.96,0.40879,0.00762
0.965,0.40363,0.00771
0.97,0.39824,0.00832
0.975,0.3935,0.00762
0.98,0.38821,0.00755
0.985,0.38423,0.00668
0.99,0.37748,0.0073
0.995,0.37486,0.00685
1,0.37096,0.00682
1.005,0.36523,0.00702
1.01,0.36223,0.00661
1.015,0.35985,0.00565
1.02,0.35508,0.00618
1.025,0.35404,0.00638
1.03,0.35052,0.00622
1.035,0.34982,0.00663
1.04,0.3485,0.00598
1.045,0.3468,0.00593
1.05,0.34633,0.00649
1.055,0.34556,0.00627
1.06,0.34599,0.00605
1.065,0.3465,0.00603
1.07,0.34759,0.00649
1.075,0.34864,0.00664
1.08,0.35029,0.00598
1.085,0.35247,0.0061
1.09,0.3546,0.00583
1.095,0.35689,0.00664
