BRU_LE2CPX,
W,R
0.25,0.139433
0.251,0.138631
0.252,0.138315
0.253,0.138342
0.254,0.137929
0.255,0.138017
0.256,0.138003
0.257,0.138023
0.258,0.137621
0.259,0.137594
0.26,0.137794
0.261,0.136976
0.262,0.137094
0.263,0.137257
0.264,0.137254
0.265,0.137187
0.266,0.13764
0.267,0.137903
0.268,0.13751
0.269,0.137816
0.27,0.137046
0.271,0.138703
0.272,0.137832
0.273,0.13877
0.274,0.139618
0.275,0.138518
0.276,0.137927
0.277,0.138031
0.278,0.13826
0.279,0.137912
0.28,0.138078
0.281,0.137302
0.282,0.136672
0.283,0.13606
0.284,0.137011
0.285,0.136479
0.286,0.13597
0.287,0.1362
0.288,0.135649
0.289,0.136352
0.29,0.134652
0.291,0.134178
0.292,0.135036
0.293,0.134735
0.294,0.13443
0.295,0.135046
0.296,0.134682
0.297,0.134983
0.298,0.134762
0.299,0.136106
0.3,0.135651
0.301,0.135216
0.302,0.137361
0.303,0.137097
0.304,0.137331
0.305,0.13788
0.306,0.139429
0.307,0.139079
0.308,0.139573
0.309,0.140405
0.31,0.141421
0.311,0.143377
0.312,0.143535
0.313,0.143894
0.314,0.146345
0.315,0.146766
0.316,0.14831
0.317,0.149601
0.318,0.150915
0.319,0.153732
0.32,0.153572
0.321,0.155507
0.322,0.157011
0.323,0.15899
0.324,0.162571
0.325,0.16556
0.326,0.168085
0.327,0.169824
0.328,0.172247
0.329,0.175724
0.33,0.177959
0.331,0.180303
0.332,0.185171
0.333,0.187126
0.334,0.189707
0.335,0.192693
0.336,0.195673
0.337,0.198769
0.338,0.202579
0.339,0.207315
0.34,0.210949
0.341,0.213688
0.342,0.216602
0.343,0.221197
0.344,0.22443
0.345,0.227883
0.346,0.23051
0.347,0.233707
0.348,0.237196
0.349,0.24041
0.35,0.24464
0.351,0.246377
0.352,0.249268
0.353,0.252049
0.354,0.255243
0.355,0.258811
0.356,0.260381
0.357,0.263741
0.358,0.266461
0.359,0.268707
0.36,0.27147
0.361,0.273768
0.362,0.276313
0.363,0.278881
0.364,0.280462
0.365,0.282332
0.366,0.285008
0.367,0.286515
0.368,0.287849
0.369,0.289865
0.37,0.2907
0.371,0.293352
0.372,0.295429
0.373,0.295681
0.374,0.296353
0.375,0.29831
0.376,0.299478
0.377,0.301508
0.378,0.302664
0.379,0.304211
0.38,0.304727
0.381,0.304901
0.382,0.306496
0.383,0.308046
0.384,0.308859
0.385,0.309167
0.386,0.310382
0.387,0.312215
0.388,0.313349
0.389,0.313993
0.39,0.314864
0.391,0.316729
0.392,0.31794
0.393,0.318997
0.394,0.320116
0.395,0.321079
0.396,0.322204
0.397,0.322419
0.398,0.323486
0.399,0.325089
0.4,0.326389
0.401,0.327982
0.402,0.328741
0.403,0.329538
0.404,0.331135
0.405,0.331753
0.406,0.332448
0.407,0.334155
0.408,0.335663
0.409,0.336807
0.41,0.337525
0.411,0.338448
0.412,0.339256
0.413,0.340085
0.414,0.341766
0.415,0.343479
0.416,0.34328
0.417,0.344037
0.418,0.345578
0.419,0.346688
0.42,0.347949
0.421,0.348329
0.422,0.348828
0.423,0.35038
0.424,0.351982
0.425,0.352636
0.426,0.35342
0.427,0.354465
0.428,0.354904
0.429,0.355686
0.43,0.356265
0.431,0.356775
0.432,0.35771
0.433,0.358482
0.434,0.35889
0.435,0.360164
0.436,0.360952
0.437,0.362715
0.438,0.363514
0.439,0.363971
0.44,0.364175
0.441,0.364179
0.442,0.365064
0.443,0.365781
0.444,0.366611
0.445,0.366758
0.446,0.367311
0.447,0.368515
0.448,0.368554
0.449,0.369621
0.45,0.370128
0.451,0.370773
0.452,0.372027
0.453,0.372752
0.454,0.374557
0.455,0.375494
0.456,0.375861
0.457,0.377381
0.458,0.379032
0.459,0.380425
0.46,0.380207
0.461,0.381088
0.462,0.382645
0.463,0.384061
0.464,0.385049
0.465,0.385143
0.466,0.386242
0.467,0.387199
0.468,0.388511
0.469,0.389407
0.47,0.389644
0.471,0.390338
0.472,0.392122
0.473,0.392697
0.474,0.394141
0.475,0.39387
0.476,0.394921
0.477,0.395383
0.478,0.396056
0.479,0.396705
0.48,0.398337
0.481,0.398949
0.482,0.400461
0.483,0.401512
0.484,0.402128
0.485,0.402108
0.486,0.402266
0.487,0.403801
0.488,0.404098
0.489,0.405077
0.49,0.4058
0.491,0.407807
0.492,0.407861
0.493,0.408985
0.494,0.409933
0.495,0.410594
0.496,0.410308
0.497,0.412236
0.498,0.412721
0.499,0.413919
0.5,0.414724
0.501,0.4151
0.502,0.416345
0.503,0.417606
0.504,0.416461
0.505,0.418113
0.506,0.418171
0.507,0.42016
0.508,0.420547
0.509,0.42101
0.51,0.422395
0.511,0.423242
0.512,0.423503
0.513,0.424417
0.514,0.425292
0.515,0.426709
0.516,0.42687
0.517,0.427312
0.518,0.428518
0.519,0.428285
0.52,0.429535
0.521,0.429916
0.522,0.430445
0.523,0.431463
0.524,0.432564
0.525,0.432738
0.526,0.432854
0.527,0.433947
0.528,0.433994
0.529,0.434966
0.53,0.43564
0.531,0.436536
0.532,0.436649
0.533,0.437423
0.534,0.437355
0.535,0.4388
0.536,0.438082
0.537,0.439441
0.538,0.440479
0.539,0.441071
0.54,0.442469
0.541,0.442703
0.542,0.443234
0.543,0.442863
0.544,0.443643
0.545,0.445025
0.546,0.445938
0.547,0.445911
0.548,0.446634
0.549,0.44767
0.55,0.447673
0.551,0.4476
0.552,0.448692
0.553,0.449999
0.554,0.450791
0.555,0.450222
0.556,0.450116
0.557,0.45133
0.558,0.451755
0.559,0.452623
0.56,0.453086
0.561,0.453115
0.562,0.454419
0.563,0.455003
0.564,0.45476
0.565,0.455496
0.566,0.455126
0.567,0.456211
0.568,0.45728
0.569,0.457622
0.57,0.4577
0.571,0.458798
0.572,0.458228
0.573,0.458493
0.574,0.459674
0.575,0.460072
0.576,0.460368
0.577,0.460934
0.578,0.461556
0.579,0.461856
0.58,0.462001
0.581,0.462986
0.582,0.464149
0.583,0.463579
0.584,0.463446
0.585,0.46419
0.586,0.464038
0.587,0.464724
0.588,0.465693
0.589,0.466306
0.59,0.467262
0.591,0.467537
0.592,0.467052
0.593,0.467507
0.594,0.468192
0.595,0.468374
0.596,0.469104
0.597,0.468749
0.598,0.469114
0.599,0.470638
0.6,0.471214
0.601,0.471921
0.602,0.472006
0.603,0.471088
0.604,0.471936
0.605,0.472058
0.606,0.47171
0.607,0.472484
0.608,0.473918
0.609,0.474625
0.61,0.473781
0.611,0.473743
0.612,0.474688
0.613,0.475039
0.614,0.475117
0.615,0.474671
0.616,0.47556
0.617,0.476902
0.618,0.476979
0.619,0.477073
0.62,0.477024
0.621,0.477737
0.622,0.479132
0.623,0.479451
0.624,0.479339
0.625,0.479171
0.626,0.479228
0.627,0.479999
0.628,0.47992
0.629,0.480754
0.63,0.482366
0.631,0.482782
0.632,0.48292
0.633,0.483413
0.634,0.483675
0.635,0.483162
0.636,0.48303
0.637,0.483865
0.638,0.484018
0.639,0.484609
0.64,0.483997
0.641,0.484971
0.642,0.486403
0.643,0.484245
0.644,0.48537
0.645,0.486885
0.646,0.487131
0.647,0.487174
0.648,0.487413
0.649,0.489167
0.65,0.489321
0.651,0.488677
0.652,0.489274
0.653,0.489699
0.654,0.489935
0.655,0.4901
0.656,0.490319
0.657,0.4902
0.658,0.490688
0.659,0.491165
0.66,0.492147
0.661,0.492385
0.662,0.492927
0.663,0.493618
0.664,0.495024
0.665,0.494895
0.666,0.493886
0.667,0.49426
0.668,0.494224
0.669,0.494291
0.67,0.495516
0.671,0.494962
0.672,0.495632
0.673,0.49654
0.674,0.496531
0.675,0.495698
0.676,0.495416
0.677,0.496743
0.678,0.499943
0.679,0.497539
0.68,0.497097
0.681,0.497677
0.682,0.498741
0.683,0.499315
0.684,0.501338
0.685,0.500714
0.686,0.500949
0.687,0.500037
0.688,0.503109
0.689,0.50364
0.69,0.502042
0.691,0.501157
0.692,0.504647
0.693,0.50261
0.694,0.502755
0.695,0.504095
0.696,0.503516
0.697,0.502699
0.698,0.50386
0.699,0.504362
0.7,0.503222
0.701,0.505091
0.702,0.505124
0.703,0.506555
0.704,0.506251
0.705,0.504631
0.706,0.505686
0.707,0.507497
0.708,0.508296
0.709,0.506077
0.71,0.50756
0.711,0.511502
0.712,0.507272
0.713,0.509093
0.714,0.508604
0.715,0.510326
0.716,0.512439
0.717,0.509221
0.718,0.510551
0.719,0.511058
0.72,0.519076
0.721,0.519803
0.722,0.521399
0.723,0.520428
0.724,0.521117
0.725,0.521667
0.726,0.520811
0.727,0.522853
0.728,0.522752
0.729,0.52181
0.73,0.521937
0.731,0.524969
0.732,0.524435
0.733,0.525055
0.734,0.526047
0.735,0.52653
0.736,0.524474
0.737,0.525502
0.738,0.528808
0.739,0.526666
0.74,0.527357
0.741,0.528201
0.742,0.527232
0.743,0.528078
0.744,0.529032
0.745,0.530063
