BRU_LE2CPX_0,
W,R
0.25,0.133099
0.251,0.134504
0.252,0.134714
0.253,0.134744
0.254,0.134958
0.255,0.13651
0.256,0.137694
0.257,0.138421
0.258,0.138833
0.259,0.138676
0.26,0.139069
0.261,0.140222
0.262,0.139807
0.263,0.140179
0.264,0.14049
0.265,0.141721
0.266,0.141182
0.267,0.141608
0.268,0.141547
0.269,0.141042
0.27,0.142509
0.271,0.143037
0.272,0.142635
0.273,0.142188
0.274,0.14152
0.275,0.141705
0.276,0.1422
0.277,0.14241
0.278,0.142352
0.279,0.141314
0.28,0.142571
0.281,0.141463
0.282,0.142048
0.283,0.142518
0.284,0.142101
0.285,0.141017
0.286,0.142512
0.287,0.142657
0.288,0.142436
0.289,0.14269
0.29,0.143915
0.291,0.1446
0.292,0.144627
0.293,0.144623
0.294,0.144929
0.295,0.146917
0.296,0.149858
0.297,0.150577
0.298,0.153828
0.299,0.153686
0.3,0.15607
0.301,0.155868
0.302,0.159141
0.303,0.160871
0.304,0.163349
0.305,0.165875
0.306,0.168263
0.307,0.17275
0.308,0.174514
0.309,0.179045
0.31,0.181943
0.311,0.185929
0.312,0.187719
0.313,0.19246
0.314,0.196405
0.315,0.200743
0.316,0.205143
0.317,0.209648
0.318,0.214459
0.319,0.218463
0.32,0.223623
0.321,0.227786
0.322,0.233426
0.323,0.239071
0.324,0.244948
0.325,0.250619
0.326,0.259528
0.327,0.264959
0.328,0.269987
0.329,0.278658
0.33,0.285989
0.331,0.292388
0.332,0.301827
0.333,0.309147
0.334,0.316766
0.335,0.324133
0.336,0.331756
0.337,0.340761
0.338,0.348505
0.339,0.357048
0.34,0.366313
0.341,0.376215
0.342,0.382128
0.343,0.392822
0.344,0.399181
0.345,0.406716
0.346,0.415397
0.347,0.42713
0.348,0.436161
0.349,0.44331
0.35,0.448017
0.351,0.458866
0.352,0.4666
0.353,0.476124
0.354,0.482689
0.355,0.4901
0.356,0.497451
0.357,0.502686
0.358,0.51021
0.359,0.517542
0.36,0.52163
0.361,0.5301
0.362,0.536015
0.363,0.539844
0.364,0.544989
0.365,0.549707
0.366,0.553187
0.367,0.559453
0.368,0.562823
0.369,0.569253
0.37,0.57043
0.371,0.573312
0.372,0.576383
0.373,0.578493
0.374,0.581625
0.375,0.583828
0.376,0.585619
0.377,0.592251
0.378,0.598075
0.379,0.595233
0.38,0.595488
0.381,0.598574
0.382,0.601942
0.383,0.601766
0.384,0.603802
0.385,0.606607
