RB_LE4OLV,
W,R
0.25,0.102687
0.251,0.102185
0.252,0.102471
0.253,0.102007
0.254,0.101547
0.255,0.102656
0.256,0.102209
0.257,0.101365
0.258,0.102321
0.259,0.102773
0.26,0.10303
0.261,0.103394
0.262,0.103506
0.263,0.103721
0.264,0.104764
0.265,0.105273
0.266,0.105937
0.267,0.106929
0.268,0.107245
0.269,0.107927
0.27,0.108624
0.271,0.108654
0.272,0.110294
0.273,0.111923
0.274,0.113143
0.275,0.112921
0.276,0.112803
0.277,0.114028
0.278,0.114539
0.279,0.115555
0.28,0.115614
0.281,0.115649
0.282,0.116263
0.283,0.116135
0.284,0.116428
0.285,0.115358
0.286,0.115782
0.287,0.116439
0.288,0.115567
0.289,0.116108
0.29,0.116548
0.291,0.116114
0.292,0.117155
0.293,0.116809
0.294,0.116933
0.295,0.11626
0.296,0.117203
0.297,0.117379
0.298,0.117881
0.299,0.117189
0.3,0.118746
0.301,0.118468
0.302,0.119756
0.303,0.118975
0.304,0.120633
0.305,0.120057
0.306,0.120666
0.307,0.121712
0.308,0.121737
0.309,0.12207
0.31,0.122492
0.311,0.123225
0.312,0.123814
0.313,0.124003
0.314,0.124923
0.315,0.125115
0.316,0.126259
0.317,0.126422
0.318,0.127193
0.319,0.127163
0.32,0.128366
0.321,0.12917
0.322,0.129547
0.323,0.130527
0.324,0.132228
0.325,0.132652
0.326,0.13633
0.327,0.135212
0.328,0.137601
0.329,0.137659
0.33,0.138234
0.331,0.139477
0.332,0.141158
0.333,0.142082
0.334,0.144325
0.335,0.144305
0.336,0.144959
0.337,0.147918
0.338,0.148809
0.339,0.149706
0.34,0.151345
0.341,0.150986
0.342,0.15269
0.343,0.153866
0.344,0.154997
0.345,0.156743
0.346,0.157021
0.347,0.158626
0.348,0.15937
0.349,0.1615
0.35,0.162221
0.351,0.163989
0.352,0.164336
0.353,0.165472
0.354,0.167655
0.355,0.168056
0.356,0.169104
0.357,0.170184
0.358,0.170448
0.359,0.171782
0.36,0.171995
0.361,0.173295
0.362,0.17432
0.363,0.174973
0.364,0.175943
0.365,0.176807
0.366,0.179307
0.367,0.180788
0.368,0.180255
0.369,0.181118
0.37,0.182065
0.371,0.183307
0.372,0.184151
0.373,0.184917
0.374,0.185294
0.375,0.185164
0.376,0.185857
0.377,0.186577
0.378,0.186952
0.379,0.187552
0.38,0.188384
0.381,0.18925
0.382,0.189844
0.383,0.190664
0.384,0.191766
0.385,0.192128
0.386,0.192935
0.387,0.193714
0.388,0.194523
0.389,0.195722
0.39,0.196461
0.391,0.196881
0.392,0.197388
0.393,0.197887
0.394,0.198912
0.395,0.199909
0.396,0.200387
0.397,0.201102
0.398,0.201982
0.399,0.203337
0.4,0.204316
0.401,0.204566
0.402,0.204675
0.403,0.206024
0.404,0.207038
0.405,0.207866
0.406,0.209111
0.407,0.210704
0.408,0.21226
0.409,0.213136
0.41,0.213562
0.411,0.214463
0.412,0.215036
0.413,0.2156
0.414,0.216408
0.415,0.217039
0.416,0.217688
0.417,0.218399
0.418,0.219436
0.419,0.220648
0.42,0.221304
0.421,0.221568
0.422,0.22193
0.423,0.222648
0.424,0.223401
0.425,0.224028
0.426,0.224552
0.427,0.225619
0.428,0.226694
0.429,0.227764
0.43,0.227994
0.431,0.227828
0.432,0.228823
0.433,0.230191
0.434,0.230526
0.435,0.23129
0.436,0.23169
0.437,0.232577
0.438,0.234032
0.439,0.234948
0.44,0.235353
0.441,0.235639
0.442,0.23625
0.443,0.237003
0.444,0.237918
0.445,0.238269
0.446,0.23876
0.447,0.239434
0.448,0.239642
0.449,0.240292
0.45,0.240816
0.451,0.241989
0.452,0.242476
0.453,0.242989
0.454,0.24394
0.455,0.244315
0.456,0.245133
0.457,0.246037
0.458,0.247189
0.459,0.248104
0.46,0.248173
0.461,0.249294
0.462,0.250312
0.463,0.251185
0.464,0.25217
0.465,0.252687
0.466,0.253323
0.467,0.25406
0.468,0.254561
0.469,0.255969
0.47,0.256142
0.471,0.256333
0.472,0.257272
0.473,0.258111
0.474,0.25919
0.475,0.259662
0.476,0.260929
0.477,0.261242
0.478,0.262393
0.479,0.263278
0.48,0.26422
0.481,0.264591
0.482,0.265033
0.483,0.265583
0.484,0.26571
0.485,0.265847
0.486,0.266186
0.487,0.267372
0.488,0.26727
0.489,0.268355
0.49,0.268486
0.491,0.269642
0.492,0.26968
0.493,0.270601
0.494,0.271615
0.495,0.271595
0.496,0.272631
0.497,0.273413
0.498,0.274888
0.499,0.276245
0.5,0.27671
0.501,0.277567
0.502,0.279102
0.503,0.27996
0.504,0.280792
0.505,0.282219
0.506,0.282859
0.507,0.283361
0.508,0.284107
0.509,0.285092
0.51,0.285778
0.511,0.2867
0.512,0.287314
0.513,0.287948
0.514,0.288292
0.515,0.289632
0.516,0.289886
0.517,0.29116
0.518,0.291563
0.519,0.291706
0.52,0.292568
0.521,0.293283
0.522,0.294034
0.523,0.294462
0.524,0.295385
0.525,0.296046
0.526,0.296773
0.527,0.297479
0.528,0.298453
0.529,0.298788
0.53,0.299192
0.531,0.300502
0.532,0.300635
0.533,0.301036
0.534,0.302801
0.535,0.302983
0.536,0.303632
0.537,0.304413
0.538,0.305164
0.539,0.306048
0.54,0.306826
0.541,0.307807
0.542,0.309321
0.543,0.309238
0.544,0.309183
0.545,0.310011
0.546,0.311021
0.547,0.311645
0.548,0.312727
0.549,0.313453
0.55,0.314153
0.551,0.314577
0.552,0.315207
0.553,0.315953
0.554,0.316376
0.555,0.316479
0.556,0.317776
0.557,0.318036
0.558,0.318789
0.559,0.31858
0.56,0.318958
0.561,0.319863
0.562,0.32098
0.563,0.320848
0.564,0.321417
0.565,0.322083
0.566,0.322196
0.567,0.32301
0.568,0.323745
0.569,0.323855
0.57,0.324132
0.571,0.325357
0.572,0.325264
0.573,0.325598
0.574,0.325919
0.575,0.326549
0.576,0.327201
0.577,0.327549
0.578,0.327589
0.579,0.327548
0.58,0.328187
0.581,0.328941
0.582,0.329474
0.583,0.3293
0.584,0.329434
0.585,0.329731
0.586,0.3301
0.587,0.330953
0.588,0.331451
0.589,0.331228
0.59,0.331737
0.591,0.33216
0.592,0.332114
0.593,0.332372
0.594,0.332883
0.595,0.333064
0.596,0.333268
0.597,0.333438
0.598,0.334019
0.599,0.334266
0.6,0.334433
0.601,0.335169
0.602,0.335435
0.603,0.33591
0.604,0.336709
0.605,0.336635
0.606,0.335904
0.607,0.336389
0.608,0.337139
0.609,0.336541
0.61,0.336787
0.611,0.336922
0.612,0.336879
0.613,0.336909
0.614,0.337444
0.615,0.337635
0.616,0.338101
0.617,0.338476
0.618,0.338549
0.619,0.338425
0.62,0.337978
0.621,0.338646
0.622,0.339783
0.623,0.340129
0.624,0.339025
0.625,0.338917
0.626,0.339593
0.627,0.339061
0.628,0.338542
0.629,0.339559
0.63,0.341275
0.631,0.341646
0.632,0.341685
0.633,0.342166
0.634,0.341827
0.635,0.341744
0.636,0.34174
0.637,0.34225
0.638,0.342182
0.639,0.342765
0.64,0.34332
0.641,0.344026
0.642,0.344107
0.643,0.344824
0.644,0.344785
0.645,0.345286
0.646,0.345692
0.647,0.346783
0.648,0.347433
0.649,0.347498
0.65,0.346789
0.651,0.348547
0.652,0.348788
0.653,0.350248
0.654,0.350435
0.655,0.350358
0.656,0.351031
0.657,0.350448
0.658,0.350763
0.659,0.351854
0.66,0.353159
0.661,0.353864
0.662,0.35274
0.663,0.354601
0.664,0.35478
0.665,0.355147
0.666,0.353942
0.667,0.35513
0.668,0.356535
0.669,0.355251
0.67,0.355459
0.671,0.355866
0.672,0.357
0.673,0.356958
0.674,0.357148
0.675,0.356896
0.676,0.357685
0.677,0.357736
0.678,0.360495
0.679,0.357954
0.68,0.357598
0.681,0.359582
0.682,0.358978
0.683,0.358123
0.684,0.360563
0.685,0.360634
0.686,0.360109
0.687,0.359172
0.688,0.359671
0.689,0.360333
0.69,0.361356
0.691,0.362361
0.692,0.360879
0.693,0.360519
0.694,0.361171
0.695,0.362083
0.696,0.361302
0.697,0.35954
0.698,0.361229
0.699,0.360836
0.7,0.359367
0.701,0.360288
0.702,0.361692
0.703,0.361536
0.704,0.362025
0.705,0.35977
0.706,0.362501
0.707,0.358882
0.708,0.361016
0.709,0.361406
0.71,0.361977
0.711,0.359645
0.712,0.359496
0.713,0.360667
0.714,0.360054
0.715,0.361595
0.716,0.35944
0.717,0.361596
0.718,0.361145
0.719,0.360261
0.72,0.360228
0.721,0.360635
0.722,0.361446
0.723,0.360798
0.724,0.361908
0.725,0.360632
0.726,0.360517
0.727,0.359018
0.728,0.360382
0.729,0.359985
0.73,0.359996
0.731,0.359115
0.732,0.361979
0.733,0.360777
0.734,0.360219
0.735,0.36097
0.736,0.358965
0.737,0.359564
0.738,0.359931
0.739,0.359488
0.74,0.359731
0.741,0.359785
0.742,0.357324
0.743,0.358456
0.744,0.357808
0.745,0.358809
0.746,0.359242
0.747,0.357475
0.748,0.358311
0.749,0.357357
0.75,0.357179
0.751,0.356381
0.752,0.355627
0.753,0.357714
0.754,0.357814
0.755,0.356238
0.756,0.354017
0.757,0.354611
0.758,0.357438
0.759,0.355335
0.76,0.353762
0.761,0.35393
0.762,0.354305
0.763,0.353562
0.764,0.353741
0.765,0.35439
0.766,0.352739
0.767,0.352282
0.768,0.352796
0.769,0.353263
0.77,0.354072
0.771,0.353077
0.772,0.35197
0.773,0.351048
0.774,0.35084
0.775,0.351353
0.776,0.35073
0.777,0.349994
0.778,0.348776
0.779,0.347956
0.78,0.349081
0.781,0.349422
0.782,0.347544
0.783,0.346725
0.784,0.347361
0.785,0.348782
0.786,0.34765
0.787,0.346444
0.788,0.346514
0.789,0.347071
0.79,0.347848
0.791,0.345366
0.792,0.344033
0.793,0.344952
0.794,0.345132
0.795,0.345073
0.796,0.345828
0.797,0.345137
0.798,0.34362
0.799,0.343744
0.8,0.343676
0.801,0.344127
0.802,0.34362
0.803,0.342959
0.804,0.342068
0.805,0.342701
0.806,0.343798
0.807,0.344407
0.808,0.342888
0.809,0.341922
0.81,0.344093
0.811,0.343015
0.812,0.34201
0.813,0.341459
0.814,0.341572
0.815,0.341255
0.816,0.340983
0.817,0.339564
0.818,0.339464
0.819,0.340511
0.82,0.340992
0.821,0.340574
0.822,0.340491
0.823,0.340324
0.824,0.340542
0.825,0.339537
0.826,0.339259
0.827,0.340009
0.828,0.338091
0.829,0.344661
0.83,0.34903
0.831,0.347015
0.832,0.347162
0.833,0.349497
0.834,0.353389
0.835,0.355107
0.836,0.352476
0.837,0.345378
0.838,0.340651
0.839,0.345627
0.84,0.343966
0.841,0.346217
0.842,0.348993
0.843,0.350198
0.844,0.347891
0.845,0.344834
0.846,0.341717
0.847,0.339992
0.848,0.341554
0.849,0.34571
0.85,0.341501
0.851,0.331952
0.852,0.331672
0.853,0.333834
0.854,0.332549
0.855,0.33164
0.856,0.335176
0.857,0.340707
0.858,0.34751
0.859,0.347596
0.86,0.3471
0.861,0.343478
0.862,0.342611
0.863,0.340345
0.864,0.34932
0.865,0.345975
0.866,0.347322
0.867,0.348851
0.868,0.346036
0.869,0.348142
0.87,0.347206
0.871,0.34422
0.872,0.344174
0.873,0.341847
0.874,0.342006
0.875,0.344131
0.876,0.343619
0.877,0.346022
0.878,0.346276
0.879,0.342768
0.88,0.345227
0.881,0.342168
0.882,0.342393
0.883,0.343588
0.884,0.342926
0.885,0.34448
0.886,0.341696
0.887,0.34425
0.888,0.340615
0.889,0.342629
0.89,0.342187
0.891,0.342824
0.892,0.343186
0.893,0.343742
0.894,0.34325
0.895,0.342835
0.896,0.34038
0.897,0.340282
0.898,0.340027
0.899,0.34179
0.9,0.340155
0.901,0.340443
0.902,0.340791
0.903,0.339792
0.904,0.339915
0.905,0.339481
0.906,0.337141
0.907,0.338514
0.908,0.337719
0.909,0.338519
0.91,0.337056
0.911,0.33558
0.912,0.335245
0.913,0.336781
0.914,0.335955
0.915,0.335489
0.916,0.334632
0.917,0.336872
0.918,0.335888
0.919,0.3356
0.92,0.333197
0.921,0.33467
0.922,0.332973
0.923,0.333016
0.924,0.332437
0.925,0.332224
0.926,0.331673
0.927,0.331096
0.928,0.33001
0.929,0.328901
0.93,0.328781
0.931,0.327944
0.932,0.32739
0.933,0.328241
0.934,0.328513
0.935,0.328378
0.936,0.329022
0.937,0.33009
0.938,0.327978
0.939,0.325372
0.94,0.324531
0.941,0.325018
0.942,0.324689
0.943,0.323721
0.944,0.323873
0.945,0.323044
0.946,0.321632
0.947,0.32164
0.948,0.320833
0.949,0.320788
0.95,0.32007
0.951,0.320841
0.952,0.319376
0.953,0.318501
0.954,0.317681
0.955,0.317021
0.956,0.316724
0.957,0.316432
0.958,0.316029
0.959,0.314873
0.96,0.315157
0.961,0.313866
0.962,0.313399
0.963,0.313129
0.964,0.312529
0.965,0.312088
0.966,0.311377
0.967,0.310663
0.968,0.309791
0.969,0.310137
0.97,0.309606
0.971,0.308192
0.972,0.307511
0.973,0.307184
0.974,0.306578
0.975,0.305852
0.976,0.304257
0.977,0.303422
0.978,0.303736
0.979,0.303013
0.98,0.301686
0.981,0.301532
0.982,0.300826
0.983,0.300229
0.984,0.300234
0.985,0.299714
0.986,0.299198
0.987,0.298636
0.988,0.298003
0.989,0.29755
0.99,0.296269
0.991,0.295238
0.992,0.295543
0.993,0.295201
0.994,0.294496
0.995,0.293846
0.996,0.29367
0.997,0.293122
0.998,0.292452
0.999,0.291861
1,0.291688
1.001,0.292137
1.002,0.291955
1.003,0.291602
1.004,0.290915
1.005,0.290335
1.006,0.289804
1.007,0.289593
1.008,0.289181
1.009,0.289143
1.01,0.288922
1.011,0.288321
1.012,0.28871
1.013,0.287818
1.014,0.286708
1.015,0.286643
1.016,0.28639
1.017,0.2865
1.018,0.286612
1.019,0.286244
1.02,0.286185
1.021,0.286103
1.022,0.285751
1.023,0.285154
1.024,0.284923
1.025,0.284813
1.026,0.284754
1.027,0.284679
1.028,0.284481
1.029,0.283876
1.03,0.282994
1.031,0.283349
1.032,0.283997
1.033,0.284059
1.034,0.283846
1.035,0.283447
1.036,0.283747
1.037,0.283831
1.038,0.283617
1.039,0.28373
1.04,0.283396
1.041,0.283788
1.042,0.283175
1.043,0.282811
1.044,0.283323
1.045,0.283108
1.046,0.283596
1.047,0.283707
1.048,0.283865
1.049,0.283858
1.05,0.284122
1.051,0.284257
1.052,0.283726
1.053,0.283875
1.054,0.283906
1.055,0.284229
1.056,0.284682
1.057,0.284358
1.058,0.284588
1.059,0.284565
1.06,0.284309
1.061,0.284469
1.062,0.284157
1.063,0.284634
1.064,0.284429
1.065,0.284809
1.066,0.286228
1.067,0.286524
1.068,0.287133
1.069,0.288416
1.07,0.287941
1.071,0.28759
1.072,0.288649
1.073,0.288119
1.074,0.288281
1.075,0.288481
1.076,0.289465
1.077,0.289978
1.078,0.290858
1.079,0.290455
1.08,0.291028
1.081,0.291077
1.082,0.290899
1.083,0.29219
1.084,0.292515
1.085,0.293346
1.086,0.293179
1.087,0.293051
1.088,0.294189
1.089,0.293951
1.09,0.295518
1.091,0.294953
1.092,0.295635
1.093,0.295672
1.094,0.296671
1.095,0.296417
1.096,0.297742
1.097,0.298104
1.098,0.298548
1.099,0.298806
1.1,0.298892
1.101,0.299798
1.102,0.301417
1.103,0.301323
1.104,0.301636
1.105,0.301097
1.106,0.30275
1.107,0.303327
1.108,0.303935
1.109,0.303676
1.11,0.304676
1.111,0.30506
1.112,0.305643
1.113,0.306079
1.114,0.306587
1.115,0.307295
1.116,0.308076
1.117,0.308738
1.118,0.308176
1.119,0.309311
1.12,0.309572
1.121,0.310197
1.122,0.311356
1.123,0.310874
1.124,0.311688
1.125,0.311104
1.126,0.312747
1.127,0.312231
1.128,0.312942
1.129,0.313496
1.13,0.313081
1.131,0.313616
1.132,0.314856
1.133,0.315316
1.134,0.315956
1.135,0.31725
1.136,0.317902
1.137,0.318624
1.138,0.319699
1.139,0.318672
1.14,0.319138
1.141,0.319367
1.142,0.3195
1.143,0.320587
1.144,0.320499
1.145,0.32103
1.146,0.321922
1.147,0.321375
1.148,0.321689
1.149,0.322301
